
gen	nevals	avg    	std    	min    	max    
1  	510   	5595.75	125.287	5318.08	5952.73
2  	510   	5619.81	675.039	5298.05	26505.1
3  	510   	5516.42	142.548	5296.08	6508.54
4  	510   	5505.45	154.091	5295.88	6610.68
5  	510   	5441.78	131.802	5295.88	5905.88
6  	510   	5458.51	139.393	5293.82	5792.47
7  	510   	5432.22	131.156	5293.82	5784.25
8  	510   	5454.98	147.133	5288.41	5840.57
9  	510   	5424.66	123.777	5286.08	5809.95
10 	510   	5412.58	119.26 	5284.17	5820.56
11 	510   	5409.01	121.862	5282.62	5818.24
12 	510   	5424.08	127.98 	5281.65	5784.81
13 	510   	5431.36	148.32 	3796.57	5802.94
14 	510   	5450.37	236.732	565.464	5785.98
15 	510   	5399.07	313.441	2295.02	9118.79
16 	510   	5404.63	551.882	960.486	10306.4
17 	510   	5289.55	819.835	848.788	10306.4
18 	510   	5203.03	1135.08	706.614	10306.4
19 	510   	5109.04	1511.1 	673.505	10858.9
20 	510   	4814.54	1729.58	555.256	10851.9
21 	510   	4718.92	1707.68	569.393	12892.6
22 	510   	4521.81	1813.43	456.358	11693.8
23 	510   	4504.83	2107.98	456.358	10737.6
24 	510   	4482.48	2087.65	445.424	13616.6
25 	510   	4460.7 	2152.09	456.358	14613.4
26 	510   	4556.65	2410.7 	426.351	15498.8
27 	510   	4462.82	2504.34	423.065	15561.9
28 	510   	4380.25	2818.12	312.556	15561.9
29 	510   	4336.13	2486.87	312.556	15376  
30 	510   	4451.26	2816.74	312.556	26187.5
31 	510   	4286.64	2801.66	312.556	15376  
32 	510   	4303.79	3003.54	312.556	15531  
33 	510   	4641.2 	2979.31	303.352	15376  
34 	510   	4202.98	3024.91	258.087	16711.2
35 	510   	4254.23	2803.25	258.087	17482.6
36 	510   	4122.37	3014.66	258.087	17740.8
37 	510   	4248.44	3034.27	258.087	17740.8
38 	510   	4297.18	3061.8 	258.087	18602.8
39 	510   	4148.09	2987.12	258.087	20537.9
40 	510   	4489.49	3338.46	197.931	16499.6
41 	510   	4340.72	3347.94	197.931	23616.1
42 	510   	4271.95	3203.57	212.467	19572.5
43 	510   	4406.54	3317.8 	212.467	27671.6
44 	510   	4453.56	3520.78	212.467	21431.7
45 	510   	4714.66	3485.92	212.467	21454.6
46 	510   	4432.41	3805.78	184.331	29713.2
47 	510   	4719.04	3966.45	206.788	24715.7
48 	510   	4704.05	4049.9 	206.788	23600.4
49 	510   	4523.82	3595.24	187.764	23525.5
50 	510   	4512.26	4065.25	187.764	23525.5
51 	510   	4693.12	3904.36	187.764	23679.9
52 	510   	4383.74	3743.15	187.764	23327.6
53 	510   	5018.5 	4679.82	187.764	24323.4
54 	510   	4501.44	4002.97	187.764	68435.9
55 	510   	4381.96	3669.09	187.764	23327.6
56 	510   	4708.07	4137.77	202.209	35667.2
57 	510   	4533.53	3769.9 	206.788	23327.6
58 	510   	4487.74	3896.07	212.467	26677.4
59 	510   	4592.31	3870.8 	212.467	23327.6
60 	510   	4435.41	3859.46	212.467	23327.6
61 	510   	4540.75	3964.77	212.467	23327.6
62 	510   	4734.65	4187.72	216.906	23327.6
63 	510   	4463.75	3863.7 	216.906	23327.6
64 	510   	4296.28	3812.73	216.906	25732.3
65 	510   	4803.57	4174.73	216.906	27550.1
66 	510   	4660.46	3902.15	230.69 	27550.1
67 	510   	4311.2 	3748.86	219.767	27550.1
68 	510   	4300.88	3357.18	230.69 	27550.1
69 	510   	4475.85	3519.83	230.69 	19581.9
70 	510   	4117.7 	3260.73	174.771	19409  
71 	510   	4313.58	3787.29	230.69 	27572.5
72 	510   	4251.31	3366.93	230.69 	21632.8
73 	510   	4437.97	3940.59	224.413	26576.8
74 	510   	4342.72	3673.83	188.066	19600.8
75 	510   	4434.75	3428.53	224.413	18398.2
76 	510   	4390.73	3568.23	224.413	20381.6
77 	510   	4725.28	3792.27	209.485	20381.6
78 	510   	4371.48	3598.47	209.485	18688.4
79 	510   	4709.72	3737.14	209.485	19475.4
80 	510   	4617.74	3632.43	209.485	21720.8
81 	510   	4519.85	3548.61	209.485	19626.2
82 	510   	4384.55	3611.51	209.184	19567  
83 	510   	4238.24	3276.45	209.184	19567  
84 	510   	4645.61	3807.43	196.945	24562.3
85 	510   	4702.29	3942.21	196.945	23501.1
86 	510   	4851.39	4034.3 	196.945	22598.3
87 	510   	4640.23	3764.44	196.945	21620.1
88 	510   	4460.41	3611.27	196.945	18438.6
89 	510   	4329.3 	3461.12	196.945	18374.4
90 	510   	4330.55	3555.07	196.945	21723.4
91 	510   	4447.24	3651.05	221.385	21474.5
92 	510   	4398.22	3575.82	194.859	21474.5
93 	510   	4397.75	3868.34	194.859	21474.5
94 	510   	4656.9 	3776.92	194.859	21474.5
95 	510   	5160.17	4305.82	194.859	23711.6
96 	510   	4724.82	4747.93	194.859	97201.8
97 	510   	5121.74	4205.76	194.859	24517.7
98 	510   	4694.1 	3699.14	194.859	23733.7
99 	510   	4544.72	3563.48	194.859	19601.7
100	510   	4711.92	3834.02	194.321	19503.5
Elapsed time: 3653 seconds (1h 0m 53s)
