
gen	nevals	avg    	std    	min    	max    
1  	280   	5461.01	44.8181	5329.88	5532.04
2  	280   	5461.01	44.584 	5329.26	5532.04
3  	280   	5436.14	61.4771	5329.26	5532.93
4  	280   	5395.52	61.4588	5323.07	5535.35
5  	280   	5359.93	43.993 	5310.89	5534.84
6  	280   	5340.77	25.7466	5298.75	5528.17
7  	280   	5334.31	19.8892	5293.7 	5419.46
8  	280   	5328.81	19.4575	5292.5 	5444.73
9  	280   	5324.56	20.8901	5290.07	5393.75
10 	280   	5318.28	18.5697	5289.11	5397.65
11 	280   	5321.07	23.5703	5288.51	5409.56
12 	280   	5321.15	19.319 	5288.35	5406.13
13 	280   	5321.18	25.9513	5287   	5414.83
14 	280   	5321.7 	18.6653	5287.13	5401.72
15 	280   	5324.87	24.0043	5287.13	5409.5 
16 	280   	5316.3 	18.3564	5285.88	5422.03
17 	280   	5320.44	24.2639	5286.14	5412.6 
18 	280   	5316.93	20.2418	5286.04	5397.37
19 	280   	5324.29	23.5975	5284.63	5427.37
20 	280   	5313.53	22.2852	5284.43	5425.34
21 	280   	5324.28	23.8184	5283.17	5415.16
22 	280   	5309.86	19.1232	5283.17	5415.18
23 	280   	5323.66	23.0181	5282.84	5422.49
24 	280   	5315.14	22.6423	5282.84	5424.63
25 	280   	5320.95	22.8112	5282.84	5390.75
26 	280   	5311.59	21.3536	5282.57	5397.52
27 	280   	5326.51	19.9171	5282.84	5426.92
28 	280   	5312.94	58.0651	4048.72	5431.21
29 	280   	5316.26	80.1581	4048.72	5407.57
30 	280   	5295.54	157.618	3675.15	5403.9 
31 	280   	5276.54	247.024	3675.15	5415.94
32 	280   	5261.52	272.234	3675.15	5419.2 
33 	280   	5228.86	354.768	3675.15	5394.87
34 	280   	5219.14	365.195	3655.98	5427.07
35 	280   	5143.41	506.542	3650.96	5435.74
36 	280   	5019.03	627.959	3636.46	5438.44
37 	280   	5143.23	524.257	3620.84	6989.34
38 	280   	4987.12	667.833	3633.81	6989.34
39 	280   	5128.48	539.284	3633.92	6989.34
40 	280   	4916.34	705.828	3628.2 	6878.37
41 	280   	5014.54	640.065	3631.98	5422.73
42 	280   	4756.89	770.062	3611.65	5390.94
43 	280   	5069.75	834.885	2072.58	18411.2
44 	280   	4799.22	963.489	2072.58	18411.2
45 	280   	5050.21	653.842	2072.58	5401.79
46 	280   	4841.89	912.67 	2045.85	12423.4
47 	280   	4859.24	831.012	2045.85	9606.01
48 	280   	4527.73	1007.57	2045.85	9606.01
49 	280   	4815.6 	901.507	2045.85	6519.68
50 	280   	4496.02	1022.06	2034.98	5420.1 
51 	280   	4821.76	1065.71	2034.98	18418.2
52 	280   	4418.69	1132.73	2034.98	12877  
53 	280   	5060.01	660.005	2034.98	5415.13
54 	280   	4873.48	782.507	2034.98	6668.79
55 	280   	4719.94	850.554	2034.98	7199.97
56 	280   	4845.64	854.536	1988.35	5437.98
57 	280   	4456.9 	975.313	1988.35	5429.96
58 	280   	4650.2 	1071.19	1988.35	5390.25
59 	280   	4790.84	900.772	1988.35	5382.23
60 	280   	4781.07	928.203	1988.35	5425.93
61 	280   	4412.58	1115.46	1988.35	9124.88
62 	280   	4962.45	831.255	1920.51	5404.23
63 	280   	4649.75	1001.68	1920.51	5430.94
64 	280   	4620.44	1123.18	1920.51	5618.25
65 	280   	4486.11	1071.66	1920.51	5376.72
66 	280   	4891.08	948.83 	1920.51	5404.91
67 	280   	4507.45	1062.57	1920.51	7527.86
68 	280   	4844.35	978.951	1920.51	5408.7 
69 	280   	4583.16	1073.63	1917.44	9836.09
70 	280   	4695.65	1050.11	1920.51	5422.92
71 	280   	4397.87	1119.74	1885.39	6440.39
72 	280   	4823.67	993.525	1885.39	5460.34
73 	280   	4257.92	1187.01	1881.02	5420.37
74 	280   	4839.93	985.059	1885.39	5425.65
75 	280   	4382.21	1188.51	1885.39	7918.63
76 	280   	4412.6 	1248.83	1876.96	8338.11
77 	280   	4763.76	894.069	1890.21	5397.63
78 	280   	4761.04	969.108	1890.21	5415.91
79 	280   	4462.69	1100.95	1889.94	5399.79
80 	280   	4753.76	1002.36	1889.94	5440.09
81 	280   	4278.23	1170.21	1886.21	5399.59
82 	280   	4949.79	794.287	1890.21	5421.93
83 	280   	4555.34	1063.63	1892.86	10670.4
84 	280   	4722.51	1130.78	1892.86	10670.4
85 	280   	4336.85	1286.36	1869.06	10670.4
86 	280   	4706.45	1092.33	1869.06	5409.93
87 	280   	4427.88	1133.71	1869.06	5402.95
88 	280   	4693.75	1139.45	1869.06	5413.64
89 	280   	4506.6 	1072.88	1869.06	5394.23
90 	280   	4532.12	1334.89	1869.06	17596.1
91 	280   	4641.15	1237.63	1868.73	19919.6
92 	280   	4546.44	1091.49	1869.06	5402.36
93 	280   	4399.22	1205.93	1869.06	5395.89
94 	280   	4835.42	861.352	1897.65	5417.68
95 	280   	4558.82	1036.47	1897.65	5396.28
96 	280   	4705.58	1048.4 	1897.65	5441.94
97 	280   	4322.66	1223.76	1897.65	5399.02
98 	280   	4944.3 	837.172	1897.65	5429.74
99 	280   	4536.25	1080.51	1886.54	5423.17
100	280   	4441   	1208.69	1886.54	5440.75
101	280   	4263.89	1214.73	1886.15	5419.59
102	280   	4653.52	1123.32	1886.54	5403.93
103	280   	4319.01	1230.48	1886.54	5396.94
104	280   	4841.9 	900.797	1889.9 	5391.69
105	280   	4538.81	1116.7 	1889.9 	5447.94
106	280   	4283.24	1256.07	1887.99	5405.27
107	280   	4662.67	1968.82	1889.9 	43562.9
108	280   	4605.6 	2590.59	1889.9 	43562.9
109	280   	4388.96	2111.18	1889.9 	43562.9
110	280   	4653.32	1093.62	1889.9 	5405.45
111	280   	4339.17	1219.39	1889.9 	10144.3
112	280   	4449.18	1189.99	1875.29	5391.42
113	280   	4538.45	1041.45	1875.29	5396.18
114	280   	4440.53	1192.79	1875.29	5395.03
115	280   	4689.21	939.037	1880.87	5406.15
116	280   	4527.73	1040.41	1880.87	5414.74
117	280   	4380.45	1242.52	1880.87	5433.04
118	280   	4419.76	1190.17	1880.87	5396.6 
119	280   	4652.12	1014.83	1897.45	5416.45
120	280   	4383.94	1135.87	1897.45	5407.8 
121	280   	4482.26	1216.97	1897.45	5416.71
122	280   	4445.77	1071.42	1886.09	5408.76
123	280   	4420.54	1205.63	1884.62	5411.6 
124	280   	4346.01	1143.43	1884.62	5432.25
125	280   	4518.51	1171.45	1884.62	5808.96
126	280   	4376.65	1044.13	1881.2 	5808.96
127	280   	4731.69	1055.44	1875.61	5808.96
128	280   	4409.38	1077.3 	1875.61	5808.96
129	280   	4527.63	1208.1 	1875.4 	5808.96
130	280   	4647.39	1121.38	1875.61	13302.4
131	280   	4514.46	1230.9 	1875.61	13302.4
132	280   	4457.6 	1253.13	1875.61	13302.4
133	280   	4596.63	1069.26	1875.61	5404.51
134	280   	4387.91	1208.04	1875.61	13413.3
135	280   	4715.79	1038.88	1875.61	5427.84
136	280   	4313.94	1189.43	1875.61	5437.35
137	280   	4548.76	1140.69	1875.61	5414.13
138	280   	4294.23	1235.26	1875.61	14262.8
139	280   	4581.97	1170.01	1875.61	10595.2
140	280   	4361.68	1152.19	1875.61	8818.1 
141	280   	4703.31	1039.63	1875.61	6314.74
142	280   	4180.26	1210.85	1875.61	6314.74
143	280   	4776.96	916.49 	1875.61	6314.74
144	280   	4453.21	1042.72	1875.61	6314.74
145	280   	4407.12	1185   	1875.61	6314.74
146	280   	4468.66	1398.67	1875.61	24638.4
147	280   	4334.04	1506.4 	1875.61	23153.9
148	280   	4656.18	923.035	1875.61	6314.74
149	280   	4610.11	1038.51	1875.61	5400.83
150	280   	4618.69	986.148	1875.61	9589.69
151	280   	4595.12	1093.4 	1875.61	8991.15
152	280   	4374.4 	1172.05	1875.61	7436.59
153	280   	4680.65	1020.67	1875.61	5429.77
154	280   	4293.96	1177.14	1875.61	8498.5 
155	280   	4668.61	1039.45	1875.61	5409.36
156	280   	4237.64	1184.84	1875.61	10564.6
157	280   	4720.13	1040.4 	1875.61	5433.91
158	280   	4286.79	1168.72	1884.27	7239.95
159	280   	4328.54	1230.22	1884.27	5389.46
160	280   	4779.91	906.231	1884.27	5426.38
161	280   	4584.07	1084.18	1884.27	5399.15
162	280   	4344.24	1114.87	1884.27	5397.25
163	280   	4519.67	1231.75	1884.27	5395.15
164	280   	4384.34	1155.27	1884.27	8144.18
165	280   	4543.17	1155.33	1884.27	5409.52
166	280   	4324.64	1219.68	1867.04	11964  
167	280   	4522.29	1235.94	1867.04	5418.14
168	280   	4233.74	1206.26	1867.04	5411.39
169	280   	4530.93	1207.74	1867.04	5420.89
170	280   	4343.65	1124.93	1884.27	5412.1 
171	280   	4389.9 	1293.84	1884.27	5418.9 
172	280   	4487.68	1034.19	1884.27	5399.6 
173	280   	4395.92	1182.62	1873.39	5398.68
174	280   	4252.03	1101.29	1884.27	5409.49
175	280   	4417.14	1271.42	1882.21	5440.37
176	280   	4268.87	1203.21	1862.12	9153.21
177	280   	4499.79	1190.87	1862.12	9741.06
178	280   	4046.48	1236.53	1860.21	5395.3 
179	280   	4820.96	901.866	1868.71	5404.36
180	280   	4413.8 	1044.85	1868.71	5427.73
181	280   	4433.96	1338.76	1868.71	18278.2
182	280   	4266.62	1486.2 	1868.71	18278.2
183	280   	4872.18	921.842	1874.98	5447.37
184	280   	4349.28	1136.03	1874.98	5394.98
185	280   	4474.39	1623.13	1874.98	30141.4
186	280   	4162.57	1178.97	1872.64	5389.54
187	280   	4673.03	1989.78	1873.8 	43697.3
188	280   	4194.29	2663.19	1873.8 	43697.3
189	280   	4455.38	1231.24	1873.8 	5421.65
190	280   	4335.14	1055.9 	1873.8 	5412.98
191	280   	4389.38	1267.83	1873.8 	5401.63
192	280   	4627.57	925.133	1873.8 	5408.77
193	280   	4514.81	1057.84	1873.8 	5441.14
194	280   	4232.87	1277.35	1873.8 	12421.3
195	280   	4426.39	1289.31	1873.8 	12421.3
196	280   	4064.17	1362.42	1872.66	9041.72
197	280   	4722.45	1013.79	1873.8 	11983.3
198	280   	4460.44	1259.76	1873.8 	14691.8
199	280   	4464.61	1304.07	1871.52	14691.8
200	280   	4559.92	1061.29	1871.52	8803.19
Time elapsed: 6338 seconds.


Batch Job Summary Report (version 21.01.1) for Job "bpopt" (48987221) on daint

Job information (1/2)
-----------------------------------------------------------------------------------------------------
             Submit            Eligible               Start                 End    Elapsed Time limit
------------------- ------------------- ------------------- ------------------- ---------- ----------
2023-09-18T14:31:19 2023-09-18T14:31:19 2023-09-18T14:32:08 2023-09-18T16:19:09   01:47:01   23:59:00
-----------------------------------------------------------------------------------------------------

Job information (2/2)
-------------------------------------------------------------
    Username      Account    Partition   NNodes        Energy
------------ ------------ ------------ -------- -------------
    bp000145       ich030       normal        8   8911.267 kJ

