
gen	nevals	avg    	std        	min    	max        
1  	570   	5460.22	44.8284    	5327.91	5533.41    
2  	570   	5460.09	45.0796    	5316.61	5535.34    
3  	570   	5437.83	62.4916    	5305.92	5536.05    
4  	570   	5402.97	67.2951    	5305.84	5536.24    
5  	570   	5367.4 	57.9582    	5293.26	5533.09    
6  	570   	5334.13	21.0181    	5293.26	5524.44    
7  	570   	5328.45	20.731     	5284.64	5433.3     
8  	570   	5321.89	22.4828    	5283.92	5428.16    
9  	570   	5321.73	22.3136    	5282.81	5420.71    
10 	570   	5317.51	24.1852    	5281.33	5432.76    
11 	570   	5322.53	22.4741    	5281.33	5432.27    
12 	570   	5309.33	21.7637    	5279.98	5397.7     
13 	570   	5328.26	22.86      	5280.16	5437.21    
14 	570   	5311.11	20.1745    	5280.16	5426.74    
15 	570   	5320.66	25.6342    	5279.55	5430.66    
16 	570   	5301.76	86.1892    	3647.21	5433.03    
17 	570   	5313.8 	121.722    	3647.21	5437.4     
18 	570   	5283.96	240.063    	2135.02	8629.92    
19 	570   	5264.71	424.324    	2135.02	8629.92    
20 	570   	5186.34	696.113    	558.387	12875.8    
21 	570   	5077.24	884.08     	418.5  	12725.2    
22 	570   	4894.3 	1208.81    	418.5  	21545.5    
23 	570   	4819.34	1385.31    	418.5  	24001.8    
24 	570   	4727.59	1659.44    	412.481	24001.8    
25 	570   	4612.56	1881.55    	348.683	20273.8    
26 	570   	4427.87	2015.55    	348.683	20273.8    
27 	570   	4358.51	1707.95    	348.683	17765.7    
28 	570   	4163.28	1734.98    	343.472	17765.7    
29 	570   	3918.78	1856.1     	244.371	9301.77    
30 	570   	4339.31	1468.52    	244.371	5411.82    
31 	570   	3689.24	1785.73    	244.371	10935.6    
32 	570   	4168.7 	1754.85    	244.371	10935.6    
33 	570   	3581.93	1823.31    	244.371	8358.43    
34 	570   	4014.33	1782.27    	184.112	5491.59    
35 	570   	3538.79	1836.01    	184.112	8347.65    
36 	570   	3940.52	2012.36    	184.112	30127.5    
37 	570   	3488.61	2179.02    	184.112	30127.5    
38 	570   	4372.4 	2069.53    	184.112	30127.5    
39 	570   	3716.6 	2798       	184.112	30127.5    
40 	570   	3923.69	1812.38    	171.428	13758.2    
41 	570   	3394.49	1908.22    	159.063	6419.56    
42 	570   	4186.98	1644.55    	171.428	6414.46    
43 	570   	3531.26	1859.5     	171.428	10332.6    
44 	570   	3758.86	1970.31    	171.428	19328.8    
45 	570   	3647.88	2016.1     	171.428	19328.8    
46 	570   	3767.3 	2275.75    	171.428	39646.5    
47 	570   	3806.77	1947.69    	171.428	23045.7    
48 	570   	3734.48	2929.05    	171.428	69871.3    
49 	570   	3546.38	2638.4     	165.788	45386.4    
50 	570   	4093.99	2914.77    	165.788	51162.7    
51 	570   	3734.08	5344.06    	165.788	142998     
52 	570   	4404.88	3389.35    	162.97 	39930.6    
53 	570   	4126.57	6170.81    	151.648	139328     
54 	570   	4375.76	4101.85    	151.648	39930.6    
55 	570   	4153.78	7130.27    	151.648	195358     
56 	570   	4153.31	4108.95    	151.648	45616.9    
57 	570   	3932.53	4352.46    	151.648	39930.6    
58 	570   	3941.95	3879.73    	151.648	39930.6    
59 	570   	3682.89	2769.17    	151.648	39930.6    
60 	570   	4054.92	2377.95    	151.648	51415.2    
61 	570   	3613.09	3620.02    	151.648	68524.9    
62 	570   	4321.78	3286.53    	151.648	68510.6    
63 	570   	3651.65	4092.93    	151.648	99500.9    
64 	570   	4224.58	3777.88    	151.648	88742.3    
65 	570   	3699.54	3136.52    	151.648	44749.8    
66 	570   	3963.65	2524.67    	143.763	48657      
67 	570   	4091.08	19247.8    	150.629	647946     
68 	570   	4037.83	11937.4    	150.629	400835     
69 	570   	3447.7 	2005.31    	151.648	20807.8    
70 	570   	3853.23	1776.18    	151.648	8188.85    
71 	570   	3698.49	3243       	142.613	71045.9    
72 	570   	3895.57	2149.82    	151.648	22570.3    
73 	570   	3953.7 	2499.26    	151.648	40956.3    
74 	570   	3785.65	2766.26    	151.648	46795.9    
75 	570   	4084.99	5466.44    	151.648	145959     
76 	570   	3874.98	6362.39    	151.648	145959     
77 	570   	4195.81	7773.42    	151.648	145959     
78 	570   	3883.28	4802.28    	151.648	145959     
79 	570   	3873.61	7640.83    	151.648	145959     
80 	570   	4407.11	6987.14    	151.648	145959     
81 	570   	4387.28	10785.8    	145.899	145959     
82 	570   	4435.61	3212.57    	151.648	41033.2    
83 	570   	3766.35	3275.3     	142.701	38622      
84 	570   	3980.29	2900.01    	151.648	38622      
85 	570   	3581.51	2644.5     	151.648	38622      
86 	570   	4064.9 	4058.79    	151.648	123526     
87 	570   	3373.92	2207.06    	151.648	27341.1    
88 	570   	4181.11	2386.83    	159.433	40628      
89 	570   	3633.52	2616.94    	159.433	30902.2    
90 	570   	4010.12	2434.65    	153.873	32077.2    
91 	570   	3786.82	3022.92    	143.984	33988.2    
92 	570   	3972.36	3626.2     	143.984	100993     
93 	570   	3825.57	5656.11    	143.984	100993     
94 	570   	4149.27	3084.53    	143.984	73313.7    
95 	570   	3646.67	2577.59    	143.984	48373.7    
96 	570   	3800.49	2482.44    	153.119	44865.8    
97 	570   	3707.78	2049.54    	153.873	28289.2    
98 	570   	13275.2	315208     	153.873	1.06474e+07
99 	570   	3950.61	5051.96    	151.206	140407     
100	570   	3645.19	3055.57    	153.873	50904.1    
101	570   	3946.91	2286.05    	153.873	30316      
102	570   	3727.06	2348.38    	153.873	29369.7    
103	570   	3841.12	2344.18    	153.873	32784.9    
104	570   	3697.3 	2717.97    	152.276	42747.4    
105	570   	3672.69	3947.96    	152.656	113254     
106	570   	4257.72	5337.19    	153.873	172140     
107	570   	3419.93	2087.33    	145.062	32368.5    
108	570   	3947.53	5720.22    	145.062	182787     
109	570   	3750.77	3156.41    	145.062	45445.6    
110	570   	3901.34	2676.95    	145.062	52429.6    
111	570   	3648.88	3982.26    	143.436	112485     
112	570   	3856.8 	3303.86    	144.053	92901.3    
113	570   	3767.12	3837.73    	141.538	115447     
114	570   	3899.92	3881.71    	173.019	115447     
115	570   	3707.79	3391.92    	153.007	91235.8    
116	570   	3574.79	2828.26    	153.007	62235.5    
117	570   	3817.08	5145.7     	145.773	143821     
118	570   	3871.03	2277.8     	153.007	37943.4    
119	570   	3873.25	12502.7    	143.644	416364     
120	570   	3707.5 	1976.64    	149.825	32396.2    
121	570   	3545.73	3425.4     	152.652	88758.7    
122	570   	24105.2	673672     	156.053	2.2759e+07 
123	570   	3616.65	2820.59    	156.053	75490.7    
124	570   	3663.43	2063.46    	155.437	28393.5    
125	570   	3921.97	3496.57    	155.437	79602.7    
126	570   	3755.92	3214.9     	148.715	80860.2    
127	570   	3413.31	2010.12    	148.715	16378.2    
128	570   	3858.33	2142.23    	151.417	34795.2    
129	570   	3738.11	3829.44    	151.417	64380.6    
130	570   	4180.72	2413.07    	157.067	34795.2    
131	570   	3736.89	3350.18    	154.972	61760.5    
132	570   	3978.6 	1764.96    	154.074	11523.4    
