
gen	nevals	avg    	std    	min    	max        
1  	280   	6816.41	2243.46	3888.21	21379      
2  	280   	6836.25	2310.33	3885.44	25682.3    
3  	280   	5012.5 	2415.81	3885.44	25682.3    
4  	280   	4114.64	862.909	3885.1 	8250       
5  	280   	4065.95	765.696	3883.27	8336.93    
6  	280   	4119.92	859.25 	3883.27	10380      
7  	280   	4003.87	604.098	3883.58	8250       
8  	280   	4084.36	800.501	3883.58	8250       
9  	280   	4540   	10803.7	3883.58	259188     
10 	280   	4086.06	862.99 	3877.96	8250       
11 	280   	4053.35	765.976	3877.94	8250       
12 	280   	4050.56	767.399	3877.94	8250       
13 	280   	4077.59	825.11 	3877.96	8250       
14 	280   	4072.12	825.579	3877.96	8250       
15 	280   	4023.99	659.71 	3875.91	8250       
16 	280   	4056.82	797.693	3874.36	11653.8    
17 	280   	4004.34	550.389	3871.88	8250       
18 	280   	4080.1 	844.299	3871.88	8250       
19 	280   	4018.12	655.453	3868.76	8250       
20 	280   	4014.46	1170.1 	3868.76	30043.3    
21 	280   	4034.14	735.172	3866.69	10915.9    
22 	280   	4068.28	780.724	3864.34	9126.79    
23 	280   	4032.91	1310.05	3864.34	32218.5    
24 	280   	4106.49	1395.08	3862.61	32218.5    
25 	280   	4018.92	1276.84	3844.5 	32218.5    
26 	280   	3946.41	400.237	3844.5 	8250       
27 	280   	4097.93	2951.16	3839.42	72627.2    
28 	280   	3908.79	214.147	3819.84	8250       
29 	280   	3955.86	736.21 	3819.84	19399.6    
30 	280   	5358.92	32405.2	3816.05	770998     
31 	280   	3906.32	236.95 	3810.14	8274.83    
32 	280   	3924.87	394.05 	3804.15	8577.06    
33 	280   	3923.75	565.141	3797.63	12614.8    
34 	280   	3868.58	212.886	3788.78	8250       
35 	280   	3985.97	2343.37	3787.8 	57378.2    
36 	280   	3902.78	807.678	3785.26	22172.4    
37 	280   	3877.01	612.359	2667.36	18007.9    
38 	280   	3956.47	1303.07	515.333	24024.6    
39 	280   	4156.66	2082.25	2666.97	24024.6    
40 	280   	4924.31	4039.93	520.896	29999.1    
41 	280   	5695.88	5064.89	520.896	30981.4    
42 	280   	8132.11	58075.6	509.628	1.37632e+06
43 	280   	5546.81	5002.91	509.628	30294.4    
44 	280   	5069.72	4435.57	509.628	29824.5    
45 	280   	4788.14	4029.04	481.608	29892.7    
46 	280   	4827.21	4683.5 	481.608	31875.9    
47 	280   	5033.52	5781.58	481.608	36833.9    
48 	280   	4241.57	5405.15	409.566	36833.9    
49 	280   	4968.32	5610.23	409.566	36833.9    
50 	280   	5094.91	5761.09	409.566	30736      
51 	280   	4995.03	5533.31	409.566	29708.7    
52 	280   	5144.45	5597.52	409.566	31767.7    
53 	280   	4750.86	5337.42	378.692	33683.3    
54 	280   	5044.07	5562.62	378.692	33683.3    
55 	280   	5786.28	6292.73	378.692	33664.5    
56 	280   	4770.61	5667.89	378.692	35721.5    
57 	280   	6438.92	7267.37	378.692	35721.5    
58 	280   	6073.94	7038.18	400.108	41729.5    
59 	280   	5941.91	7084.35	400.108	39727.4    
60 	280   	6905.77	7895.3 	341.695	41692.2    
61 	280   	6090.82	7408.57	333.439	44612.3    
62 	280   	5633   	6393.24	332.023	41692.2    
63 	280   	5408.5 	9152.41	293.302	168570     
64 	280   	5647.21	6691.63	305.208	36642.7    
65 	280   	5230.95	6136.07	305.208	38774      
66 	280   	5583.83	6887.55	279.498	41691.3    
67 	280   	4685.4 	5395.4 	279.498	38668      
68 	280   	4990.29	6437.02	279.498	38651.3    
69 	280   	4725.49	5551.47	279.498	45744.9    
70 	280   	5027.41	5538.88	279.498	45744.9    
71 	280   	5205.66	6234.62	266.704	45744.9    
72 	280   	5559   	6742.69	266.704	42609.9    
73 	280   	5246.13	7042.94	264.687	54768.9    
74 	280   	4811.74	5945.29	264.687	54768.9    
75 	280   	5601.68	6999.22	264.687	39604.7    
76 	280   	4505.42	5773.76	264.687	44654.5    
77 	280   	5560.54	7463.64	264.687	44654.5    
78 	280   	5038.32	6131.38	264.687	40686      
79 	280   	4839.63	5775.68	264.687	40686      
80 	280   	5644.01	7985.99	264.687	64838      
81 	280   	6280.56	8519.58	264.687	64838      
82 	280   	6818.46	9172.1 	264.687	64838      
83 	280   	6766.27	9477.52	156.007	66856.3    
84 	280   	7687.95	10237.9	156.007	64838      
85 	280   	7396.47	9524.4 	156.007	64838      
86 	280   	6848.9 	8137.56	156.007	48711.4    
87 	280   	6240.97	7553.11	156.007	44799.8    
88 	280   	6166.11	7926.47	156.007	53892.1    
89 	280   	6399.8 	7444.41	156.007	47767.5    
90 	280   	6191.25	7113.91	156.007	47767.5    
91 	280   	5725.82	6174.19	156.007	41781.7    
92 	280   	5598.91	7089.07	156.007	69876.6    
93 	280   	5227.52	7398.25	156.007	67964.6    
94 	280   	5054.72	7482.97	156.007	60896.3    
95 	280   	6507.19	8580.34	156.007	71052.1    
96 	280   	5279.69	7228.04	156.007	60786.1    
97 	280   	7389.57	8741.65	156.007	48672.1    
98 	280   	5905.19	7591.23	156.007	48672.1    
99 	280   	7512.22	8553.21	156.007	43642.9    
100	280   	6527.09	8603.19	156.007	48643.2    
101	280   	5495.01	7390.62	156.007	43595.4    
102	280   	4841.84	6915.42	156.007	50754.3    
103	280   	4702.98	7205.08	156.007	49650.4    
104	280   	5518.71	8459.5 	156.007	61807.1    
105	280   	4068.66	5735.75	141.105	41611.3    
106	280   	3735.18	5328.85	141.105	38615.7    
107	280   	4462.45	6749.02	141.105	46645.2    
108	280   	5550.26	7614.07	141.105	52723.3    
109	280   	6370.78	9439.57	141.105	71906.1    
110	280   	6123.3 	9079.6 	141.105	56756      
111	280   	6423.96	8687.37	141.105	56756      
112	280   	6801.76	8853.71	141.105	56756      
113	280   	6366.2 	9337.47	141.105	56756      
114	280   	5033.82	6909.68	141.105	44700.4    
115	280   	5896.18	7241.35	141.105	44674.2    
116	280   	5683.14	7925.17	141.105	72848.3    
117	280   	4669.42	6212.36	141.105	58817.8    
118	280   	5423.32	18264.4	141.105	405513     
119	280   	8046.72	30239.4	141.105	405513     
120	280   	6131.37	18476.8	141.105	405513     
121	280   	4968.11	7157.15	141.105	69874.5    
122	280   	4871   	8011.54	141.105	105363     
123	280   	5336.76	7392.83	141.105	59864.9    
124	280   	6093.67	8811.2 	141.105	63101.6    
125	280   	6790.11	10072.9	141.105	63101.6    
126	280   	6971.4 	11039.1	141.105	145717     
127	280   	6352.88	8755.35	141.105	73098.6    
128	280   	5744.03	8494.33	141.105	73098.6    
129	280   	4356.73	6190.94	141.105	45696.2    
130	280   	3562.31	5953.3 	141.105	56203.8    
131	280   	4401.54	6890.97	141.105	51708.9    
132	280   	5397.98	8090.13	141.105	61833.9    
133	280   	4141.58	6436.52	141.105	54745.9    
134	280   	4390.11	6798.17	141.105	56872.6    
135	280   	4354.38	6380.38	141.105	51770.2    
136	280   	5255.11	7829.27	141.105	75934.8    
137	280   	5360.28	8491.36	141.105	75934.8    
138	280   	6084.02	9922.46	141.105	75934.8    
139	280   	6205.45	9964.9 	141.105	75934.8    
140	280   	6362.52	9229.16	134.484	61818      
141	280   	5837.44	8423.66	134.484	61818      
142	280   	5322.12	7631.86	134.484	44741.1    
143	280   	7469   	73018.6	134.484	1.72707e+06
144	280   	4278.75	6256.52	134.484	52839.9    
145	280   	4256.53	5721.19	134.484	52839.9    
146	280   	4658.57	7099.15	134.484	70866.1    
147	280   	4283.32	6163.95	134.484	44701.5    
148	280   	4335.37	6697.12	134.484	70877.1    
149	280   	4564.02	7064.02	134.484	51687.4    
150	280   	3771.36	5391.03	134.484	42758.7    
151	280   	4406.82	6306.08	134.484	50701.5    
152	280   	4836.51	5789.08	134.484	39642.7    
153	280   	4687.74	5959.18	134.484	39642.7    
154	280   	4133.17	6249.01	134.484	49734.1    
155	280   	4445.37	6377.52	134.484	52992      
156	280   	4267.35	6364.4 	134.484	51823.6    
157	280   	4434.64	7570.17	134.484	60781.5    
158	280   	4550.08	10161.7	134.484	186017     
159	280   	3588.82	5238.69	134.484	49740.7    
160	280   	3712.75	5964.49	134.484	66849      
161	280   	3995.21	7079.51	134.484	63038.1    
162	280   	4107.75	7291.96	127.605	77033.2    
163	280   	4448.08	8095.43	123.363	130765     
164	280   	5132.56	7714.15	123.363	52769.6    
165	280   	4332.24	6781.61	123.363	52769.6    
166	280   	4618.66	7808.43	123.363	88148.6    
167	280   	4490.44	6287.99	123.363	44490.6    
168	280   	9950.37	124015 	123.363	2.93829e+06
169	280   	4497.13	6600.41	123.363	55733.5    
170	280   	4544.37	7646.58	123.363	80057.4    
171	280   	5113.95	13118.1	123.363	257144     
172	280   	5046.02	8341.28	123.363	103245     
173	280   	5534.37	7586.48	123.363	59990.1    
174	280   	5193.42	6329.29	123.363	51801.5    
175	280   	5185.57	6200.46	123.363	56833.8    
176	280   	4523.03	6325.38	123.363	53716.3    
177	280   	4849.92	8276   	123.363	105434     
178	280   	4957.41	7350.55	123.363	56933.7    
179	280   	5238.49	7323.46	123.363	48868.4    
180	280   	5133.2 	9732.18	123.363	162577     
181	280   	5301.24	9096.36	123.363	108742     
182	280   	4016.22	6249.83	123.363	60975.4    
183	280   	4304.18	6995.18	123.363	73975.2    
184	280   	4563.74	7076.31	123.363	55705.3    
185	280   	4870.49	7811.16	123.363	66992.9    
186	280   	4217.42	6172.95	123.363	62936.3    
187	280   	4510.15	6049.04	123.363	49810.3    
188	280   	4114.88	6496.77	123.363	92015.8    
189	280   	4436.3 	8414.65	123.363	110794     
190	280   	4541.97	8112.3 	123.363	100765     
191	280   	4621.39	7853.81	123.363	100765     
192	280   	4340.8 	6544.82	123.363	60889.2    
193	280   	3744.17	5593.84	123.363	57945.3    
194	280   	4379.67	6216.57	123.363	55915.7    
195	280   	4456.35	6732.88	123.363	47781.3    
196	280   	4381.09	6136.3 	116.139	49742      
197	280   	3619.64	5771.07	123.363	54966.2    
198	280   	4251.77	9871.84	123.363	184834     
199	280   	4313.13	9979.04	116.174	184834     
200	280   	4157.73	5567.12	116.174	52673.6    
201	280   	5430.49	7677.21	116.174	63870.8    
202	280   	5607.33	8337.74	116.174	65098.2    
203	280   	5042.61	7283.52	116.174	67851.2    
204	280   	4657.61	6223.82	116.174	63870.8    
205	280   	4707.76	6968.25	116.174	58793.6    
