
gen	nevals	avg    	std    	min    	max    
1  	140   	575.802	290.556	242.588	2349.63
2  	140   	594.858	388.58 	242.588	3625.7 
3  	140   	511.57 	366.353	227.397	3912.16
4  	140   	425.331	227.167	169.156	3022.09
5  	140   	551.118	3075.52	169.156	51785.8
6  	140   	322.815	130.884	113.206	1215.34
7  	140   	278.728	194.923	79.5234	3113.87
8  	140   	249.776	123.741	79.1988	1321.77
9  	140   	225.169	116.009	27.1478	1008.65
10 	140   	202.509	120.908	37.2904	854.141
11 	140   	194.924	140.545	33.1123	967.866
12 	140   	193.881	325.459	33.1123	4668.31
13 	140   	174.516	148.733	33.1123	1113.51
14 	140   	218.82 	948.512	24.1473	15715.3
15 	140   	159.352	191.825	24.1473	1969.07
16 	140   	143.59 	127.496	27.7452	913.185
17 	140   	195.254	258.355	27.7452	2787.39
18 	140   	163.935	171.205	26.8296	1285.18
19 	140   	134.622	133.213	27.7452	863.917
20 	140   	146.635	162.983	27.7452	1443.95
21 	140   	196.611	726.424	27.7452	11937.8
22 	140   	141.141	154.088	27.7452	1243.56
23 	140   	169.551	430.74 	25.4083	6527.34
24 	140   	151.549	162.985	25.4083	1686.71
25 	140   	215.726	1215.41	25.4083	20350.7
26 	140   	142.098	144.57 	27.7452	1448.16
27 	140   	164.297	331.952	27.7452	4075.5 
28 	140   	142.041	161.413	22.9238	1343.53
29 	140   	182.239	572.659	22.9238	9252.88
30 	140   	129.951	143.088	21.0032	1173.55
31 	140   	126.751	137.888	20.6199	1373.73
32 	140   	142.487	134.983	20.6199	696.939
33 	140   	121.498	112.772	20.6199	543.721
34 	140   	162.24 	352.321	20.6199	4791.26
35 	140   	133.526	178.572	19.1814	1526.95
36 	140   	133.193	160.736	19.1814	1560.06
37 	140   	126.952	124.451	20.8468	785.099
38 	140   	142.98 	146.099	20.8468	933.801
39 	140   	137.27 	154.156	20.8468	1345.45
40 	140   	139.964	144.592	19.7586	897.847
41 	140   	136.82 	134.445	19.7586	782.921
42 	140   	131.058	137.595	20.8468	895.81 
43 	140   	136.872	195.319	20.8468	2330.4 
44 	140   	140.07 	172.229	20.4659	1445.97
45 	140   	138.739	153.705	20.8468	1216.52
46 	140   	131.405	162.731	20.8468	1812.31
47 	140   	139.956	142.637	20.8468	733.718
48 	140   	128.797	171.869	19.3053	1762.5 
49 	140   	142.878	152.916	19.3053	896.121
50 	140   	145.619	174.458	19.3053	1409.89
51 	140   	151.491	237.882	19.3053	3168.01
52 	140   	128.327	239.115	19.3053	3590.6 
53 	140   	146.283	166.104	19.3053	1084.74
54 	140   	115.826	126.811	19.0563	683.16 
55 	140   	154.052	224.327	19.0563	2210.17
56 	140   	144.611	172.873	19.0563	1413.63
57 	140   	133.466	161.568	19.0563	1269.43
58 	140   	116.388	145.642	19.0563	1139.1 
59 	140   	148.597	231.656	19.0563	2210.06
60 	140   	131.811	157.223	19.0563	1128   
61 	140   	114.548	163.365	19.0563	1761.39
62 	140   	131.002	151.477	19.0563	1295.76
63 	140   	145.229	336.863	19.0563	4970.97
64 	140   	133.584	151.545	19.0563	992.496
65 	140   	151.116	260.835	19.0563	3471.73
66 	140   	115.368	123.913	19.0563	734.142
67 	140   	160.257	312.646	19.0563	3721.47
68 	140   	125.893	151.754	19.0563	1446.37
69 	140   	118.947	144.129	19.0563	991.379
70 	140   	129.48 	135.474	19.0563	783.3  
71 	140   	124.706	140.382	19.0563	1057.07
72 	140   	123.068	142.536	19.0563	1100.82
73 	140   	117.74 	130.317	14.7751	894.461
74 	140   	121.912	145.331	14.7751	1113.26
75 	140   	143.676	235.002	14.7751	3083.99
76 	140   	121.375	206.043	14.7751	2964.25
77 	140   	119.046	158.988	13.8431	1885.4 
78 	140   	134.851	156.86 	13.8431	1103.57
79 	140   	125.38 	141.38 	14.7751	1184.08
80 	140   	119.338	145.753	14.7751	1387.08
81 	140   	125.354	139.761	14.7751	994.551
82 	140   	125.89 	137.215	14.7751	770.472
83 	140   	121.479	146.047	14.7751	1113.17
84 	140   	135.767	185.489	14.7751	1544.53
85 	140   	176.004	1122.1 	14.7751	18642  
86 	140   	138.919	214.016	14.7751	2754.9 
87 	140   	125.773	147.689	14.7751	855.501
88 	140   	110.933	148.515	14.7751	1469.16
89 	140   	140.959	251.211	14.7751	2642.44
90 	140   	122.359	144.082	14.7751	961.536
91 	140   	117.187	152.974	14.7751	1173.96
92 	140   	128.144	170.907	15.6605	1244.95
93 	140   	132.331	310.393	15.6605	4856.04
94 	140   	143.028	204.597	15.6605	1664.49
95 	140   	162.27 	533.416	15.6605	8637.12
96 	140   	151.71 	528.716	15.6605	8637.12
97 	140   	132.372	184.186	15.6605	1729.52
98 	140   	141.711	298.574	15.6605	4094.96
99 	140   	116.859	166.313	15.6605	1493.29
100	140   	144.305	459.475	15.6605	7387.87
101	140   	113.187	143.409	15.6605	972.561
102	140   	110.318	146.695	15.6605	1510.85
103	140   	120.835	169.319	15.6605	1789.3 
104	140   	135.371	184.83 	15.6605	1807.49
105	140   	121.041	129.41 	15.6605	822.178
106	140   	118.627	148.697	15.6605	1348.31
