
gen	nevals	avg    	std        	min    	max        
1  	280   	7232.52	2215.56    	4305.97	9000       
2  	280   	7226.14	2215.55    	4305.97	9000       
3  	280   	5134.41	1652.33    	4278.73	9000       
4  	280   	4612.67	1179.79    	4227.79	22800.1    
5  	280   	4844.7 	2543.39    	4227.79	31007      
6  	280   	4643.94	1865.22    	4200.71	31007      
7  	280   	4458.01	1183.87    	4200.71	29107.8    
8  	280   	4590.63	3012.26    	4200.71	61604.6    
9  	280   	4336.65	384.691    	4161.23	9000       
10 	280   	4453.21	3113.78    	4161.23	76959.1    
11 	280   	4310.49	712.384    	4162.26	14455      
12 	280   	4268.29	692.94     	4156.7 	20316.9    
13 	280   	4225.07	109.718    	4151.15	5627.96    
14 	280   	4227.6 	135.258    	4149.49	6375.06    
15 	280   	4221.82	77.8628    	4146.07	5144.36    
16 	280   	4224.4 	229.612    	3143.37	9000       
17 	280   	4202.28	170.763    	3137.69	5779.81    
18 	280   	4184.48	286.139    	2171.6 	9000       
19 	280   	4224.3 	1173.63    	1033.45	21132.4    
20 	280   	4361.11	2201.03    	1033.45	21132.4    
21 	280   	4566.8 	2997.11    	1033.45	32305.2    
22 	280   	4630.48	3791.9     	1033.45	32305.2    
23 	280   	5215.7 	4768.37    	1033.45	32305.2    
24 	280   	6039.52	5688.92    	1033.45	32305.2    
25 	280   	5726.5 	5227.7     	1033.45	22393.2    
26 	280   	6352.69	5804.99    	1033.45	24173.3    
27 	280   	6158.57	5586.06    	1033.45	24173.3    
28 	280   	5891.53	6636.29    	998.329	100212     
29 	280   	6068.13	6691.25    	992.134	100212     
30 	280   	6041.65	5365.51    	833.403	26078.8    
31 	280   	5951.05	5330.94    	833.403	24858.2    
32 	280   	5960.17	5482.98    	833.403	27709.9    
33 	280   	6619.06	6306.85    	697.979	30061.7    
34 	280   	6709.68	6289.63    	670.314	30061.7    
35 	280   	5990.96	5912.21    	670.314	28600.7    
36 	280   	6366.61	6642.83    	654.499	33720.5    
37 	280   	6435.87	6350.93    	597.273	28600.7    
38 	280   	6947.12	7019.88    	654.499	32742      
39 	280   	6418.23	6793.88    	416.928	34649.1    
40 	280   	5674.24	6032.01    	416.928	28600.7    
41 	280   	6098.2 	6519.7     	416.928	32872      
42 	280   	6785.29	7163.36    	416.928	36324.5    
43 	280   	5878.97	6271.07    	416.928	38155.6    
44 	280   	6397.8 	6863.4     	416.928	36324.5    
45 	280   	6974.55	8069.73    	323.703	40395.7    
46 	280   	6896.43	8268.31    	323.703	40395.7    
47 	280   	8333.88	11665.9    	323.703	172393     
48 	280   	8432.63	11826      	323.703	172393     
49 	280   	8191.99	11476.8    	323.703	172393     
50 	280   	7019.68	8254.73    	323.703	40610.7    
51 	280   	6977.98	7703.67    	323.703	36324.5    
52 	280   	5799.25	6111.16    	323.703	36324.5    
53 	280   	6060.2 	6188.84    	323.703	36324.5    
54 	280   	5195.49	6147.51    	323.703	80115.3    
55 	280   	5746.68	6168.33    	323.703	37593      
56 	280   	5657.35	5547.06    	323.703	31348.4    
57 	280   	5868.19	6053.81    	323.703	34458.1    
58 	280   	5830.03	6173.57    	313.667	34553.3    
59 	280   	5384.39	5402.24    	313.667	37591.9    
60 	280   	5045.23	5012.09    	313.667	28496.6    
61 	280   	5308.48	6196.13    	295.221	57565.3    
62 	280   	5733.37	6596.42    	295.221	57565.3    
63 	280   	6160.1 	8297.9     	295.221	58826.6    
64 	280   	6673.95	9275.66    	313.667	58826.6    
65 	280   	7107.62	9660.28    	313.667	58826.6    
66 	280   	6948.78	8677.06    	313.667	57565.3    
67 	280   	6625.59	8717.61    	313.667	65741.6    
68 	280   	7199.52	8825.94    	313.667	52547.8    
69 	280   	6315.64	7844.36    	313.667	52547.8    
70 	280   	7186.87	8551.99    	313.667	52547.8    
71 	280   	5619.06	6508.37    	313.667	37605.2    
72 	280   	6502.33	7234       	272.914	38094.2    
73 	280   	6857.99	7549.15    	272.914	34649.2    
74 	280   	5626.17	6172.13    	272.914	40580.9    
75 	280   	5011.15	5067.83    	272.914	32281      
76 	280   	4804.08	5116.17    	272.914	32281      
77 	280   	5768.93	6805.37    	272.914	39587.2    
