
gen	nevals	avg    	std    	min    	max        
1  	280   	7232.53	2215.55	4306.04	9000       
2  	280   	7226.15	2215.54	4306.04	9000       
3  	280   	5135.09	1653.72	4281.76	9000       
4  	280   	4626.5 	1156.17	4257.82	19650.4    
5  	280   	4717.51	1685.55	4236.06	33668.3    
6  	280   	4821.29	1498.9 	4200.72	19650.4    
7  	280   	4747.34	2310.94	4200.72	40702.7    
8  	280   	4353.94	1254.62	4196.55	33888.1    
9  	280   	4437.42	1819.99	4183.55	33888.1    
10 	280   	4377.31	1787.24	4162.02	33888.1    
11 	280   	4297.82	475.39 	4162.02	11075.3    
12 	280   	4355.01	1502.43	4159.75	35670.4    
13 	280   	4305.06	783.969	4155.68	20170.4    
14 	280   	4292.88	561.839	4146.74	10736.8    
15 	280   	4224.75	110.113	4146.74	5393.14    
16 	280   	4228.5 	238.883	4140.07	9000       
17 	280   	4204.88	79.4998	4140.07	4981.26    
18 	280   	4210.23	218.382	4128.19	9000       
19 	280   	4197.23	106.283	3130.27	5262.46    
20 	280   	4186.13	145.115	3130.27	4856.61    
21 	280   	4216.76	747.612	3130.27	21423.3    
22 	280   	4181.66	802.637	2099.47	21423.3    
23 	280   	4193.43	1235.44	1147.98	21423.3    
24 	280   	4534.35	2843.77	1147.98	24149.1    
25 	280   	5117.58	4023.89	1147.98	24149.1    
26 	280   	6034.33	5312.95	1062.17	24149.1    
27 	280   	5870.45	5240.76	998.35 	34575.3    
28 	280   	5882.31	4959.44	998.35 	34575.3    
29 	280   	5276.53	4371.99	998.35 	22638.5    
30 	280   	5536.46	4998.97	994.821	22302      
31 	280   	5829.73	5117.63	994.821	24725.9    
32 	280   	5454   	4812.79	832.649	24433.1    
33 	280   	5553.79	4847.76	737.317	23835.5    
34 	280   	5528.73	4707.11	823.445	24170.3    
35 	280   	6202.02	5529.36	783.372	24911.7    
36 	280   	5364.67	4636.86	823.445	23835.5    
37 	280   	6146.75	5579.65	757.455	28845.7    
38 	280   	5433.5 	4940.07	757.455	23835.5    
39 	280   	6159.13	5351.87	756.03 	23764.7    
40 	280   	5374.41	4597.37	757.455	21887.8    
41 	280   	5412.75	4698.54	757.455	25855.8    
42 	280   	4659.85	4139.55	757.455	25855.8    
43 	280   	5134.42	4598.03	757.455	25855.8    
44 	280   	5212.9 	4157.92	757.455	23890.6    
45 	280   	4784.36	4078.32	757.455	21962.3    
46 	280   	5057.56	4145.78	757.455	22902.9    
47 	280   	4824.48	4389.4 	700.112	26907.7    
48 	280   	4922.36	4310.34	700.112	24915.8    
49 	280   	4910.67	4431.17	699.258	26160.1    
50 	280   	4947.11	4582.6 	699.258	22766.1    
51 	280   	4820.6 	4398.55	595.988	26623.3    
52 	280   	5028.99	5380.07	595.988	70590.6    
53 	280   	5236.63	5231.21	595.988	46806.4    
54 	280   	4743.65	4416.95	595.988	23728.4    
55 	280   	4721.8 	4017.76	595.988	24238.4    
56 	280   	4370.19	3812.26	595.988	27669.4    
57 	280   	5295.86	5430.94	595.988	34687.8    
58 	280   	4904.84	4529.39	595.988	26667.5    
59 	280   	5465.69	5168.36	595.988	26667.5    
60 	280   	5475.91	5490.36	595.988	31292.1    
61 	280   	4823.87	4338.59	595.988	24526.9    
62 	280   	5144.71	4814.51	595.988	24879      
63 	280   	5403.34	4750.41	595.988	24729.3    
64 	280   	4688.33	4341.28	595.988	24627.2    
65 	280   	4888.49	4522.62	595.988	24627.2    
66 	280   	4527.5 	4140.2 	487.919	26946.7    
67 	280   	4912.24	4574.71	487.919	36845.8    
68 	280   	5069.04	5069.36	487.919	36845.8    
69 	280   	4882.09	4559.02	487.919	28643      
70 	280   	4645.98	4352.42	458.379	34886.2    
71 	280   	4655.63	4504.91	487.919	36730.9    
72 	280   	4876.54	4749.37	487.919	34207.8    
73 	280   	4369.27	4380.05	487.919	34207.8    
74 	280   	4386.14	4174.29	485.538	28545.7    
75 	280   	4280.68	3913.34	485.538	28545.7    
76 	280   	4484.85	4322.24	462.053	35867.6    
77 	280   	4548.9 	4134.22	419.533	27286.9    
78 	280   	4245.53	3893.04	419.533	25589.6    
79 	280   	4587.09	4580.52	432.545	34785.6    
80 	280   	4099.11	3408.91	432.545	22481.7    
81 	280   	4773.54	4072.24	462.053	25431.2    
82 	280   	4764.8 	4314.97	462.053	25927.6    
83 	280   	5347.61	6279.35	368.194	101073     
84 	280   	4956.61	4538.84	368.194	26636      
85 	280   	5415.98	4943.56	368.194	29443.9    
86 	280   	5502.01	4875.15	250.132	32562.9    
87 	280   	5809.29	5179.94	250.132	31435.7    
88 	280   	4995.14	4543.63	250.132	29443.9    
89 	280   	5525.49	4977.95	250.132	28514.2    
90 	280   	5491.85	4681.2 	250.132	27858.5    
91 	280   	5317.62	4518.15	250.132	23586.9    
92 	280   	5164.97	4584.42	250.132	23999.7    
93 	280   	5163.82	4564.02	250.132	31587.2    
94 	280   	5020.7 	4472.55	250.132	27656.1    
95 	280   	5114.92	4489.47	250.132	28436.8    
96 	280   	5461.02	5167.21	250.132	30620.7    
97 	280   	5658.57	5242.78	250.132	26596.4    
98 	280   	5380.79	5327.35	250.132	32343.9    
99 	280   	5633.93	5561.98	250.132	34517      
100	280   	5368.68	5472.8 	250.132	32343.9    
