
gen	nevals	avg    	std    	min    	max        
1  	280   	7232.53	2215.55	4306.04	9000       
2  	280   	7226.15	2215.54	4306.04	9000       
3  	280   	5135.09	1653.72	4281.76	9000       
4  	280   	4608.83	983.592	4257.83	14461.6    
5  	280   	4610.78	1472.63	4234.65	35744      
6  	280   	4445.21	1403.08	4203.15	35744      
7  	280   	4527.88	1981.73	4189.17	35744      
8  	280   	4509.81	1617.33	4189.17	35744      
9  	280   	4846.12	2984.29	4185.84	46808.4    
10 	280   	4401.29	1425.72	4164.25	31448      
11 	280   	4387.21	1447.79	4170.17	31448      
12 	280   	4329.27	706.689	4159.93	16226.2    
13 	280   	4249.03	321.311	4148.57	9186.23    
14 	280   	4344.24	1305.58	4148.57	32404.8    
15 	280   	4249.9 	380.811	4150.73	9186.23    
16 	280   	4217.87	107.431	4145.41	5967.75    
17 	280   	4198.21	95.9611	3149.02	4792.74    
18 	280   	4211.48	225.663	3149.02	9000       
19 	280   	4215.41	408.178	1970.22	11190      
20 	280   	4276.64	960.141	1057.12	12800.9    
21 	280   	4349.18	1500.89	1057.12	18979      
22 	280   	5295.56	15460.2	1057.12	366758     
23 	280   	5329.04	3269.61	1057.12	19394.6    
24 	280   	5836.55	4048.51	1041.99	23499.4    
25 	280   	5611.92	3779.04	1015.79	21546.8    
26 	280   	5247.73	3704.4 	1041.99	21546.8    
27 	280   	4953.32	3810.89	1041.99	30307.3    
28 	280   	5034.78	3391.38	963.751	17838.2    
29 	280   	4789.89	3209.79	963.751	21888.9    
30 	280   	7568.89	60947.9	963.751	1.4459e+06 
31 	280   	4634.27	3291.16	963.751	16280.1    
32 	280   	4872.13	4023.6 	963.751	41059.4    
33 	280   	5227.17	4170.79	963.751	21126      
34 	280   	5297.95	4115.96	962.595	22890.8    
35 	280   	5544.94	4173.8 	855.305	22890.8    
36 	280   	5445.52	4299.65	855.305	22890.8    
37 	280   	5133.51	3966.14	855.305	24015.9    
38 	280   	5235.4 	4022.31	855.305	24015.9    
39 	280   	5433.9 	4293.85	646.359	24015.9    
40 	280   	5259.13	4086.77	646.359	24015.9    
41 	280   	5020.74	4393.18	646.359	28684.8    
42 	280   	5108.22	4338.07	646.359	28684.8    
43 	280   	5209.32	4220.49	498.308	24592.4    
44 	280   	4981.76	4089.33	498.308	26890      
45 	280   	4885.47	4415.42	498.308	24350.4    
46 	280   	4785.12	4113.5 	498.308	25662      
47 	280   	5214.13	5061.45	498.308	32873      
48 	280   	5083.65	4808.42	498.308	33912.6    
49 	280   	5561.88	5189.46	498.308	35983.9    
50 	280   	5497.45	5568.48	498.308	42496.8    
51 	280   	6085.11	6159.6 	498.308	42496.8    
52 	280   	6040.23	6485.69	450.374	42496.8    
53 	280   	6163.34	7115.13	450.374	42496.8    
54 	280   	5170.1 	6000.75	498.308	42496.8    
55 	280   	5857.28	6458.98	312.516	45619.4    
56 	280   	6707.33	7887.92	312.516	42496.8    
57 	280   	7815.03	9315.4 	312.516	44648.7    
58 	280   	6888.73	7796.29	312.516	44567.6    
59 	280   	6524.54	7514.49	312.516	44567.6    
60 	280   	8524.01	10123.6	312.516	53425.8    
61 	280   	9051.7 	10375.3	312.516	53425.8    
62 	280   	8744.93	9880.52	312.516	53425.8    
63 	280   	8650.32	10460.3	312.516	57451.7    
64 	280   	7360.49	8727.5 	312.516	57451.7    
65 	280   	7808.39	9588.58	312.516	57451.7    
66 	280   	8386.78	10870.1	312.516	58434.3    
67 	280   	7331.29	9153.65	312.516	58434.3    
68 	280   	8944.29	11799.6	312.516	58434.3    
69 	280   	7752.98	9485.41	312.516	58434.3    
70 	280   	6716.13	7860.2 	312.516	58434.3    
71 	280   	7322.74	9363.22	312.516	98697.4    
72 	280   	7076.61	11514.1	312.516	170473     
73 	280   	7825.44	13817.4	312.516	170473     
74 	280   	7020.76	11585.2	312.516	170473     
75 	280   	8014.32	15747.7	312.516	170473     
76 	280   	7154.13	12732.3	171.484	170473     
77 	280   	7624.22	13404.3	171.484	170473     
78 	280   	7275.31	11546.8	171.484	170473     
79 	280   	7249.85	11584  	171.484	170473     
80 	280   	5967.83	6855.22	171.484	52394.4    
81 	280   	6124.47	7849.59	171.484	52394.4    
82 	280   	6476.02	8787.99	171.484	63171      
83 	280   	7753.66	10863.9	171.484	52394.4    
84 	280   	6262.18	7020.51	171.484	60670.8    
85 	280   	6765.44	8885.87	188.446	60670.8    
86 	280   	6302.22	8311.03	188.446	60670.8    
87 	280   	6483.83	8209.64	136.37 	60670.8    
88 	280   	6113.71	7170.75	136.37 	52394.4    
89 	280   	5659.51	6012.73	136.37 	52394.4    
90 	280   	5124   	5587.83	136.37 	52394.4    
91 	280   	5312.21	6669.13	136.37 	52394.4    
92 	280   	5206.95	6595.17	136.37 	52394.4    
93 	280   	5105.62	6156.4 	136.37 	52394.4    
94 	280   	5227.67	6113.51	136.37 	52394.4    
95 	280   	5838.07	6892.17	136.37 	52394.4    
96 	280   	4681.06	4982.72	136.37 	52394.4    
97 	280   	5758.23	8148.51	136.37 	81819      
98 	280   	5432.71	7893.49	136.37 	81819      
99 	280   	5023.25	5713.17	136.37 	39624.6    
100	280   	5188.39	6053.13	136.37 	38148      
101	280   	4459.13	4699.88	136.37 	44467      
