
gen	nevals	avg    	std    	min    	max    
1  	280   	7232.63	2215.43	4306.17	9000   
2  	280   	7226.23	2215.45	4306.17	9000   
3  	280   	5119.95	1635.78	4279.05	9000   
4  	280   	4579.14	929.064	4239.82	15063.5
5  	280   	4676.96	1001.1 	4233.66	15917.7
6  	280   	4690.75	1902.99	4228.93	43427.3
7  	280   	5694.77	10671.3	4216.96	169817 
8  	280   	5129.2 	8758.08	4215.08	207307 
9  	280   	6318.28	15792.9	4196.18	207307 
10 	280   	4767.85	2393.56	4188.59	33188.7
11 	280   	4943.94	3476.11	4180.9 	56597.4
12 	280   	4333.8 	452.997	4168.98	9632.06
13 	280   	4330.14	491.582	4168.98	9259.62
14 	280   	4271.64	302.95 	4146.05	8492.5 
15 	280   	4446.57	1501.59	4146.05	28522.3
16 	280   	4228.42	141.676	4138.74	6510.95
17 	280   	4216.11	96.4571	4138.74	5280.63
18 	280   	4276.58	944.123	4133.09	23430.4
19 	280   	4205.43	184.835	3124.71	7638.57
20 	280   	4185.14	189.469	3123.43	5810.26
21 	280   	4191.2 	616.063	3104.19	13175.9
22 	280   	4222.6 	1102.76	774.064	13175.9
23 	280   	4341.12	1888.35	774.064	24551  
24 	280   	4841.75	3636.85	774.064	47509.5
25 	280   	5597.84	4441.19	774.064	47509.5
26 	280   	5338.65	4728.21	772.778	47509.5
27 	280   	5930.09	4872   	772.778	47509.5
28 	280   	5673.29	4297.07	772.778	25827.9
29 	280   	6121.16	4556.87	772.778	25827.9
30 	280   	5705.78	4871.31	772.778	33018.5
31 	280   	6285.78	4975.28	772.778	26988.3
32 	280   	5608.63	5040.98	772.778	26988.3
33 	280   	5204.32	4621.87	771.106	26988.3
34 	280   	5059.06	5044.51	686.085	26988.3
35 	280   	5360.93	5366.38	686.085	26988.3
36 	280   	5636.68	5328.22	686.085	29155.4
37 	280   	5580.86	5542.63	606.851	26963.3
38 	280   	5992.5 	5214.07	597.978	28722.4
39 	280   	5226.45	4680.23	597.978	27854.1
40 	280   	5220.5 	4822.71	529.899	27837.8
41 	280   	5058.9 	5295.86	529.899	28853.9
42 	280   	5118.03	4386.04	529.899	25977.1
43 	280   	5948.81	5741.87	529.899	29896.6
44 	280   	6778.42	6715.08	529.899	38890.6
45 	280   	7196.8 	7239.07	529.899	34754.5
46 	280   	6009.22	6511.11	529.899	34754.5
47 	280   	5526.5 	6276.98	529.899	35657.3
48 	280   	6210.95	6454.27	529.899	35657.3
49 	280   	7409.1 	7347.57	529.899	35657.3
50 	280   	6477.48	6550.33	529.899	27863.5
51 	280   	7956.66	7378.83	529.899	32593.4
52 	280   	7578.52	7489.19	529.899	34780  
53 	280   	7286.14	7135.35	529.899	36947.4
54 	280   	6842.38	6790.48	529.899	35924.5
55 	280   	7498.09	7111.74	529.899	33934.9
56 	280   	6265.04	5949.53	529.899	32807.8
57 	280   	5882.65	5835.77	523.354	31758.3
58 	280   	6559.1 	6415.83	491.577	31675.7
59 	280   	6385.02	6341.63	491.577	33677.1
60 	280   	5575.4 	6157.96	491.577	39974.9
61 	280   	5167.87	6037.27	491.577	41047.1
62 	280   	6289.78	6572.32	491.577	40174.1
63 	280   	6951.42	6821.03	491.577	33686.5
64 	280   	7097.65	6719.72	491.577	36024.6
65 	280   	6528.81	6422.13	491.577	36782.8
66 	280   	5931.26	6429.5 	491.577	35788.5
67 	280   	5297.34	6059.28	462.326	34904.6
68 	280   	6248.29	7283.81	462.326	36956.3
69 	280   	6001.27	6290.63	484.535	32568.7
70 	280   	6754.32	6999.66	484.535	44931  
71 	280   	6543.76	6938.65	489.063	36604.4
72 	280   	6393.26	6782.4 	489.063	40866.4
73 	280   	6270.22	6731.5 	489.063	40909.4
74 	280   	6864.24	7152.18	474.594	39600.4
75 	280   	6470.1 	6502.48	474.594	32654.4
76 	280   	6411.23	6382.9 	474.594	29753.3
77 	280   	6392.41	6524.04	485.902	33750.1
78 	280   	5671.38	5968.07	489.063	32588.9
79 	280   	6304.87	6399.63	489.063	35561.3
80 	280   	6816.52	6531.02	489.063	33593.2
81 	280   	5762.79	5779.14	489.063	35813.4
82 	280   	5505.44	5704.26	489.063	39732.3
83 	280   	5493.63	5472.55	489.063	39473.2
84 	280   	6130.11	6147.37	446.683	39473.2
85 	280   	5995.18	7033.01	456.204	39473.2
86 	280   	5742.3 	5801.85	456.204	37790.5
87 	280   	5717.75	6302.84	456.204	38741  
88 	280   	5023.48	5307.28	456.204	32745.4
89 	280   	5366.36	5620.61	456.204	34625.4
90 	280   	5590.55	5766.14	368.947	39800.9
91 	280   	6227.57	6391.71	368.947	38640.2
92 	280   	6127   	6344.56	368.947	35790.4
93 	280   	6122   	6318.9 	368.947	40741.9
94 	280   	6257.23	6711.83	368.947	38873.6
95 	280   	6011.2 	6362.47	467.741	40713.1
96 	280   	6361.83	6305.67	467.741	31484.1
97 	280   	5877.19	6200.11	467.741	34735.6
98 	280   	6712.87	7429.64	467.741	37726.8
99 	280   	7306.65	7623.51	467.741	35740.6
100	280   	6116.12	6638.85	467.741	36667.9
101	280   	7028.22	6923.33	475.851	47525  
102	280   	7119.32	7590.75	466.527	47525  
103	280   	6887.99	7717.05	466.527	47525  
104	280   	7957.44	9730.94	420.7  	59681.8
105	280   	6826.05	7423.8 	420.7  	47525  
106	280   	6149.08	6536.11	420.7  	37629  
107	280   	6415.25	7271.02	420.7  	49620.8
108	280   	6987.4 	7493.96	370.259	37458.9
109	280   	7028.01	8201.93	420.7  	44801.6
110	280   	7434.23	8496.57	391.39 	37458.9
111	280   	6104.35	6926.59	391.39 	37458.9
112	280   	7457.53	8449.15	391.39 	49807.2
113	280   	6912.91	7544.27	306.496	41568.7
114	280   	5783.57	6542.4 	300.02 	31636.3
115	280   	6456.66	6842.65	293.866	35384.4
116	280   	6166.49	6482.06	293.866	38947.1
117	280   	6526.34	7392.15	276.634	38667  
118	280   	6246.31	7491.76	276.634	42338.7
119	280   	6891.11	8117.96	293.866	45609  
120	280   	6993.42	8442.89	293.866	44623.8
121	280   	6297.19	7525.14	236.387	42338.7
122	280   	6725.74	18294.6	236.387	407257 
123	280   	5983.4 	7363.67	236.387	42597.8
