
gen	nevals	avg    	std    	min    	max    
1  	280   	7232.74	2215.3 	4306.25	9000   
2  	280   	7217.99	2217.42	4306.25	9000   
3  	280   	5138.3 	1642.94	4295.9 	9000   
4  	280   	4653.96	940.645	4243.62	13950  
5  	280   	4534.73	865.809	4237.33	14453.4
6  	280   	4526.04	780.407	4219.85	14453.4
7  	280   	4477.66	1531   	4214.78	37672.8
8  	280   	4612.47	2555.62	4199.42	37672.8
9  	280   	4437.5 	3024.19	4197.07	75407.6
10 	280   	4287.13	316.248	4174.48	9602.64
11 	280   	4345.38	914.936	4168.16	22793  
12 	280   	4344.5 	969.659	4158.85	22793  
13 	280   	4265.45	590.82 	4155.85	17847.4
14 	280   	4227.9 	127.592	4155.85	6749.04
15 	280   	4260.15	611.036	4155.69	14941.8
16 	280   	4227.85	143.473	4151.88	6233.4 
17 	280   	4211.77	83.8371	4137.14	5284.53
18 	280   	4223.68	213.302	4147.3 	9000   
19 	280   	4320.51	2442.21	4146.2 	61905.4
20 	280   	4203.8 	70.2735	4140.89	4670.93
21 	280   	4207.61	87.5083	3174.51	4678.93
22 	280   	4205.77	92.1475	3174.51	4597.71
23 	280   	4216.56	247.866	3174.51	9000   
24 	280   	4223.51	357.921	3174.51	10060.4
25 	280   	4190.61	378.574	3174.51	10060.4
26 	280   	4243.89	942.515	3130.15	14710.6
27 	280   	4366.86	1529.43	2024.98	14710.6
28 	280   	4811.48	2476.35	1267.38	15479.7
29 	280   	5366.05	3151.62	1071.1 	20163.4
30 	280   	6502.24	6056.15	1039.38	116951 
31 	280   	5250.03	3335.55	1039.38	21924  
32 	280   	6011.04	11636.2	1039.38	266326 
33 	280   	5153.3 	3666.15	1039.38	21924  
34 	280   	5066.15	3869.33	819.165	40369.1
35 	280   	5481.64	4503.86	805.614	25940.9
36 	280   	5653   	4972.37	748.358	26888.5
37 	280   	6062.3 	5717.29	748.358	26888.5
38 	280   	5895.47	5324.23	748.358	24990.6
39 	280   	6151.15	4881.34	748.358	25816.9
40 	280   	5731.9 	4493.86	581.371	36048.1
41 	280   	5140.44	4594.77	581.371	44044.2
42 	280   	4643.64	4316.06	748.358	25884.6
43 	280   	4962.42	4647.52	575.664	56001.4
44 	280   	4896.72	4253.53	575.664	24924.2
45 	280   	4687.2 	3930.15	575.664	30378.1
46 	280   	5164.8 	4656.8 	575.664	35942.3
47 	280   	5169.1 	4554.85	575.664	24924.2
48 	280   	4620.38	4208.06	575.664	25946.6
49 	280   	4402.59	3945.02	575.664	29688  
50 	280   	4783.7 	4205.69	575.664	24924.2
51 	280   	5254.4 	4625.31	575.664	28908.4
52 	280   	5483.79	4809.41	575.664	24924.2
53 	280   	4978.96	4467.65	575.664	28754.7
54 	280   	5196.91	4473.22	575.664	26953.7
55 	280   	5433.4 	4872.53	575.664	21791.2
56 	280   	5755.77	5586.86	575.664	27904.2
57 	280   	5865.68	5650.39	575.664	22728.7
58 	280   	5037.47	4431.34	575.664	24853.3
59 	280   	4987.4 	4445.35	575.664	28767.5
60 	280   	5195.66	5058.33	575.664	27753.2
61 	280   	5775.32	5484.84	552.35 	36976.6
62 	280   	5360.56	4571.64	378.98 	27541  
63 	280   	5317.51	4766.61	378.98 	32008.4
64 	280   	4645.66	4550.13	378.98 	35726  
65 	280   	4808.82	4420.56	378.98 	32008.4
66 	280   	4993.75	4276.4 	378.98 	25819.3
67 	280   	5090.82	4227.78	378.98 	35109.4
68 	280   	4629.91	3754.27	360.714	26563.2
69 	280   	4628.27	3794.22	360.714	19828.6
70 	280   	4712.32	3937.08	360.714	26807.7
71 	280   	4726.3 	4259.18	360.714	26807.7
72 	280   	5282.42	4458.62	360.714	25665.1
73 	280   	4859.35	4134.61	360.714	22788  
74 	280   	4473.17	3698.62	360.714	23493  
75 	280   	4212.21	3592.19	360.714	21313.6
76 	280   	4830.22	4200.92	358.543	26585.4
77 	280   	4818.06	4731.23	358.543	31575.8
78 	280   	4783.16	4636.61	358.543	34474.6
79 	280   	4412.65	3972.11	333.45 	34474.6
80 	280   	4714.49	3917.53	333.45 	27569  
81 	280   	4989.32	4806.13	333.45 	28238.4
82 	280   	4695.2 	4109.17	333.45 	26301.6
83 	280   	4916.93	5097.67	333.45 	37536.5
84 	280   	4763.22	4442.54	333.45 	30546.8
85 	280   	4636.93	4702.09	333.45 	29550.4
86 	280   	4485.4 	4086.54	333.45 	29674.2
87 	280   	4640.95	4426.82	206.042	26301.6
88 	280   	4906.13	4936.72	333.45 	26301.6
89 	280   	4445.64	4323.91	333.45 	26301.6
90 	280   	4515.68	4168.79	333.45 	23359.7
91 	280   	4680.74	4527.72	305.967	31469.3
92 	280   	5016.64	4857.13	333.45 	41514  
93 	280   	4487.45	4220.17	333.45 	29816.8
94 	280   	4160.85	3680.98	333.45 	24505.8
95 	280   	4424.82	4241   	333.45 	33637.6
96 	280   	4797.34	4979.34	333.45 	49405.5
97 	280   	4780.71	4507.52	333.45 	24526.7
98 	280   	4438.46	4143.98	333.45 	24699.9
99 	280   	4341.34	4229.19	333.45 	34535.9
100	280   	4019.61	4029.54	333.45 	34428.3
101	280   	4069.34	3727.63	333.45 	22294.4
102	280   	4186.62	3698.55	297.218	22662.9
103	280   	4434.58	4405.56	297.218	39848.6
104	280   	4395.51	4551.01	245.247	39848.6
105	280   	4189.15	3772.87	245.247	32663.2
106	280   	4475.88	4518.16	287.899	37566.4
107	280   	3999.34	4186.74	264.044	37656.3
108	280   	4301.91	3965.23	287.899	37656.3
109	280   	4199.2 	4505.18	272.468	37656.3
110	280   	4418.95	4409.79	272.468	27453.6
111	280   	4365.14	4356.99	272.468	29650.6
112	280   	5024.62	5724.69	272.468	52643.6
113	280   	4285.71	4361.48	272.468	23505  
114	280   	4334.74	4460.91	157.386	28696.9
115	280   	4110.65	4426.81	157.386	28696.9
116	280   	4681.58	5667.05	157.386	45465.9
117	280   	4118.02	4961.81	157.386	51432.4
118	280   	5084.86	6496.13	157.386	51432.4
119	280   	4562.5 	6117.9 	157.386	51432.4
120	280   	4613.5 	5635.37	157.386	51432.4
121	280   	4718.56	5986.64	157.386	51432.4
122	280   	4582.5 	6408.07	115.98 	51432.4
123	280   	4409.06	5566.02	115.98 	51432.4
124	280   	4894.06	13670.6	115.98 	302299 
125	280   	4521   	5866.03	115.98 	51432.4
126	280   	4519.18	5352.74	115.98 	36298  
127	280   	4060.53	4542.92	115.98 	36350.6
128	280   	4478.56	4990.57	115.98 	36298  
129	280   	4291.85	5038.2 	115.98 	36298  
130	280   	4431.63	5040.8 	115.98 	36298  
131	280   	4457.41	5754.62	115.98 	36298  
132	280   	4782.93	6122.78	115.98 	40381.8
133	280   	3914.27	4354.63	115.98 	36298  
134	280   	4028.33	3849.9 	115.98 	36298  
135	280   	3812.73	3564.36	115.98 	34837.9
