
gen	nevals	avg    	std    	min    	max        
1  	280   	7232.52	2215.56	4305.97	9000       
2  	280   	7226.14	2215.55	4305.97	9000       
3  	280   	5132.61	1652.5 	4278.73	9000       
4  	280   	4544.74	799.154	4257.89	9000       
5  	280   	4898.6 	8618.19	4231.82	207970     
6  	280   	4941.62	8727.56	4227.29	207970     
7  	280   	4506.44	870.917	4212.97	13217.5    
8  	280   	4630.9 	2107.33	4208.22	46656.6    
9  	280   	4357.78	501.648	4171.73	9000       
10 	280   	4391.9 	636.35 	4189.54	10975      
11 	280   	4561.98	1258.42	4186.41	19498.4    
12 	280   	4339.81	708.369	4164.97	15384.8    
13 	280   	6493.35	51751.2	4158.93	1.22997e+06
14 	280   	6510.18	51752  	4150.14	1.22997e+06
15 	280   	4252.16	273.611	4150.14	8082.83    
16 	280   	4240.11	613.233	4142.7 	18607      
17 	280   	4207.4 	148.648	4142.7 	7251.82    
18 	280   	4208.88	216.662	4140.55	9000       
19 	280   	4194.6 	119.724	3168.88	5565.94    
20 	280   	4181.9 	159.678	3168.88	5701.05    
21 	280   	4473.13	6073.55	2018.08	146965     
22 	280   	5045.38	10487  	2018.08	146965     
23 	280   	5010.73	8711.73	2018.08	146965     
24 	280   	5652.34	9182.22	1468.43	146965     
25 	280   	7801.9 	15595.1	1218.84	146965     
26 	280   	8316.1 	14803.9	1205.02	146965     
27 	280   	7673.77	11252.9	1138.46	146965     
28 	280   	6060.1 	6446.96	1138.46	56654.7    
29 	280   	6312.29	8078.89	1139.67	105960     
30 	280   	5628.12	6837.74	1032.02	105960     
31 	280   	6124.96	7935.71	1032.02	121854     
32 	280   	5725.09	4467.94	1017.99	42206.1    
33 	280   	5465.04	4109.73	874.101	34177.2    
34 	280   	5148.02	3820.25	874.101	37042.6    
35 	280   	5132.87	4130.08	874.101	35461.5    
36 	280   	5006.63	3654.98	874.101	26676.9    
37 	280   	5444.66	4130.78	874.101	35367.1    
38 	280   	5455.65	5803.73	874.101	107602     
39 	280   	5409.99	5672.22	874.101	96140.5    
40 	280   	5074.75	4127.2 	874.101	23916.2    
41 	280   	5143.91	4060.42	874.101	24818.9    
42 	280   	5399.27	4454.35	838.863	47157.3    
43 	280   	4998.69	3899.45	864.785	24818.9    
44 	280   	4894.35	3669.64	864.785	22837.4    
45 	280   	5337.95	4306.87	864.785	24786.7    
46 	280   	4773.84	3631.43	864.785	19994      
47 	280   	5330.05	4287.44	816.767	29834.5    
48 	280   	5513.16	4820.59	680.494	30046.5    
49 	280   	5332.25	4835.14	680.494	33629      
50 	280   	5558.61	5552.77	680.494	32915.9    
51 	280   	5774.39	5246.59	680.494	29834.5    
52 	280   	5060.13	4546   	680.494	29834.5    
53 	280   	5743.38	5269.28	680.494	29834.5    
54 	280   	5563.35	4759.38	680.494	24818.2    
55 	280   	5676.98	5283.37	680.494	31540.8    
56 	280   	5496.64	4725.59	680.494	26737.2    
57 	280   	5645.32	5192.47	544.784	26947.2    
58 	280   	5099.74	4569.16	544.784	28588.1    
59 	280   	6081.77	5728.18	544.784	29215.4    
60 	280   	6783.28	6175.52	544.784	30728.7    
61 	280   	5550.03	5320.82	616.105	31778.6    
62 	280   	6243.92	5737.52	616.105	31778.6    
63 	280   	5233.99	5094.85	616.105	28588.1    
64 	280   	6111.6 	6399.04	511.045	54099.9    
65 	280   	7045.47	7019.48	562.079	34463.7    
66 	280   	6298.01	6568.28	592.834	35821.3    
67 	280   	6165.97	7412.87	536.728	115196     
68 	280   	6285.61	6332.06	536.728	33470.2    
69 	280   	6566.4 	6364.93	536.728	33470.2    
70 	280   	6113.31	6142.88	487.965	35786.7    
71 	280   	6476.3 	6316.62	487.965	35568.1    
72 	280   	6551.8 	6410   	371.118	35568.1    
73 	280   	6076.77	6872.1 	371.118	40638.1    
74 	280   	6369.57	7361.98	371.118	35568.1    
75 	280   	5873.81	6409.4 	371.118	36584      
76 	280   	5910.78	6198.01	371.118	35568.1    
77 	280   	5950.62	6242.99	371.118	35921.8    
78 	280   	5851.7 	5942.25	371.118	33508.8    
79 	280   	5347.54	5930.27	371.118	33398.2    
80 	280   	5744.54	6070.61	345.283	37596.3    
