
gen	nevals	avg    	std    	min    	max    
1  	140   	2953.85	1449.05	1254.05	10878.7
2  	140   	2991.03	1621.14	1200.46	11199.9
3  	140   	3095.67	1308.95	873.183	6756.33
4  	140   	2972.31	1158.53	873.183	6250.54
5  	140   	2790.31	1178.34	873.183	6383.59
6  	140   	2780.65	1231.04	873.183	5573.37
7  	140   	2308.33	1113.28	681.279	6948.98
8  	140   	2422.67	1265.74	681.279	8443.52
9  	140   	2739.42	4036.6 	681.279	66706.1
10 	140   	2443.44	1291.47	657.994	6218.78
11 	140   	2346.8 	1258.87	603.286	7664.07
12 	140   	2374.86	1232.62	603.286	7107.67
13 	140   	2065.42	1134.16	630.649	5945.89
14 	140   	2160.56	1250.21	518.892	6408.48
15 	140   	2216.31	1310.22	433.79 	11715  
16 	140   	1905.11	1226.59	433.79 	9193.15
17 	140   	1881.56	1260.67	362.089	7727.56
18 	140   	1998.46	1360.92	362.089	7334.74
19 	140   	1748.56	1199.65	354.43 	5427.26
20 	140   	1587.19	1001.53	159.712	5149.37
21 	140   	1629.98	1062.24	159.712	6668.92
22 	140   	1352.26	943.343	159.712	5846.46
23 	140   	1181.5 	750.468	159.712	3936.65
24 	140   	1249.04	2426.25	159.712	39457.1
25 	140   	1039.54	843.219	159.712	5590.05
26 	140   	969.87 	770.416	159.712	4976.46
27 	140   	846.905	668.937	151.34 	3725.97
28 	140   	843.767	628.529	151.34 	3774.98
29 	140   	852.208	743.734	151.34 	4131.52
30 	140   	843.566	673.499	151.34 	3920.05
31 	140   	815.023	724.248	150.346	5928.96
32 	140   	853.038	721.994	150.346	4370.35
33 	140   	879.861	724.509	143.423	3353.36
34 	140   	854.697	686.079	147.23 	2926.63
35 	140   	870.502	863.915	124.23 	10271.6
36 	140   	805.427	661.851	89.8684	3266.34
37 	140   	867.932	659.942	140.807	2659.44
38 	140   	775.662	654.716	125.284	3154.56
39 	140   	878.805	712.905	125.284	3417.23
40 	140   	848.202	607.082	125.284	2734.06
41 	140   	817.022	666.498	125.284	3242.04
42 	140   	818.81 	710.864	125.284	6186.94
43 	140   	831.823	685.176	125.284	3426.78
44 	140   	891.287	678.582	140.807	3304.01
45 	140   	873.549	725.123	134.441	4547.23
46 	140   	805.198	640.478	134.441	2797.9 
47 	140   	874.879	691.738	134.441	4409.89
48 	140   	855.64 	665.443	140.807	3086.92
49 	140   	824.215	647.038	105.841	3163.85
50 	140   	729.038	612.733	105.841	3025.93
51 	140   	855.49 	705.901	101.246	4227.82
52 	140   	836.964	681.536	101.246	3360.29
53 	140   	890.597	706.01 	101.246	3016.68
54 	140   	859.47 	729.46 	99.0994	4010.2 
55 	140   	779.496	675.016	88.3032	3128.15
56 	140   	852.558	659.337	88.3032	2512.76
57 	140   	825.203	596.889	88.3032	2654.18
58 	140   	803.647	684.677	88.3032	4272.76
59 	140   	825.51 	630.054	88.3032	3028.29
60 	140   	810.109	658.333	88.3032	4703.26
61 	140   	883.772	710.097	88.3032	3275.1 
62 	140   	847.071	718.955	88.3032	3327.07
63 	140   	864.653	744.947	84.0656	6645.66
64 	140   	814.093	665.169	84.0656	3880.34
65 	140   	805.721	656.841	84.0656	3186.39
66 	140   	822.083	673.092	84.0656	3226.36
67 	140   	832.182	666.049	84.0656	3140.59
68 	140   	786.199	665.499	84.0656	2737.21
69 	140   	793.639	660.809	84.0656	2928.58
70 	140   	868.452	869.298	84.0656	9697.86
71 	140   	856.905	676.845	84.0656	4627.68
72 	140   	797.783	640.788	84.0656	2855.2 
73 	140   	703.883	632.74 	84.0656	3365.71
74 	140   	819.248	621.382	84.0656	3381.71
75 	140   	839.828	729.32 	84.0656	4341   
76 	140   	803.716	620.487	84.0656	2746.86
77 	140   	819.24 	700.924	84.0656	3755.83
78 	140   	806.828	645.509	84.0656	3421.18
79 	140   	788.094	683.127	84.0656	3308.08
80 	140   	826.148	714.858	84.0656	4613.14
81 	140   	850.333	697.554	84.0656	4048.51
82 	140   	753.53 	652.397	84.0656	2747.46
83 	140   	860.988	675.854	84.0656	3279.39
84 	140   	916.444	1998.07	84.0656	32278.8
85 	140   	849.551	713.68 	84.0656	3692.65
86 	140   	764.956	602.675	84.0656	2900.21
87 	140   	840.694	702.519	84.0656	4089.63
88 	140   	819.687	671.216	84.0656	3914.58
89 	140   	817.176	670.287	84.0656	3009.44
90 	140   	790.715	674.148	84.0656	3017.22
91 	140   	856.298	640.757	116.031	2838.06
92 	140   	817.422	665.52 	116.031	3168.46
93 	140   	773.077	711.217	116.031	6127.53
94 	140   	772.356	635.709	95.4911	3600.52
95 	140   	796.564	660.757	116.39 	3185.44
96 	140   	775.738	623.69 	116.39 	3190.28
97 	140   	751.63 	659.38 	116.39 	2939.49
98 	140   	814.393	687.5  	115.787	3289.01
99 	140   	780.818	706.912	115.787	5277.15
100	140   	722.135	614.826	115.787	2654.21
101	140   	811.065	672.823	109.544	3108.2 
102	140   	886.043	703.029	115.787	3459.88
103	140   	823.308	629.016	115.787	2482.3 
104	140   	773.337	656.45 	111.035	3190.2 
105	140   	742.141	629.66 	114.947	3209.81
106	140   	781.713	675.653	94.6987	3116.83
107	140   	774.448	712.849	94.6987	6625.99
108	140   	739.183	638.927	94.6987	2986.12
109	140   	776.867	635.184	101.219	2834.17
