
gen	nevals	avg    	std    	min    	max        
1  	570   	9638.53	32605.6	4589.85	681779     
2  	570   	8370.67	23515.2	4589.85	681779     
3  	570   	6377.6 	5179.75	4589.85	93242.3    
4  	570   	6553.65	31738.9	4573.39	1.072e+06  
5  	570   	4904.69	1321.04	4564.04	44536.9    
6  	570   	4779.88	794.871	4558.75	27580.7    
7  	570   	4731.34	419.994	4552.43	10461.4    
8  	570   	6340.23	55522.2	4551.47	1.88014e+06
9  	570   	4736.41	1518.52	4548.14	54017.1    
10 	570   	4734.61	1032.05	4548.14	30659.4    
11 	570   	4758.94	1007.27	4548.14	30041.5    
12 	570   	4725.89	525.212	3388.4 	20177.4    
13 	570   	4732.12	353.829	3321.22	10472.9    
14 	570   	4748.34	1213   	702.28 	37172.2    
15 	570   	4756.45	1409.54	694.467	20077.3    
16 	570   	4982.85	3260.02	694.467	71879.1    
17 	570   	5382.58	4180.79	694.467	31804.4    
18 	570   	6639.54	6420.64	636.829	38334.4    
19 	570   	8382.3 	8434.83	636.829	44601.5    
20 	570   	10360.8	9732.47	636.829	44175      
21 	570   	11165.2	10970.4	562.439	44175      
22 	570   	11976.4	12057.3	562.439	47194.2    
23 	570   	13453.5	12962.8	540.563	64112.6    
24 	570   	9758.76	10575.4	532.702	47727.9    
25 	570   	13904.9	28538.5	496.03 	874985     
26 	570   	14938.1	28958.7	496.03 	874985     
27 	570   	15180.9	29134.4	529.033	874985     
28 	570   	15495.2	14961.6	489.212	67949.9    
29 	570   	17000.4	15612.5	492.964	68932.5    
30 	570   	17719.3	16673.3	486.506	68932.5    
31 	570   	20357.7	17861.7	486.506	88985      
32 	570   	19104.9	17281.2	492.964	72865      
33 	570   	20268.6	18738.2	492.964	74013.1    
34 	570   	19195.5	18235.1	492.964	86939.3    
35 	570   	13591.8	14647.6	492.964	77912.3    
36 	570   	17788.5	16759.7	438.462	77912.3    
37 	570   	17329.1	17749.3	438.462	68019.7    
38 	570   	20256.2	18829.2	402.099	84196.2    
39 	570   	22353  	18847.4	392.727	111465     
40 	570   	18844.3	18248.8	380.821	79002      
41 	570   	23629.1	19456  	448.646	115142     
42 	570   	19600.4	19613.6	369.679	228940     
43 	570   	22943.8	20241.5	369.679	83075      
44 	570   	21012.4	19768  	369.679	77781.7    
45 	570   	22926.1	20011.1	389.24 	82180      
46 	570   	22461.5	19863  	389.24 	94343.3    
47 	570   	15497.6	16600.8	389.24 	94343.3    
48 	570   	19838.9	19080.3	389.24 	94343.3    
49 	570   	21632.4	19395.5	389.24 	96997      
50 	570   	14717.1	16015.1	360.928	70947.9    
51 	570   	12958  	14580.6	360.928	161944     
52 	570   	15741.7	16717.1	389.24 	81548      
53 	570   	19689.6	18783.3	389.24 	83185.9    
54 	570   	20325.5	19798.5	395.888	83185.9    
55 	570   	21285.7	19706.7	395.888	73471.5    
56 	570   	21320.3	19766.8	326.265	91241.7    
57 	570   	22955.1	19753.8	326.265	72893.3    
58 	570   	19849.1	19452.7	326.265	78016.8    
59 	570   	22952.2	20379.8	326.265	87000      
60 	570   	19953.2	27077  	326.265	671666     
61 	570   	21266.7	19399.9	326.265	72698.1    
62 	570   	23025.9	19298  	326.265	84875.2    
63 	570   	19696.1	18618.9	326.265	85089.5    
64 	570   	21231.7	19550.3	326.265	80030.8    
65 	570   	19437.4	19262.5	326.265	117839     
66 	570   	20890.8	20034.4	326.265	87920.4    
67 	570   	21713.3	19765.3	326.265	84479.5    
68 	570   	19176.5	18982.4	326.265	104183     
69 	570   	19761  	19472.5	326.265	80573.2    
70 	570   	20731.6	20220.9	326.265	91229.2    
71 	570   	20219.7	20227.3	326.265	87988.5    
72 	570   	21784.6	20294.6	326.265	79136.3    
73 	570   	18909  	19405  	326.265	95981.6    
74 	570   	18472.2	19218.2	326.265	82177.7    
75 	570   	21661.7	21073.5	326.265	82922.6    
76 	570   	18110  	19289.2	326.265	78006.4    
77 	570   	18323.8	19685.4	326.265	77876.1    
78 	570   	18256.3	19671.5	326.265	93012      
79 	570   	18553.7	20302.8	326.265	83385.1    
80 	570   	18562.8	19953.1	326.265	123584     
81 	570   	15864.5	18941.4	320.488	74211.2    
82 	570   	20421.3	20671  	320.488	88965      
83 	570   	19600.3	20808.3	320.488	92971.4    
84 	570   	21901.8	21154.6	320.488	93010.8    
85 	570   	21949.5	21215.2	320.488	76100.3    
86 	570   	16531.9	18851.3	320.488	84165.5    
87 	570   	19486.3	19769.9	320.488	76992.6    
88 	570   	14984.8	17765.4	320.488	66809.1    
89 	570   	11032.3	14414.9	320.488	104086     
90 	570   	15083.7	17433.5	320.488	96868.8    
91 	570   	14187.4	16091.8	303.117	105715     
92 	570   	11767.5	14296.3	303.117	84863.4    
93 	570   	13507.6	15451.2	320.488	84863.4    
94 	570   	16029.4	17483.4	320.488	159194     
95 	570   	13607  	16557.8	320.488	85768.9    
96 	570   	15855.4	17196  	320.488	76638.1    
97 	570   	15442.9	17038  	320.488	104490     
98 	570   	12838  	15861.6	320.488	74060.6    
99 	570   	10705.9	13912.9	309.578	73911.7    
100	570   	15474.5	17429  	309.578	87045.9    
101	570   	14563.5	17904.4	309.578	89136      
102	570   	15429.7	18392.5	187.712	155005     
