
gen	nevals	avg    	std        	min    	max        
1  	510   	4681.84	277.701    	4565.59	9550.33    
2  	510   	4677.82	219.178    	4565.59	9550.33    
3  	510   	4609.33	32.3542    	4565.59	4746.51    
4  	510   	4613.54	34.6329    	4565.59	4729.3     
5  	510   	4613.28	35.9945    	4565.4 	4747.17    
6  	510   	4617.06	34.5022    	4565.59	4756.42    
7  	510   	4611.76	36.5083    	4565.59	4843.25    
8  	510   	4620.32	80.3469    	3323.18	4778.13    
9  	510   	4608.84	110.122    	3323.18	4780.34    
10 	510   	4619.35	159.767    	3317.28	4785.93    
11 	510   	4579.98	218.62     	3305.85	4810.03    
12 	510   	4532.67	354.975    	1153.75	4791.52    
13 	510   	4414.19	479.467    	1153.75	4796.67    
14 	510   	4282.77	713.375    	967.721	10313.4    
15 	510   	4349.1 	938.524    	967.721	11386.3    
16 	510   	4184.69	1445.06    	967.721	16531.4    
17 	510   	4483.79	1855.05    	967.721	16531.4    
18 	510   	4273.55	2222.95    	926.787	17123.9    
19 	510   	4340.23	2289.19    	910.398	29779.8    
20 	510   	4544.07	2734.02    	931.452	17123.9    
21 	510   	4597.26	2764.09    	896.542	17161.6    
22 	510   	4390.96	2713.6     	775.955	17161.6    
23 	510   	4368.67	2867.36    	775.169	18234.6    
24 	510   	4403.48	2766.04    	775.169	51625.2    
25 	510   	4594.12	3495.44    	759.029	51625.2    
26 	510   	4386.78	3220.02    	759.029	51625.2    
27 	510   	4718.66	6859.81    	759.029	188114     
28 	510   	4489.61	2681.69    	725.321	19418.3    
29 	510   	4553.1 	6935.19    	759.029	206787     
30 	510   	5253.85	19912.3    	788.866	634063     
31 	510   	4971.19	4050.11    	759.274	54846.3    
32 	510   	4540.24	3690.96    	716.347	86993.7    
33 	510   	4918.93	4427.58    	666.079	102262     
34 	510   	4615.15	4381.54    	666.079	102262     
35 	510   	7830.45	99874.4    	666.079	3.19356e+06
36 	510   	5179.14	7421.88    	666.079	136768     
37 	510   	5553.05	16855.3    	666.079	476063     
38 	510   	5647.67	16985.1    	666.079	476063     
39 	510   	5376.46	8404.27    	666.079	136768     
40 	510   	5467.69	9377.07    	666.079	136768     
41 	510   	5536.08	10483.8    	666.079	136768     
42 	510   	5011.57	5318.08    	666.079	88938      
43 	510   	5019.06	5373.59    	664.244	121488     
44 	510   	5383.29	6315.56    	664.244	121488     
45 	510   	4895.66	9678.06    	666.079	250205     
46 	510   	4948.62	6452.6     	656.963	100183     
47 	510   	6504.46	52378.1    	656.963	1.65804e+06
48 	510   	5065.84	8634.46    	606.12 	195460     
49 	510   	5088.75	8251.08    	606.12 	168926     
50 	510   	4881.37	8217.38    	606.12 	186578     
51 	510   	4789.97	4827.59    	606.12 	82931.5    
52 	510   	5101.3 	4702.37    	606.12 	57598.3    
53 	510   	4875.09	4667.77    	606.12 	56498.7    
54 	510   	5078.61	17007.4    	595.486	533021     
55 	510   	4679.18	3763       	595.486	41074.6    
56 	510   	5258.83	14938.9    	595.486	462053     
57 	510   	5301.74	6489.72    	595.486	153457     
58 	510   	5262.56	7198.01    	595.486	169820     
59 	510   	5037.07	6570.31    	595.486	164541     
60 	510   	4819.17	4434.05    	595.486	56315.1    
61 	510   	4593.1 	3878.64    	595.486	41074.6    
62 	510   	6601.36	44894.2    	595.486	1.42615e+06
63 	510   	5203.34	7126.2     	595.486	137873     
64 	510   	5111.51	6550.19    	577.759	129395     
65 	510   	5550.6 	5889.77    	595.486	76599.6    
66 	510   	4813.21	4932.98    	595.486	66441.2    
67 	510   	5140.76	5705.03    	595.486	109779     
68 	510   	5454.07	16081.6    	595.486	448677     
69 	510   	5333.08	14323.5    	595.486	440363     
70 	510   	5002.05	4393.52    	595.486	54940.9    
71 	510   	4937.07	4570.98    	595.486	54940.9    
72 	510   	192995 	5.98695e+06	595.486	1.91307e+08
73 	510   	5610.02	21544.9    	590.1  	675293     
74 	510   	6340.91	23447      	590.1  	673785     
75 	510   	5336.97	5806.56    	595.486	95943      
76 	510   	5900.83	11026.2    	595.486	226483     
77 	510   	6242.02	10879.1    	595.486	259017     
78 	510   	6613.12	30693.1    	595.486	949747     
79 	510   	5362.43	6991.58    	595.486	186236     
80 	510   	5963.9 	10817.2    	595.486	192905     
81 	510   	7973.81	53933.6    	595.486	1.40769e+06
82 	510   	7134.18	46460.8    	595.486	1.40769e+06
83 	510   	5484.99	7363.11    	595.486	156190     
84 	510   	6589.86	47286.4    	595.486	1.50103e+06
85 	510   	5435.06	14607.3    	595.486	452537     
86 	510   	5991.55	16013.6    	595.052	452537     
87 	510   	7035.2 	41676.7    	595.052	1.1674e+06 
88 	510   	5650.71	6418.3     	601.856	97313.6    
89 	510   	5109.22	7280.53    	596.376	169837     
90 	510   	5274.41	9500.63    	596.376	257542     
91 	510   	5074.59	3828.72    	596.376	41142.9    
92 	510   	5646.42	9330.88    	596.376	256219     
93 	510   	4958.26	4925.78    	596.376	103583     
94 	510   	5561.34	5900.78    	596.376	109626     
95 	510   	5550.32	7927.43    	596.376	145991     
96 	510   	5462.92	7572.76    	596.376	146728     
97 	510   	6803.19	24015.7    	596.376	693444     
98 	510   	15762.8	327900     	596.376	1.04807e+07
