
gen	nevals	avg    	std    	min    	max        
1  	510   	4675.54	162.842	4567.06	7834.14    
2  	510   	4673.8 	132.615	4565.8 	7834.14    
3  	510   	4615.65	42.2521	4565.49	5161.69    
4  	510   	4611.03	34.6351	4565.49	4778.12    
5  	510   	4615.08	38.7411	4565.49	4995.16    
6  	510   	4618.57	55.9907	3392.06	4766.91    
7  	510   	4616.13	96.3521	3357.2 	4766.91    
8  	510   	4599.49	155.044	3357.2 	4835.75    
9  	510   	4586.84	208.807	3348.54	4772.7     
10 	510   	4546.48	296.889	3335.65	4772.7     
11 	510   	4507.65	427.901	2337.34	10459.6    
12 	510   	4418.78	545.565	1026   	10459.6    
13 	510   	4284.95	791.946	1026   	10459.6    
14 	510   	4340.54	1009.67	874.489	11493.9    
15 	510   	4165.58	1444.76	874.489	12447.9    
16 	510   	4278.75	1569.84	868.359	15435.6    
17 	510   	3970.81	1595.89	868.359	13477.2    
18 	510   	4305.24	1435.71	868.359	18195.5    
19 	510   	4063.51	1574.48	868.359	15454.2    
20 	510   	4123.63	1582.31	868.359	13716.2    
21 	510   	3976.58	1626.9 	868.359	16254.5    
22 	510   	4115.56	2219.01	827.748	38489.3    
23 	510   	4175.99	2206.19	827.748	38213.1    
24 	510   	4367.79	2350.21	829.063	38213.1    
25 	510   	4330   	3672.2 	829.063	61440.4    
26 	510   	5388.47	20347.6	800.927	640711     
27 	510   	4727.52	7266.92	800.927	148463     
28 	510   	4630.28	3936.38	800.927	38213.1    
29 	510   	5671.12	37347.6	800.927	1.18181e+06
30 	510   	5161.21	9236.48	800.927	271256     
31 	510   	5183.76	13362.5	800.927	271256     
32 	510   	5126.28	7307.12	800.927	162993     
33 	510   	6105.44	23234.8	800.927	653078     
34 	510   	6123.73	37343.8	799.976	1.17529e+06
35 	510   	6539.27	38422.8	799.976	1.17529e+06
36 	510   	6481.88	14037.8	777.063	150255     
37 	510   	5133.15	7587.98	777.063	150255     
38 	510   	6022   	26109.4	777.063	801891     
39 	510   	6406.93	17472.7	763.633	423352     
40 	510   	6112.51	12810.2	756.488	255975     
41 	510   	7583.47	19764.8	740.099	382441     
42 	510   	5744.92	16037.3	719.873	472470     
43 	510   	6130.79	20650.7	719.873	567008     
44 	510   	4992.54	6834.31	719.873	97970.6    
45 	510   	5450.57	8406.21	740.099	97970.6    
46 	510   	6431.27	14951.9	771.04 	281807     
47 	510   	7555.52	17601  	771.04 	281807     
48 	510   	6773.11	27546.2	706.042	793623     
49 	510   	6484.71	11927.9	682.306	156254     
50 	510   	5814.04	12471.3	654.24 	262526     
51 	510   	5724.41	11764.3	682.306	248794     
52 	510   	5450.22	8812.27	682.306	87349      
53 	510   	5376.62	8228.77	682.306	93124.9    
54 	510   	5825.83	9548.58	682.306	111055     
55 	510   	5617.61	8414.34	672.992	87349      
56 	510   	6160.17	11662.1	672.992	213422     
57 	510   	6240.91	12358.4	637.715	200210     
58 	510   	6081.62	11382.3	637.715	164335     
59 	510   	6019.5 	8834.79	637.715	87349      
60 	510   	6750.94	14175.5	629.577	246639     
61 	510   	8350.58	74876.2	629.577	2.36647e+06
62 	510   	6407.58	12359.4	600.509	233667     
63 	510   	10685.4	116243 	629.577	3.69201e+06
64 	510   	5878.45	11443.8	629.577	181998     
65 	510   	7259.36	15702.2	629.577	206786     
66 	510   	5995.99	15254.8	629.577	309521     
67 	510   	6598.46	19189.8	629.577	465321     
68 	510   	6925.13	14208.7	629.577	181998     
69 	510   	8015.25	27032.1	634.865	644249     
70 	510   	6546.25	12895  	634.865	181998     
71 	510   	6706.91	14518  	634.865	270763     
72 	510   	6359.29	12785.1	634.865	270763     
73 	510   	6078.58	7641.83	634.865	82906      
74 	510   	6155.52	7909.66	634.865	88285.1    
75 	510   	6109.17	8512.2 	634.865	100344     
76 	510   	5967.49	8548.09	634.865	179939     
77 	510   	6650.13	51387  	634.865	1.64007e+06
78 	510   	5775.95	18506.9	639.153	549098     
79 	510   	6225.09	18605.7	639.153	478974     
80 	510   	5625.29	10134  	639.153	209319     
81 	510   	6081.93	16030.7	639.153	410963     
82 	510   	7709.55	31579.1	639.153	806330     
83 	510   	4890.74	7250.17	648.099	197600     
84 	510   	5458.1 	11177.1	648.12 	197600     
85 	510   	5701.28	12728.7	648.12 	197600     
86 	510   	6198.4 	16574.3	648.12 	239636     
87 	510   	6147.02	15429  	648.12 	197600     
88 	510   	6077.28	15086.2	648.12 	240203     
89 	510   	6927.79	18385.2	648.12 	320012     
90 	510   	6369.53	15804.6	635.363	197600     
91 	510   	6948.59	34503.3	635.363	1.0349e+06 
92 	510   	7213.22	23866.3	635.363	545976     
93 	510   	8044.75	22492.7	635.363	197600     
94 	510   	6226.4 	14980.6	635.363	197600     
95 	510   	6336.91	14815.1	635.363	247723     
96 	510   	8466.61	81302.3	635.363	2.57115e+06
97 	510   	6496.67	12920.9	635.363	215840     
98 	510   	5707.91	9827.77	635.363	214013     
99 	510   	5878.98	8580.76	635.363	142185     
100	510   	5627.49	5971.35	635.363	76418.6    
101	510   	5551.95	6898.54	632.468	100620     
102	510   	5704.69	8396.53	635.363	162437     
103	510   	5950.74	11402.9	635.363	194429     
104	510   	7200.95	17589.6	635.363	323242     
105	510   	5895.04	10280.7	635.363	162437     
106	510   	6804.92	10999.3	635.363	162437     
107	510   	6399.24	13364.9	635.363	228886     
108	510   	6620.14	23121.9	635.363	683370     
