
gen	nevals	avg    	std        	min    	max        
1  	510   	7787.51	16040.2    	4580.67	280215     
2  	510   	8462.78	25305.3    	4580.67	660272     
3  	510   	6177.78	19075      	4580.67	603473     
4  	510   	4819.74	384.615    	4575.06	10559.9    
5  	510   	4743.19	256.067    	4545.94	10443      
6  	510   	5069.94	11211.8    	4545.94	362907     
7  	510   	4731.34	326.505    	4545.94	9485.04    
8  	510   	4721.8 	320.524    	4545.94	11740.6    
9  	510   	4718.27	429.855    	4538.73	13367.5    
10 	510   	4798.45	2672.71    	4538.2 	86504.4    
11 	510   	4760.92	1259       	4537.96	36447.5    
12 	510   	4832.6 	4094.06    	4537.96	132414     
13 	510   	4772.81	2695.86    	4535.94	88878.6    
14 	510   	4705.91	853.086    	3203.78	30308.8    
15 	510   	4744.2 	2146.22    	3202.8 	72206.9    
16 	510   	5069.3 	10661.3    	3202.8 	340368     
17 	510   	4663.58	1335.55    	1995.97	26916.6    
18 	510   	4772.08	2438.63    	809.666	26916.6    
19 	510   	5301.01	4193.87    	753.257	38963.8    
20 	510   	6386.1 	5882.76    	738.083	38963.8    
21 	510   	7875.3 	7401.37    	687.207	64528.5    
22 	510   	7659.93	7145.6     	687.207	62100.5    
23 	510   	6998.79	7459.29    	687.207	87483.4    
24 	510   	7245.53	6943.02    	583.099	51098.4    
25 	510   	7233.67	7089.35    	583.099	46696.3    
26 	510   	6837.15	6965.47    	583.099	40777.3    
27 	510   	6493.17	6733.72    	514.873	47907.6    
28 	510   	6859.18	7208.28    	514.873	47907.6    
29 	510   	6649.14	7436.25    	514.873	74442.6    
30 	510   	5470.96	5798.78    	514.873	43081.5    
31 	510   	5812.06	5989.88    	514.873	39864.5    
32 	510   	5927.83	6333.14    	514.873	35676      
33 	510   	6681.26	7969.97    	514.873	137288     
34 	510   	6409.47	6807.93    	511.293	52247.6    
35 	510   	6922.85	7059.81    	467.052	45709.3    
36 	510   	7355.36	9494.17    	467.052	183158     
37 	510   	6521.37	6863.4     	396.93 	45709.3    
38 	510   	6745.89	6922.45    	311.99 	40906      
39 	510   	6459.34	6662.87    	311.99 	42781      
40 	510   	7242.44	7249.61    	311.99 	42731.1    
41 	510   	7172.7 	7541.25    	311.99 	44960.2    
42 	510   	7408.23	7332.77    	311.99 	42731.1    
43 	510   	7081.79	7240.62    	311.99 	43498.4    
44 	510   	6754.2 	7274.39    	311.99 	42731.1    
45 	510   	7621.44	8176.49    	311.99 	53298      
46 	510   	6964.2 	7471.99    	311.99 	46680.1    
47 	510   	7103.72	7979.98    	311.99 	75038.9    
48 	510   	6935.74	7536.9     	311.99 	49619.6    
49 	510   	6869.93	8223.36    	311.99 	49619.6    
50 	510   	7781.2 	12239.1    	311.99 	256755     
51 	510   	6792.8 	8645.02    	311.99 	49619.6    
52 	510   	7523.93	9164.55    	311.99 	54506.9    
53 	510   	7628.16	9479.44    	311.99 	56516.1    
54 	510   	8646.13	10824.8    	311.99 	49619.6    
55 	510   	7423.56	9681.76    	311.99 	53301.7    
56 	510   	9043.95	11188.9    	311.99 	55701      
57 	510   	8303.26	10110.3    	311.99 	55701      
58 	510   	6335.5 	7370.46    	311.99 	46539.1    
59 	510   	6852.77	7958.14    	311.99 	52687.3    
60 	510   	7464.01	14787.9    	311.99 	388314     
61 	510   	6473.84	7866.74    	311.99 	51527.2    
62 	510   	6994.97	8160.69    	290.192	43381.2    
63 	510   	6079.45	7768.53    	311.99 	58683      
64 	510   	7588.45	9217.24    	311.99 	64813.1    
65 	510   	7169.58	8806.22    	311.99 	64813.1    
66 	510   	6692.02	8387.61    	281.961	51650.2    
67 	510   	7212.09	10923.3    	281.961	238485     
68 	510   	7018.58	8762.94    	281.961	111956     
69 	510   	7747.37	9408.05    	281.961	152447     
70 	510   	7918.51	9410.64    	281.961	44591.8    
71 	510   	7171.44	8813.07    	205.082	55658      
72 	510   	7848.46	9619.23    	281.961	67788.1    
73 	510   	9048.97	10069.8    	281.961	67788.1    
74 	510   	7936.17	9412.39    	281.961	67788.1    
75 	510   	7567.11	8927.48    	253.2  	67788.1    
76 	510   	7715.57	9284.3     	253.2  	114365     
77 	510   	7319.05	8465.65    	253.2  	64636.9    
78 	510   	7689.01	8664.96    	253.2  	54000.9    
79 	510   	6497.36	7840.98    	253.2  	42503.2    
80 	510   	6412   	7974.87    	253.2  	48637      
81 	510   	6845.81	8466       	253.2  	43623.8    
82 	510   	6173.5 	9989.94    	253.2  	217293     
83 	510   	7041.31	9303.4     	253.2  	117271     
84 	510   	7913.11	9699.67    	253.2  	52518.3    
85 	510   	6264.69	7941.73    	253.2  	46758      
86 	510   	7144.25	8493.95    	253.2  	54119.4    
87 	510   	7261.89	7748.1     	253.2  	50927.8    
88 	510   	7063.1 	8017.33    	253.2  	45600.1    
89 	510   	6762.34	7967.05    	253.2  	50682.5    
90 	510   	6709.2 	9578.14    	238.883	160378     
91 	510   	7507.6 	9334.81    	253.2  	47558.6    
92 	510   	7258.02	10437.9    	253.2  	166849     
93 	510   	7026.86	9065.17    	253.2  	51378.5    
94 	510   	6868.88	8501.04    	253.2  	51417.4    
95 	510   	6568.55	8173.96    	253.2  	55597.8    
96 	510   	6889.27	10050.9    	239.908	179603     
97 	510   	7915.76	10075.3    	239.908	93224.1    
98 	510   	7921.2 	11097.3    	239.908	169222     
99 	510   	8602.28	10446.1    	239.908	55597.8    
100	510   	7311.09	8932.97    	239.908	47360.5    
101	510   	6229.93	8515.96    	239.908	106037     
102	510   	7498.37	9446.95    	239.908	115237     
103	510   	7385.13	8627.89    	239.908	54157.2    
104	510   	6314.44	7835.96    	217.449	39389.2    
105	510   	6777.26	9191.14    	239.908	65299.4    
106	510   	7910.19	10664.4    	239.908	127902     
107	510   	7222.13	9810.58    	239.908	127902     
108	510   	5420.88	6390.93    	204.024	35955.3    
109	510   	5387.39	6665.04    	204.024	46574.3    
110	510   	6351.86	7692.31    	204.024	53206.2    
111	510   	5793.06	8529.09    	204.024	171478     
112	510   	5859.22	8286.15    	189.054	101082     
113	510   	5439.02	7079.52    	189.054	70570.6    
114	510   	5010.52	7949.28    	204.024	153182     
115	510   	5694.41	7510.73    	204.024	53489.7    
116	510   	6172.26	9031.71    	204.024	152168     
117	510   	5675.64	7394.54    	204.024	55809.1    
118	510   	5964.7 	8924.05    	204.024	144792     
119	510   	5911.8 	7915.77    	204.024	44678.5    
120	510   	5513.42	7409.46    	204.024	54876.8    
121	510   	5651.63	7909.11    	204.024	54876.8    
122	510   	11878.7	194209     	204.024	6.20634e+06
123	510   	7089.13	9712.27    	204.024	128834     
124	510   	5471.03	7946.57    	204.024	128834     
125	510   	5261.39	7519.48    	204.024	128834     
126	510   	6312.88	11021      	204.024	179239     
127	510   	5739.86	8497.37    	204.024	152994     
128	510   	10335.1	154916     	204.024	4.95111e+06
129	510   	5477.37	6992.09    	204.024	46268.2    
130	510   	5441.4 	8205.7     	204.024	112792     
131	510   	5794.29	7254.66    	204.024	51167      
132	510   	5662.67	7012.33    	204.024	44678.5    
133	510   	5415.04	7689.14    	204.024	86840.2    
134	510   	6108.08	8208.45    	204.024	62284.7    
135	510   	6066.91	8246.74    	204.024	103206     
136	510   	4927.91	8223.54    	204.024	156868     
137	510   	6190.37	31305.8    	204.024	981420     
138	510   	5375   	8434.7     	204.024	95103.9    
139	510   	6910.37	30040.2    	204.024	823940     
140	510   	5562.28	9721.25    	204.024	185327     
141	510   	5442.14	7846.03    	204.024	81678.7    
142	510   	6470.89	9642.22    	204.024	149836     
143	510   	6760.97	9307.47    	204.024	71534.5    
144	510   	5950.11	11014.3    	204.024	257787     
145	510   	7405.92	12660.3    	204.024	257787     
146	510   	4895.88	6586.71    	204.024	44678.5    
147	510   	5901.09	8347.64    	187.281	61427.8    
148	510   	8291.02	77004.8    	187.281	2.44934e+06
149	510   	6085.02	12735.7    	204.024	313211     
150	510   	7543.47	10317.7    	183.618	94846.7    
151	510   	6179.38	8835.64    	204.024	72886.6    
152	510   	6028.57	8838.42    	204.024	145610     
153	510   	5831.15	9357.03    	204.024	145610     
154	510   	5400.59	10051.7    	200.706	246017     
155	510   	5472.63	7014.55    	200.706	44495.1    
156	510   	5622.23	8282.89    	200.706	114570     
157	510   	5468.68	7492.01    	200.706	68188.9    
158	510   	5198.91	6940.07    	204.024	63149      
159	510   	4839.05	6034.29    	204.024	44495.1    
160	510   	4548.93	6614.46    	204.024	127711     
161	510   	5263.34	8566.32    	204.024	158849     
162	510   	5632.72	14994.7    	192.823	411813     
163	510   	5986.33	10505.8    	171.629	170039     
164	510   	4651.03	7227.61    	192.823	140606     
165	510   	5297.86	7809.9     	191.957	109770     
166	510   	4412.96	5667.87    	192.823	58525.2    
167	510   	4981.96	7284.8     	204.024	125408     
168	510   	5098.06	7221.98    	204.024	58200.4    
169	510   	4528.97	5748.97    	204.024	44495.1    
170	510   	5165.69	8784.33    	199.506	178706     
171	510   	4558.3 	6228.12    	199.506	44495.1    
172	510   	4841.46	6579.25    	199.506	70887.8    
173	510   	8981.48	124555     	199.506	3.97758e+06
174	510   	4457.33	6554.37    	199.506	67816.7    
175	510   	5071.75	8079.73    	199.506	94533.3    
176	510   	5465.68	9011.63    	199.506	130177     
177	510   	4838.45	6980.77    	199.506	59837.1    
178	510   	5305.92	14811.2    	199.506	409908     
179	510   	4919.41	7273.62    	199.506	44495.1    
180	510   	4822.71	8188.11    	199.506	129817     
181	510   	4776.86	8764.2     	199.506	144719     
182	510   	5173.17	8547.1     	199.506	144719     
183	510   	5731.63	10176.6    	199.506	144719     
184	510   	4930.48	6876.27    	173.584	47904.6    
185	510   	4301.42	5503.72    	173.584	47904.6    
186	510   	4563.49	5549.94    	173.584	47904.6    
187	510   	4279.24	7061.68    	173.584	152859     
188	510   	4271.05	6494.68    	173.584	138916     
189	510   	4418.97	13416.7    	173.584	403331     
190	510   	4329.32	4896.76    	173.584	38799.6    
191	510   	4481.72	8872.88    	173.584	210946     
192	510   	4833.49	9915.11    	173.584	210946     
193	510   	4952.89	9708.66    	173.584	199803     
194	510   	4202.8 	5676.04    	173.584	60797.7    
195	510   	4470.85	5542.61    	173.584	51405.7    
196	510   	4268.4 	5171.21    	173.584	51914.4    
197	510   	4141.93	5648.54    	173.584	100641     
198	510   	4109.12	5191.1     	173.584	61064.5    
199	510   	4245.73	5288.66    	173.584	48097.2    
200	510   	4570.49	6776.15    	173.584	96536.5    
201	510   	4553.23	6025.56    	173.584	111370     
202	510   	4675.86	7891.59    	173.584	176951     
203	510   	4628.55	6084.26    	173.584	66224.7    
204	510   	4618.71	7362.49    	173.584	153740     
