
gen	nevals	avg    	std    	min    	max        
1  	120   	1175.46	1155.52	206.344	8641.76    
2  	120   	1213.99	1247.58	183.635	12730      
3  	120   	1005.9 	610.864	179.327	3435.11    
4  	120   	920.881	589.499	179.327	4003.54    
5  	120   	926.865	583.263	151.28 	4466.34    
6  	120   	928.76 	524.027	151.28 	3496.56    
7  	120   	766.033	491.941	144.224	3717.39    
8  	120   	751.317	467.625	170.255	2516       
9  	120   	770.113	493.919	93.5877	2606.53    
10 	120   	810.105	542.472	111.311	3337.63    
11 	120   	807.846	554.247	90.1163	2777.24    
12 	120   	998.299	599.528	90.1163	4889.29    
13 	120   	945.594	733.027	72.0426	8011.64    
14 	120   	934.651	567.953	69.4742	2606.53    
15 	120   	877.626	552.07 	69.4742	2927.25    
16 	120   	880.199	592.289	69.4742	4286.64    
17 	120   	760.358	790.826	69.4742	9875.96    
18 	120   	768.373	595.678	61.6299	3175.45    
19 	120   	769.511	675.397	61.6299	6380.81    
20 	120   	698.594	662.942	61.6299	5971.78    
21 	120   	677.577	649.661	61.6299	5073.41    
22 	120   	687.214	602.455	61.6299	5129.03    
23 	120   	724.235	673.325	47.918 	6790.82    
24 	120   	606.143	543.272	47.918 	2662.34    
25 	120   	673.3  	499.578	47.918 	3322.11    
26 	120   	640.405	564.783	47.918 	3596.12    
27 	120   	507.439	497.839	47.918 	2619.5     
28 	120   	659.077	649.146	47.918 	4676.59    
29 	120   	529.003	523.737	47.918 	3409.88    
30 	120   	615.419	740.916	47.918 	6629.94    
31 	120   	482.723	450.004	47.918 	2310.98    
32 	120   	675.305	658.912	56.4636	6005.44    
33 	120   	517.731	734.847	56.4636	9335.96    
34 	120   	859.719	6264.11	48.4749	97376.1    
35 	120   	857.402	6260.76	48.4749	97376.1    
36 	120   	445.254	629.976	39.1978	7091.79    
37 	120   	455.404	545.509	39.1978	4575.8     
38 	120   	450.07 	552.957	39.1978	3336.12    
39 	120   	495.447	640.416	39.1978	6884.25    
40 	120   	442.143	515.422	39.1978	3731.43    
41 	120   	567.553	552.653	39.1978	4354.24    
42 	120   	465.73 	507.565	39.1978	2621.39    
43 	120   	460.355	668.343	41.518 	7697.3     
44 	120   	335.554	427.447	36.738 	2586.85    
45 	120   	499.569	798.665	36.738 	10106.6    
46 	120   	374.182	436.957	36.738 	2282.68    
47 	120   	453.309	606.74 	34.8129	4962.93    
48 	120   	387.308	547.646	34.6213	5740.94    
49 	120   	377.224	446.515	34.8129	2972.73    
50 	120   	387.899	479.249	27.1091	2486.5     
51 	120   	418.767	560.234	27.1091	3446.38    
52 	120   	424.585	723.213	27.1091	8594.08    
