
gen	nevals	avg    	std    	min    	max        
1  	510   	9490.86	44314.2	4610.37	991632     
2  	510   	8747.38	34451.4	4585.58	991632     
3  	510   	6303.3 	5396.95	4579.5 	85793.9    
4  	510   	5063.75	2779.7 	4579.5 	74432.9    
5  	510   	4754.51	489.504	4568.54	12739.2    
6  	510   	4711.65	257.733	4555.74	9646.88    
7  	510   	4730.93	592.565	4553.58	21225      
8  	510   	4761.68	675.422	4550.11	16607      
9  	510   	4733.24	616.443	4550.11	21926.5    
10 	510   	4988.34	8544.16	4545.09	276524     
11 	510   	4846.49	3022.54	4544.5 	92394.5    
12 	510   	4701.99	966.127	4544.5 	34453.9    
13 	510   	4692.91	351.346	4543.86	10647.8    
14 	510   	4703.22	581.243	4542.15	19765.9    
15 	510   	4745.66	1164.75	4542.15	37078.3    
16 	510   	4754.56	644.639	2431.42	14328.3    
17 	510   	4714.31	628.461	2431.42	21208.3    
18 	510   	4713.11	1348.46	769    	45688.7    
19 	510   	4662.65	914.92 	769    	18921.3    
20 	510   	4755.97	1988.96	755.681	23077.5    
21 	510   	4890.84	3026.2 	742.866	31067.7    
22 	510   	5432.35	4352.32	730.32 	28888.7    
23 	510   	12309.4	198131 	560.272	6.33481e+06
24 	510   	6243.3 	5912.41	560.272	64802.5    
25 	510   	6680.58	5896.92	432.654	37871.8    
26 	510   	6123.91	5957.2 	432.654	37871.8    
27 	510   	6423.09	6393.65	432.654	59556.8    
28 	510   	6279.75	6375.31	432.654	38804      
29 	510   	7318.13	7660.91	432.654	62856.8    
30 	510   	7004.28	7135.16	409.244	41855.5    
31 	510   	6936.73	7103.94	409.244	38804      
32 	510   	6401.61	6882.18	409.244	38804      
33 	510   	5572.51	5639.42	409.244	42736.5    
34 	510   	5953.94	5877.85	409.244	38804      
35 	510   	5542.47	7633.42	408.301	180363     
36 	510   	5894.15	8104.95	408.301	180363     
37 	510   	5368.56	5189.01	408.301	37603.6    
38 	510   	5744.48	5468.6 	408.301	42788.6    
39 	510   	5778.55	5581.96	408.301	44648.9    
40 	510   	6638.62	6009.09	408.301	37732.8    
41 	510   	5713.18	5523.53	385.685	36987.2    
42 	510   	5827.46	7575.13	298.19 	179490     
43 	510   	6163.25	5694.52	298.19 	41717.3    
44 	510   	5528.97	5153.85	272.937	35711.1    
45 	510   	5371.32	5143.17	272.937	56063.6    
46 	510   	5423.64	4948.19	267.137	27867      
47 	510   	5426.36	10250.3	267.137	293974     
48 	510   	5132.66	5123.55	267.137	44621.6    
49 	510   	4719.28	4464.31	267.137	36563.7    
50 	510   	4473.94	4216.99	246.022	30946.8    
51 	510   	4441.37	4591.78	246.022	42627.2    
52 	510   	4707.3 	4574.82	246.022	36803      
53 	510   	4908.93	4821.53	246.022	56757.6    
54 	510   	4519.48	4777.33	246.022	56757.6    
55 	510   	4698.98	5422.56	246.022	86272.5    
56 	510   	4295.99	4702.75	246.022	40489.8    
57 	510   	4800.31	4774.65	246.022	30617.5    
58 	510   	5217.93	4137.66	246.022	27833.3    
59 	510   	5229.42	5320.24	246.022	42697.7    
60 	510   	4628.97	4855.23	246.022	53603.2    
61 	510   	4770.53	5014.81	228.264	53603.2    
62 	510   	4620.32	8071.1 	246.022	190977     
63 	510   	4710.26	7692.32	246.022	190977     
64 	510   	5105.14	7944.31	237.405	190977     
65 	510   	4727.95	5119.73	246.022	39570.9    
66 	510   	4261.32	4757.65	246.022	46520.2    
67 	510   	5019.3 	6076.17	246.022	54605.5    
68 	510   	4667.79	5392.54	246.022	46520.2    
69 	510   	4617.28	5602.68	246.022	72943.6    
70 	510   	4913.89	5434.67	246.022	34709      
71 	510   	4827.92	4291.67	246.022	37749.5    
72 	510   	5602.48	4891.96	246.022	32600.5    
73 	510   	5424.44	5291.69	246.022	44815.7    
74 	510   	5068.58	6130.2 	246.022	92970.4    
75 	510   	4849.24	5471.54	246.022	39537.4    
76 	510   	5083.28	6112.32	246.022	52734.3    
77 	510   	5218.34	6479.25	246.022	57744      
78 	510   	5030.75	5985.07	246.022	41712.4    
79 	510   	5118.56	6293.14	246.022	48935.5    
80 	510   	5647.07	7919.03	246.022	129449     
81 	510   	5345.79	6291.04	246.022	36577.5    
82 	510   	5566.82	6777.36	246.022	38017.8    
83 	510   	6006.82	7433.21	246.022	50847      
84 	510   	6282.24	7535.27	246.022	46476.2    
85 	510   	6219.69	7787.97	228.477	55396.8    
86 	510   	7607.3 	9032.42	228.477	61081.5    
87 	510   	7328.18	9882.93	228.477	170100     
88 	510   	6367.72	9000.68	228.477	170100     
89 	510   	6663.09	7758.01	228.477	51571.6    
90 	510   	6877.79	7523.84	209.722	48587.1    
91 	510   	5433.06	6532.06	209.722	38582.3    
92 	510   	5336.01	6641.07	209.722	49454.1    
93 	510   	5654.19	6544.09	209.722	49454.1    
94 	510   	5567.26	8357.96	209.722	168816     
95 	510   	5416.92	7442.57	209.722	93118.3    
96 	510   	4518.4 	5509.64	209.722	44312.6    
97 	510   	5122.36	9152.87	209.722	217248     
98 	510   	5647.04	7131.54	209.722	47590.9    
99 	510   	5321.7 	10058.2	209.722	237304     
100	510   	4931.26	5784.27	209.722	31477.3    
101	510   	5620.21	7516.9 	209.722	93237      
102	510   	5449.09	6350.12	209.722	40570.7    
103	510   	5047.89	6160.31	203.351	34321.2    
104	510   	4841.35	5816.84	203.351	44492.4    
105	510   	5326.32	5968.56	203.351	34291.6    
106	510   	4756.47	5088.59	203.351	39381.9    
107	510   	5205.08	5930.94	203.351	36555.1    
108	510   	4601.91	5279.21	203.351	56742.2    
109	510   	5197.53	6050.1 	203.351	45785.3    
110	510   	5501.66	9529.67	203.351	246286     
111	510   	5499.37	9328.49	203.351	246286     
112	510   	5525.23	9590.05	203.351	246286     
113	510   	6395.15	14850.3	203.351	246286     
114	510   	5665.06	9548.98	203.351	246286     
115	510   	5456.33	9451.12	203.351	246286     
116	510   	5173.82	5713.56	200.336	43468.7    
117	510   	5386.15	7594.86	200.336	160588     
118	510   	3943.37	4658.31	200.336	66586.7    
119	510   	3945.11	7873.61	203.351	218353     
120	510   	3904.98	4807.37	203.351	61210.2    
121	510   	3793.19	4767.49	203.351	44595.6    
122	510   	4000.54	4802.49	203.351	41478.5    
123	510   	4031.9 	5187.79	203.351	84600.5    
124	510   	4101.69	5084.39	168.774	53197.8    
125	510   	4082.57	6098.41	168.774	121515     
126	510   	4310.71	6015.75	168.774	99736.1    
127	510   	4354.2 	5277.83	168.774	37567.1    
128	510   	3822.43	5009.93	168.774	75564.1    
129	510   	4543   	6514.12	168.774	75564.1    
130	510   	5031.74	6222.09	168.774	75564.1    
131	510   	4647.59	8989.09	168.774	181220     
132	510   	4333.28	5559.68	168.774	67228.3    
133	510   	4174.45	4993.37	168.774	63391.5    
134	510   	4106   	4889.03	168.774	31505.7    
135	510   	4606.45	6693.44	168.774	98929      
136	510   	4436.98	5281.44	168.774	43794.2    
137	510   	4071.61	5620.75	168.774	96634.9    
138	510   	4636.06	8341.29	168.774	188728     
139	510   	4180.82	7592.03	168.774	188728     
140	510   	4080.19	4724.84	168.774	38812.8    
141	510   	4278.22	5385.73	168.774	53701.5    
142	510   	4677.25	8196.57	168.774	167377     
143	510   	4422.93	6448.11	168.774	88448.5    
144	510   	4709.12	5408.54	168.774	37666.2    
145	510   	3974.34	4854.41	168.774	34620.6    
146	510   	3695.63	4143.83	168.774	46734      
147	510   	4037.64	4679.79	168.774	40816.4    
148	510   	3956.8 	4572.38	168.774	47786.1    
149	510   	4110.05	4937.55	168.774	42716.2    
150	510   	3943.42	4608.03	168.774	42716.2    
151	510   	4275.76	4997.98	168.774	33202.6    
152	510   	4655.34	20312.4	168.774	634462     
153	510   	3812.12	4578.53	168.774	46844.6    
154	510   	3446.11	4265.64	168.774	46844.6    
155	510   	3828.09	4603.07	168.774	34919.6    
156	510   	4037.14	5246.73	168.774	45607.3    
157	510   	3913.98	4865.72	168.774	41641.5    
158	510   	4251.31	4808   	168.774	41695.4    
159	510   	3911.04	4379.31	168.774	43622.1    
160	510   	3857.45	4780.34	168.774	43347.3    
161	510   	4056.57	4886.15	168.774	38471.4    
162	510   	3945.39	4569.43	168.774	27431.2    
163	510   	3520.73	4547.12	168.774	64132.6    
164	510   	4034.78	8209.47	168.774	221816     
165	510   	3983.37	5365   	168.774	78323.2    
166	510   	4119.2 	5121.34	168.774	78323.2    
167	510   	4382.69	5114.03	168.774	38066.6    
168	510   	3855.57	5434.61	168.774	103524     
169	510   	4410.21	10135.6	168.774	289674     
170	510   	4477.23	5760.16	168.774	71821.7    
171	510   	3849.34	4431.56	191.685	51157.4    
172	510   	4148.91	5414.75	191.685	59184.3    
173	510   	4224.89	5141.97	191.685	44377.2    
174	510   	4597.42	6556.36	191.685	123354     
175	510   	4944.33	16076  	191.685	464826     
176	510   	3865.2 	4668.75	181.71 	34955.2    
177	510   	4202.84	5077.12	191.685	37765.9    
178	510   	4104.27	5191.57	191.685	52523      
179	510   	4417.5 	5227.21	191.685	58560.5    
180	510   	4963.73	7125.26	191.685	122352     
181	510   	4600.13	5366.97	191.685	60601.6    
182	510   	4205.91	5518.86	191.685	82636.1    
183	510   	4051   	4835.49	191.685	42100.3    
184	510   	4317.49	7866.24	191.685	180275     
185	510   	4182.39	4854.92	191.685	39342.6    
186	510   	4387.94	8315.2 	191.685	215671     
187	510   	4539.96	5356.47	191.685	53194.3    
188	510   	4509.74	6381.07	191.685	114047     
189	510   	4041.14	5827.8 	191.685	114047     
190	510   	3794.54	5585.85	191.685	114047     
191	510   	5264.98	21586.5	191.685	668579     
192	510   	5583.74	33479.6	191.685	1.05679e+06
193	510   	4186.19	5300.51	191.685	52566.5    
194	510   	4373.47	16034.1	191.685	487324     
195	510   	4223.34	6004.15	191.685	90245.4    
196	510   	3832.96	4941   	191.685	61318      
197	510   	3994.04	4730.58	191.685	37596.7    
198	510   	3883.9 	5316.39	191.685	88935.2    
199	510   	3762.18	4185.51	191.685	31789.2    
200	510   	4095.29	4666.92	191.685	32714.5    
201	510   	4317.44	6500.36	191.685	143032     
202	510   	4154.33	5571.43	191.685	102044     
203	510   	4034.57	4785.79	191.685	39706.8    
204	510   	4115.01	5183.78	191.685	40556.2    
205	510   	4387.1 	6213.17	191.685	102138     
206	510   	3564.43	4108.18	191.685	34297      
207	510   	4088.09	6171.41	191.685	118975     
208	510   	3980.99	4588.44	179.711	33691.1    
209	510   	3944.66	7655.24	179.711	154844     
210	510   	3974.07	4739.08	179.711	40550      
211	510   	4015.4 	5008.46	179.711	43535.6    
212	510   	3988.76	4877.52	179.711	34341.3    
213	510   	3938.8 	4627.14	179.711	43073.4    
214	510   	3812.09	6741.98	179.711	165304     
215	510   	3661.59	4358.21	179.711	53855.7    
216	510   	4012.46	4732.79	179.711	58462.2    
217	510   	3848.31	4866.62	179.711	46026.8    
218	510   	3707.21	5356.22	179.711	113767     
219	510   	3607.62	5275.7 	179.711	113767     
220	510   	3641.55	4385.41	179.711	54269.5    
221	510   	3574.07	4227.31	179.711	54269.5    
222	510   	3579.79	4644.55	179.711	54371.7    
223	510   	3629.72	4290.74	179.711	39342.5    
224	510   	3961.31	8711.59	179.711	238917     
225	510   	3699.05	5472.47	179.711	128567     
226	510   	3752.68	4074.46	179.711	31381.1    
227	510   	3884.84	5708.36	179.711	132526     
228	510   	4161.13	14565.9	179.711	409351     
229	510   	3624.57	4129.25	179.711	40656.4    
230	510   	3860.46	4143.6 	179.711	42587.3    
231	510   	3811.61	4826.36	179.711	95904.6    
232	510   	3844.96	4607.39	179.711	43731.3    
233	510   	4214.19	11098.5	185.657	330806     
234	510   	3565.49	3718.68	185.657	28288.4    
235	510   	3997.47	4447.5 	185.657	43569.4    
236	510   	3900.43	4306.85	185.657	43569.4    
237	510   	3787.53	4121.59	185.657	45273.4    
238	510   	3701.03	6193.35	185.657	158438     
239	510   	3618.56	3925.78	185.657	38462.1    
240	510   	3750.92	4029.43	185.657	38462.1    
241	510   	3844.04	4376   	185.657	41598.5    
242	510   	4377.43	15653.8	185.657	485748     
243	510   	3804.67	3946.87	185.657	32547.5    
244	510   	3863.3 	4526.79	185.657	50821      
245	510   	3898.25	7812.89	185.657	171709     
246	510   	4036.8 	5427.89	185.657	85765.9    
247	510   	3685.67	3851.42	185.657	29259.7    
248	510   	3432.96	4050.19	185.657	48839.1    
249	510   	3923.38	6665.8 	185.657	169129     
250	510   	3645.26	4233.18	185.657	52550.8    
251	510   	3468.09	3946.88	185.657	35344.4    
252	510   	3642.81	4287.41	185.657	38520.4    
253	510   	3416.89	4014.88	185.657	65328.9    
254	510   	3440.35	4111.1 	185.657	53735.4    
255	510   	3465.94	3891.64	185.657	41352.4    
256	510   	3845.13	4460.81	185.657	41352.4    
257	510   	3668.93	5190.67	185.657	114703     
258	510   	3674.27	6755.88	193.094	182206     
259	510   	3805.23	11739.9	193.094	358930     
260	510   	3761.92	7966.71	193.094	200162     
261	510   	3428.07	5860.27	193.094	156513     
262	510   	3485.19	4669.62	193.094	89489.4    
263	510   	3551.57	3927.46	193.094	39870.2    
264	510   	3607.71	4354.85	193.094	52041.6    
265	510   	3817.49	6236.61	193.094	159478     
266	510   	4064.39	7098.82	193.094	158780     
267	510   	3935.2 	8330.17	193.094	238274     
268	510   	3770.5 	4971.64	193.094	82911.2    
269	510   	3402.27	3696.15	163.365	30951.9    
270	510   	3569.72	4824.97	193.094	84940.4    
271	510   	3987.57	5261.58	193.094	84940.4    
