
gen	nevals	avg    	std    	min    	max    
1  	510   	4645.53	35.2393	4566.91	5334.86
2  	510   	4645.55	32.3392	4566.91	5334.86
3  	510   	4629.71	54.5206	4566.91	5334.86
4  	510   	4615.42	62.3838	4562.68	5334.86
5  	510   	4594.47	29.1165	4548.52	5334.86
6  	510   	4583.19	15.6742	4547.26	4690.85
7  	510   	4578.53	16.1543	4532.69	4653.63
8  	510   	4574.97	21.3409	4530.29	4911.97
9  	510   	4569.73	59.5991	3246.82	4682.42
10 	510   	4558.44	99.4225	3205.98	4687.85
11 	510   	4529.7 	277.754	678.894	4652.06
12 	510   	4445.86	521.243	540.065	4691.23
13 	510   	4269.96	800.52 	540.065	4693.96
14 	510   	3925.61	1169.97	470.223	4693.62
15 	510   	3256.85	1508.17	392.344	4694.68
16 	510   	2604.65	1662.56	392.344	4691.84
17 	510   	2310.87	1660.45	392.344	4681.61
18 	510   	2200.75	1615.76	286.552	4661.17
19 	510   	1947.74	1599.36	270.367	4656.49
20 	510   	1940.98	1642.35	270.367	4678.39
21 	510   	1928.25	1653.83	247.372	4723.41
22 	510   	1880.8 	1655.06	247.372	4700.08
23 	510   	1802.72	1681.23	211.578	4664.64
24 	510   	1784.56	1674.55	211.578	8404.35
25 	510   	1829.84	1742.38	213.102	4672.69
26 	510   	1837.79	1724.32	213.102	4757.39
27 	510   	1674.15	1693.9 	213.102	4790.44
28 	510   	1662.77	1694.81	213.102	4693.6 
29 	510   	1710.53	1717.28	212.262	4657.14
30 	510   	1677.28	1690.94	168.39 	7047.74
31 	510   	1624.86	1726.28	147.048	4647.54
32 	510   	1922.85	7401.5 	147.048	231480 
33 	510   	1771.38	1782.1 	147.048	13669.3
34 	510   	1718.26	1666.76	147.048	6530.72
35 	510   	1679.93	1673.98	147.048	4677.86
36 	510   	1629.03	1650.18	147.048	5834.55
37 	510   	1646.13	1685.65	147.048	8982.12
38 	510   	1694.2 	1737.84	147.048	4671.93
39 	510   	1620.71	1732.06	147.048	4778.89
40 	510   	1599.13	1660   	138.857	4654.54
41 	510   	1609.8 	1696.52	138.857	4657.09
42 	510   	1745.43	1770.09	138.857	4668.7 
43 	510   	1982.63	9008.76	124.851	277382 
44 	510   	1639.59	1697.83	138.857	4661.57
45 	510   	1712.57	1708.96	138.857	4649.39
46 	510   	1538.11	1632.91	138.857	4657.64
47 	510   	1641.45	1690.73	138.857	4656.45
48 	510   	1630.09	1879.48	138.857	23738.2
49 	510   	1647.95	1713.33	138.857	4682.12
50 	510   	1567.91	1794.13	138.857	23052.2
51 	510   	1622.64	1837.55	138.857	23052.2
52 	510   	1451.02	1655.59	138.857	14976  
53 	510   	1834.11	1964.28	138.857	23932.1
54 	510   	1816.23	4046.19	138.857	118225 
55 	510   	1727.89	2060.49	138.857	37370.2
56 	510   	1744.26	2543.03	138.857	61498.7
57 	510   	1792.52	2738.58	138.857	63822.1
58 	510   	2057.8 	1834.16	138.857	4670.84
59 	510   	1739.02	1759.98	138.857	6266.64
60 	510   	1757.48	1787.19	138.857	6266.64
61 	510   	2324.74	1984.13	138.857	22923.7
62 	510   	1803.8 	1810.47	138.857	18948.8
63 	510   	1649.82	1713.71	138.857	4697.01
64 	510   	1648   	1758.17	138.857	11452.5
65 	510   	1548.92	1774.78	138.857	12960.8
66 	510   	2077.47	1901.17	138.857	4680.17
67 	510   	1720.29	2165.43	138.857	41211.5
68 	510   	1781.77	2013.32	138.857	27943.3
69 	510   	1904.48	1844.86	138.857	4669.94
70 	510   	1810.64	3745.86	138.857	107231 
71 	510   	2383.3 	5015.88	138.857	107231 
72 	510   	1925.41	1811.25	143.713	4856.82
73 	510   	1805.92	1817.28	143.713	4979.09
74 	510   	1761.7 	1807.48	143.713	10947.4
75 	510   	1717.2 	1741.32	143.713	4649.1 
76 	510   	1672.14	1796.18	143.713	14701.3
77 	510   	1572.11	1697.11	143.362	4712.69
78 	510   	1717.41	1737.71	143.362	4683.55
79 	510   	1710.8 	1836.16	143.713	22194.5
80 	510   	1538.02	1731.45	143.713	22194.5
81 	510   	1846.33	1789.94	143.713	13626.1
82 	510   	1705.25	2628.91	143.713	58663.6
83 	510   	1642.64	1766.71	143.713	5968.45
84 	510   	1619.91	1732.2 	143.713	8908.63
85 	510   	2124.91	3090.03	143.713	80204.1
86 	510   	2007.19	3973.13	143.713	80204.1
87 	510   	1718.58	1915.74	143.713	28663.4
88 	510   	1730.42	1760.94	143.713	7836.01
89 	510   	2213.66	9947.2 	143.713	309676 
90 	510   	2554.24	6874.68	143.713	213804 
91 	510   	1872.83	1759.27	127.455	4823.95
92 	510   	1739.04	1759.58	127.455	4670.18
93 	510   	1608.69	1698.47	143.713	4690.87
94 	510   	1499.58	1639.55	143.713	7812.97
95 	510   	1754.72	5566.79	142.599	170020 
96 	510   	1851.8 	1776.7 	142.599	5789.3 
97 	510   	1647.93	1757.15	143.713	8220.55
98 	510   	1600.24	1768.64	143.713	13358.3
99 	510   	1586.13	1679.72	143.713	4647.97
100	510   	1585.3 	1695.69	143.713	4660.85
101	510   	1881.27	1751.62	143.713	4690.77
102	510   	1726.27	1766.13	143.713	11827.9
103	510   	1896.13	1922.97	134.055	25907.1
104	510   	1554.05	1720.59	134.055	13745.1
105	510   	1704.02	1711.95	127.097	4741.65
106	510   	1557.38	1694.02	127.097	4648.37
107	510   	1601.42	1684.4 	127.097	4658.47
108	510   	1656.82	1758   	127.097	9956.97
