
gen	nevals	avg    	std    	min    	max    
1  	510   	4645.53	35.2393	4566.91	5334.86
2  	510   	4645.55	32.3392	4566.91	5334.86
3  	510   	4629.71	54.5206	4566.91	5334.86
4  	510   	4615.42	62.3838	4562.68	5334.86
5  	510   	4594.47	29.1165	4548.52	5334.86
6  	510   	4583.19	15.6742	4547.26	4690.85
7  	510   	4578.53	16.1543	4532.69	4653.63
8  	510   	4574.97	21.3409	4530.29	4911.97
9  	510   	4569.73	59.5991	3246.82	4682.42
10 	510   	4558.44	99.4225	3205.98	4687.85
11 	510   	4529.73	277.4  	682.533	4652.06
12 	510   	4445.94	520.671	544.601	4691.23
13 	510   	4270.15	799.716	544.601	4693.96
14 	510   	3922.23	1171.91	475.419	4693.62
15 	510   	3206.31	1525.29	475.419	4696.53
16 	510   	2576.9 	1652.22	435.715	4669.15
17 	510   	2226.59	1684.86	338.069	7712.77
18 	510   	2189.36	1785.6 	365.348	21867.5
19 	510   	1984.76	1786.27	302.522	26010  
20 	510   	1933.17	1651.13	303.531	4675.83
21 	510   	1919.53	1692.59	264.711	4711.48
22 	510   	1925.75	1683.38	264.711	4719.98
23 	510   	1830.04	1816.44	264.711	24237.9
24 	510   	1830.94	1683.46	229.756	4707.3 
25 	510   	1795.97	1711.96	264.711	4689.44
26 	510   	1794   	1746.53	221.572	4668.55
27 	510   	1887.13	1710.3 	182.224	4780   
28 	510   	1675.04	1678.29	182.224	4666.63
29 	510   	1730.32	1696.46	182.224	4675.19
30 	510   	1827.33	1690.66	182.224	4654.34
31 	510   	1723.25	1719.01	182.224	4863.11
32 	510   	1710.98	1795.57	182.224	16736.1
33 	510   	1673.54	1770.69	182.224	4665.26
34 	510   	1664.12	1755.25	182.224	12743.2
35 	510   	1733.84	2114.59	182.224	40382.2
36 	510   	1644.89	1698.03	182.311	4672.86
37 	510   	1662.56	1720.89	182.311	4662.12
38 	510   	1789.9 	2630.04	182.699	65195.4
39 	510   	1688.79	1697.8 	182.699	4931.1 
40 	510   	1587.49	1688.86	182.699	4698.13
41 	510   	1689.2 	3291.29	182.699	92574.9
42 	510   	1529.7 	1776.48	182.699	20615.7
43 	510   	1627.82	1744.02	182.699	12916.8
44 	510   	1487.88	1572.32	182.699	4647.56
45 	510   	1516.43	1603.19	182.699	5693.42
46 	510   	1719.68	1693.69	182.699	4998.49
47 	510   	1861.2 	1794.94	176.768	4649.01
48 	510   	2188.44	1865.43	182.699	4664.8 
49 	510   	1759.86	1754.18	182.699	6333.12
50 	510   	1624.43	1691.75	182.699	4683.21
51 	510   	1625.39	1728.81	182.699	7981.55
52 	510   	1624.78	2230.81	182.699	46186.8
53 	510   	1578.89	1708.4 	182.699	8065.36
54 	510   	1907.88	7939.41	182.699	249028 
55 	510   	2028.66	1833.07	182.699	4686.08
56 	510   	1562.13	1817.61	182.699	22872.2
57 	510   	1929.11	1794.09	182.699	4709.11
58 	510   	1724.04	1692.65	182.699	6522.07
59 	510   	1682.16	1713.59	182.699	9041.46
60 	510   	1802.43	6070.66	182.699	184628 
61 	510   	1631.52	2909.44	182.699	77968  
62 	510   	1691.33	1757.6 	182.699	5118.3 
63 	510   	1671.54	1737.49	182.699	4648.21
64 	510   	1773.27	1857.66	132.116	19036.4
65 	510   	1792.14	1775.69	132.116	10758.4
66 	510   	1823.59	1859.84	182.552	14336.2
67 	510   	1863.39	1805.97	182.552	4688.79
68 	510   	2322.94	2335.14	182.552	43986.4
69 	510   	2023.35	3200.3 	172.579	43986.4
70 	510   	2107.45	1901.59	177.16 	10716.7
71 	510   	2344.12	1854.07	177.16 	4661.8 
72 	510   	1779.36	1753.49	177.16 	4872.6 
73 	510   	1639.79	1740.13	177.16 	4660.59
74 	510   	1813.44	1801.89	177.16 	4713.19
75 	510   	1891.69	1808.7 	177.16 	5149.62
76 	510   	1646.52	1853.01	167.457	26261.4
77 	510   	1861.39	1793.1 	177.16 	4987.58
78 	510   	1774.63	1788.46	177.16 	5738.72
79 	510   	1832.02	4446.91	177.16 	131481 
80 	510   	1935.3 	4428.08	142.195	131481 
81 	510   	1866.45	1743.74	149.404	4654.61
82 	510   	1602.54	1662.53	149.404	5467.89
83 	510   	1919.11	5261.93	149.404	160486 
84 	510   	2088.27	5269.13	149.404	160486 
85 	510   	2363.48	7286.09	149.404	160486 
86 	510   	1911.23	1784.64	149.404	4669.62
87 	510   	1716.66	1750.79	149.404	7717.28
88 	510   	1800.11	1794.41	149.404	5038.05
89 	510   	1731.37	1788.62	149.404	4645.56
90 	510   	2565.17	1917.72	178.446	4749.31
91 	510   	1933.14	1816.04	178.446	14844.7
92 	510   	1639.94	1712.63	178.446	11207.6
93 	510   	1988.53	1936.6 	178.446	19462  
94 	510   	1716.08	1754.4 	178.446	4709.38
95 	510   	1743.64	2219.48	178.446	32491.3
96 	510   	1729.47	3244.18	173.458	82068.7
97 	510   	2002.86	1849.32	168.771	7347.35
98 	510   	1697.62	2105.09	168.771	39123  
99 	510   	1722.48	1794.34	168.771	4675.69
100	510   	1665.23	1758.26	168.771	4691.61
101	510   	1984.69	1837.5 	168.771	6564.18
102	510   	1678.45	1793.25	165.5  	16143.8
103	510   	1710.91	2287.46	161.077	49365  
104	510   	1625.71	1709.29	168.771	9683.89
105	510   	1534.66	1685.98	168.771	11957.5
106	510   	1750.35	1737.35	168.771	4727.29
107	510   	1818.83	1815.14	168.771	5513.22
108	510   	1877.36	1810.93	174.03 	6461.81
