
gen	nevals	avg    	std    	min    	max    
1  	510   	4651.26	23.4467	4577.22	4858.48
2  	510   	4650.68	22.9947	4563.39	4858.48
3  	510   	4631.7 	32.8575	4561.51	5123.7 
4  	510   	4612.68	20.4465	4552.75	4856.93
5  	510   	4597.81	16.4523	4544.76	4826.91
6  	510   	4587.07	15.5127	4537.94	4654.4 
7  	510   	4580.87	16.1122	4543.62	4642.12
8  	510   	4577.01	18.6374	4528.99	4670.96
9  	510   	4571.59	20.1498	4528.99	4655.15
10 	510   	4568.49	21.2695	4527.95	4674.17
11 	510   	4556.97	126.85 	812.137	4639.58
12 	510   	4546.73	211.533	684.632	5614.76
13 	510   	4493.36	424.346	684.061	4646.07
14 	510   	4407.43	683.346	684.061	4875.28
15 	510   	4184.31	1016.68	535.966	4662.03
16 	510   	3647.66	1427.38	514.675	4667.81
17 	510   	2950.25	1710.72	514.675	17254.6
18 	510   	2461.06	1683.54	426.513	7128.49
19 	510   	2171.54	1766.89	397.499	22744.1
20 	510   	2117.69	1971.71	397.499	36962.8
21 	510   	2080.41	1706.49	372.054	5382.12
22 	510   	2009.32	1669.42	342.86 	4664.91
23 	510   	1994.19	1676.58	342.86 	4648.31
24 	510   	1907.36	1671.35	313.969	4658.47
25 	510   	1893.7 	1750.64	275.722	18606.7
26 	510   	1880.3 	1652.32	220.945	4650.5 
27 	510   	1909.46	1686.49	220.945	4665.36
28 	510   	1976.86	1709.32	220.945	4751.17
29 	510   	1697.6 	1591.7 	220.945	4645.23
30 	510   	1846.47	1717.01	220.945	4868.5 
31 	510   	2015.01	1792.38	202.924	4790.35
32 	510   	2396.18	6010.53	141.079	184472 
33 	510   	1924.28	1769.81	141.079	4711.76
34 	510   	2040.21	2556.95	140.17 	59755.5
35 	510   	1961.48	2533.36	140.17 	59755.5
36 	510   	1870.68	1732.27	140.17 	4657.56
37 	510   	1857.29	1797.58	140.17 	4725.18
38 	510   	2120.11	1858.15	140.17 	4650.49
39 	510   	1825.38	1732.51	140.17 	8922.6 
40 	510   	1730.1 	1730.25	140.17 	8922.6 
41 	510   	1902.83	1858.15	140.17 	8922.6 
42 	510   	2059.69	1890.12	138.816	8922.6 
43 	510   	1919.85	1817.52	138.816	8922.6 
44 	510   	2107.15	1867.57	138.816	8922.6 
45 	510   	1868.88	1819.66	138.816	8922.6 
46 	510   	1816.36	1747.47	138.816	4784.37
47 	510   	2145.44	2422.64	138.816	51774.5
48 	510   	2260.22	1852.78	138.816	4670.8 
49 	510   	1919.31	1793.46	138.816	4664.58
50 	510   	1842.41	1801.35	138.816	4811.97
51 	510   	2066.53	2490.2 	138.816	56321.8
52 	510   	1805.53	1700.84	140.17 	4663.09
53 	510   	1588.34	1668.98	140.17 	4817.12
54 	510   	1674.15	1733.85	140.17 	4709.26
55 	510   	1743.92	1884.76	140.17 	22948.2
56 	510   	1685.51	1767.8 	140.17 	4665.8 
57 	510   	1646.38	1735.38	140.17 	4680.71
58 	510   	1606.41	1723.56	140.17 	4646.03
59 	510   	1926.05	1835.23	140.17 	5209.42
60 	510   	1944.59	1800.14	140.17 	4664.03
61 	510   	1809.77	1760.84	140.17 	4651.41
62 	510   	1736.71	1746.36	140.17 	13727.3
63 	510   	2242.95	1888.84	140.17 	13727.3
64 	510   	1571.22	1644.18	140.17 	4668.91
65 	510   	1778.56	1772.49	140.17 	4662.38
66 	510   	1684.68	1728   	140.17 	5132.18
67 	510   	1826.23	1838.49	140.17 	16636.7
68 	510   	1874.43	1794.69	140.17 	4941.69
69 	510   	1692.99	1715.15	140.17 	4660.71
70 	510   	1999.14	1833.24	140.17 	4660.01
71 	510   	1927.54	1832.45	140.17 	8272.92
72 	510   	1964.94	1838.62	140.17 	4658.02
73 	510   	1616.3 	1680.73	140.17 	4651.95
74 	510   	1920.66	1847.16	140.17 	4707.78
75 	510   	1733.12	1768.99	140.17 	9385.5 
76 	510   	1725.05	5245.79	140.17 	159886 
77 	510   	2055.42	1869.76	140.17 	11253.2
78 	510   	1833.8 	1856.44	161.187	13189.4
79 	510   	1773.31	1806.19	161.187	5585.1 
