
gen	nevals	avg    	std    	min    	max    
1  	280   	7993.21	1896.25	4629.6 	10027.9
2  	280   	8037.45	1875.73	4584.92	10027.9
3  	280   	6252   	2278.49	4566.18	36943.3
4  	280   	5208.43	1179.31	4566.18	9250   
5  	280   	5046.39	1158.41	4558.6 	9250   
6  	280   	4897.23	987.225	4549.35	9250   
7  	280   	4968.4 	1146.93	4549.35	9250   
8  	280   	4962.63	1150.13	4549.35	9250   
9  	280   	4952.84	1118.47	4549.35	9250   
10 	280   	4937.94	1088.79	4549.35	9250   
11 	280   	4947.48	1088.16	4522.49	9250   
12 	280   	4852.08	921.959	4522.49	9250   
13 	280   	4835.44	850.465	4522.49	9250   
14 	280   	4861.25	909.915	4522.49	9250   
15 	280   	4797.36	748.805	3304.5 	9282.36
16 	280   	4809.24	818.628	368.798	9250   
17 	280   	4841.47	1537.2 	615.752	23589.5
18 	280   	5100.56	2928.64	615.752	37100.9
19 	280   	5614.64	4872.34	615.752	38068.8
20 	280   	6282.33	6999.85	570.576	43216.9
21 	280   	8016.96	10021.6	418.822	56240.7
22 	280   	9445.39	11708  	418.822	54190.9
23 	280   	10277.6	11624  	370.912	61216.2
24 	280   	7973.35	9888.39	370.912	57603  
25 	280   	8967.57	10390.4	370.912	58761.4
26 	280   	7539.48	9625.27	297.047	53235.7
27 	280   	7660.35	10369.5	297.047	55919.7
28 	280   	7960.69	11171  	284.934	58997.4
29 	280   	7101.06	10252.2	284.934	61047.7
30 	280   	7491.27	11246.2	284.934	61047.7
31 	280   	6815.1 	10162.8	284.934	59257.9
32 	280   	7424.47	11290  	273.751	59452.2
33 	280   	6270.61	9609.99	273.751	59452.2
34 	280   	7839.01	11448.7	266.507	58405.9
35 	280   	6174.85	8685.76	266.507	55074.1
36 	280   	6188.25	9659.4 	266.507	56152.9
37 	280   	7274.43	11213.5	266.507	60090.3
38 	280   	6636.36	9904.62	266.507	56120  
39 	280   	5890.53	9119.61	264.959	58299.2
40 	280   	5585.07	9291.05	264.959	58454.3
41 	280   	6902.49	10410.5	266.507	61516.7
42 	280   	6351.64	9375.73	266.507	64316.1
43 	280   	6996.2 	10152.3	266.507	64301.7
44 	280   	7030.07	10403.9	266.209	61237.8
45 	280   	5157.15	7966.06	246.854	65296.5
46 	280   	6719.23	10989.9	246.854	67238.1
47 	280   	7624.72	11239.9	246.854	61288.6
48 	280   	6524.73	10558  	239.372	70220.7
49 	280   	7848.7 	12175.4	239.372	68738.9
50 	280   	7150.46	11036.7	235.304	69259.6
51 	280   	7970.75	12218.5	219.908	72385.1
52 	280   	6797.95	10510.2	219.908	75344.6
53 	280   	7846.78	18214  	219.908	344811 
54 	280   	6661.8 	10446.3	219.908	85361.8
55 	280   	5543.69	8525.03	195.473	59062  
56 	280   	5944.83	9456.26	195.473	60285.1
57 	280   	6359.76	10069.7	195.473	94316.5
58 	280   	5677.64	8703.99	164.927	59167.3
59 	280   	6454.56	10884.7	164.927	99185.4
60 	280   	8306.41	13356.8	195.473	74610.3
61 	280   	6373.15	10199.1	195.473	66307.7
62 	280   	7483.07	11628.7	195.473	68346.3
63 	280   	7640.62	11973.9	195.473	73259.5
64 	280   	6945.39	10759.1	183.495	63125.3
65 	280   	7458.97	11418.6	189.187	59924.1
66 	280   	6922.16	10803.7	183.753	60196.7
67 	280   	7196.25	11974.9	183.753	75096.6
68 	280   	7758.53	12168.5	183.753	75467.8
69 	280   	7418.22	11795  	183.753	65130.5
70 	280   	7400.32	11651.2	173.202	63036.4
71 	280   	8294.61	12682.7	173.202	92235.6
72 	280   	8758.21	12593.7	173.202	75176.8
73 	280   	8983.21	12839  	173.202	126810 
74 	280   	8156.19	11074.1	173.202	61064.4
75 	280   	8852.83	11852.4	178.928	90136.6
76 	280   	7268.41	9290.62	153.4  	59707.5
77 	280   	6809.91	8557.99	153.4  	64183.8
78 	280   	6528.43	9906.8 	153.4  	70068.8
79 	280   	6832.65	9348.47	153.4  	60908.4
80 	280   	7171.42	9744.23	153.4  	54659.1
81 	280   	8003.83	11039.3	150.007	84122.8
82 	280   	8322.49	10961.7	139.249	62318.9
83 	280   	7181.64	10103.2	139.249	60455.3
84 	280   	6458   	9123.48	139.249	52040.3
85 	280   	6935.45	10416.2	123.074	78466  
86 	280   	6668.35	11001.7	123.074	96501.6
87 	280   	7164.94	10362.7	123.074	73764.7
88 	280   	6119.83	10119.4	123.074	75124.8
89 	280   	6124.17	9596.43	123.074	63548.8
90 	280   	5010.56	7795.79	105.313	63117  
91 	280   	5380.56	8524.55	105.313	63117  
92 	280   	4959.4 	7615.43	105.313	59949.1
93 	280   	4718.66	8521.52	105.313	62028.6
94 	280   	4921.45	7462.9 	105.313	49507.8
95 	280   	5441.24	10509.5	105.313	105206 
96 	280   	5188.19	9201.99	105.313	72951.5
97 	280   	5595.6 	9905.19	105.313	83863.8
98 	280   	5147.75	8710.22	105.313	64984.8
99 	280   	4881.32	8236.32	105.313	74847.9
100	280   	4943.67	8598.73	105.313	70074.5
101	280   	4562.43	7428.63	105.313	53986.7
102	280   	5211   	9475.17	105.313	100653 
103	280   	5701.98	12304.9	105.313	153912 
104	280   	4490.3 	7716.36	105.313	75891.7
105	280   	4718.98	9213.54	105.313	99467.9
106	280   	5084.2 	9822.93	105.313	78962.5
107	280   	4064.58	7308.45	105.313	75111.8
108	280   	4222.44	8659.67	105.313	109026 
109	280   	5484.33	11034.4	105.313	127870 
110	280   	4397.5 	9066.8 	96.4783	109048 
111	280   	4682.75	8739.76	96.4783	90575.4
112	280   	5370.44	10533.3	96.4783	88024.4
113	280   	5368.98	10664.6	96.4783	103070 
114	280   	5228.97	9824.9 	96.4783	95362.5
115	280   	4826.11	9495.57	96.4783	103105 
116	280   	5103.63	10738  	96.4783	103105 
117	280   	4668.84	8369.15	96.4783	80197.8
118	280   	4436.76	8503.32	96.4783	81779  
119	280   	5965   	12004.9	96.4783	129140 
120	280   	4440.87	8143.35	96.4783	86941.3
121	280   	5058.24	9210.73	96.4783	79833  
122	280   	5298.39	10086.9	96.4783	80487.1
123	280   	4546.81	9716.01	96.4783	111882 
124	280   	5164.98	10313.1	92.1117	94117.7
125	280   	4546.8 	9084.44	92.1117	114050 
126	280   	4091.44	6389.75	90.157 	68121.8
127	280   	3408   	5486.89	79.9163	52629.9
128	280   	4372.72	8009.89	79.9163	66204.7
129	280   	4578.88	8824.77	79.9163	89966  
130	280   	4697.29	11353.6	79.9163	120157 
131	280   	4298.84	8546.08	79.9163	129984 
132	280   	4506.92	9231.76	79.9163	129984 
133	280   	4814.13	9558.76	79.9163	110722 
134	280   	4897.97	9951.03	79.9163	96187.1
135	280   	4538.9 	7852.84	79.9163	72189.4
136	280   	4085.22	7390.31	79.9163	60854.8
137	280   	4191.71	7128.18	79.9163	56900.8
138	280   	4195.76	8076.29	79.9163	71057  
139	280   	4253.78	7064.47	79.9163	53060.3
140	280   	5165.52	10249.7	79.9163	104863 
141	280   	4072.73	7099.11	79.9163	72910  
142	280   	4906.21	9773.81	79.9163	99019.3
143	280   	4675.1 	8890.99	79.9163	100109 
144	280   	5289.44	9745.23	79.9163	76128.4
145	280   	4709.16	8687   	79.9163	70469.9
146	280   	4321.52	7471.07	79.9163	62100  
147	280   	4720.72	10604.4	79.9163	98163.3
148	280   	5268.35	10678.9	79.9163	94172.8
149	280   	7244.64	13270.4	79.9163	94172.8
150	280   	6186.7 	10413.5	79.9163	67964.8
151	280   	4834.96	9844.96	79.9163	118164 
152	280   	4304.95	7779.63	79.9163	63091  
153	280   	4827.51	9474.38	79.9163	102493 
154	280   	4155.79	6480.97	79.9163	58773.2
155	280   	4845.91	9046.19	79.9163	90380.1
156	280   	4509.44	7821.87	79.9163	80536.6
157	280   	5595.18	11699.7	79.9163	117879 
158	280   	4954.62	9233.37	79.9163	81054.6
159	280   	4292.3 	8581.11	79.9163	96432.4
160	280   	4315.21	7854.63	79.9163	77199.6
161	280   	5096.16	11383.6	79.9163	110222 
162	280   	4618.84	8799.32	79.9163	118200 
163	280   	5783.12	9190.6 	79.9163	82990.3
164	280   	4855.15	8544.26	79.9163	82125.3
165	280   	4207.25	6870.99	79.9163	55497.8
166	280   	4150.73	7169   	79.9163	55497.8
167	280   	4319.6 	7998.75	79.9163	60417.1
168	280   	4014.49	6762.71	79.9163	48694.9
169	280   	5658   	11719.9	79.9163	126195 
170	280   	4935.53	10648.9	79.9163	106557 
171	280   	3748.57	6850.53	79.9163	64923.4
172	280   	4107.37	8043.7 	79.9163	62776.7
173	280   	4560.46	9002.03	79.9163	68823.4
174	280   	3872.68	7755.1 	79.9163	95201.8
175	280   	4439.94	8441.4 	79.9163	91043.3
176	280   	4405.78	9103.66	79.9163	95922.8
177	280   	4757.1 	9032.31	79.9163	62799.1
178	280   	4706.39	9477.38	79.9163	98126.2
179	280   	4765.97	9127.2 	79.9163	75156  
180	280   	4674.17	8421.06	79.9163	56334.8
181	280   	6822.66	10609.5	89.0735	93936  
182	280   	6455.9 	11195.3	89.0735	86042.9
183	280   	5549.53	9647.92	89.0735	58587.3
184	280   	4366.13	7504.99	89.0735	58290.7
185	280   	4026.82	7469.15	89.0735	84413.6
186	280   	4772.24	9212.87	89.0735	81166.7
187	280   	4139.88	8323.34	89.0735	80808.2
188	280   	4423.65	8631.42	89.0735	83982.1
189	280   	4223.61	9224.28	89.0735	111076 
190	280   	4333.71	9924.87	89.0735	126315 
191	280   	4326.9 	8325.9 	89.0735	70964  
192	280   	4639.8 	9329.08	89.0735	111637 
193	280   	4196.63	8130.32	89.0735	86009.4
194	280   	4158.55	8224.89	89.0735	103075 
195	280   	4551.9 	10594.3	89.0735	127153 
196	280   	4137.1 	7874.47	89.0735	77997  
197	280   	4962.82	10073.5	89.0735	105045 
198	280   	4186.8 	8402.35	89.0735	101900 
199	280   	4621.1 	9255.21	89.0735	117256 
200	280   	3820.16	6772.4 	89.0735	47514  
201	280   	4910.92	11669.7	89.0735	140230 
202	280   	4145.66	7813.62	89.0735	93277.6
203	280   	6611.37	9720.36	89.0735	83638  
204	280   	6416.34	11503.3	89.0735	87849.9
205	280   	4358.49	8303.07	89.0735	87849.9
206	280   	4326.77	8523.51	89.0735	83069.3
207	280   	4344.51	7588.91	89.0735	54067.8
208	280   	4341.71	8182.03	89.0735	85431.5
209	280   	6257.43	9785.66	89.0735	95220.7
210	280   	4754.81	7554.41	89.0735	56789.2
211	280   	4261.22	7612.99	89.0735	61907.8
212	280   	4679.87	8921.1 	89.0735	90986.4
213	280   	4231.84	7621.56	89.0735	66891.9
214	280   	4415.45	8028.9 	89.0735	65501.7
215	280   	4385.59	7903.1 	89.0735	60969.6
216	280   	4925.25	9809.35	89.0735	88472.3
217	280   	4967.08	9209.29	89.0735	83886.7
218	280   	4964.06	9650.46	89.0735	90775.1
219	280   	4591.72	9333.57	89.0735	108137 
220	280   	4309.48	8459.63	89.0735	71800.9
221	280   	4770.22	8529.94	89.0735	66336.5
222	280   	3901.15	6202.16	89.0735	43700.2
223	280   	3984   	7151.49	89.0735	60529.7
224	280   	3919.58	7309.66	89.0735	75164.8
225	280   	3456.98	5626.34	89.0735	46780.7
226	280   	3947.69	6989.58	81.8477	58133.3
227	280   	5639.22	7839.63	89.0735	59029.2
228	280   	4806.32	7401.96	89.0735	57116.5
229	280   	4779.99	8564.92	89.0735	96246.4
230	280   	4444.84	8872.89	88.449 	96246.4
231	280   	3655.31	6510.86	88.449 	54475.9
232	280   	4011.7 	7172.54	88.449 	80705.5
233	280   	4004.16	6940.42	88.449 	87124.3
234	280   	4086.2 	7975.87	85.0256	82045.6
235	280   	4574.17	8972.69	85.0256	92241.3
236	280   	4771.07	9373.28	85.0256	92241.3
237	280   	3898.81	8228.93	85.0256	127281 
238	280   	4438.31	8693.93	85.0256	117055 
239	280   	3737.74	6573.34	85.0256	75104.1
240	280   	4409.92	9237.34	85.0256	122219 
241	280   	4399.2 	8510.98	85.0256	78690.5
242	280   	3954.49	7483.99	72.6613	80786.2
243	280   	5348.74	11258.3	72.6613	100192 
244	280   	3809.51	6548.82	72.6613	59055.8
245	280   	4399.23	9384.79	72.6613	126170 
246	280   	4008.52	7128.22	72.6613	78782.2
247	280   	4226.71	7417.07	72.6613	63544.5
248	280   	6829.51	9598.83	72.6613	57754.1
249	280   	5211.69	8077.89	72.6613	71102.5
250	280   	4584.87	8100.31	72.6613	82922.9
251	280   	3885.56	7195.19	72.6613	56139  
252	280   	4272.9 	8149.61	72.6613	68016.6
253	280   	4886.92	7148.69	72.6613	58967.8
254	280   	4407.41	7727.9 	72.6613	65860.3
255	280   	4175.22	8132.39	72.6613	69328.3
256	280   	3824   	6526.63	72.6613	51942.2
257	280   	4178.15	8169.55	72.6613	87390.6
258	280   	3568.59	6175.74	70.7985	56989.1
259	280   	4613.67	8540.08	72.6613	70446.1
260	280   	3955.45	6451.43	72.6613	46369.5
261	280   	4548.51	8607.35	72.6613	90112.3
262	280   	4070.48	7299.76	72.6613	64335.6
263	280   	4363.71	8504.42	72.6613	104115 
264	280   	5860.08	9306.35	72.6613	104115 
265	280   	5406.4 	10369.8	72.6613	104115 
