
gen	nevals	avg    	std    	min    	max    
1  	280   	8197.21	31412.3	5417.48	532391 
2  	280   	7340.98	22271.6	5311.73	532391 
3  	280   	5675.6 	416.448	5311.73	10869.1
4  	280   	5633.17	734.191	5311.73	9750   
5  	280   	5585.37	1479.42	5311.73	38096.9
6  	280   	5604.51	2005.83	5293.8 	38096.9
7  	280   	5667.47	2767.07	5274.14	38096.9
8  	280   	5931.84	4126.38	5274.14	38096.9
9  	280   	6247.59	5102.71	5274.14	38096.9
10 	280   	5953.37	4118.73	5274.14	38477  
11 	280   	5420.22	370.637	1851.63	9188.29
12 	280   	5327.87	343.643	1851.63	6019.07
13 	280   	5387.91	1197.92	970.433	17988.3
14 	280   	5561.16	2346.58	970.433	21309.6
15 	280   	6121.13	4117.75	970.433	26897.6
16 	280   	6533.28	5070.87	613.222	27223  
17 	280   	6543.78	5248.02	613.222	26573.3
18 	280   	6044.19	4768.01	509.705	26573.3
19 	280   	5471.39	4147.4 	395.86 	26573.3
20 	280   	5724.88	4687.79	395.86 	28192.3
21 	280   	5453.69	4559.17	395.86 	31050.6
22 	280   	5495.32	4774.54	395.86 	30865.5
23 	280   	5075.9 	4412.05	395.86 	30865.5
24 	280   	5524.74	4914.69	395.86 	28775.7
25 	280   	5499.01	4838.21	395.86 	27927.2
26 	280   	5645.89	4787.74	395.86 	27046.4
27 	280   	5611.15	4901.98	395.86 	28301.9
28 	280   	5331.31	4598.6 	395.86 	27956.4
29 	280   	5779   	5559.21	395.86 	41589.3
30 	280   	6037.75	5681.09	395.86 	41589.3
31 	280   	6223.42	6453.62	400.149	40670.8
32 	280   	7636.39	8830.32	418.57 	76546.2
33 	280   	8418.91	10807.7	418.57 	82558.2
34 	280   	10324.3	12560.5	383.959	82558.2
35 	280   	9922.29	12970.9	385.144	78580.4
36 	280   	9937.46	11112.6	385.144	78580.4
37 	280   	7603.14	8303.16	385.144	63885.9
38 	280   	7322.17	7874.2 	385.144	59966.1
39 	280   	7154.58	8090.21	385.144	59536.1
40 	280   	8116.91	9230.57	269.741	77839.3
41 	280   	7189.99	7768.86	269.741	61400.4
42 	280   	7310.96	7761.31	269.741	67548.3
43 	280   	7759.93	8704.22	269.741	77098.9
44 	280   	5870.17	6289.51	269.741	55719.9
45 	280   	6789.74	7753.75	303.504	85550.5
46 	280   	6443.69	7629.87	260.158	85550.5
47 	280   	7141.58	7575.41	260.158	65631.7
48 	280   	6566.47	8594.94	243.568	100052 
49 	280   	7723.81	9791.87	243.568	100929 
50 	280   	7180.38	7701.79	243.568	52505.7
51 	280   	6650.75	7467.4 	243.568	79715.4
52 	280   	6892.08	7638.04	224.255	79715.4
53 	280   	6476.02	7591.35	189.151	83682.2
54 	280   	6240.22	7057.79	189.151	72618.7
