
gen	nevals	avg    	std    	min    	max    
1  	280   	7244.76	3014.04	4595.31	42374.3
2  	280   	7308.05	3211.96	4595.31	52160  
3  	280   	5396.57	1553.74	4587.07	9548.89
4  	280   	4941.02	1086   	4547.45	9000   
5  	280   	4935.77	1075.06	4559.56	9000   
6  	280   	4893.19	1049.19	4539.72	9000   
7  	280   	4794.3 	859.463	4536.99	9000   
8  	280   	4727.82	732.818	4529.95	9000   
9  	280   	4662.66	557.68 	4535.6 	9000   
10 	280   	4654.77	557.065	4527.73	9000   
11 	280   	4628.57	464.018	4526.78	9000   
12 	280   	4611.58	379.321	4526.78	9000   
13 	280   	4669.92	1059.55	4526.78	24980.1
14 	280   	4741.3 	1660.95	4524.31	26984.8
15 	280   	4886.64	2636.18	718.52 	42920.9
16 	280   	5574.34	4855.47	693.339	49013.9
17 	280   	7352.06	8057.04	662.303	50380.7
18 	280   	10155.3	11250.9	649.714	67065.8
19 	280   	11311.8	12374.3	612.342	67065.8
20 	280   	12773.7	15029  	662.303	67065.8
21 	280   	13278.5	14848.4	584.933	67065.8
22 	280   	12360.9	14102.5	550.552	83145.5
23 	280   	11143.7	14316.3	550.552	83145.5
24 	280   	13019.4	16802.5	443.614	83145.5
25 	280   	12348.8	18020  	443.614	83145.5
26 	280   	16916.7	21777.7	314.111	104252 
27 	280   	16968.5	19035.9	314.111	102384 
28 	280   	11527.6	14353.4	314.111	83145.5
29 	280   	11455.8	14419.4	314.111	78987.5
30 	280   	10234.9	14325.1	314.111	91422.4
31 	280   	13178.6	17586.1	278.13 	112623 
32 	280   	9404.1 	13462.1	278.13 	78987.5
33 	280   	9195.23	12930.7	278.13 	82255.1
34 	280   	7812.84	11552.6	237.338	77241.3
35 	280   	7440.74	11662.6	237.338	78049.2
36 	280   	7232.03	12124.2	237.338	96223.9
37 	280   	9837.41	13978.4	237.338	106513 
38 	280   	11647.1	13900.9	233.661	80139.2
39 	280   	10177.3	13998.9	233.661	85094.4
40 	280   	7424.46	12046.9	233.661	89285.7
41 	280   	6707.31	10019.8	233.661	60069.9
42 	280   	6695.5 	11411.7	233.661	82120.3
43 	280   	6510.61	9417.74	193.568	57881.3
44 	280   	6588.47	10503.2	193.568	103552 
45 	280   	7484.77	9595.19	180.943	67007.2
46 	280   	7742.74	11542.6	173.332	98384.7
47 	280   	9690.15	12343.4	173.332	71999.7
48 	280   	7342.89	10147  	173.332	77699.2
49 	280   	7349.36	13005.9	173.332	122585 
50 	280   	7101   	12845.1	173.332	99426.7
51 	280   	7583.31	9789.09	173.332	72028.6
52 	280   	8860.8 	10412.3	173.332	69287.4
53 	280   	7705.26	10032.7	173.332	75127.7
54 	280   	6655.71	10162.6	173.332	67932.2
55 	280   	5942.48	10051.2	115.105	77666.8
56 	280   	6078.92	10103  	115.105	66911.5
57 	280   	5283.83	9568.86	124.961	66887.5
58 	280   	5306.93	9529.04	124.961	69838.1
59 	280   	8037.31	11376.2	124.961	85151  
60 	280   	7537.96	11030.9	124.961	85076.1
61 	280   	8008.93	10184.3	124.961	64859.1
62 	280   	6035.59	9019.3 	124.961	74991.1
63 	280   	6017.01	8099.69	124.961	74991.1
64 	280   	8082.32	9629.67	124.961	89565.5
65 	280   	6244.77	8316.49	124.961	87059.9
66 	280   	6103.55	10380.9	127.733	119691 
67 	280   	6012.79	9390.58	110.766	69073  
68 	280   	5270.91	8941.38	110.766	59914.4
69 	280   	5366.68	7504.72	110.461	75196.2
70 	280   	6191.88	8514.46	110.461	57900  
71 	280   	6302.39	8637.64	110.461	61832.8
72 	280   	7719.99	10482.6	110.461	73024.4
73 	280   	7423.33	11241.4	110.461	72060.2
74 	280   	5074.69	8225.72	110.461	64857.2
75 	280   	5122.41	7924.78	110.461	72961  
76 	280   	5786.41	9626.46	110.461	123750 
77 	280   	6015.37	8136.2 	126.667	64099.6
78 	280   	6726.73	26883.6	91.4449	612032 
79 	280   	5177.33	7546.59	91.4449	80096.4
80 	280   	5291.71	7811.12	91.4449	69931.9
81 	280   	5307.98	8750.23	91.4449	87804.8
82 	280   	5921.55	10778.1	91.4449	153989 
83 	280   	5183.05	8412.85	91.4449	69287.5
84 	280   	6609.51	10637.3	91.4449	102299 
85 	280   	6916.32	9078   	91.4449	78147  
86 	280   	6676.59	24827.3	91.4449	566807 
87 	280   	6496.57	7090.53	91.4449	56851.2
88 	280   	5498.34	6540.22	91.4449	70039.7
89 	280   	5162.91	6015.66	91.4449	44833.9
90 	280   	5950.34	8148.66	91.4449	62952.9
91 	280   	6379.43	8047.51	91.4449	86322  
92 	280   	6269.69	9778.38	91.4449	89163.5
93 	280   	5649.34	8485.49	91.4449	78994.7
94 	280   	5650.98	6406.94	91.4449	45594.8
95 	280   	6108.76	8173.5 	91.4449	66977.7
96 	280   	6041.22	8393.79	91.4449	78040.7
97 	280   	5894.44	7738.9 	91.4449	78040.7
98 	280   	6264.18	7815.58	91.4449	63843.8
99 	280   	6081.45	7634.03	91.4449	55875.8
100	280   	6253.63	8543.04	91.4449	102265 
101	280   	5686.41	8125.09	91.4449	93198.8
102	280   	6651.04	9117.38	91.4449	76061.3
103	280   	5964.93	9804.71	91.4449	87144.4
104	280   	4872.82	8529.78	91.4449	113787 
105	280   	5982.15	8483.85	91.4449	63807.3
106	280   	4999.38	8512.89	91.4449	80091.8
107	280   	5147.95	8841.56	91.4449	84033  
108	280   	5238.56	8510.75	91.4449	71973.5
109	280   	5425.51	8282.17	91.4449	68153.1
110	280   	5902.96	9518.08	81.1951	75131.9
111	280   	5257.29	7216.97	91.4449	71963.9
112	280   	5523.48	7171.2 	91.4449	66518.6
113	280   	5739.58	9139.36	91.4449	105722 
114	280   	5646.67	7121.27	91.4449	84459  
115	280   	6734.63	8831.53	91.4449	106298 
116	280   	6314.22	7740.3 	91.4449	73260.3
117	280   	5186.11	8305.95	91.4449	71933.5
118	280   	5285.91	7456.57	91.4449	62796.4
119	280   	5512.47	7982.23	91.4449	117894 
120	280   	6178.06	8600.83	91.4449	67964.5
121	280   	5268.14	7069.65	91.4449	68280.4
122	280   	5534.5 	7724.8 	91.4449	78007.3
123	280   	6562.75	9592.45	91.4449	87129.7
124	280   	5821.77	9436.04	91.4449	88142.3
125	280   	5129.91	8587.86	91.4449	91229.7
126	280   	5265.85	8587.63	91.4449	73991.8
127	280   	4965.46	6847.32	91.4449	51689.2
128	280   	5390.92	9036.22	91.4449	94424.4
129	280   	5230.01	8336.69	91.4449	107406 
130	280   	6304.5 	9138.25	91.4449	87169.7
131	280   	5960.67	9061.65	91.4449	85073.9
132	280   	5206.79	8104.55	91.4449	67012.1
133	280   	6139.98	10290.5	91.4449	99631.3
134	280   	5763.9 	7993.94	91.4449	64863.3
135	280   	7630.48	10535.5	91.4449	94364.8
136	280   	6745.59	8911.98	91.4449	76004.3
137	280   	5637.08	9041.24	91.4449	76004.3
138	280   	5538.31	7916.09	91.4449	81517  
139	280   	6122.92	11394.3	91.4449	156348 
140	280   	5670.84	8364.15	91.4449	81032.7
141	280   	5302.62	9711.36	91.4449	88103.6
142	280   	4774.88	7507.88	91.4449	75008.5
143	280   	4951.24	9313.63	91.4449	98458.9
144	280   	4942.14	7338.23	91.4449	82145.6
145	280   	4990.8 	6695.68	91.4449	52864.1
146	280   	5174.55	8581.46	91.4449	77212.4
147	280   	5799.32	9376.95	91.4449	88763  
148	280   	5703.02	9555.93	91.4449	89109.7
149	280   	5803.38	9835.52	91.4449	110331 
150	280   	5953.98	10005.4	91.4449	110331 
151	280   	5684.38	9688.45	90.2232	68951.4
152	280   	5562.47	8311.32	93.6947	61847.3
153	280   	5044.6 	6977.42	93.6947	71977.5
154	280   	4853.14	7033.66	93.0885	70938  
155	280   	4906.51	7842.67	93.0885	82086.2
156	280   	5432.37	7865.3 	93.6947	96947.2
157	280   	5023.06	6826.12	93.6947	83110.5
158	280   	5249.62	9830.62	93.6947	87503  
159	280   	5738.88	9378.63	93.6947	101284 
160	280   	5306.75	7548.39	93.6947	85507.9
161	280   	5523.3 	7739.3 	93.6947	101255 
162	280   	4999.04	7936.45	93.6947	74036.2
163	280   	5804.5 	8257.99	93.6947	95139.2
164	280   	4917.27	7015.62	93.6947	64952.1
165	280   	5231.22	10866.8	78.2963	140154 
166	280   	5386.11	8256.75	78.2963	67042.7
167	280   	4779.82	7342.39	78.2963	74006.6
168	280   	5647.46	8831.58	93.6947	83149.9
169	280   	5846.81	10614.6	93.6947	100297 
170	280   	4706.01	6910.31	93.6947	50887.6
171	280   	4807.79	7618.53	93.6947	74090  
172	280   	4672.54	7025.45	84.6281	66932.6
173	280   	5178.17	9648.96	84.6281	105248 
174	280   	5062.68	8505.08	84.6281	135933 
175	280   	4873.6 	6246.97	84.6281	57856.2
176	280   	5005.93	8628.49	84.6281	71975.3
177	280   	4994.83	8488.02	84.6281	72210.9
178	280   	4532.85	5473.99	84.6281	33555.8
179	280   	6288.58	33183.9	84.6281	764308 
180	280   	4980.33	8287.68	84.6281	76045.7
181	280   	6138.9 	11382.3	84.6281	86250.3
182	280   	4511.58	7732.27	84.6281	71058.2
183	280   	5198.07	8080.08	84.6281	82095.3
184	280   	5154.26	10578.2	84.6281	126589 
185	280   	4559.21	6858.53	84.6281	79105.5
186	280   	4848.55	7565.25	84.6281	65929.4
187	280   	4886.97	7968.07	84.6281	68070.8
188	280   	4433.91	6978.06	84.6281	49829.2
189	280   	4354.2 	8193.45	84.6281	88894.3
190	280   	4057.35	6130.24	84.6281	65370.4
191	280   	4822.48	11738.8	84.6281	225330 
192	280   	4586.73	6754.46	84.6281	85128  
193	280   	4747.61	7398.9 	84.6281	94177.7
194	280   	5139.99	7309.18	84.6281	65874.1
195	280   	4609.96	6712.59	84.6281	52779.1
196	280   	4679.25	6205.29	84.6281	57045.5
197	280   	4743.61	7629.94	84.6281	75142.7
198	280   	4733.4 	6543.87	84.6281	51718.6
199	280   	4794.12	6157.93	84.6281	40785.3
200	280   	5027.22	7276.88	84.6281	74013.7
Time elapsed: 14732 seconds.


Batch Job Summary Report (version 21.01.1) for Job "bpopt" (46280917) on daint

Job information (1/2)
-----------------------------------------------------------------------------------------------------
             Submit            Eligible               Start                 End    Elapsed Time limit
------------------- ------------------- ------------------- ------------------- ---------- ----------
2023-04-26T12:47:40 2023-04-26T12:47:40 2023-04-26T12:47:41 2023-04-26T16:54:26   04:06:45   11:59:00
-----------------------------------------------------------------------------------------------------

Job information (2/2)
-------------------------------------------------------------
    Username      Account    Partition   NNodes        Energy
------------ ------------ ------------ -------- -------------
    bp000145       ich030       normal        5  16008.001 kJ

