
gen	nevals	avg    	std    	min    	max        
1  	280   	7071.12	2428.85	4613.12	22467.6    
2  	280   	7054.33	2332.36	4607   	22467.6    
3  	280   	5363.65	2114.56	4594.49	36781.5    
4  	280   	4909.15	1021.59	4584.06	9419.06    
5  	280   	4927.77	1084.75	4584.06	9000       
6  	280   	4849.09	928.626	4558.12	9000       
7  	280   	4802.65	869.749	4539.21	9000       
8  	280   	4804.57	885.544	4528.94	10399.1    
9  	280   	4787.67	859.628	4528.94	9000       
10 	280   	4767.61	980.262	4528.84	18836      
11 	280   	4688.68	671.581	3207.43	9000       
12 	280   	4662.99	642.897	3207.43	9000       
13 	280   	4628.94	573.954	3182.15	9000       
14 	280   	4756.84	1660.88	3182.15	29086.9    
15 	280   	4935.47	2237.89	2006.74	24957.9    
16 	280   	5865.18	4801.9 	675.507	52659.9    
17 	280   	8515.83	8037.67	604.834	45947.2    
18 	280   	10231.3	9984.02	589.796	55653.5    
19 	280   	9108.67	9799.28	589.796	46706.6    
20 	280   	8850.01	10353.2	589.796	54008.6    
21 	280   	9522.41	13309.5	417.947	173470     
22 	280   	9744.17	13160.1	417.947	54229.5    
23 	280   	10995  	14544.7	417.947	111408     
24 	280   	9401.32	11375.8	515.26 	56246.9    
25 	280   	9378.12	11534.1	535.721	56730.4    
26 	280   	11092.2	12177.7	535.721	64040.3    
27 	280   	11200.4	13570.3	480.112	64040.3    
28 	280   	10298.9	13859.6	480.112	67006      
29 	280   	11776.7	14576.7	476.825	67006      
30 	280   	9318.26	12522.1	360.878	63992.8    
31 	280   	9181.61	11583.6	399.661	59026.7    
32 	280   	9521.96	11925.5	399.661	66123      
33 	280   	9448.12	12569.9	336.798	76043.8    
34 	280   	8604.88	12480.5	344.173	62122.7    
35 	280   	8769.7 	11332.6	306.959	72227.1    
36 	280   	9786.76	12739.4	306.959	69120.5    
37 	280   	10254.7	12629.7	306.959	71114.8    
38 	280   	10556.3	13128.5	306.959	109460     
39 	280   	10826.6	14652  	306.959	109460     
40 	280   	9931.12	12999.8	286.046	73001.8    
41 	280   	8097.99	11585.4	205.023	67046.2    
42 	280   	6697.2 	11113.9	205.023	85371.3    
43 	280   	8991.31	13091.1	205.023	112512     
44 	280   	9026.73	13128.6	205.023	114600     
45 	280   	10486.1	17987.8	205.023	270054     
46 	280   	9545.14	13517.3	205.023	85220.3    
47 	280   	6805.1 	10675.2	205.023	87116      
48 	280   	7713.45	11152.9	130.802	95226.7    
49 	280   	7420.11	10897.4	130.802	70033.4    
50 	280   	6981.25	10721.4	130.802	96462.1    
51 	280   	7145.83	11452.1	130.802	106330     
52 	280   	6087.59	10912.8	130.802	133598     
53 	280   	6338.6 	10389.7	130.802	87282.6    
54 	280   	6216.21	10404.6	130.802	95330.1    
55 	280   	8907.87	13245  	130.802	96522.5    
56 	280   	11606.9	14842.8	130.802	115416     
57 	280   	8189.8 	11511.2	130.802	80152.4    
58 	280   	6985.81	10372.1	130.802	92329.1    
59 	280   	6093.73	10103.2	130.802	66955.2    
60 	280   	5700.61	11574.1	130.802	133692     
61 	280   	6193.95	10789.5	130.802	105280     
62 	280   	5099.3 	9023.95	130.802	79015.5    
63 	280   	5385.23	9412.53	130.802	61842      
64 	280   	5921.53	11245.1	130.802	82130.6    
65 	280   	6287.85	10230.7	130.802	83171.6    
66 	280   	5940.85	12305.1	130.802	149810     
67 	280   	7355.85	10806  	130.802	133614     
68 	280   	6724.74	10769.5	130.802	94245      
69 	280   	6232.23	9776.14	130.802	87341.1    
70 	280   	5774.32	11277.8	130.802	98396.8    
