
gen	nevals	avg    	std    	min    	max        
1  	280   	6865.8 	26905.4	4579.81	455651     
2  	280   	6148.4 	19091.4	4558.61	455651     
3  	280   	4754.02	602.507	4558.61	9000       
4  	280   	4727.19	580.25 	4558.61	9000       
5  	280   	4746.21	1448.25	4529.76	36979.7    
6  	280   	4871.84	2743.03	4525.53	36979.7    
7  	280   	4896.94	3068.02	1380.6 	36979.7    
8  	280   	4969.82	3272.71	1380.6 	36979.7    
9  	280   	4825.85	2720.26	1380.6 	36979.7    
10 	280   	5023.28	3100.76	501.098	36979.7    
11 	280   	5668.77	4029.49	501.098	31524.1    
12 	280   	7032.99	5880.37	501.098	32618.8    
13 	280   	6709.84	5994.43	499.211	42582.9    
14 	280   	6138.13	5966.49	499.211	42582.9    
15 	280   	6139.89	6471   	378.426	54676.9    
16 	280   	6704.51	6574.91	371.395	35496.2    
17 	280   	6996.21	7111.48	371.395	49016.2    
18 	280   	7586.57	7990.74	371.395	37541.8    
19 	280   	7783.83	8458.27	283.889	53617.2    
20 	280   	7968.97	9005.77	283.889	55568.1    
21 	280   	8795.1 	10467.4	267.254	82929.8    
22 	280   	7819.93	9143.88	267.254	69707.5    
23 	280   	7212.01	8404.4 	227.84 	63491.6    
24 	280   	7654.99	9317.56	227.84 	63491.6    
25 	280   	6551.44	7378.5 	227.84 	52478.2    
26 	280   	5882.83	6798.74	215.6  	54469.4    
27 	280   	7412.15	9405.35	215.6  	81829.5    
28 	280   	5858.34	7158.28	215.6  	56501      
29 	280   	6186.29	8158.35	215.6  	84686.3    
30 	280   	5974.81	6532.66	215.6  	55669.6    
31 	280   	5579.87	6317.19	215.6  	45495      
32 	280   	6291.9 	7848.58	215.6  	60660.4    
33 	280   	5851.87	7521.29	125.972	89729.1    
34 	280   	6542.09	8423.87	125.972	80661.7    
35 	280   	5846.32	7959.49	125.972	95825.5    
36 	280   	6832.99	9245.51	125.972	103849     
37 	280   	6552.12	6695.2 	125.972	36453.2    
38 	280   	5357.93	6467.06	125.972	61615.9    
39 	280   	6554.75	8046.71	125.972	62500.4    
40 	280   	7002.29	9047.37	125.972	81675      
41 	280   	12067.5	145051 	125.972	3.43734e+06
42 	280   	6467.91	17216  	125.972	376887     
43 	280   	6139.35	7290.06	125.972	39378.7    
44 	280   	6673.75	8713.23	125.972	69618.2    
45 	280   	5992.71	6714.23	125.972	59523.9    
46 	280   	6550.02	7569.71	124.425	59523.9    
47 	280   	6760.08	8454.76	125.972	68542.4    
48 	280   	7443.32	23267.2	125.972	526982     
49 	280   	5473.67	7522.2 	125.972	85696.2    
50 	280   	6160.6 	6569.31	125.972	60572.8    
51 	280   	6558.11	8323.88	125.972	77674.3    
52 	280   	6237.48	8069.5 	125.972	61632.4    
53 	280   	6762.62	7397.08	125.972	50592.9    
54 	280   	5884.77	8095.8 	103.488	82696.9    
55 	280   	5697.29	7924.91	103.488	114854     
56 	280   	6740.73	8411.82	103.488	78603.4    
57 	280   	7399.72	9080.65	103.488	79725.5    
58 	280   	6210.44	7254.92	77.9176	45477.3    
59 	280   	6816.95	9231.2 	77.9176	97708.6    
60 	280   	6979.31	8626.75	77.9176	106774     
61 	280   	6344.54	7864.38	77.9176	72560.6    
62 	280   	5851.48	7755.3 	77.9176	91740.8    
63 	280   	6354.47	8008.88	77.9176	62643.7    
64 	280   	5620.52	7818.51	77.9176	63618.1    
65 	280   	6150.15	8725.02	77.9176	88879.3    
66 	280   	6852.32	8032.89	77.9176	75770.5    
67 	280   	6340.66	8580.54	77.9176	83912.2    
68 	280   	6742.87	9062.6 	77.9176	81665.3    
69 	280   	6347.59	9137.53	109.474	86786.1    
70 	280   	6691.76	8444.84	96.1051	60578.5    
71 	280   	5857.26	7829.71	125.972	90730.4    
72 	280   	6440.65	9299.64	125.972	83748.1    
73 	280   	6399.29	9407.49	89.4583	87723.4    
74 	280   	5473.37	8420.84	89.4583	73629.1    
75 	280   	5702.21	9027.44	99.1523	93805.3    
76 	280   	6376.5 	10453.7	99.1523	137116     
77 	280   	7410.8 	10165.7	120.882	105966     
78 	280   	6699.31	10621.6	105.105	93785      
79 	280   	5432.6 	7424.97	105.105	65545.8    
80 	280   	6674.11	11006.5	122.392	148222     
81 	280   	6491.26	7139.06	114.877	53512.7    
82 	280   	5880.25	7102.2 	100.16 	64620.3    
83 	280   	6438.13	7946.99	100.16 	64620.3    
84 	280   	5405.87	7961.68	100.16 	133111     
85 	280   	6500.04	8551.14	122.875	78700.2    
86 	280   	6759.85	11558.5	109.335	143037     
87 	280   	6632.99	10585.6	99.1362	161317     
88 	280   	6468.95	8052.53	99.1362	76697.9    
89 	280   	5535.55	7639.73	96.9789	77688.9    
90 	280   	6760.62	9683.16	96.9789	121910     
91 	280   	7120.72	9911.12	96.9789	122058     
92 	280   	7189.12	9921.04	96.9789	86663.2    
93 	280   	6065.45	8882.91	77.0251	86740      
94 	280   	6002.85	8115.82	77.0251	70630.4    
95 	280   	6841.16	9036.78	77.0251	82682.8    
96 	280   	4709.36	5779.27	77.0251	42403.8    
97 	280   	5854.59	8357.94	77.0251	63514.6    
98 	280   	5798.56	10727.1	77.0251	120064     
99 	280   	6178.71	8805.19	77.0251	83808.2    
100	280   	6963.39	8559.04	77.0251	67684.5    
101	280   	6235.49	8532.63	77.0251	66593.9    
102	280   	7039.05	10071  	77.0251	93822.6    
103	280   	7898.76	14001.3	77.0251	187445     
104	280   	7678.2 	10625.9	77.0251	126059     
105	280   	5554.65	7130.6 	77.0251	58531.5    
106	280   	6340.87	10203.8	77.0251	115626     
107	280   	6703.71	8581.01	96.6211	67755.7    
108	280   	7085.52	8850.54	96.6211	73698.8    
109	280   	5990.94	8909.31	96.6211	109756     
110	280   	6229.93	8772.17	96.6211	97712.9    
111	280   	5581.21	6826.76	96.6211	50538      
112	280   	6115.19	7442.08	96.6211	53536.9    
113	280   	5512.93	7116.61	96.6211	68745.9    
114	280   	6205.62	8470.74	96.6211	76663.5    
115	280   	6001.02	7549.55	96.6211	65619.5    
116	280   	5805.2 	7343.21	96.6211	53550.8    
117	280   	4984.15	7695.73	96.6211	100052     
118	280   	6102.28	6725.2 	96.6211	52569.8    
119	280   	5472.75	7864.98	90.4234	78680.2    
120	280   	6749.47	8359.19	90.4234	66557.8    
121	280   	5860.02	7709.8 	90.4234	66557.8    
122	280   	6184.54	7934.61	82.68  	88751.1    
123	280   	5863.15	11852.1	82.68  	244221     
124	280   	5266.7 	7044.86	82.68  	58555.7    
125	280   	5279.88	6642.81	82.68  	47497.1    
126	280   	6153.79	8938.3 	82.68  	121860     
127	280   	6396.13	9408.21	82.68  	121860     
128	280   	6278.61	8346.94	82.68  	75619.8    
129	280   	5396.6 	8017.62	80.1763	70747.7    
130	280   	5926.34	7944.96	80.1763	78579.6    
131	280   	5457.43	6863.84	80.1763	60600      
132	280   	6028.23	16709.3	80.1763	323569     
133	280   	6508.97	8089.55	80.1763	79619.5    
134	280   	5021.3 	6328   	80.1763	41493.5    
135	280   	5138.37	7382.53	94.932 	63657.3    
136	280   	4991.03	5674.48	94.932 	39427.7    
137	280   	4569.38	6430.19	94.932 	88725.6    
138	280   	6052.1 	8568.45	94.932 	106804     
139	280   	5549.28	8074.93	87.1562	100743     
140	280   	6468.18	9061.17	94.932 	135042     
141	280   	6199.19	8373.53	90.5145	94715.4    
142	280   	5522.33	6577.24	94.932 	45609.1    
143	280   	5142.73	7353.64	94.932 	63484.5    
144	280   	4989.29	6352.85	94.932 	61664.5    
145	280   	5233.67	6364.62	94.932 	56569      
146	280   	4917.17	7785.09	94.932 	112766     
147	280   	4769.88	6045.26	93.7688	55546.9    
148	280   	5695.26	7070.4 	93.7688	65565.3    
149	280   	5083.29	6621.58	93.7688	53462.6    
150	280   	5153.46	6719.16	93.7688	61540.2    
151	280   	5192.61	6760.55	86.8716	79651.3    
152	280   	5394.79	6762.88	78.0214	87683.1    
153	280   	6136.41	7014.98	78.0214	56458.4    
154	280   	5688.59	7068.12	78.0214	56458.4    
155	280   	5709.99	7367.71	93.7688	86709.4    
156	280   	5185.95	6353.27	93.7688	53462.2    
157	280   	6037.07	10678.5	86.5077	150239     
158	280   	6038.33	8757.14	86.5077	120853     
159	280   	6048.82	8545.76	80.3565	118057     
160	280   	4774.73	6818.88	80.3565	61568.4    
161	280   	5098.08	6469.09	80.3565	75635.1    
162	280   	6004.36	8163.16	80.3565	89678.5    
163	280   	4931.96	6690.54	80.3565	62502.8    
