
gen	nevals	avg    	std    	min    	max    
1  	280   	6876.28	1599.48	4836.39	8250   
2  	280   	6879.64	1597.6 	4836.39	8250   
3  	280   	5413.75	1337.78	4796.42	24558.1
4  	280   	5267.71	2438.51	4796.42	48939.3
5  	280   	5155.4 	2020.61	4754.07	48939.3
6  	280   	5089.68	2047.63	4670.2 	48939.3
7  	280   	5038.49	973.689	4662.49	18005.9
8  	280   	5127.38	1774.1 	4577.93	31418.4
9  	280   	5104.58	2171.36	3474.32	34107.6
10 	280   	4842.64	1031.77	3451.01	18005.9
11 	280   	4824.53	2134.41	4031.21	54219.8
12 	280   	4813.57	1678.69	3275.35	30302.8
13 	280   	5178.01	3587.08	2317.62	38614.1
14 	280   	5953.55	5819.48	1293.97	38752  
15 	280   	7919.95	9354.11	776.891	47659.6
16 	280   	10235.8	11348.8	776.891	44791.5
17 	280   	12695.6	13075.2	776.891	44791.5
18 	280   	10365.5	11721.1	698.419	47076.5
19 	280   	9234.21	11044.5	698.419	47610.7
20 	280   	10608  	11904.1	698.419	44731.7
21 	280   	10413.4	11946.6	776.891	51020.9
22 	280   	10150.7	11064.1	515.232	46857.6
23 	280   	9078.76	9816.06	515.232	54990.1
24 	280   	8093.86	8897.61	515.232	47736  
25 	280   	9341.58	10145.2	515.232	49741.5
26 	280   	10212.7	10635.9	486.094	46394.5
27 	280   	9495.16	10458.2	486.094	48602.3
28 	280   	9201.95	9936.33	486.094	45720.5
29 	280   	9760.58	10201.9	486.094	58741.2
30 	280   	9897.72	10041.1	466.646	50979.4
31 	280   	9055.13	9661.16	466.646	45402.5
32 	280   	9328.68	11602  	461.875	144179 
33 	280   	9800.52	10594.3	466.646	51607.9
34 	280   	8838.85	10008.1	466.646	47833.1
35 	280   	8138.96	9194.74	434.111	45330.6
36 	280   	10246.8	11046.5	434.111	53633.3
37 	280   	10183.7	11509.3	434.111	53433.9
38 	280   	9296.59	10891.9	434.111	53433.9
39 	280   	8166.6 	10470.4	434.111	53433.9
40 	280   	9235.36	11333.1	434.111	53433.9
41 	280   	9307.99	11290.1	434.111	53567.8
42 	280   	9449.88	11827.3	434.111	61904.9
43 	280   	8609.79	11316.3	434.111	66484.7
44 	280   	8652.73	10669.1	434.111	53433.9
45 	280   	9994.1 	12638.3	434.111	76030.8
46 	280   	9519.36	11133  	402.106	53433.9
47 	280   	9113.49	11042.9	402.106	53433.9
48 	280   	9586.04	11735.4	402.106	63747.4
49 	280   	10439.4	11250  	398.253	51444.1
50 	280   	10340.9	12048.6	398.253	51444.1
51 	280   	8389.87	10201.8	398.253	56660.6
52 	280   	8639.22	11034.4	398.253	98628  
53 	280   	9213.88	10758.2	398.253	60644.8
54 	280   	7958.17	10073.2	398.253	60613.2
55 	280   	9425.35	11323.4	398.253	57523.7
56 	280   	7400.17	9671.21	398.253	60956.5
57 	280   	8813.88	10787.9	398.253	51343.2
58 	280   	8285.51	11618.9	398.253	120446 
59 	280   	8535.01	10683.7	398.253	46281.6
60 	280   	8137.02	10748.1	349.302	81368.9
61 	280   	8284.41	10965.3	349.302	81528.6
62 	280   	8997.2 	11492.6	349.302	50568.3
63 	280   	7861.43	10614.1	349.302	64706.3
64 	280   	8450.23	10691.1	349.302	84359.6
65 	280   	8747.98	11552.9	349.302	71073.4
66 	280   	7441.08	10404.4	349.302	54517.4
67 	280   	8861.35	10796.9	349.302	53535  
68 	280   	7895.35	10779.8	349.302	53434.9
69 	280   	9332.72	11894.6	349.302	61580.1
70 	280   	8735.47	11544.7	349.302	49323.3
71 	280   	9334.42	12231.8	349.302	81412.2
72 	280   	8768.5 	12032.7	349.302	106649 
73 	280   	8169.12	10594.2	349.302	79968.1
74 	280   	8436.49	10820.7	349.302	79968.1
75 	280   	8556.98	11410.9	349.302	93558.4
76 	280   	8237.21	11802.2	349.302	99598.6
77 	280   	8168.85	10992.7	349.302	99598.6
78 	280   	9278.63	11564.7	349.302	60031.6
79 	280   	7146.65	9475.23	349.302	48237.1
80 	280   	7577.57	10037.3	349.302	47806.7
81 	280   	7079.42	8743.54	349.302	47141.5
82 	280   	7585.19	9532.64	349.302	50328.6
83 	280   	7214.93	9204.19	349.302	64822.4
84 	280   	7874.75	9996.88	349.302	50577.3
85 	280   	7356.22	10134.6	349.302	51596.9
86 	280   	6870.13	9508.6 	349.302	54353.3
87 	280   	7067.85	9782.29	349.302	54353.3
88 	280   	8199.46	10079.4	349.302	68458  
89 	280   	8361.47	10751.5	349.302	81295.4
90 	280   	6842.84	9097.65	349.302	51477.6
91 	280   	7042.38	9658.41	349.302	74211.1
92 	280   	6945.34	8876.39	349.302	48257.7
93 	280   	7797.54	9621.86	349.302	70136  
94 	280   	6756.45	8957.62	349.302	48351.4
95 	280   	6792.57	8656.78	349.302	45364.7
96 	280   	6969.5 	8746.31	349.302	42372  
97 	280   	6854.5 	9096.5 	349.302	62190.2
98 	280   	6860.75	9215.32	349.302	55442.4
99 	280   	6903.73	8738.03	398.253	45269.4
100	280   	6248.65	9563.88	398.253	83113.1
101	280   	7355.85	9645.45	398.253	55770.8
102	280   	7440.84	9531.96	398.253	60913.6
103	280   	6541.97	9614.85	398.253	87313.9
104	280   	6914.4 	9292.17	398.253	52828.7
105	280   	7373.44	10032.3	398.253	89286.4
106	280   	6739.85	9370.35	398.253	77064.6
107	280   	6761.81	9774.44	398.253	103902 
108	280   	7284.55	9773.31	398.253	53819.5
109	280   	6596.59	9204.61	374.393	60892.4
110	280   	7462.09	9685.08	380.424	59642.8
111	280   	7039.72	9368.71	380.424	79200.8
112	280   	7111.41	9546.4 	380.424	44433.7
113	280   	6029.67	8849.35	380.424	51701.3
114	280   	7051.21	9487.8 	380.424	60870.4
115	280   	6681.88	9612.19	380.424	49512.2
116	280   	6917.65	9503.5 	380.424	43392.9
117	280   	7232.17	10470.9	380.424	57484.5
118	280   	7180.3 	9776.15	380.424	44434  
119	280   	7712.37	10454.2	380.424	71309.3
120	280   	7042.38	11760.4	358.493	134521 
121	280   	6691.15	9178.28	358.493	56726.7
