
gen	nevals	avg    	std    	min    	max    
1  	280   	6876.28	1599.48	4836.41	8250   
2  	280   	6879.64	1597.6 	4836.41	8250   
3  	280   	5412.33	1337.88	4798.9 	24554.8
4  	280   	5218.28	2859.82	4766.51	66965.7
5  	280   	5480.54	7624.93	4701.95	183608 
6  	280   	5051.09	786.127	4677.28	13154.2
7  	280   	5111.72	951.057	4582.37	13154.2
8  	280   	4881.1 	1308.13	4563.34	34299.8
9  	280   	4890.9 	1310.04	4416.48	30404.2
10 	280   	4809.7 	1126.76	4088.59	30404.2
11 	280   	4774.03	1939.29	866.181	49674.7
12 	280   	4838.72	2087.21	866.181	49674.7
13 	280   	4828.49	1509.11	866.181	17368.5
14 	280   	5093.14	2440.35	865.977	20236.9
15 	280   	5821.2 	3758.15	866.181	20236.9
16 	280   	6629.75	4348.11	866.181	20236.9
17 	280   	6341.17	4297.22	783.22 	22127.3
18 	280   	6281.94	4596   	708.702	56318  
19 	280   	5935.27	4008.22	708.702	19490.1
20 	280   	6191.08	4411.89	708.702	19465.6
21 	280   	6271.37	4510.21	708.702	18937.4
22 	280   	6203.84	4522.52	708.702	19130.6
23 	280   	5909.25	4195.44	528.741	19130.6
24 	280   	5921.49	4394.9 	528.741	18885.2
25 	280   	5741.92	4584.02	528.741	44226.5
26 	280   	5954.79	4694.41	528.741	44226.5
27 	280   	5776.62	4547.52	515.678	19420.6
28 	280   	5611.13	4504.01	515.678	18679.7
29 	280   	5520.21	4232.08	515.678	19169.1
30 	280   	5860.63	4567.82	515.678	18973.8
31 	280   	5779.52	4500.4 	515.678	20699.7
32 	280   	5497.59	4337.21	515.678	18871.4
33 	280   	5751.5 	4498.24	515.678	19232.9
34 	280   	6146.56	5065.25	515.678	20660.4
35 	280   	6000.24	4715.05	515.678	19072.8
36 	280   	6135.69	4808.96	515.678	19318.4
37 	280   	6228.66	8706.46	515.678	179345 
38 	280   	6145.4 	4875.59	515.678	19130.9
39 	280   	6582.14	5147.26	515.678	20084.4
40 	280   	6236.59	4804.02	515.678	19730.9
41 	280   	6541.08	4965.36	460.596	27567.1
42 	280   	6432.11	4875.67	460.596	23733.8
43 	280   	5911.51	4517.1 	460.596	20400.5
44 	280   	5427.01	4364.27	460.596	24753.6
45 	280   	5356.6 	4271.79	460.596	24753.6
46 	280   	5674.37	4427.62	460.596	24753.6
47 	280   	5358.84	4281.17	449.079	25845.2
48 	280   	5324.82	4226.97	449.079	28248.3
49 	280   	5181.04	4113.74	449.079	18755.2
50 	280   	5549.66	5301.76	449.079	71938.7
51 	280   	5744.59	5805.01	449.079	71938.7
52 	280   	5696.52	5718.89	449.079	71938.7
53 	280   	5867.51	5246.63	449.079	59053.4
54 	280   	5600.83	4442.53	449.079	19417.3
55 	280   	5809.15	4714.45	449.079	26051.8
56 	280   	5769.01	4934.58	449.079	37557.2
57 	280   	6287.9 	5410.71	449.079	37557.2
58 	280   	6361.54	5566.7 	449.079	55666.6
59 	280   	6137.95	5231.27	449.079	42594.4
60 	280   	5771.62	5275.83	449.079	68124.1
61 	280   	5575.48	5859.01	449.079	68124.1
62 	280   	6187.34	5856.33	473.157	79061  
63 	280   	5676.93	6199.02	473.157	99601.3
64 	280   	5795.37	4831.49	473.157	20904.2
65 	280   	6066.9 	5748.56	473.157	58657.4
66 	280   	5268.85	4487.93	473.157	36495.3
67 	280   	5654.98	4982.06	473.157	42172.5
68 	280   	5581.32	6942.99	473.157	118172 
69 	280   	6221.49	5594.44	473.157	59545.4
70 	280   	5499.01	6370.53	473.157	82147.6
71 	280   	5654.31	5323.04	473.157	68167.1
72 	280   	5743.15	6543.33	473.157	80649.1
73 	280   	5921.14	4924.78	473.157	36215.2
74 	280   	5521.01	5325.93	473.157	60959.6
75 	280   	5964.74	8364.06	473.157	165434 
76 	280   	5533.64	5755.04	473.157	78333.6
77 	280   	6145.73	7034.02	473.157	102732 
78 	280   	5922.14	8080.95	396.809	102732 
79 	280   	5978.97	6574.25	391.373	76017.1
80 	280   	6010.03	7148   	391.373	102918 
81 	280   	6088.64	6633.36	391.373	84327.4
82 	280   	6584.76	8505.52	391.373	121220 
83 	280   	6757.16	6679.84	391.373	56601  
84 	280   	5883.76	5815.21	391.373	53418.6
85 	280   	5638.68	5849.83	391.373	71055.3
86 	280   	6486.9 	7879.39	391.373	123817 
87 	280   	6659.12	7273.97	391.373	87375.4
88 	280   	5890.5 	7199.57	396.809	80343.2
89 	280   	6637.61	8797.98	396.809	96687.6
90 	280   	5877.51	7013.52	353.898	75069  
91 	280   	6252.2 	7442   	353.898	68770.7
92 	280   	6405.57	8136.09	353.898	70110.9
93 	280   	5776.98	7113.89	353.898	76063  
94 	280   	6039.24	7075.82	353.898	73939.9
95 	280   	6244.06	7634.78	353.898	85697.1
96 	280   	5792.94	5469.33	353.898	43391.6
97 	280   	5237.25	5767.8 	353.898	61700.8
98 	280   	5844.95	7190.1 	353.898	68894.5
99 	280   	5214.45	5390.66	353.898	44478.9
100	280   	4776.94	5208.47	353.898	52419.9
101	280   	5371.37	5370.37	353.898	43372.3
102	280   	5112.57	6170.44	353.898	62587.9
103	280   	6137.62	8562.42	353.898	93349.5
104	280   	6211.11	7511.9 	353.898	66017.4
105	280   	6081.11	10241.8	353.898	123263 
106	280   	6585.42	10194.1	353.898	129454 
107	280   	6933.55	10548.1	353.898	92336.8
108	280   	6368.27	8466.18	353.898	91602.2
109	280   	5546.88	7490.62	353.898	72884.8
110	280   	6431.37	7992.13	373.776	69818.5
111	280   	6751.98	7642.24	373.776	66774.3
112	280   	6169.11	7797.31	373.776	66774.3
113	280   	6031.52	8817.56	373.776	102772 
114	280   	5278.84	5851.78	367.278	76078.2
115	280   	5170.09	5467.71	367.278	55880.5
116	280   	5379.4 	6999.12	360.534	73996.9
117	280   	5896.99	8291.39	360.534	80306.6
118	280   	6370.12	10130.5	360.534	99644  
119	280   	6333.34	7122.39	360.534	81125.6
120	280   	6560.51	10166.7	360.534	113899 
121	280   	6212.21	8172.74	360.534	93560.5
122	280   	5060.71	5137.93	360.534	47471.9
123	280   	5758.31	8035.56	360.534	72881.3
124	280   	5467.27	10313.7	360.534	122425 
125	280   	5452.92	7604.56	277.137	107809 
126	280   	5925.3 	11276.3	277.137	107809 
127	280   	5605.75	7471.67	277.137	73062.3
128	280   	5198.36	6701.97	220.279	72937.6
129	280   	5718.53	8177.28	220.279	91466.1
130	280   	5704.72	7683.63	220.279	81099.8
131	280   	5348.94	7384.67	220.279	81099.8
132	280   	5443.02	6299.81	220.279	62550.2
133	280   	5773.21	8922.32	220.279	110747 
134	280   	6015.25	7571.7 	220.279	82193.6
135	280   	5766.08	8179.37	220.279	77089.4
136	280   	4865.81	4805.92	220.279	41239.6
137	280   	5302.32	8276.14	220.279	133452 
138	280   	5777.77	6815.65	220.279	63958.9
139	280   	5552.04	7671.39	220.279	69169.9
140	280   	5841.25	7526.83	220.279	74030.3
141	280   	6452.42	8272.73	220.279	63768.8
142	280   	5382.31	7830.48	220.279	96833.9
143	280   	6066.28	9071.94	220.279	111107 
144	280   	5966.22	9629.62	220.279	93447.9
145	280   	6346   	8533.29	220.279	64771.1
146	280   	5739.69	7982.24	220.279	74151.5
147	280   	6773.31	10259.7	220.279	92747.5
148	280   	5675.78	7004.62	220.279	81985.1
149	280   	5938.74	7952.82	220.279	79936.8
150	280   	6241.73	7460.03	220.279	74160.9
151	280   	5041.56	7485.24	220.279	122279 
152	280   	6011.58	8252.19	220.279	94606.1
153	280   	5954.35	8185.03	220.279	90565.8
154	280   	5301.3 	7400.66	220.279	71839.5
155	280   	5932.75	8757.71	220.279	78598  
156	280   	7095.21	11721  	220.279	121955 
157	280   	5551.99	7522.7 	220.279	76211.9
158	280   	5161.72	7681.38	220.279	75980.4
159	280   	5666.14	9475.65	220.279	111921 
160	280   	5556.9 	7633.38	220.279	84330.2
161	280   	6675.21	9714.26	220.279	84330.2
162	280   	5503.83	8679.23	220.279	88275.7
163	280   	5900.72	9045.3 	220.279	84330.2
164	280   	6033.13	9953.07	220.279	84330.2
165	280   	6498.57	8289.74	220.279	84330.2
166	280   	5759.53	8343.14	220.279	84330.2
167	280   	6039.17	10475  	220.279	84330.2
168	280   	6266.53	11031.4	220.279	84330.2
169	280   	7014.97	12091.5	220.279	84330.2
170	280   	6428.51	12404.5	220.279	84330.2
171	280   	6755.88	12038.9	220.279	119802 
172	280   	6181.3 	10475.6	220.279	84330.2
173	280   	6450.95	11545.4	220.279	84330.2
174	280   	5658.36	9029.72	220.279	91444.5
175	280   	6226.86	11131.5	220.279	84330.2
176	280   	6213.09	8792.25	220.279	84330.2
177	280   	5871.58	9806.38	220.279	125344 
178	280   	6630.32	9664.35	220.279	97503.5
179	280   	6684.5 	10698.5	220.279	99514.8
180	280   	6520.42	10665.8	220.279	84330.2
181	280   	6066.29	9050.42	261.717	110800 
182	280   	5218.58	7865.52	261.717	84330.2
183	280   	6692.51	9560.2 	261.717	84330.2
184	280   	5756.33	8505.77	277.137	84330.2
185	280   	5471.41	9502.56	277.137	84330.2
186	280   	7613.96	13447.3	277.137	84330.2
187	280   	7305.32	13101.6	277.137	89651.7
188	280   	6609.61	11058.1	277.137	84330.2
189	280   	7638.84	13192.4	215.577	84330.2
190	280   	6748.79	12358.2	215.577	117048 
191	280   	8438.76	15368.9	215.577	87603.7
192	280   	7066.06	11383.1	215.577	87603.7
193	280   	8271.28	14455.7	215.577	87603.7
194	280   	6929.81	9428.99	215.577	84330.2
195	280   	5735.26	6403.08	215.577	59706.9
196	280   	4848.27	5941.63	215.577	49301.9
197	280   	5661.5 	6910.92	215.577	71932  
198	280   	5764.52	6319.13	215.577	76184.8
199	280   	6042.26	7839.07	215.577	66879.3
200	280   	5801.43	8725.02	215.577	118948 
201	280   	5967.72	8734.28	215.577	84210.3
202	280   	5847.77	8351.12	215.577	89238  
203	280   	5990.31	8492.67	215.577	89238  
204	280   	5960.17	8227.97	215.577	105706 
205	280   	5508.63	7468.09	215.577	96807  
206	280   	6222.33	8353.51	215.577	73027  
207	280   	5322.91	6755.22	215.577	54667  
208	280   	5764.26	6991.68	215.577	72039.9
209	280   	5068.95	6476.65	215.577	62839.6
210	280   	5452.2 	6025.05	215.577	63720.2
211	280   	5153.85	6932.41	215.577	84440.4
212	280   	5314.87	6578.87	215.577	68911  
213	280   	5418.51	7651.64	215.577	83217.7
214	280   	5107.15	7410.95	206.097	92453.1
215	280   	5495.3 	7869.63	206.097	92453.1
216	280   	4937.28	5889.09	206.097	64812.8
217	280   	5990.53	8915.48	206.097	78223.1
218	280   	5045.64	6021.32	206.097	63781.2
219	280   	5395.74	6790.75	206.097	63781.2
220	280   	5511.4 	7074.81	206.097	79204.8
221	280   	6023.03	7296.14	206.097	60807.7
222	280   	5159.01	7563.58	206.097	74905.4
223	280   	5640.23	8186.28	206.097	84275.2
224	280   	5647.65	7416.08	206.097	64763.2
225	280   	5034.76	6166.44	206.097	55469.4
226	280   	5557.48	7406.47	206.097	91222  
227	280   	5077.57	7457.57	206.097	80103.9
228	280   	5484.49	8396.86	206.097	99514.8
229	280   	6086.18	9929.57	206.097	105633 
230	280   	6113.25	8444.57	206.097	100538 
231	280   	5581.77	7520.51	206.097	81082.5
232	280   	5887.36	7550.31	206.097	67968.2
233	280   	5021.89	6574.89	206.097	51486.6
