
gen	nevals	avg    	std    	min    	max        
1  	280   	7626.29	1599.48	5586.42	9000       
2  	280   	7629.65	1597.6 	5586.42	9000       
3  	280   	6163.61	1337.05	5546.43	25278.1    
4  	280   	5936.92	2380.61	5546.43	56815.9    
5  	280   	5922.42	2260.38	5448.66	57381.2    
6  	280   	5897   	2380.91	5394.63	57381.2    
7  	280   	5978.49	1355.54	1781.4 	15872.1    
8  	280   	5627.4 	1287.58	1781.4 	34693.8    
9  	280   	5671.72	1470.62	1781.4 	34693.8    
10 	280   	5692.38	2024.94	998.667	34693.8    
11 	280   	5972.96	3388.56	1061.57	39581.6    
12 	280   	6666.37	5438.42	1061.57	39792.7    
13 	280   	8763.59	8812.57	1061.57	44721.1    
14 	280   	11201.2	11888.3	1022.45	57883.3    
15 	280   	12533.2	14228.2	967.478	143024     
16 	280   	10322.1	12164.1	923.933	57883.3    
17 	280   	12007.6	13806.6	923.933	75758.6    
18 	280   	11660.2	12594.5	967.478	75758.6    
19 	280   	10398.4	11937.3	1037.8 	75758.6    
20 	280   	11556.1	11902.3	766.969	75758.6    
21 	280   	11682.1	12561.4	766.969	71603.9    
22 	280   	11346.7	13273.8	766.969	62917.4    
23 	280   	12054.7	13904.4	766.969	82875      
24 	280   	11324.7	13123.8	766.969	62917.4    
25 	280   	10145.3	11295.6	763.096	53812.7    
26 	280   	11817  	12392  	707.887	59928.9    
27 	280   	10945  	12135.5	668.617	59928.9    
28 	280   	10914.3	12510.2	668.617	92758.8    
29 	280   	11749.2	13442.7	668.617	98936.4    
30 	280   	12197.2	13191.2	668.617	60150.2    
31 	280   	12149.6	12760.4	668.617	53863.8    
32 	280   	10773.3	12638.4	668.617	64936.5    
33 	280   	12106.6	12717.6	660.215	64936.5    
34 	280   	11441.3	11724.2	620.913	49848.3    
35 	280   	10255.2	11463.7	620.913	51596.4    
36 	280   	11405.5	12061.9	620.913	65990.4    
37 	280   	10086.6	10828.3	620.913	45479.6    
38 	280   	10138.4	10881.2	620.913	65288.2    
39 	280   	10399.2	11546.8	594.237	100964     
40 	280   	8941.71	11321  	469.728	100100     
41 	280   	9258.36	10530.5	469.728	72218.7    
42 	280   	9357.87	11818.7	469.728	96723.2    
43 	280   	9820.89	10565.2	469.728	55726      
44 	280   	8681.42	10744  	469.728	74471      
45 	280   	9024.47	10914.8	469.728	76694      
46 	280   	9513.51	10828  	469.728	66099.1    
47 	280   	9015.03	11676.8	469.728	103266     
48 	280   	9003.52	11460.4	469.728	100219     
49 	280   	9256.75	11180.9	469.728	59641      
50 	280   	8865.17	11434.9	469.728	83631.4    
51 	280   	9044.1 	10715.8	469.728	68021.5    
52 	280   	9325.42	11644.4	469.728	78254.3    
53 	280   	10977.9	13010.4	469.728	125534     
54 	280   	9060.18	10983.3	469.728	78254.3    
55 	280   	9728.46	13049.6	469.728	117108     
56 	280   	9488.48	15371.9	469.728	151145     
57 	280   	10492.2	13734.8	469.728	105031     
58 	280   	10067.9	13476.2	469.728	125351     
59 	280   	10132.2	13022.7	469.728	118164     
60 	280   	9341.7 	12766.3	469.728	118514     
61 	280   	9383.25	12890.4	469.728	105645     
62 	280   	10450.6	13090  	469.728	117475     
63 	280   	9388.91	12549.1	469.728	99629.9    
64 	280   	10784.9	14642.6	469.728	99629.9    
65 	280   	11979.1	16449  	469.728	107768     
66 	280   	9869.37	15429.4	469.728	99629.9    
67 	280   	10888.2	15117.4	469.728	109096     
68 	280   	10740  	15396.4	469.728	99629.9    
69 	280   	10410.3	13844  	469.728	79220.6    
70 	280   	10155.1	13385.9	469.728	79220.6    
71 	280   	11443.2	14690.2	469.728	84429.8    
72 	280   	11603.6	14817.4	469.728	112460     
73 	280   	9616.35	13113.2	469.728	90284.4    
74 	280   	9556.22	13202.5	403.273	79465.3    
75 	280   	10668.7	21952.3	469.728	423339     
76 	280   	9749.22	13726.9	469.728	97364.7    
77 	280   	12943.1	18155.3	469.728	112013     
78 	280   	11510.9	14926.5	469.728	97364.7    
79 	280   	10153.4	15060.4	469.728	124557     
80 	280   	9841.25	14129.9	469.728	98686.9    
81 	280   	8752.03	12346.1	469.728	80207.7    
82 	280   	8285.04	11627.6	469.728	87366.6    
83 	280   	8793.63	12398.8	469.728	72895.5    
84 	280   	6898.05	11309.6	469.728	87714.6    
85 	280   	7803.12	13135.1	469.728	120198     
86 	280   	8933.97	13624.3	469.728	120198     
87 	280   	8703.98	15195  	456.614	116285     
88 	280   	9385.29	16668.7	389.388	127630     
89 	280   	8893.06	14137.1	389.388	131619     
90 	280   	8871   	13505.3	389.388	107548     
91 	280   	9639.19	14324.9	389.388	94562.3    
92 	280   	9480.12	14440.3	389.388	110189     
93 	280   	8758.91	11101.4	389.388	64698.7    
94 	280   	6741.48	10471.7	389.388	74701.2    
95 	280   	7917.84	12828.1	389.388	124615     
96 	280   	8257.97	12500.3	389.388	119182     
97 	280   	8919.84	11898.1	343.859	71196.2    
98 	280   	7224.74	11852.2	343.859	85110.8    
99 	280   	6932.06	10828.4	343.859	79137.4    
100	280   	6844.42	10248  	343.859	80513.9    
