
gen	nevals	avg    	std    	min    	max        
1  	280   	7626.29	1599.46	5586.48	9000       
2  	280   	7629.64	1597.59	5586.48	9000       
3  	280   	6171.07	1334.1 	5546.48	24945.5    
4  	280   	5819.9 	675.265	5431.17	17878.5    
5  	280   	5752.82	1067.09	5454.61	30339.2    
6  	280   	5837.01	3405.23	5397.49	85687.5    
7  	280   	5919.37	3938   	5397.49	85687.5    
8  	280   	5927.01	3948.33	5359.23	85687.5    
9  	280   	5926.97	4084.34	5350.15	90169.7    
10 	280   	5640.63	2031.29	3869.84	36452.6    
11 	280   	5852.81	3198.96	2715.64	36452.6    
12 	280   	6241.66	4320.82	2715.64	36452.6    
13 	280   	7208.95	6700.42	1046.78	37742      
14 	280   	8849.36	9200.67	982.954	49194.3    
15 	280   	8581.62	9312.13	935.928	49194.3    
16 	280   	10267.6	11211.5	935.928	49194.3    
17 	280   	9180.75	11134.3	935.928	89545.6    
18 	280   	9463.16	11439  	935.928	89545.6    
19 	280   	10141.9	11696.1	831.726	51005.4    
20 	280   	9665.45	11977.7	831.726	51005.4    
21 	280   	9948.56	11995.6	831.726	55150.8    
22 	280   	10514.8	12830.3	831.726	55189.1    
23 	280   	10412.3	11879.6	831.726	50877.9    
24 	280   	9340.98	11011.3	690.591	54521.2    
25 	280   	10076.2	11282.8	610.223	45319.9    
26 	280   	9556.86	10575.1	610.223	48350.3    
27 	280   	9933.48	11194.2	610.223	52737.4    
28 	280   	9711.46	10462.9	610.223	46243.8    
29 	280   	10220.3	11225.9	610.223	63169.7    
30 	280   	9775.51	11157.2	610.223	51086.8    
31 	280   	9970.25	11009.5	610.223	51086.8    
32 	280   	9428.32	11220.6	610.223	51086.8    
33 	280   	10989.3	11925.7	610.223	51086.8    
34 	280   	9183.65	10535.7	610.223	51086.8    
35 	280   	10467.5	12368.7	610.223	108572     
36 	280   	11068.4	12322.6	610.223	59799.5    
37 	280   	9991.39	11563.6	610.223	53275.3    
38 	280   	10665  	12220.4	559.34 	59034.3    
39 	280   	9989.6 	12528.2	559.34 	78086.7    
40 	280   	11091.4	12761.5	559.34 	78086.7    
41 	280   	10545.6	13056.5	559.34 	78086.7    
42 	280   	10830.7	13346.1	559.34 	78086.7    
43 	280   	10705.6	12499  	559.34 	65318.9    
44 	280   	10091.5	12302.8	496.069	66091.8    
45 	280   	11267.5	15542.2	496.069	193054     
46 	280   	11312.1	12963.1	496.069	52251.8    
47 	280   	11870.3	14631.3	496.069	123733     
48 	280   	11406.7	14172.9	496.069	94544.7    
49 	280   	10748  	13659.5	496.069	74936.6    
50 	280   	9895.33	12677.2	496.069	65051.5    
51 	280   	10851.7	14526.9	496.069	84286.1    
52 	280   	12814.7	16189.4	496.069	91975.3    
53 	280   	11181.4	14507.1	496.069	91975.3    
54 	280   	11560.1	15878.7	496.069	91975.3    
55 	280   	11684.7	15869.8	496.069	91975.3    
56 	280   	13200.6	16856.9	496.069	91975.3    
57 	280   	13491.9	17583.6	496.069	91975.3    
58 	280   	11724.4	16192  	496.069	91975.3    
59 	280   	11829.9	16113.9	496.069	86020.3    
60 	280   	11934.7	15756.2	496.069	101988     
61 	280   	11327.4	15239.5	496.069	101988     
62 	280   	10951.2	14566.3	496.069	69832.7    
63 	280   	9389.09	13039.7	496.069	58820.8    
64 	280   	8940.23	12816.8	496.069	96090.3    
65 	280   	9221.35	13255  	441.216	118449     
66 	280   	8613.77	12467.9	441.216	73154.1    
67 	280   	9745.79	13846.6	441.216	85123      
68 	280   	8992.74	13796.2	441.216	96937.5    
69 	280   	10160.9	14683  	441.216	96937.5    
