
gen	nevals	avg    	std    	min    	max        
1  	280   	7626.28	1599.48	5586.4 	9000       
2  	280   	7629.64	1597.6 	5586.4 	9000       
3  	280   	6163.82	1337.96	5546.42	25315.6    
4  	280   	5874.09	1201.26	5546.42	25315.6    
5  	280   	5964.05	1874.83	5469.29	36063      
6  	280   	5940.71	2138.89	1014.18	36063      
7  	280   	6011.26	2115.4 	1014.18	36063      
8  	280   	5647.98	1716.24	1014.18	27234.5    
9  	280   	5276.84	2074.42	1014.18	27234.5    
10 	280   	5424.19	3531.26	976.929	40402.5    
11 	280   	6429.19	6930.03	976.929	40402.5    
12 	280   	7868.71	9073.77	976.929	41286      
13 	280   	8820.48	9837.83	923.961	46470.4    
14 	280   	8814.89	9826.36	903.055	40452.8    
15 	280   	8767.18	10251.3	903.055	42052.2    
16 	280   	7976.06	9833.78	892.447	41620.1    
17 	280   	8799.46	10271.9	892.447	42648.2    
18 	280   	7745.14	9458.01	892.447	49342.5    
19 	280   	7430.29	9265.84	854.759	49342.5    
20 	280   	8376.69	9782.72	854.759	46149.8    
21 	280   	7352.22	9106.3 	854.759	69524.6    
22 	280   	8040.6 	9682.34	761.429	46483.2    
23 	280   	8014.01	10798.1	761.429	149871     
24 	280   	8308.4 	10039.8	631.37 	46017      
25 	280   	8025.71	9833.3 	631.37 	56229.2    
26 	280   	9342.41	11246  	631.37 	56229.2    
27 	280   	9692.92	11980.7	631.37 	64504.9    
28 	280   	10132.7	12460.4	631.37 	56229.2    
29 	280   	9823.04	11760.9	631.37 	56229.2    
30 	280   	10375.1	12559.2	631.37 	56229.2    
31 	280   	10324.8	12636.7	631.37 	56229.2    
32 	280   	8744.87	11569.1	631.37 	56135.7    
33 	280   	9989.65	13628.1	631.37 	82578.8    
34 	280   	10662.6	13837.9	631.37 	82578.8    
35 	280   	10128.2	13883  	631.37 	82578.8    
36 	280   	10471.9	13654.1	631.37 	82578.8    
37 	280   	11658.8	14918  	631.37 	88377.5    
38 	280   	12756.4	14816.9	579.732	82578.8    
39 	280   	11213.7	14632.5	562.427	63112.3    
40 	280   	10920.7	13947.4	562.427	58972.9    
41 	280   	11207.4	14144.2	562.427	58972.9    
42 	280   	11852.2	14619.3	562.427	66108.5    
43 	280   	11873.7	14652.2	562.427	73214      
44 	280   	10529  	14075.3	562.427	73214      
45 	280   	12364.7	16240.2	562.427	81091.5    
46 	280   	12623.8	16424.3	562.427	81091.5    
47 	280   	12896.7	16535.2	562.427	81091.5    
48 	280   	11281.2	15506.8	562.427	65913.8    
49 	280   	10109  	14266.5	524.191	67983.8    
50 	280   	12005.9	16115  	524.191	68316.2    
51 	280   	13027.7	16199.7	524.191	68316.2    
52 	280   	11441  	15203.1	500.762	64274.5    
53 	280   	12078.5	15309.4	500.762	64274.5    
54 	280   	11924.7	16083  	500.762	66144.1    
55 	280   	11403.8	16883.3	500.762	123643     
56 	280   	9962.8 	13972.8	500.762	66144.1    
57 	280   	11392  	15144.9	489.382	85476.7    
58 	280   	10848.1	15476.3	489.382	66144.1    
59 	280   	13577.1	20767  	489.382	148557     
60 	280   	11794.5	17861  	458.561	148557     
61 	280   	10208.1	16386.6	458.561	148557     
62 	280   	11820.7	16915.1	458.561	79142      
63 	280   	11547.8	18061.3	458.561	77652.2    
64 	280   	11683.2	16314.7	458.561	101541     
65 	280   	10772.4	15997.8	458.561	101541     
66 	280   	9970.17	15173.9	458.561	66144.1    
67 	280   	10924.5	15389.6	458.561	78281.9    
68 	280   	9909.08	15756  	458.561	71403.5    
