
gen	nevals	avg    	std    	min    	max        
1  	280   	7626.29	1599.46	5586.48	9000       
2  	280   	7629.64	1597.59	5586.48	9000       
3  	280   	6171.07	1334.1 	5546.48	24945.5    
4  	280   	5819.9 	675.265	5431.17	17878.5    
5  	280   	5752.82	1067.09	5454.61	30339.2    
6  	280   	5837.01	3405.23	5397.49	85687.5    
7  	280   	5919.63	3940.03	5397.49	85687.5    
8  	280   	5927.27	3950.36	5359.23	85687.5    
9  	280   	5927.49	4088.26	5350.15	90169.7    
10 	280   	5641.79	2040.07	3865.68	36599.3    
11 	280   	5901.51	3467.08	1064.1 	36599.3    
12 	280   	6488.2 	5287.3 	1008.35	39923.5    
13 	280   	8336.8 	8408.95	1008.35	39923.5    
14 	280   	10207.7	10463.2	1004.59	42466.7    
15 	280   	9704.23	10384.1	1004.59	40565.2    
16 	280   	10339  	11485.4	978.8  	51607.3    
17 	280   	10655.6	11257.5	882.719	51607.3    
18 	280   	10437.9	11050.1	923.304	43738.2    
19 	280   	9529.71	10889.6	849.024	61422.2    
20 	280   	9061.57	10415.5	849.024	52845.2    
21 	280   	8873.62	9884.91	849.024	43637.8    
22 	280   	10146.5	10627.1	842.246	43175.4    
23 	280   	8919.6 	9840.41	790.319	44650.4    
24 	280   	9485.55	10402.6	790.319	46370.8    
25 	280   	9173.64	10742.7	790.319	54416.6    
26 	280   	10229.5	11333.8	725.725	54416.6    
27 	280   	10646.1	12021.5	650.622	51436.6    
28 	280   	9437.52	11043.7	650.622	55587.5    
29 	280   	9917.64	11873.4	650.622	52223.4    
30 	280   	9786.45	12493.7	650.622	55672      
31 	280   	10940.1	12866.2	650.622	63498.5    
32 	280   	10085.8	12509.7	471.884	54346.9    
33 	280   	11671.8	12962.1	471.884	54561.2    
34 	280   	9782.34	12162.1	471.884	87976.6    
35 	280   	10053  	12243.9	471.884	89979.2    
36 	280   	9557.26	10657.9	471.884	51421.4    
37 	280   	9848.72	11521.7	471.884	59502.9    
38 	280   	11975  	13864.8	471.884	96691.3    
39 	280   	11460.8	13032.4	471.884	67737      
40 	280   	10856.9	12732  	471.884	77655      
41 	280   	10703.8	13159.4	471.884	128218     
42 	280   	11271.7	13175.9	471.884	78596.7    
43 	280   	11467.4	13857.1	471.884	80833.4    
44 	280   	11421.4	13281.3	471.884	62493      
45 	280   	10829.7	13613.7	471.884	87415      
46 	280   	10189.4	13632.5	471.884	87415      
47 	280   	10256.7	15040.4	471.884	87415      
48 	280   	11367.4	15835.9	471.884	87415      
49 	280   	10075.9	13786.1	460.589	102898     
50 	280   	12579.2	15891.9	460.589	87415      
51 	280   	11812.3	15823.7	460.589	116936     
52 	280   	10296.7	14651.5	460.589	87415      
53 	280   	13246.4	17113.1	460.589	116234     
54 	280   	12661.4	16105.9	460.589	102447     
55 	280   	11962.8	15501  	460.589	102447     
56 	280   	12042.7	15296  	460.589	95962.4    
57 	280   	11152.6	15119.2	460.589	95962.4    
58 	280   	9314.19	13931.5	460.589	98937.5    
59 	280   	11277.4	16652  	460.589	155445     
60 	280   	12472.5	18822.2	460.589	127257     
61 	280   	9297.52	13086.5	430.184	71533.3    
62 	280   	11191.2	15020.3	430.184	125134     
63 	280   	9855.07	14329.4	430.184	95370.9    
64 	280   	12607.4	16425.1	430.184	127164     
65 	280   	9849.6 	13688  	375.493	75080      
66 	280   	9358.43	13945.2	430.184	75080      
67 	280   	11965.7	17003.1	430.184	121028     
68 	280   	10785.4	14965.3	430.184	95523.1    
69 	280   	11629.1	15304.4	430.184	114639     
70 	280   	11966.3	14955.4	430.184	87441.6    
