
gen	nevals	avg    	std    	min    	max        
1  	280   	7626.29	1599.46	5586.48	9000       
2  	280   	7629.64	1597.59	5586.48	9000       
3  	280   	6171.07	1334.1 	5546.48	24945.5    
4  	280   	5819.9 	675.265	5431.17	17878.5    
5  	280   	5752.82	1067.09	5454.61	30339.2    
6  	280   	5837.01	3405.23	5397.49	85687.5    
7  	280   	5919.65	3940.14	5397.49	85687.5    
8  	280   	5927.29	3950.46	5359.23	85687.5    
9  	280   	5927.52	4088.45	5350.15	90169.7    
10 	280   	5642.65	2040.04	3867.58	36606.6    
11 	280   	5904.72	3466.47	1064.26	36606.6    
12 	280   	6421.72	5078.54	1064.26	40437.7    
13 	280   	8115.92	8314.39	1064.26	42647.8    
14 	280   	9994.98	10829.4	1041.06	52280.1    
15 	280   	11573.8	11824.7	879.148	52280.1    
16 	280   	10220.7	11160.4	879.148	43589      
17 	280   	10099.2	11205.7	879.148	52798.2    
18 	280   	9141.63	10257.9	886.974	46747.4    
19 	280   	8321.48	11611.7	880.943	166532     
20 	280   	8477.52	9883.42	880.943	44577.5    
21 	280   	8597.44	10064.6	880.943	46735.7    
22 	280   	9365.55	10153  	880.943	50241.4    
23 	280   	8806.36	9978.07	750.735	50241.4    
24 	280   	7953.14	8912.96	851.425	41908.3    
25 	280   	8206.33	8835.17	851.425	39324.7    
26 	280   	8664.59	9851.74	802.074	43586.8    
27 	280   	9310.96	10617.6	793.459	102662     
28 	280   	9738.15	10723.7	785.555	67612.3    
29 	280   	8930.24	9721.1 	720.439	42526.3    
30 	280   	8385.37	9427.72	720.439	42341.1    
31 	280   	9503.32	10299  	720.439	46351.4    
32 	280   	8693.26	9839.09	720.439	46351.4    
33 	280   	9292.17	10260  	720.439	48670.4    
34 	280   	9689.33	10482.1	720.439	46351.4    
35 	280   	9116.34	10867.5	720.439	46351.4    
36 	280   	9899.65	10884  	720.439	49302.5    
37 	280   	9567.16	10489.3	720.439	51690.2    
38 	280   	11138.1	11814.8	720.439	49973.3    
39 	280   	10824.6	11533.5	628.158	47949.6    
40 	280   	8699.75	9938.22	628.158	46351.4    
41 	280   	10582.6	11247.7	628.158	56295.4    
42 	280   	10280.1	11090.9	628.158	52944      
43 	280   	9744.29	10824.9	628.158	50071.4    
44 	280   	10436.2	11587.4	628.158	58474.5    
45 	280   	10286.9	10820.9	628.158	51057.7    
46 	280   	10074.5	12205.5	628.158	108399     
47 	280   	11287  	12873.8	628.158	57236.1    
48 	280   	11181.5	13237.2	605.218	85590.8    
49 	280   	11308.9	14788.3	625.965	149789     
50 	280   	10500.1	12398  	625.965	56375.1    
51 	280   	10061.1	12125.1	542.087	56375.1    
52 	280   	9888.21	12449.6	542.087	74489.8    
53 	280   	10502.3	13585.9	542.087	78526.5    
54 	280   	10381.7	14068.6	542.087	78526.5    
55 	280   	10455.3	13417.7	575.789	78526.5    
56 	280   	11715  	15612.2	575.789	142490     
57 	280   	12083.2	14279.9	575.789	83668.3    
58 	280   	11870.7	14161.8	553.797	65412.4    
59 	280   	11492.6	14808.8	540.435	99006.8    
60 	280   	11502.9	15097.7	540.435	85135.2    
61 	280   	10044.6	14039.2	540.435	125335     
62 	280   	11033.4	14201.7	540.435	89649.4    
63 	280   	10479  	13930.7	540.435	89649.4    
64 	280   	11563.8	14645.1	540.435	78662.3    
65 	280   	10548.9	13757.3	540.435	101869     
66 	280   	11075.1	14319  	517.992	93624.6    
67 	280   	11969.5	15211.8	517.992	97675.6    
68 	280   	11386.4	15364  	517.992	115910     
69 	280   	11286.2	14018.3	486.487	96980.6    
70 	280   	10109.3	13460.8	486.487	66298.5    
