
gen	nevals	avg    	std    	min    	max    
1  	280   	7370.04	1893.28	4988.57	9000   
2  	280   	7374.47	1891.84	4988.57	9000   
3  	280   	5643.63	1488.52	4948.58	24347.6
4  	280   	5224.13	686.175	4833.26	17280.6
5  	280   	5155.98	1070.64	4856.7 	29741.3
6  	280   	5243.38	3409.57	4799.58	85089.6
7  	280   	5322.52	3946.23	4799.58	85089.6
8  	280   	5330.16	3956.54	4761.32	85089.6
9  	280   	5331.17	4100.2 	4752.24	89571.8
10 	280   	5046.44	2071.22	3502.57	36444.4
11 	280   	5142.81	3029.09	2335.47	36444.4
12 	280   	5697.51	5242.7 	2335.47	38751.5
13 	280   	7016.47	8166.28	944.238	39584  
14 	280   	9132.1 	11045.6	944.238	44431.7
15 	280   	11603.2	12949.9	944.238	44431.7
16 	280   	9928.98	11390.6	944.238	63898.8
17 	280   	11391.7	12998.1	944.238	63898.8
18 	280   	11458.8	12996.4	944.238	76386.1
19 	280   	8314.89	10235.8	944.238	46472.8
20 	280   	11006.8	12659.8	871.438	112756 
21 	280   	9448.77	10291.9	837.443	55314.9
22 	280   	10667  	11275.5	837.443	55314.9
23 	280   	9327.15	9982.74	762.621	55314.9
24 	280   	8385.94	10021.7	762.621	55314.9
25 	280   	11133.7	11621  	762.621	55314.9
26 	280   	11052.9	11950.3	762.621	55314.9
27 	280   	10802.1	11975.7	762.621	67539.9
28 	280   	11983.9	12824  	658.513	67539.9
29 	280   	11528.9	12752.2	762.621	65411.2
30 	280   	11977.1	13041.1	762.621	57170.1
31 	280   	13229.5	14598.3	762.621	57170.1
32 	280   	11892.2	14149.4	684.475	64342.4
33 	280   	12020.1	13470.8	684.475	64342.4
34 	280   	11996.7	13302.1	684.475	64342.4
35 	280   	12165.7	14686.4	762.621	113582 
36 	280   	14118  	15650.6	762.621	64342.4
37 	280   	12819.5	14269.4	725.797	57170.1
38 	280   	11409.4	13983.1	725.797	103700 
39 	280   	12217.7	13805.7	631.841	64241.7
40 	280   	11338.2	13827.3	631.841	80436.3
41 	280   	11962  	13464.7	592.105	61215.5
42 	280   	12208.9	14649.5	592.105	114834 
43 	280   	12255.5	13643.8	592.105	52211.8
44 	280   	11674.3	14199.3	592.105	63049  
45 	280   	13394.9	15299.3	592.105	65373  
46 	280   	12067.4	15040.1	592.105	75424.1
47 	280   	11485.3	14395.2	592.105	65010.3
48 	280   	10068.5	13786.5	592.105	77298.1
49 	280   	11486.5	14569.6	592.105	72153.6
50 	280   	11780.2	16184.9	573.016	130721 
51 	280   	11305.7	15031.2	573.016	72153.6
52 	280   	10821.1	14338.2	572.535	60172.9
53 	280   	10919.7	14342.3	573.016	82892.9
54 	280   	11709.8	14757.8	573.016	64051.9
55 	280   	11301.9	14947  	573.016	70103.2
56 	280   	10432.5	13823.8	523.25 	122728 
57 	280   	10035.8	13300.8	432.782	62154.3
58 	280   	9028.86	12641.6	432.782	62275.2
59 	280   	10808.7	14155.2	432.782	70216.3
60 	280   	11324.8	15821.6	432.782	117059 
61 	280   	10387.5	14678  	432.782	119728 
62 	280   	11953.9	16911  	432.782	156327 
63 	280   	10898.9	15357.8	432.782	111560 
64 	280   	12216.9	15850.5	432.782	131635 
65 	280   	10037.2	13729.1	432.782	65320.7
66 	280   	11454.7	13931.6	432.782	61994.6
67 	280   	11267  	15067  	432.782	142812 
68 	280   	10915.2	13409.8	432.782	86387.6
