
gen	nevals	avg    	std    	min    	max        
1  	280   	7917.32	16721.5	4816.87	285852     
2  	280   	7393.28	11889.6	4816.87	285852     
3  	280   	6493.62	16768.4	4816.65	285852     
4  	280   	7217.33	27110.8	4770.06	507648     
5  	280   	5250.55	2903.38	4603.94	53623      
6  	280   	5044.92	2119.05	4603.94	53623      
7  	280   	4890.02	516.21 	3429.45	11931.6    
8  	280   	4835.34	956.524	3429.45	25715.7    
9  	280   	4901.73	5070.87	899.483	124599     
10 	280   	5215.49	7468.3 	899.483	124599     
11 	280   	4756.15	3252.61	850.222	40279.9    
12 	280   	5818.1 	6979.83	798.302	40279.9    
13 	280   	7599.09	10015.3	649.805	45993.8    
14 	280   	10486.7	12507.3	551.744	45993.8    
15 	280   	10859.5	12768  	471.724	65584.6    
16 	280   	8719.19	10843.6	551.744	43037.9    
17 	280   	9051.7 	10980.4	551.744	57119.4    
18 	280   	9044.5 	11108.3	551.744	52041      
19 	280   	9951.3 	11651.6	551.744	53974      
20 	280   	10109.8	11916.3	446.871	48915.6    
21 	280   	10862.5	12142.8	446.871	48915.6    
22 	280   	9493.26	11293.4	446.871	57113.1    
23 	280   	7180.76	9237.23	446.871	49094      
24 	280   	12495.6	130581 	446.871	3.09193e+06
25 	280   	7468.72	9163.78	432.822	45857      
26 	280   	7868.77	9802.42	328.587	51865.1    
27 	280   	7163.72	9713.44	328.587	57624.1    
28 	280   	7516.82	9934.29	328.587	58231.4    
29 	280   	8334.72	10121  	328.587	58231.4    
30 	280   	7804.94	10406.9	328.587	58231.4    
31 	280   	7673.06	9835.08	328.587	47941.8    
32 	280   	7255.3 	9049.7 	328.587	43806.8    
33 	280   	6857.81	9132.21	325.464	44824.5    
34 	280   	7040.33	9564.17	325.464	46724.5    
35 	280   	7904.18	10025.8	325.464	46724.5    
36 	280   	8479.94	10483.3	325.464	46724.5    
37 	280   	7472.91	9139.15	325.464	55020.5    
38 	280   	7603.72	10457  	325.464	44844.4    
39 	280   	7950.44	10114  	325.464	48962.4    
40 	280   	7436.46	9854.42	325.464	48968.1    
41 	280   	6984.33	9779.86	325.464	48431.7    
42 	280   	7971.59	10669  	325.464	48431.7    
43 	280   	8397.17	10658.1	325.464	52716.1    
44 	280   	7764.29	10025.9	325.464	48431.7    
45 	280   	7754.06	9750.48	325.464	48431.7    
46 	280   	8348.84	10349  	325.464	48431.7    
47 	280   	9035.83	11080.9	325.464	48431.7    
48 	280   	8598.04	10886.4	325.464	46067      
49 	280   	7841.22	10059  	325.464	45704.5    
50 	280   	7634.74	9649.31	325.464	43080.9    
51 	280   	7666.07	10252.8	328.587	55636.9    
52 	280   	9148.7 	10704.6	270.177	51799.7    
53 	280   	7183.91	9593.07	328.587	45953.1    
