
gen	nevals	avg    	std    	min    	max        
1  	280   	6981.28	1625.23	4760.15	12060.2    
2  	280   	6969.67	1615.97	4760.15	12060.2    
3  	280   	5732.38	4870.47	4753.01	116539     
4  	280   	4970.39	559.017	4752.6 	8452.98    
5  	280   	4962.33	675.777	4645.04	8250       
6  	280   	4847.52	428.504	3376.14	8250       
7  	280   	4831.43	495.518	3376.14	8250       
8  	280   	4810.86	1267.68	2256.17	33067      
9  	280   	4702.89	1311.86	911.127	33067      
10 	280   	4973.17	3709.47	911.127	36154.1    
11 	280   	5746.53	6491.84	722.024	38752.3    
12 	280   	8390.29	10102.2	722.024	41102.2    
13 	280   	8745.94	10691.8	701.373	39117.9    
14 	280   	8733.04	10900.9	696.32 	47243.9    
15 	280   	8188.43	11602.8	699.531	96645.6    
16 	280   	9229.58	11556.5	686.019	47243.9    
17 	280   	9440.28	11882.6	585.088	49102.6    
18 	280   	9372.36	11904.3	585.088	45567.9    
19 	280   	9802.08	12447.2	533.215	45567.9    
20 	280   	9719.78	12428  	533.215	50892.5    
21 	280   	10757.9	12887.8	510.754	50885      
22 	280   	10532.9	12924.8	510.754	53030.3    
23 	280   	9975.46	12601.5	510.754	53493.7    
24 	280   	9333.52	12449.9	510.754	53030.3    
25 	280   	9685.77	13347.6	510.754	150150     
26 	280   	10321.6	13059  	510.754	57124.3    
27 	280   	10813.8	13865.8	510.754	57124.3    
28 	280   	11580.9	13675  	510.754	53030.3    
29 	280   	10385.9	12937.3	539.237	46752.8    
30 	280   	12074.7	14148.3	539.237	48327.9    
31 	280   	11709  	13997  	539.237	52158.2    
32 	280   	10978.9	14264.6	530.181	87101.6    
33 	280   	12624.9	15492.6	530.181	87101.6    
34 	280   	11003.3	15888.7	530.181	87101.6    
35 	280   	12082.6	16603.6	424.753	87101.6    
36 	280   	12507  	15805.6	424.753	87101.6    
37 	280   	13437.7	16294.3	424.753	87101.6    
38 	280   	10623.7	14218.5	424.753	87101.6    
39 	280   	12704.4	15059.6	424.753	87101.6    
40 	280   	12396.4	14722.8	424.753	62779.5    
41 	280   	11978.8	14414.5	424.753	61593.4    
42 	280   	11200.2	13879.6	377.673	63035.2    
43 	280   	12959.4	15428.9	377.673	69070.2    
44 	280   	10505.6	13877  	377.673	69070.2    
45 	280   	12180  	15521.1	377.673	69070.2    
46 	280   	13716.2	16898.8	377.673	93287.3    
47 	280   	11286.9	15136.4	377.673	69070.2    
48 	280   	10064.2	14152.4	377.673	73998.3    
49 	280   	9198.01	13601.1	377.673	66941.4    
50 	280   	11399.7	15937  	377.673	86040.6    
51 	280   	10654.3	15009.2	377.673	71933.1    
52 	280   	8834.96	15219.9	377.673	161464     
53 	280   	12290.4	17055.1	377.673	74239      
54 	280   	14492.8	18802.2	371.222	84964.8    
55 	280   	12637.3	17679.9	371.222	74209      
56 	280   	11864  	16586.8	347.804	81056      
57 	280   	12135.7	16371.6	347.804	65900      
58 	280   	10728.1	14695.7	347.804	61964.4    
59 	280   	10495.2	14606.4	347.804	67036.4    
60 	280   	10047.6	13871.7	347.804	64681.6    
61 	280   	9652.97	13829.6	347.804	62592.8    
62 	280   	11201.8	15712.9	347.804	98968.7    
63 	280   	10351.9	15371.3	347.804	98968.7    
64 	280   	12030.8	16253.6	347.804	75658.2    
65 	280   	11332.4	15926.4	347.804	67870.3    
66 	280   	13043.2	17792.6	347.804	67870.3    
67 	280   	14196.7	18913.5	347.804	71838.8    
68 	280   	16015.4	20492.7	347.804	89757.2    
69 	280   	14824.5	19030.2	347.804	89757.2    
70 	280   	14261.8	19243.5	347.804	72933.2    
71 	280   	12002.5	16918.8	325.709	69561      
72 	280   	14856.2	18985.8	278.79 	93059.3    
73 	280   	13353.4	18351.2	278.79 	104828     
74 	280   	12585.6	16941.6	278.79 	69561      
75 	280   	9795.58	14682.4	347.804	86873.3    
76 	280   	9805.53	14814.4	347.804	61796.3    
77 	280   	10210.5	15699.3	347.804	81438.2    
78 	280   	11844.1	16417.1	347.804	75943.2    
79 	280   	11868.4	17249.3	347.804	77551.2    
80 	280   	12363.4	17448.4	347.804	87006.3    
81 	280   	12209.9	17481.6	347.804	87006.3    
82 	280   	13866.2	18902.4	347.804	99979.7    
83 	280   	14446.3	19222.9	347.804	81015.1    
84 	280   	15531.1	20939.2	347.804	103060     
85 	280   	12322.5	18588.6	347.804	103816     
86 	280   	14156.9	19871.5	347.804	101149     
87 	280   	15165.3	19999.6	347.804	96979.3    
88 	280   	15073  	20268.2	260.732	75943.2    
89 	280   	14217.4	19494.5	260.732	119745     
90 	280   	12775.8	18931.7	314.852	119745     
91 	280   	14173.9	20643.7	314.852	121585     
92 	280   	14098.2	21550.2	314.852	121585     
93 	280   	14457  	21190.2	314.852	121585     
94 	280   	20522.8	136277 	314.525	3.20535e+06
95 	280   	15145.3	21020.4	314.525	121187     
96 	280   	14390.5	19102.2	304.016	107080     
97 	280   	12761.1	20538.2	304.016	94751.6    
98 	280   	15193.7	21995.7	314.525	125681     
99 	280   	14591.4	20962.9	314.525	94752.4    
100	280   	14101.5	21115.7	314.525	124964     
101	280   	13857.2	19411.9	314.525	97663.9    
102	280   	11148.9	16528.9	314.525	94751.6    
103	280   	12317.8	19165.5	314.525	167843     
104	280   	13846.9	22157.5	314.525	167843     
105	280   	13496.1	19855.2	281.219	167843     
106	280   	13859.6	20309.6	281.219	167843     
107	280   	12269.3	18582.2	281.219	167843     
108	280   	11284.8	17941.2	281.219	114676     
109	280   	9919.57	15931.2	279.898	102755     
110	280   	10541.7	16054.1	279.898	102755     
111	280   	10666.6	15457.2	255.761	71559.3    
112	280   	11720.2	16799.4	255.761	83030.2    
113	280   	9610.69	15955.8	207.002	112149     
114	280   	11026.2	17392.8	207.002	98520.2    
115	280   	9865.06	15759.9	207.002	93611.5    
116	280   	8867.9 	14515.8	207.002	80786.8    
117	280   	10212.6	16349.5	207.002	93784.6    
118	280   	10151.9	16208.9	207.002	93784.6    
119	280   	11327.4	16488.9	207.002	93784.6    
120	280   	10233.3	16059.6	207.002	97632.4    
121	280   	11231.7	16736.1	207.002	96731.2    
122	280   	10950.4	16811.3	207.002	115552     
123	280   	9967.76	16159.8	207.002	115582     
124	280   	10716.8	16293.5	207.002	88061      
125	280   	9354.94	15594.4	207.002	87890.7    
126	280   	10401.7	16354.5	207.002	86618.4    
127	280   	9896.81	15848.7	207.002	93005.6    
128	280   	11957  	18148.1	207.002	98615.8    
129	280   	8912.65	17612.5	207.002	148669     
130	280   	10953.7	18723  	207.002	104898     
131	280   	11413.6	18569.8	207.002	95652.4    
132	280   	13244.5	20167.6	207.002	118927     
133	280   	13322.3	20171.2	207.002	126203     
134	280   	13114.1	20279.1	207.002	100553     
135	280   	15922.9	21667.3	207.002	95711.6    
136	280   	14974.1	21209  	207.002	108957     
137	280   	14381.1	20078.2	207.002	96471.3    
138	280   	13340.2	19270.9	207.002	105753     
139	280   	13127.3	20063.4	207.002	96632.3    
140	280   	15947.6	22455  	207.002	116832     
141	280   	12413  	17909.3	207.002	89979.6    
142	280   	15252.7	20359.8	207.002	95032.5    
143	280   	13978  	20481.2	207.002	125676     
144	280   	17462  	23297.8	207.002	130390     
145	280   	15377.8	20805.9	207.002	89748.2    
