
gen	nevals	avg    	std    	min    	max    
1  	280   	7906.27	16537.8	4816.87	282758 
2  	280   	7387.76	11760.2	4816.87	282758 
3  	280   	5492.36	1224.82	4816.77	13604.4
4  	280   	6293.6 	23881.3	4767.84	569237 
5  	280   	5222.81	2054.54	4715.85	36358.1
6  	280   	5255.62	6314.73	4552   	153868 
7  	280   	5025.75	2964.35	4552   	73559.2
8  	280   	4827.11	570.531	3833.43	11915.4
9  	280   	4848.5 	754.758	3239.47	11915.4
10 	280   	4780.51	1037.79	2470.35	15423.4
11 	280   	4571.15	794.571	1935.51	14985.3
12 	280   	4493.04	1540.68	801.321	16941.3
13 	280   	4518.94	2639.9 	801.321	18282.3
14 	280   	5258.93	4011.62	801.321	31337.3
15 	280   	5634.25	4354.67	767.898	31337.3
16 	280   	5610.66	4258.32	800.866	31337.3
17 	280   	5393.73	4257.43	757.306	32500.2
18 	280   	5298.6 	4084.5 	757.306	20820.8
19 	280   	5113.72	3999.95	800.866	21319.9
20 	280   	5707.32	4514.39	800.866	21319.9
21 	280   	5480.08	4355.45	800.866	21319.9
22 	280   	5853.9 	4669.29	720.793	21319.9
23 	280   	5938.84	5333.83	674.564	62827.6
24 	280   	6134.14	5125.69	674.564	24076.6
25 	280   	6528.32	5647.97	674.564	23215.7
26 	280   	6788.62	5733.48	674.564	21570  
27 	280   	6207.23	6215.15	674.564	82500.7
28 	280   	6215.47	6337.08	674.564	82500.7
29 	280   	6897.78	6791.21	674.564	82500.7
30 	280   	7227.21	7766.53	674.564	82500.7
31 	280   	7696.98	7858.88	560.597	82500.7
32 	280   	7024.48	7696.52	560.597	82500.7
33 	280   	7737.64	9472.19	560.597	82500.7
34 	280   	7650.97	7691.73	560.597	70614.8
35 	280   	7590.42	7601.73	433.197	70614.8
36 	280   	7261.34	7859.88	433.197	70614.8
37 	280   	7483.31	9766.16	433.197	138298 
38 	280   	7609.62	8463.77	433.197	70614.8
39 	280   	6368.86	7292.6 	433.197	88797.9
40 	280   	7332.53	7723.21	433.197	88797.9
41 	280   	7453.79	9413.77	433.197	104884 
42 	280   	7765.67	9806.41	346.871	104884 
43 	280   	8394.8 	11748.6	346.871	104884 
44 	280   	9652.31	13260.8	346.871	104884 
45 	280   	9609.85	18079.8	346.871	292370 
46 	280   	10645.3	15871.7	340.95 	104884 
47 	280   	9214.64	14320.9	340.95 	114110 
48 	280   	10846.7	16455.2	346.871	122997 
49 	280   	9716.54	14815.3	346.871	111190 
50 	280   	9266.7 	14602.9	346.871	140367 
51 	280   	9101.79	14188.5	323.84 	104884 
52 	280   	10138.2	14838.3	323.84 	104884 
53 	280   	11062.4	17208.3	346.871	127778 
54 	280   	10368.7	16667.1	346.871	145158 
55 	280   	9347.41	14705  	310.669	108931 
56 	280   	9682.01	15378.2	310.669	107492 
57 	280   	11017.3	18781.7	310.669	109909 
58 	280   	10442.5	18957.3	310.669	140813 
59 	280   	13391.3	20888  	282.337	130093 
60 	280   	13068.9	20882.9	310.669	124073 
61 	280   	10786  	16930.8	310.669	97599.6
62 	280   	11509.4	18641.9	289.816	128186 
63 	280   	9640.36	14590.4	289.816	127077 
64 	280   	12444.9	18783.5	289.816	133038 
65 	280   	9040.07	13689.1	289.816	104743 
