
gen	nevals	avg    	std    	min    	max    
1  	120   	1750.15	692.162	912.039	4522.14
2  	120   	1778.22	703.157	912.039	5727.7 
3  	120   	1659.48	698.055	964.065	7176   
4  	120   	1427.9 	587.21 	900.886	7176   
5  	120   	1391.34	474.158	658.905	4708.46
6  	120   	1270.27	441.625	480.624	4708.46
7  	120   	1383.4 	735.321	480.624	6767.89
8  	120   	1107.95	440.712	310.442	3603.17
9  	120   	1114.59	499.429	215.499	3603.17
10 	120   	1010.51	473.35 	215.499	3046.83
11 	120   	1210.1 	4269.22	99.939 	66807.4
12 	120   	889.943	492.233	99.939 	3498.97
13 	120   	822.967	442.173	99.939 	2622.49
14 	120   	858.742	551.452	99.939 	3555.18
15 	120   	750.08 	578.325	119.145	3848.6 
16 	120   	641.496	556.349	71.8202	3256.48
17 	120   	600.027	546.981	70.609 	3166.18
18 	120   	559.579	555.567	70.609 	4599.87
19 	120   	528.221	487.233	70.609 	1973.46
20 	120   	492.792	479.163	70.609 	2946.51
21 	120   	505.665	499.661	48.2215	2603.62
22 	120   	479.932	491.994	48.2215	2367.82
23 	120   	498.731	533.567	48.2215	3108   
24 	120   	534.228	886.456	48.2215	10250.8
25 	120   	452.116	539.956	48.2215	3937.07
26 	120   	428.149	507.851	48.2215	2600.79
27 	120   	436.503	526.047	48.2215	2962.97
28 	120   	474.705	546.159	48.2215	2657.38
29 	120   	400.288	459.088	48.2215	2582.22
30 	120   	514.723	558.328	48.2215	2717.85
31 	120   	414.728	470.414	48.2215	2207.83
32 	120   	456.078	506.091	48.2215	2166.57
33 	120   	422.36 	495.787	48.2215	3627.77
34 	120   	479.74 	540.99 	48.2215	2070.95
35 	120   	467.242	487.163	48.2215	2513.56
36 	120   	492.811	464.723	52.4813	2147.35
37 	120   	480.254	581.056	52.4813	5454.66
38 	120   	476.058	537.745	47.3522	4664.47
39 	120   	450.527	602.342	47.3522	5232.79
40 	120   	507.318	886.98 	47.3522	10824.1
41 	120   	434.883	527.146	47.3522	3469.61
42 	120   	490.881	762.836	47.3522	8957.29
43 	120   	479.987	476.863	47.3522	2115.65
44 	120   	425.227	455.031	50.81  	2279.32
45 	120   	459.373	527.52 	50.81  	2216.01
46 	120   	422.601	499.511	50.81  	2248.42
47 	120   	412.79 	496.873	50.81  	2207.66
48 	120   	419.212	481.168	50.81  	2060.63
49 	120   	415.695	466.391	50.81  	2315.37
50 	120   	424.831	496.543	47.6153	2300.98
51 	120   	414.118	466.417	47.4365	2114.56
52 	120   	458.355	501.11 	47.4365	2492.81
53 	120   	449.623	498.243	50.81  	2017.45
54 	120   	477.626	536.253	50.81  	1930.23
55 	120   	401.609	469.833	50.81  	2387.86
56 	120   	416.51 	452.472	48.5345	1984.77
57 	120   	451.317	723.796	47.4813	8683.9 
58 	120   	422.843	439.533	47.4813	1934.63
59 	120   	396.454	455.273	47.4813	1957.8 
60 	120   	457.143	572.941	47.4813	4792.74
61 	120   	479.978	906.203	50.9527	11889.3
62 	120   	455.178	489.963	50.9527	2035.04
63 	120   	477.834	546.556	50.9527	2167.52
64 	120   	468.624	652.955	50.9527	6616.58
65 	120   	455.633	463.414	50.9527	1790.56
66 	120   	508.915	567.091	48.8681	3592.64
67 	120   	445.418	487.883	50.9527	1835.04
68 	120   	472.212	486.381	50.9527	2965.26
69 	120   	452.956	474.516	52.4813	2013.67
70 	120   	396.528	445.389	52.4813	1997.46
71 	120   	405.958	458.311	52.4813	1848.99
72 	120   	382.553	471.036	52.4813	1924.51
73 	120   	458.11 	512.599	52.4813	3072.95
74 	120   	468.537	485.693	52.4813	1967.5 
75 	120   	451.306	531.53 	52.4813	3061.97
76 	120   	386.802	433.798	52.4813	2038.56
77 	120   	432.272	490.993	53.9793	2151.82
78 	120   	396.543	445.421	51.2161	2078.1 
79 	120   	481.216	570.196	56.2627	3367.75
80 	120   	390.907	435.084	56.2627	2274.76
81 	120   	459.817	553.686	56.2627	4425.94
82 	120   	433.633	493.628	55.0539	2013.3 
83 	120   	480.938	525.547	55.0539	2528.41
84 	120   	446.555	491.793	56.2627	2997.93
85 	120   	478.491	558.815	56.2627	3149.71
86 	120   	419.012	473.196	46.9006	2002   
87 	120   	407.386	538.727	46.9006	5238.38
88 	120   	449.219	514.262	50.6635	2058.21
89 	120   	464.671	518.05 	56.2627	1790.42
90 	120   	447.567	556.665	56.2627	4870.04
91 	120   	374.912	433.609	56.2627	2268.54
92 	120   	412.802	502.588	52.74  	3424.94
93 	120   	423.388	473.524	56.2842	2029.18
94 	120   	422.94 	524.956	56.2842	4545.4 
95 	120   	437.059	479.735	54.3245	2167.13
96 	120   	389.642	434.438	57.817 	1989.82
97 	120   	396.145	452.124	57.817 	2183.67
98 	120   	482.293	536.164	57.817 	2365.33
99 	120   	449.503	485.37 	57.817 	1952.23
100	120   	457.071	516.616	52.5758	2546.03
101	120   	413.017	469.171	47.5561	2156.96
102	120   	452.854	499.632	47.5561	2165.95
103	120   	402.61 	466.061	47.5561	1918.49
104	120   	435.412	453.608	47.5561	2140.96
105	120   	484.469	475.216	47.5561	2087.61
106	120   	420.336	517.352	47.5561	2556.08
107	120   	418.923	480.253	52.4578	2211.95
108	120   	422.738	490.32 	52.4578	2808.22
109	120   	413.047	436.404	52.5758	1821.15
110	120   	387.874	450.301	50.5058	2076.78
111	120   	485.747	574.873	52.5758	4097.88
112	120   	393.196	443.982	52.5758	1727.73
113	120   	441.096	514.56 	52.5758	2659.86
114	120   	464.807	516.011	52.5758	2050.81
115	120   	437.164	460.702	52.5758	2042.7 
116	120   	477.403	486.698	52.5758	2172.62
117	120   	431.12 	511.475	51.1707	4372.55
118	120   	483.801	562.453	51.1707	3285.63
119	120   	446.262	504.777	58.2164	2583.76
120	120   	384.493	466.424	56.6096	2563.38
121	120   	489.921	571.368	58.2164	4838.57
122	120   	461.858	555.083	57.8152	3733.9 
123	120   	468.537	540.552	57.8152	2613.64
124	120   	440.053	471.782	52.8363	2722.1 
125	120   	435.183	489.507	52.8363	2608.27
126	120   	426.068	483.168	52.8363	1995.2 
127	120   	450.139	556.267	52.8363	3427.39
128	120   	462.345	522.486	52.8363	2461   
129	120   	410.336	449.334	52.8363	2276.68
130	120   	439.602	506.311	47.6638	3380.29
131	120   	443.881	514.35 	52.8363	2541.03
132	120   	471.928	535.012	52.8363	2586.83
133	120   	443.667	519.604	51.2208	2586.83
134	120   	451.897	501.883	57.8152	2586.83
135	120   	494.497	601.347	57.8152	2685.25
136	120   	462.343	559.255	57.8152	2685.25
137	120   	1335.03	14279.9	53.5181	221968 
138	120   	427.334	504.4  	57.8152	2586.83
139	120   	463.452	597.966	51.1893	2981.98
140	120   	387.883	466.356	51.1893	2586.83
141	120   	421.45 	582.69 	51.1893	2996.24
142	120   	548.987	1100.48	51.1893	14834.3
143	120   	482.776	655.239	51.1893	3719.07
144	120   	477.072	623.688	51.1893	4885.79
145	120   	421.708	521.522	51.1893	2586.83
146	120   	473.475	636.655	51.1893	4403.04
147	120   	504.575	639.841	49.2454	3838.64
148	120   	461.656	639.897	56.5467	4972.34
149	120   	508.307	640.492	54.2057	2586.83
150	120   	535.283	656.759	54.2057	3002.92
151	120   	554.992	694.325	56.5467	3696   
152	120   	429.452	531.872	53.7321	2656.2 
153	120   	394.57 	448.367	49.9173	1796.8 
154	120   	386.865	448.547	53.7321	2633.77
155	120   	426.077	480.329	53.7321	3354.16
156	120   	435.564	509.341	56.5467	2684.97
157	120   	509.102	1033.95	56.5467	14177.1
158	120   	455.797	462.139	56.5467	1798.45
159	120   	453.098	482.87 	56.5467	2353.79
160	120   	471.687	602.24 	56.1967	5910.59
161	120   	469.624	459.01 	56.5467	2066.44
162	120   	411.373	473.25 	58.4437	2951.53
163	120   	408.053	471.249	50.8133	2575   
164	120   	435.422	478.431	50.8133	2511.66
165	120   	439.825	467.349	50.8133	2284.46
166	120   	438.741	603.76 	50.8133	6483.4 
167	120   	418.994	464.324	50.8133	2174.41
168	120   	470.831	462.59 	50.8133	2203.5 
169	120   	429.319	484.188	48.0303	2056.74
170	120   	468.581	591.778	50.8133	5230.08
171	120   	483.202	565.641	50.8133	2561.12
172	120   	401.935	490.265	50.8133	2045.17
173	120   	449.133	569.662	50.8133	4286.12
174	120   	457.268	496.504	50.8133	3424.65
175	120   	442.171	546.859	50.8133	4318.99
176	120   	462.906	625.071	50.8133	4677.13
177	120   	413.803	658.647	50.8133	7524.15
178	120   	438.025	509.804	50.8133	2806.24
179	120   	454.981	527.731	50.8133	3964.98
180	120   	460.554	532.247	50.8133	2265.95
181	120   	455.328	512.25 	50.8133	2084.35
182	120   	486.022	640.367	50.8133	6296.35
183	120   	470.458	519.404	50.8133	2008.44
184	120   	448.657	515.086	50.8133	2842.37
185	120   	438.995	512.664	50.8133	2785.6 
186	120   	442.721	526.53 	50.8133	2785.6 
187	120   	433.86 	548.103	50.8133	2711.26
188	120   	473.341	617.081	50.8133	5333.52
189	120   	448.655	479.609	50.8133	1881.98
190	120   	447.265	512.839	50.8133	3702.43
191	120   	420.164	476.575	50.8133	2228.02
192	120   	427.68 	507.427	50.8133	2635.21
193	120   	450.619	502.643	50.8133	1856.11
194	120   	557.753	1279.39	55.2045	18321.7
195	120   	436.546	515.102	59.3543	3234.11
196	120   	567.528	1049.26	59.3543	12034.3
197	120   	469.662	566.739	52.3498	4347.13
198	120   	478.964	573.738	56.3238	3676.71
199	120   	422.372	500.065	56.3238	2742.79
200	120   	422.514	592.842	56.3238	5947.27
Elapsed time: 768 seconds (0h 12m 48s)
