
gen	nevals	avg    	std        	min    	max        
1  	280   	8189.64	1913.19    	5225.86	9500       
2  	280   	8284.99	2336.01    	5225.86	40501.5    
3  	280   	43642.8	876964     	5179.27	2.07778e+07
4  	280   	79976.9	1.23915e+06	5144.49	2.07778e+07
5  	280   	43211.6	876995     	5103.33	2.07778e+07
6  	280   	5604.25	2140.66    	5103.33	37228.6    
7  	280   	5982.55	4166.88    	5088.3 	37228.6    
8  	280   	5273.85	611.725    	5079.89	9500       
9  	280   	5241.28	551.576    	5073.86	9500       
10 	280   	5192.01	415.845    	4962.34	9500       
11 	280   	5280.46	1825.99    	4962.34	46664.2    
12 	280   	5266.5 	1808.79    	4254.09	46664.2    
13 	280   	5988.58	5367.79    	3404.02	46664.2    
14 	280   	6986.4 	7676.09    	2706.81	46664.2    
15 	280   	10583  	12366.4    	2706.81	50165.2    
16 	280   	13472.8	14612      	2706.81	50165.2    
17 	280   	13515.1	13995.6    	2690.62	47107.8    
18 	280   	12744.9	13119.3    	2480.41	62179.5    
19 	280   	12899  	15151.9    	2480.41	175786     
20 	280   	10875.1	11847.3    	2480.41	59287.5    
21 	280   	10452.5	11593.7    	2480.41	72427.2    
22 	280   	10222.8	11657.7    	2480.41	51064.9    
23 	280   	10714.4	12008.7    	2480.41	63918.9    
24 	280   	11719.9	13000.8    	2480.41	68078      
25 	280   	10992.1	11293.4    	2480.41	60100.5    
26 	280   	12341.3	12206.1    	2480.41	52119.6    
27 	280   	12165.3	12012.9    	2480.41	54262.9    
28 	280   	11278.9	11724.3    	2480.41	71942.5    
29 	280   	13819.6	13767.2    	2480.41	100848     
30 	280   	11921.9	13344.3    	2480.41	71079.3    
31 	280   	13674  	14147.1    	2480.41	67243.2    
32 	280   	12461.9	14054.1    	2480.41	61654.9    
33 	280   	14205.2	17551.2    	2435.08	205350     
34 	280   	15829.9	16815.7    	2480.41	83424      
35 	280   	15774  	17614      	2480.41	109439     
36 	280   	17366  	17990.8    	2480.41	70926.6    
37 	280   	15369.6	16153.8    	2480.41	75134.9    
38 	280   	15308.9	16547.3    	2480.41	86638.5    
39 	280   	17389  	17538      	2480.41	91831.8    
40 	280   	12205.8	13738      	2480.41	73125.6    
41 	280   	16278.6	17833.9    	2480.41	105413     
42 	280   	16514.1	18031.2    	2468.42	101668     
43 	280   	16335.6	18684      	2468.42	120535     
44 	280   	16964  	18620.3    	2468.42	115302     
45 	280   	16913.3	18498.9    	2468.42	111818     
46 	280   	15564.5	18927.2    	2468.42	136601     
47 	280   	16565.5	19245.1    	2468.42	129326     
48 	280   	16097.4	20633      	2468.42	140625     
49 	280   	15580.5	21269.1    	2468.42	138550     
50 	280   	15496.8	22481.7    	2468.42	131392     
51 	280   	18246.5	25534.5    	2468.42	149631     
52 	280   	19638.6	26205.3    	2468.42	165778     
53 	280   	18066.7	24530.1    	2468.42	131392     
54 	280   	18458.4	24055.3    	2468.42	146614     
55 	280   	16510.6	23421.2    	2468.42	146570     
56 	280   	17655.7	25632.5    	2468.42	137256     
57 	280   	16250.3	24336.4    	2468.42	169656     
58 	280   	18304  	26514.2    	2366.46	144601     
59 	280   	14355.2	22973.2    	2366.46	144601     
60 	280   	19036.8	27317.4    	2312.92	150417     
61 	280   	18990.6	25940.3    	2312.92	144601     
62 	280   	17418.7	24502.7    	2312.92	156871     
63 	280   	19318.4	28951.9    	2312.92	160743     
64 	280   	22976.3	33032      	2312.92	183908     
65 	280   	15080.7	22075.2    	2312.92	183908     
66 	280   	16208.8	21608.8    	2312.92	128799     
67 	280   	15352.3	21467.2    	2312.92	128799     
68 	280   	14429.1	21607.2    	2312.92	141516     
69 	280   	18669.5	27216.9    	2312.92	145534     
70 	280   	19737.2	28606.3    	2312.92	190895     
71 	280   	18907.8	28426.3    	2312.92	162054     
72 	280   	16768.4	23378.6    	2312.92	137655     
73 	280   	16190.1	24250.1    	2312.92	202314     
74 	280   	15794.8	24474.8    	2312.92	128799     
75 	280   	18562  	27418.8    	2312.92	156537     
76 	280   	14641  	20562.4    	2312.92	142551     
77 	280   	14142  	19671      	2281.31	129118     
78 	280   	12932.1	17004.5    	2304.75	128799     
79 	280   	11937.3	18266.2    	2301.9 	137325     
80 	280   	14753.1	20726      	2301.9 	141251     
81 	280   	12423.3	20718.9    	2301.9 	229616     
82 	280   	11944.7	16879.7    	2301.9 	165618     
83 	280   	11910.1	17308.2    	2301.9 	165618     
84 	280   	10731.6	15604.7    	2301.9 	165618     
85 	280   	11097.3	15344.9    	2297.03	165618     
86 	280   	12217.8	16652.4    	2297.03	130654     
87 	280   	10528.8	15379.5    	2297.03	121852     
88 	280   	9962.42	13614.9    	2239.34	99419.1    
89 	280   	9336.91	14289.6    	2239.34	158076     
90 	280   	12835  	19158.9    	2297.03	158076     
91 	280   	10952.7	15715.2    	2227.56	117742     
92 	280   	9987.92	14591.3    	2227.56	121226     
93 	280   	9662.42	13756.7    	2297.03	90388.8    
94 	280   	9863.51	13033.3    	2297.03	93355.4    
95 	280   	9328.36	13796.8    	2297.03	122369     
96 	280   	11547.3	18243.8    	2297.03	210039     
97 	280   	12478.8	16010.4    	2297.03	139116     
98 	280   	9918.04	14159.7    	2297.03	120859     
99 	280   	11163.7	16320.1    	2297.03	160762     
100	280   	10771.4	14734.6    	2297.03	119027     
101	280   	10334.2	15054.9    	2180.67	144610     
102	280   	10012.5	15462.6    	2180.67	130548     
103	280   	10078.9	15009.4    	2180.67	130548     
104	280   	10189  	14549.3    	2180.67	112594     
105	280   	8924.98	12945.6    	2180.67	116774     
106	280   	9177.31	14522.7    	2180.67	119913     
107	280   	9535.98	14978      	2180.67	115858     
108	280   	10662.6	15000.9    	2180.67	98388      
109	280   	9053.39	14030.8    	2180.67	108059     
110	280   	7728.83	11116.5    	2180.67	78896.3    
111	280   	8047.06	11468.6    	2180.67	89435.3    
112	280   	9334.86	13795.7    	2180.67	111789     
113	280   	9911.05	16125.9    	2180.67	117757     
114	280   	9738.25	14449.4    	2180.67	118412     
115	280   	7843.56	12212.3    	2180.67	121014     
116	280   	8921.61	14010.3    	2180.67	98482.3    
117	280   	9034.56	12814.8    	2180.67	79248.2    
118	280   	8070.28	12194.1    	2133.14	97583.9    
119	280   	7554.44	11366.3    	2180.67	99484.5    
120	280   	8196.16	11446.2    	2180.67	112315     
121	280   	8586.67	13040.8    	2180.67	104452     
122	280   	8023.87	13310.8    	2151.14	120951     
123	280   	8627.54	13375.7    	2151.14	112058     
124	280   	7638.65	11475.8    	2151.14	113674     
125	280   	7741.6 	10507.6    	2151.14	85330.9    
126	280   	9468.99	14668.1    	2151.14	95586.9    
127	280   	10091.7	16379.4    	2151.14	152655     
128	280   	10167.1	15354.2    	2151.14	130126     
129	280   	9677.18	14898      	2151.14	114137     
130	280   	9067.29	13362.2    	2151.14	110666     
131	280   	9149.2 	12850.6    	2151.14	115839     
132	280   	9304.32	13117.1    	2151.14	108600     
133	280   	10221.9	16891.8    	2151.14	126127     
134	280   	8533.01	11475.4    	2151.14	75128.3    
135	280   	9112.99	15063.5    	2151.14	137233     
136	280   	10440.2	15424.5    	2151.14	107543     
137	280   	8824.39	13712.6    	2151.14	90328.8    
138	280   	9911.84	15485.8    	2151.14	96529.1    
139	280   	9932.98	16015.6    	2151.14	109705     
140	280   	8891.65	13610.6    	2151.14	93306.6    
141	280   	8626.07	13361.3    	2151.14	104508     
142	280   	7480.79	12350.4    	2151.14	123904     
143	280   	8926.42	14612      	2151.14	104508     
144	280   	9708.88	15969.6    	2151.14	112703     
145	280   	8139.03	12635.3    	2151.14	113376     
146	280   	8989.98	12877.5    	2151.14	97385.8    
147	280   	8279.81	12529.6    	2151.14	97385.8    
148	280   	9135.18	15362.8    	2151.14	126912     
149	280   	11177.6	18470.3    	2151.14	130503     
150	280   	11263.5	18033.3    	2151.14	130503     
151	280   	10367.5	15600.4    	2151.14	124771     
152	280   	8950.33	14432.9    	2151.14	113147     
153	280   	9247.11	15183.4    	2151.14	130094     
154	280   	9406.71	13840.6    	2151.14	102614     
155	280   	8254.34	12767.8    	2151.14	102614     
156	280   	8951.28	13373.5    	2151.14	129140     
157	280   	9446.65	14724.6    	2151.14	98421      
158	280   	8622.44	12716.9    	2151.14	78158.9    
159	280   	7917.73	11453.6    	2151.14	98408.7    
160	280   	8289.97	13255.4    	2151.14	113928     
