
gen	nevals	avg    	std        	min    	max        
1  	280   	8189.64	1913.19    	5225.86	9500       
2  	280   	8284.99	2336.01    	5225.86	40501.5    
3  	280   	43642.8	876964     	5179.27	2.07778e+07
4  	280   	79976.9	1.23915e+06	5144.49	2.07778e+07
5  	280   	43211.6	876995     	5103.33	2.07778e+07
6  	280   	5604.25	2140.66    	5103.33	37228.6    
7  	280   	5982.55	4166.88    	5088.3 	37228.6    
8  	280   	5273.85	611.725    	5079.89	9500       
9  	280   	5241.28	551.576    	5073.86	9500       
10 	280   	5191.94	415.882    	4927.72	9500       
11 	280   	5280.28	1824.6     	4927.72	46629.5    
12 	280   	5265.88	1807.48    	4219.76	46629.5    
13 	280   	5985.68	5362.99    	3369.82	46629.5    
14 	280   	6980.52	7669.46    	2699.4 	46629.5    
15 	280   	10569.9	12357.5    	2699.4 	50130.9    
16 	280   	13737.3	14855.6    	2699.4 	50130.9    
17 	280   	13605.4	14453.8    	2699.4 	47124.1    
18 	280   	14151.2	15113.1    	2699.4 	68723.6    
19 	280   	12140  	13262.9    	2699.4 	68723.6    
20 	280   	11957.8	12699.3    	2673.8 	59528.8    
21 	280   	11483.7	11956.6    	2699.4 	50098.8    
22 	280   	11083.6	11464.5    	2699.4 	53245.9    
23 	280   	10022  	10691.5    	2666.16	54128.4    
24 	280   	10072.6	11169.3    	2530.32	58002.9    
25 	280   	11211.4	11720.8    	2586.2 	52149.7    
26 	280   	11292.7	11098.7    	2586.2 	58833      
27 	280   	11241  	11999.4    	2570.18	83120      
28 	280   	10188.3	10640      	2417.46	68917.4    
29 	280   	10239.6	11538.9    	2417.46	66063.5    
30 	280   	11359.2	12420.8    	2417.46	66063.5    
31 	280   	12902.3	13787.3    	2417.46	66063.5    
32 	280   	11080.8	12145.7    	2417.46	64190.1    
33 	280   	12464.4	13373.9    	2417.46	65342.4    
34 	280   	12209.7	13936.2    	2417.46	84336      
35 	280   	11383.4	13087.6    	2417.46	71180.5    
36 	280   	12550.5	13729.6    	2396.46	65342.4    
37 	280   	12784.8	14034.7    	2395.85	65342.4    
38 	280   	13518  	14684.1    	2395.85	84373.1    
39 	280   	15069.2	16218.7    	2417.46	82229.7    
40 	280   	11323.9	12249.9    	2417.46	75098.9    
41 	280   	10852.2	11996.9    	2391.22	77143.7    
42 	280   	11479.4	12352.5    	2391.22	81323.5    
43 	280   	11156  	12849.5    	2385.23	77143.7    
44 	280   	13476.4	15271.7    	2385.23	85386.9    
45 	280   	12328.4	12836.3    	2385.23	85386.9    
46 	280   	13359.3	14824.7    	2385.23	99318.7    
47 	280   	14351.4	15851.5    	2385.23	106933     
48 	280   	13840.5	15711.4    	2385.23	83334.2    
49 	280   	12148.4	12276.6    	2385.23	67311.9    
50 	280   	12804.8	12448.8    	2385.23	66115.7    
51 	280   	11709.7	11818      	2372.49	75019.9    
52 	280   	13255.5	13742.8    	2372.49	67987.9    
53 	280   	12704.5	13327.7    	2372.49	81345.7    
54 	280   	11015.3	12163.6    	2340.9 	77257.8    
55 	280   	11133.3	13015.2    	2340.9 	95658.4    
56 	280   	13715.4	14872.2    	2340.9 	89452.3    
57 	280   	12524.2	13524.2    	2271.46	83280      
58 	280   	11419.3	12526.3    	2271.46	66162.2    
59 	280   	11902.7	13460.1    	2271.46	76171.4    
60 	280   	11555.7	12966.9    	2271.46	75142.2    
61 	280   	10728.3	12067.9    	2271.46	65024      
62 	280   	11441.8	12633.2    	2271.46	102695     
63 	280   	12001.2	13218.6    	2271.46	72333.6    
64 	280   	10767.6	12807.8    	2271.46	83310.1    
65 	280   	11965.6	13192.5    	2271.46	83310.1    
66 	280   	11278.2	13039.2    	2271.46	80388.2    
67 	280   	11715.7	13469.8    	2271.46	71262.9    
68 	280   	10050  	11798.1    	2271.46	63023.2    
69 	280   	11840.4	14032.1    	2271.46	72179.2    
70 	280   	9421.53	11471      	2271.46	64017.7    
71 	280   	12159.3	13699.8    	2271.46	66351.3    
72 	280   	11336.4	13745.6    	2271.46	67963.1    
73 	280   	10364.9	13204.8    	2271.46	78085      
74 	280   	11056.2	13854.4    	2271.46	105583     
75 	280   	13431.3	15469.1    	2271.46	104432     
76 	280   	10406.7	12867.1    	2271.46	96481.9    
77 	280   	9482.25	11674.3    	2271.46	77525.1    
78 	280   	10991.4	13116.9    	2271.46	70108.9    
79 	280   	11628.5	14141      	2271.46	93400.8    
80 	280   	12283.1	14643.8    	2271.46	93400.8    
81 	280   	10111.9	12286.6    	2271.46	105371     
82 	280   	12014.9	14170.5    	2271.46	105371     
83 	280   	10665.7	12525.3    	2271.46	74153.9    
84 	280   	12829.6	14756.2    	2271.46	86289.6    
85 	280   	12180.8	14733.7    	2271.46	93424.1    
86 	280   	12405.6	14140.7    	2288.73	64093.1    
87 	280   	11651.4	14397.4    	2288.73	122777     
88 	280   	11231.8	12767.4    	2280.53	83151.3    
89 	280   	10006.4	11435.1    	2288.73	71190.5    
90 	280   	10434.9	13138.3    	2288.73	85184.4    
91 	280   	11529.4	13796.7    	2200.89	76112.1    
92 	280   	11055.1	13490.3    	2287.21	102161     
93 	280   	11069.4	13479.8    	2287.21	85093.4    
94 	280   	11233  	13374.7    	2287.21	65272.5    
95 	280   	9289.45	11664.1    	2238.24	89258.3    
96 	280   	11765.2	15232.7    	2238.24	94674.8    
97 	280   	10675.3	13592.7    	2235.12	96304.8    
98 	280   	10822.2	12931.5    	2235.12	76205.3    
99 	280   	10637.6	14047.5    	2238.24	77195.8    
100	280   	10697.1	13836      	2228.08	86290.3    
101	280   	9984.94	12381.2    	2129.26	86684.9    
102	280   	10431.3	13403.3    	2129.26	93391.4    
103	280   	9434.56	12237.3    	2129.26	98446.8    
104	280   	10166.9	11735.5    	2129.26	84469.8    
105	280   	8878.24	12318.4    	2129.26	87512.8    
106	280   	9721.46	14187.5    	2129.26	167575     
107	280   	9438.39	11318.5    	2129.26	78370.8    
108	280   	8196.89	10818      	2129.26	113827     
109	280   	8029.68	9589.01    	2129.26	66169.2    
110	280   	8015.69	10738.8    	2129.26	68166.7    
111	280   	8235.34	11106.1    	2129.26	86218.5    
112	280   	8618.18	10977.6    	2129.26	75222.8    
113	280   	8051.37	10199.5    	2129.26	80113.9    
114	280   	7881.85	10209.4    	2096.32	80113.9    
115	280   	7953.45	11006      	2096.32	100878     
116	280   	8665.84	10906      	2096.32	81104      
117	280   	8628.89	11464.3    	2096.32	94367.7    
118	280   	9185.54	10424      	2096.32	57219.1    
119	280   	9229.19	10975.8    	2084.41	69060.3    
120	280   	8450.35	11220.8    	2084.41	89321.8    
121	280   	7549.98	9878.85    	2084.41	69050.3    
122	280   	7134.93	9121.77    	2084.41	98353.7    
123	280   	6652.23	8401.86    	2084.41	57009.1    
124	280   	8161.46	10951.5    	2084.41	99509      
125	280   	8232.52	11285.2    	2084.41	99509      
126	280   	8210.36	10845.4    	2084.41	84220.2    
127	280   	7658.72	10115.3    	2084.41	77122.5    
128	280   	7983.1 	9836.24    	2084.41	86240.5    
129	280   	6602.3 	8394.24    	2084.41	63007.1    
130	280   	6891.33	9457.26    	2084.41	77074.5    
131	280   	6764.3 	8618.9     	2084.41	75399.8    
132	280   	6801.26	9864.18    	2084.41	109579     
133	280   	7494.75	10302.7    	2084.41	92229.2    
134	280   	7589.14	10378.4    	2084.41	89184.4    
135	280   	6756.34	9160.5     	2084.41	86364.8    
136	280   	7454.54	9079.74    	2084.41	86364.8    
137	280   	6192.66	8373.77    	2084.41	94261.1    
138	280   	6824.66	9237.46    	2084.41	72196.6    
139	280   	6101.44	7409.11    	2084.41	68060      
140	280   	7509.01	8324.38    	2084.41	77105.8    
141	280   	8402.84	11607.9    	2084.41	98434.7    
142	280   	7905.32	10996.1    	2084.41	96402.3    
143	280   	7400.51	11033.1    	2084.41	128683     
144	280   	7464.32	10156.1    	2084.41	86196.5    
145	280   	6449.75	8241.88    	2084.41	60109.2    
146	280   	5991.37	9288.57    	2084.41	106647     
147	280   	7498.02	9749.57    	2084.41	77193.6    
148	280   	8393.35	11048.1    	2084.41	92198.2    
149	280   	6844.36	9851.52    	2084.41	94432.9    
150	280   	6268.74	8951.09    	2084.41	71511.8    
151	280   	6253.73	9236.81    	2084.41	80207.7    
152	280   	6782.88	10536.4    	2082.88	80480.5    
153	280   	6790.61	9975.41    	2082.88	79292.7    
