
gen	nevals	avg    	std    	min    	max       
1  	280   	8186.19	1918.16	5215.16	9500      
2  	280   	8281.56	2338.66	5215.16	40442.8   
3  	280   	20504.4	330077 	5168.58	7.8244e+06
4  	280   	33705.6	466422 	5133.79	7.8244e+06
5  	280   	22802.6	336309 	5092.78	7.8244e+06
6  	280   	5611.29	2780.07	5074.28	65201.6   
7  	280   	5665.36	3811.72	5074.28	65201.6   
8  	280   	5439.75	2662.79	5054.38	63998.5   
9  	280   	5223.82	490.777	5067.45	9500      
10 	280   	5197.29	489.332	5060.61	9500      
11 	280   	5160.33	373.91 	4890.91	9500      
12 	280   	5146.93	288.075	3872.83	9500      
13 	280   	5112.46	289.101	3844.43	9500      
14 	280   	5213.07	1241.7 	3841.78	19310.2   
15 	280   	5691.62	2887.93	2933.3 	20633.6   
16 	280   	7510.75	5147.87	2933.3 	23162.6   
17 	280   	8805   	6117.2 	2687.42	47364     
18 	280   	8340.29	5530.97	2687.42	26584     
19 	280   	7805.61	5216.87	2646.06	25018.8   
20 	280   	8217.31	5514.72	2566.74	32445.8   
21 	280   	8387.23	5797.16	2566.74	41978.2   
22 	280   	8822.94	6180.73	2566.74	41978.2   
23 	280   	7919.33	6027.53	2566.74	41978.2   
24 	280   	8479.33	6253.76	2528.76	41978.2   
25 	280   	7930.97	6051.88	2528.76	51875.9   
26 	280   	8388.6 	6309.32	2528.76	27533.6   
27 	280   	7835.93	6098.39	2528.76	26694.2   
28 	280   	8896.94	7348.1 	2519.39	45001.2   
29 	280   	8846.94	7992.7 	2495.76	82265.7   
30 	280   	9004.19	8333.65	2495.76	87479.3   
31 	280   	8912.39	8101.81	2495.76	55912.2   
32 	280   	8659.26	7794.7 	2495.76	56822.4   
33 	280   	8735.48	7731.34	2495.76	66106.4   
34 	280   	8945.28	8036.3 	2495.76	62922.4   
35 	280   	9273.37	8497.78	2495.76	60138.1   
36 	280   	8405.58	7378.94	2495.76	67118.7   
37 	280   	9155.32	7676.79	2495.76	63110.7   
38 	280   	9395.97	9054.53	2495.76	82272.6   
39 	280   	9202.45	9289.51	2495.76	76225.4   
40 	280   	8936.84	9283.7 	2495.76	74062.4   
41 	280   	8823.23	8297.77	2495.76	62110     
42 	280   	7530.84	8001.89	2495.76	97198.4   
43 	280   	8084.28	7023.66	2356.02	58887.2   
44 	280   	7514.12	7987.55	2356.02	88359.2   
45 	280   	9211.45	10048.9	2495.76	87260     
46 	280   	9238.48	10165.5	2495.76	93330.6   
47 	280   	9704.91	12051.4	2442.94	96631     
48 	280   	10319.2	11335  	2495.76	102560    
49 	280   	9759.73	12581.5	2495.76	127330    
50 	280   	11764.4	14594.5	2495.76	94416.1   
51 	280   	9714.46	11456.6	2495.76	84200.7   
52 	280   	9140.35	12479  	2434.98	115848    
53 	280   	10507.8	12242.5	2434.98	96250.1   
54 	280   	8435.07	9413.08	2461.36	84439.8   
55 	280   	8357.75	9046.35	2328.23	79214.4   
56 	280   	10439.4	13375.9	2346.58	116844    
57 	280   	9782.39	11108.2	2346.58	110631    
58 	280   	8884.56	10257.1	2346.58	85102.3   
59 	280   	8056.53	9716.84	2346.58	85102.3   
60 	280   	10047.7	12263.7	2346.58	85522     
61 	280   	9538.46	12161.8	2346.58	93395.6   
62 	280   	9049.02	12301.6	2346.58	123357    
63 	280   	9465.96	11900.1	2343.3 	123357    
64 	280   	8559.12	10063.6	2343.3 	126452    
65 	280   	8357.05	8319.28	2343.3 	58719.2   
66 	280   	7239.9 	8446.32	2343.3 	127612    
67 	280   	8721.64	9993.94	2343.3 	95361.4   
68 	280   	7986.66	10490.9	2343.3 	95361.4   
69 	280   	8696.92	11972.9	2288.83	96266.2   
70 	280   	7708.02	8828.97	2121.01	88906.9   
71 	280   	8267.33	9643.51	2121.01	86280.1   
72 	280   	8225.08	10467.9	2121.01	76274     
73 	280   	7423   	8817.21	2121.01	104355    
74 	280   	7399.33	9397.17	2121.01	84234.1   
75 	280   	7771.7 	9196.1 	2121.01	84234.1   
76 	280   	7050.92	8344.24	2121.01	86153.5   
77 	280   	7800.07	9189.4 	2121.01	99298.5   
78 	280   	6857.53	8413.1 	2121.01	70246.6   
79 	280   	7224.34	7596.27	2121.01	71263.6   
80 	280   	7126.38	8671.6 	2121.01	93294.8   
81 	280   	7576.71	9764.6 	2121.01	98161.2   
82 	280   	7472.25	11709.7	2121.01	121544    
83 	280   	7947.48	9725.15	2121.01	98161.2   
84 	280   	7952.31	10003.1	2121.01	94890.1   
85 	280   	6866.76	8543.36	2121.01	71102.6   
86 	280   	6761.52	7862.21	2121.01	97356.4   
87 	280   	6795.75	7705.59	2121.01	97538.8   
88 	280   	6945.31	7353.73	2121.01	75345     
89 	280   	6559.47	8036.3 	2121.01	86378.7   
90 	280   	7574.54	9301.85	2121.01	84421.5   
91 	280   	6213.08	7936.46	2121.01	111084    
92 	280   	7474.43	10056.5	2121.01	79081.8   
93 	280   	7616.56	11101.1	2121.01	116719    
94 	280   	7091.02	8917.25	2121.01	107020    
95 	280   	6677.33	9060.58	2121.01	79786.7   
96 	280   	7071.35	9105.75	2121.01	93196.5   
97 	280   	6936.89	9134.96	2121.01	79740.8   
98 	280   	6737.1 	8626.15	2121.01	101097    
99 	280   	6616.17	7939.57	2121.01	73927.2   
100	280   	6653.33	6804.78	2121.01	58846.9   
101	280   	5504.07	5902.04	2121.01	88084.4   
102	280   	7552.46	10931  	2121.01	103266    
103	280   	6403.16	9126.92	2121.01	107334    
104	280   	6478.52	7653.16	2121.01	92451.2   
105	280   	6335.37	8829.1 	2121.01	91521.6   
106	280   	6221.8 	9249.11	2121.01	93255     
107	280   	6330.21	8069.77	2121.01	60762.9   
108	280   	6467.75	9560.66	2121.01	79056.5   
109	280   	5909.89	7757.03	2121.01	98210.3   
110	280   	6242.45	8535.45	2100.15	94408.1   
111	280   	6221.25	9281.7 	2100.15	82567.8   
112	280   	6380.15	9446.66	2100.15	92293.4   
113	280   	6073.12	8511.8 	2100.15	75437     
114	280   	5749.73	8334.8 	2100.15	111327    
115	280   	6109.89	8715.4 	2100.15	90290     
116	280   	6429.41	9016.88	2100.15	97487.8   
117	280   	5325.31	5260.55	2100.15	52028.6   
118	280   	5793.64	7278.81	2100.15	72282.6   
119	280   	5405.87	7401.92	2100.15	82353.7   
120	280   	5576.62	7483.54	2100.15	86837.7   
121	280   	6064.35	8348.72	2100.15	79022.1   
122	280   	6471.31	9194.17	2100.15	89072.7   
123	280   	5528.91	7265.96	2100.15	76097.3   
124	280   	5805.05	8127.65	2100.15	89034.9   
125	280   	6286.16	8985.59	2071.32	109296    
126	280   	6183.42	10764.8	2071.32	94483.6   
127	280   	6395   	9994.08	2071.32	94483.6   
128	280   	5911.19	6428.23	2071.32	68863.4   
129	280   	5682.8 	6026.96	2071.32	59774.2   
130	280   	5539.7 	6852.44	2071.32	97386.3   
131	280   	6222.27	9982.22	2071.32	102245    
132	280   	6274.8 	10520  	2071.32	90238     
133	280   	6229.3 	9424.37	2070.22	82038.9   
134	280   	5935.93	9441.93	2070.22	107352    
135	280   	6333.35	9122.04	2070.22	107352    
136	280   	5452.8 	6174.4 	2070.22	78991.6   
137	280   	5063.5 	5646.06	2070.22	65878.5   
138	280   	5711.46	7138.33	2070.22	81460.6   
139	280   	5356.4 	6812.69	2070.22	81460.6   
140	280   	5883.92	7498.4 	2070.22	86797.2   
141	280   	5973.08	8847.54	2070.22	89077     
142	280   	5370.88	6645.02	2070.22	77960.1   
143	280   	5608.51	4091.72	2070.22	49574.8   
144	280   	5737.56	7073.39	2070.22	91487.2   
145	280   	6442.34	8556.83	2070.22	92657.9   
146	280   	5799.1 	7438.14	2070.22	70905.4   
147	280   	5412.6 	7211.26	2070.22	96295.2   
148	280   	5456.05	7252.44	2070.22	86048     
149	280   	6051.23	9576.65	2070.22	85990.4   
150	280   	5274.89	6158.35	2070.22	63678     
Time elapsed: 9962 seconds.


Batch Job Summary Report (version 21.01.1) for Job "bpopt" (47350195) on daint

Job information (1/2)
-----------------------------------------------------------------------------------------------------
             Submit            Eligible               Start                 End    Elapsed Time limit
------------------- ------------------- ------------------- ------------------- ---------- ----------
2023-06-20T19:16:29 2023-06-20T19:16:29 2023-06-20T19:16:34 2023-06-20T22:03:56   02:47:22   23:59:00
-----------------------------------------------------------------------------------------------------

Job information (2/2)
-------------------------------------------------------------
    Username      Account    Partition   NNodes        Energy
------------ ------------ ------------ -------- -------------
    bp000145       ich030       normal        8   9712.303 kJ

