
gen	nevals	avg    	std    	min    	max        
1  	280   	7686.2 	1918.15	4715.21	9000       
2  	280   	7780.46	2323.61	4715.21	39326      
3  	280   	13902  	185471 	4668.53	4.39871e+06
4  	280   	13176.6	185506 	4635.17	4.39871e+06
5  	280   	5441.76	3192   	4635.84	37941.6    
6  	280   	4988.38	843.534	4625.06	11093.4    
7  	280   	4974.04	1230.31	4575.04	21329.9    
8  	280   	4777.19	600.554	4570.68	9392.4     
9  	280   	4701.27	413.934	4570.68	9000       
10 	280   	4691.29	455.581	3442.3 	9000       
11 	280   	4659.88	377.953	3442.3 	10734.7    
12 	280   	4656.15	569.829	3442.3 	17726.8    
13 	280   	4786.23	1541.15	3336.44	19725.5    
14 	280   	5231.75	2770.2 	2422.71	19725.5    
15 	280   	6552.71	4569.05	2422.71	28393.2    
16 	280   	7362.22	5057.56	2422.71	27643.1    
17 	280   	6837.43	4829.9 	2422.71	27643.1    
18 	280   	6591.64	4565.79	2361.94	22033.9    
19 	280   	6680.72	4769.28	2361.94	19925      
20 	280   	7004.99	4816   	2361.94	19275      
21 	280   	6750.44	4667.39	2361.94	20455.1    
22 	280   	6438.64	4408.19	2278.08	19677.9    
23 	280   	6589.78	4691.23	2256.38	21332      
24 	280   	6455.69	4835.03	2168.55	20967.9    
25 	280   	6753.07	5106.51	2168.55	25276.3    
26 	280   	7416.54	5801.7 	2168.55	31024      
27 	280   	6699.57	5217.68	2168.55	25278.4    
28 	280   	6770.73	5185.01	2168.55	22664.8    
29 	280   	6483.44	5075.86	2168.55	29314.5    
30 	280   	6850.47	6326.95	2128.61	68451.2    
31 	280   	7176.06	6702.06	2128.61	52502.7    
32 	280   	7189.93	6020.63	2128.61	47278.4    
33 	280   	7499.73	6229.83	2128.61	47278.4    
34 	280   	7829.71	7620.62	2128.61	64059.5    
35 	280   	8035.38	8138.24	2088.78	64059.5    
36 	280   	9083.28	8108.79	2088.78	64059.5    
37 	280   	7303.15	6754.01	2088.78	88526.4    
38 	280   	7743.62	7190.27	2073.02	71166      
39 	280   	7828.64	7615.34	2073.02	83305.4    
40 	280   	7766.42	8350.14	2073.02	71166      
41 	280   	7508.1 	7383.55	2073.02	71166      
42 	280   	7968.19	9550.78	2073.02	93648      
43 	280   	8785.89	11312.1	2073.02	84358.3    
44 	280   	8303.31	9647.13	1990.24	71408.8    
45 	280   	8661.97	12482.4	2073.02	77171.3    
46 	280   	10075.9	13188.9	2073.02	74273.8    
47 	280   	9329.29	12927.5	2073.02	89252.6    
48 	280   	10711  	13556.7	2073.02	83479.1    
49 	280   	8519.6 	10919.9	2073.02	72324.3    
50 	280   	10436.1	14301.9	2073.02	97418.6    
51 	280   	10901.9	16252.7	2073.02	212602     
52 	280   	10742.8	15595.5	2073.02	98416.7    
53 	280   	12530.1	18527.2	2073.02	92250.7    
54 	280   	11577.8	16595.8	1962.91	94426.4    
