
gen	nevals	avg    	std    	min    	max        
1  	280   	7686.2 	1918.15	4715.21	9000       
2  	280   	7780.53	2324.57	4715.21	39365.4    
3  	280   	12139.8	143814 	4668.53	3.41195e+06
4  	280   	5329.2 	2571.81	4635.17	36643.4    
5  	280   	5425.15	3016.7 	4617.16	36643.4    
6  	280   	4885.82	658.213	4584.46	9000       
7  	280   	4783.51	594.476	3374.66	9129.97    
8  	280   	4751.57	1201.49	2571.22	30476.9    
9  	280   	4734.86	1027.4 	2571.22	19940.4    
10 	280   	4848.25	1616.6 	2571.22	19940.4    
11 	280   	5292.44	2792.74	2414.14	21288.2    
12 	280   	6383.11	4242.33	2414.14	21288.2    
13 	280   	7638.88	5551.98	2316.13	38937.6    
14 	280   	7599.67	5666.25	2316.13	32370.2    
15 	280   	7046.48	5685.39	2248.52	33544.7    
16 	280   	8312.62	6842.37	2248.52	33544.7    
17 	280   	8475.59	6801.96	2248.52	28366      
18 	280   	7455.74	6515.25	2181.19	43566.3    
19 	280   	7872.69	6719.7 	2181.19	30297.7    
20 	280   	7934.35	7031.28	2181.19	36446.7    
21 	280   	7911.12	7035.69	2143.03	42304.2    
22 	280   	7666.69	6763.93	2096.22	36351.5    
23 	280   	7728.74	7031.65	2143.03	47465.8    
24 	280   	7751.55	7485.03	2143.03	34290.6    
25 	280   	7296.28	6889.26	2143.03	33298.5    
26 	280   	7217.91	6888.95	2143.03	49397.1    
27 	280   	7727.72	7313.55	2099.33	43373.3    
28 	280   	8544.57	8182.75	2099.33	54527.5    
29 	280   	8285.2 	7687.92	2099.33	56463.1    
30 	280   	8076.46	8000.99	2099.33	56463.1    
31 	280   	8862.78	8849.85	2099.33	49476.2    
32 	280   	8425.6 	8338.56	2099.33	38352.2    
33 	280   	8861.09	9322.71	2099.33	55455.3    
34 	280   	9819.67	11083.1	2077.23	83463.7    
35 	280   	10460.6	11242.5	2077.23	55455.3    
36 	280   	8430.68	9228.2 	2077.23	87529.5    
37 	280   	9300.11	9388.86	2077.23	65314.9    
38 	280   	8696.3 	8918.19	2077.23	78759.9    
39 	280   	8662.88	9517   	2077.23	55434.3    
40 	280   	8932.29	9544.9 	2077.23	59426.3    
41 	280   	8872.6 	9296.47	2077.23	55415.5    
42 	280   	8143.47	8732.22	2031.07	46411.4    
43 	280   	8322.46	8925.5 	2031.07	60439.5    
44 	280   	8167.02	8954.26	2031.07	56222.1    
45 	280   	7534.96	7877.06	2031.07	39400.6    
46 	280   	8431.6 	8743.24	2031.07	39104.3    
47 	280   	7985.54	8278.9 	2031.07	47571.8    
48 	280   	8765.84	9455.68	2031.07	92459.7    
49 	280   	8055.81	8233.28	2031.07	63355.9    
50 	280   	8669.3 	9362.41	2031.07	72238.3    
51 	280   	8515.17	8502.12	2027.06	78762.2    
52 	280   	9140.33	9841.4 	2027.06	78762.2    
53 	280   	7834.16	8293.89	2027.06	77377      
54 	280   	7799.21	7722.79	2023.97	46172.7    
55 	280   	7575.5 	7999.42	2023.01	47181.5    
56 	280   	7791   	8434.26	1998.33	59255      
57 	280   	8471   	9785.57	1998.33	67278.9    
58 	280   	9249.21	10035.6	1998.33	53107      
59 	280   	9118.79	10677  	1998.33	79335.5    
60 	280   	9781.79	11316.1	1998.33	75279.9    
61 	280   	7840.35	9742.64	1998.33	75279.9    
62 	280   	9761.05	10839  	1998.33	70141.8    
63 	280   	7282.58	9030.89	1998.33	93573.8    
64 	280   	9712.83	11092  	1998.33	71745      
65 	280   	8102.46	8838.77	1998.33	57267.8    
66 	280   	8696.56	10156.7	1998.33	89174.8    
67 	280   	10021.7	10512.7	1998.33	58452.1    
68 	280   	8558.78	9174.01	1998.33	67340.8    
69 	280   	7837.75	8528.44	1996.06	46222.4    
70 	280   	9127.38	9320.08	1998.33	59185.1    
71 	280   	7016.18	7559.47	1998.33	62272      
72 	280   	7979.22	8165.33	1911.14	53284.5    
73 	280   	8018.83	8613.2 	1911.14	60391.2    
74 	280   	7869.51	8769.15	1911.14	58183.6    
75 	280   	8349.88	8327.99	1911.14	37279.3    
76 	280   	7588.14	8125.84	1911.14	70386.3    
77 	280   	8682.43	8932.37	1911.14	65868.6    
78 	280   	7010.27	8349.27	1911.14	84412.9    
79 	280   	7877.11	7438.93	1911.14	43984.2    
80 	280   	7070.37	6683.74	1911.14	51243.7    
81 	280   	7880.58	7438.23	1911.14	47536.8    
82 	280   	6685.21	6737.88	1911.14	50242.2    
83 	280   	7985.82	7933.45	1911.14	53606      
84 	280   	7099.47	7038.95	1886.47	44069.7    
85 	280   	6625.39	6502.67	1886.47	45072.3    
86 	280   	6797.2 	7137.47	1886.47	61311.7    
87 	280   	7833.61	9582.39	1840.19	84268.2    
88 	280   	6450.61	8032.38	1840.19	78362.7    
89 	280   	7698.74	9031.67	1840.19	63129.5    
90 	280   	7807.59	10259  	1840.19	83485      
91 	280   	9391.82	11701.6	1840.19	84212.3    
92 	280   	6261.74	8044.04	1840.19	71375      
93 	280   	7861.1 	9584.06	1840.19	72194      
94 	280   	7087.08	8402.43	1840.19	71111.5    
95 	280   	7686.73	10483.8	1840.19	83267.7    
96 	280   	7990.33	9982.64	1840.19	71111.5    
97 	280   	6531.73	9226.78	1840.19	91471.4    
98 	280   	7392.75	9576.01	1840.19	82219.1    
99 	280   	6374.15	8094.15	1840.19	82733.5    
100	280   	7589.06	9210.48	1840.19	61235.4    
101	280   	6099.44	8589.14	1840.19	79220.4    
102	280   	7268.37	10247.1	1840.19	95413.6    
103	280   	7316.46	8804.92	1840.19	72102.5    
104	280   	6790.43	7650.99	1840.19	47050.5    
105	280   	7251.99	9429.75	1840.19	70237.1    
106	280   	7931.44	10634.4	1840.19	77237.6    
107	280   	7601.67	9170.54	1840.19	70223.7    
108	280   	7268.88	9068.51	1840.19	69303.7    
109	280   	6294.41	8316.1 	1840.19	89251      
110	280   	7137.6 	10883.8	1840.19	112606     
111	280   	7871.19	9699.66	1840.19	78287.4    
112	280   	7726.61	8899.89	1840.19	73410.4    
113	280   	7673.9 	8448.89	1840.12	60111.6    
114	280   	6201.05	6294.24	1840.12	46049.8    
115	280   	6086   	6807.81	1840.12	61202.4    
116	280   	5160.24	5766.58	1840.12	54109.3    
117	280   	6810.99	7937.16	1840.12	62069.8    
118	280   	5463.15	6261.67	1840.12	49064.5    
119	280   	6135.11	7022.26	1840.12	57059      
120	280   	6136.26	7194.11	1840.12	61125.4    
121	280   	6807.49	7838.73	1840.12	63127.6    
122	280   	5703.17	6598.34	1840.12	56245.4    
123	280   	6143.69	7287.27	1840.12	52116.6    
124	280   	6600.88	8845.52	1840.12	83264.6    
125	280   	6033.37	6352.61	1840.12	39974.6    
126	280   	5633.2 	5888.91	1840.12	37097.4    
127	280   	6658.17	7937.69	1840.12	87382.8    
128	280   	5882.37	6483.7 	1840.12	68175      
129	280   	5941.72	7721.26	1840.12	78140.3    
130	280   	6519.59	7963.68	1840.12	69196.9    
131	280   	5949.15	7578.59	1820.67	69196.9    
132	280   	6540.16	7451.52	1840.12	64111.5    
133	280   	5804.95	7087.06	1840.12	63143.9    
134	280   	6038.15	7122.69	1840.12	67148.6    
135	280   	5867.87	7289.34	1840.12	69156.8    
136	280   	5550.65	6325.13	1840.12	69710.1    
