
gen	nevals	avg    	std        	min    	max        
1  	280   	7686.19	1918.17    	4715.16	9000       
2  	280   	7781.51	2338.06    	4715.16	39917.7    
3  	280   	94923.6	2.10126e+06	4684.57	4.97753e+07
4  	280   	5442.72	3035.48    	4623.87	36963.8    
5  	280   	5817.75	7354.71    	4612.86	155268     
6  	280   	4969.78	1025.81    	4612.5 	20040.9    
7  	280   	4845.29	666.997    	4591.94	14235.7    
8  	280   	5446.76	16142.6    	4575.87	386863     
9  	280   	4705.64	403.003    	4574.16	9000       
10 	280   	4673.23	332.331    	4560.68	9000       
11 	280   	4665.1 	347.257    	4561.48	9000       
12 	280   	4832.41	3670.12    	3368.97	90417.4    
13 	280   	4863.09	3772.98    	3368.97	90417.4    
14 	280   	4800.02	1650.06    	3368.97	23749.9    
15 	280   	5131.98	2628.62    	3368.97	23749.9    
16 	280   	6331.09	4833.1     	2367.7 	47717.9    
17 	280   	7967.6 	7073.51    	2367.7 	104717     
18 	280   	9413.47	7749.67    	2367.7 	118025     
19 	280   	8399.96	5647.26    	2367.7 	35580      
20 	280   	8523.87	6180.65    	2367.7 	33091      
21 	280   	7384.22	5588.11    	2367.7 	25395.3    
22 	280   	7524.03	6048.32    	2192.87	37533      
23 	280   	7474.11	6032.72    	2192.87	34387      
24 	280   	7484.34	6693.07    	2192.87	42389.5    
25 	280   	7831.09	6833.63    	2192.87	42389.5    
26 	280   	7670.87	6876.89    	2192.87	41307.1    
27 	280   	8156.37	6544.4     	2192.87	38260.3    
28 	280   	8221.13	7493.41    	2158.22	59305.5    
29 	280   	7975.24	7610.28    	2158.22	59305.5    
30 	280   	8044.51	7169.49    	2046.89	45056.1    
31 	280   	7041.6 	6814.85    	2137.05	45056.1    
32 	280   	8161.68	7560.77    	2098.32	66431.5    
33 	280   	8443.52	8063.62    	2098.32	48677.3    
34 	280   	8637.67	9244.67    	2098.32	90658.7    
35 	280   	8503.47	8654.75    	2067.23	56326      
36 	280   	9964.83	11844.7    	2067.23	93679.2    
37 	280   	9804.37	11591.9    	2067.23	90380.5    
38 	280   	12026.1	14215.9    	2067.23	90380.5    
39 	280   	11008.1	12325.7    	2046.48	60323.1    
40 	280   	10254.7	13504.7    	2046.48	109622     
41 	280   	12796.2	14908.7    	2046.48	93439.5    
42 	280   	11498.3	13468.5    	2046.48	90551.1    
43 	280   	11683.2	13051.4    	2023.97	72262.6    
44 	280   	10168.2	12277.5    	2023.97	64250.8    
45 	280   	9792.12	12617.5    	2023.97	92455.4    
46 	280   	10873.3	13166.9    	2023.97	71113.2    
47 	280   	12100.7	15396.5    	2023.97	74371.2    
48 	280   	11654.1	16576.6    	2023.97	99525.1    
49 	280   	13470.4	16991.6    	2023.97	106605     
50 	280   	11463.7	15550.1    	2023.97	109677     
51 	280   	12541.9	17095.6    	2023.97	117656     
52 	280   	11982.1	14754      	2023.97	83333.9    
53 	280   	10694.8	15013.2    	2023.97	112672     
54 	280   	12803.3	16722.5    	2023.97	103404     
55 	280   	11105.3	14401.3    	2023.97	109351     
56 	280   	10991.9	14502.5    	2004.38	97306.5    
57 	280   	10517.8	14787.1    	1950.63	101734     
58 	280   	12207.3	16088.8    	1950.63	104503     
59 	280   	11211.3	16319.3    	1950.63	145538     
60 	280   	11875.9	15515.4    	1950.63	109459     
61 	280   	11724.5	17170.4    	1950.63	102614     
62 	280   	11678.7	17074      	1950.63	126731     
63 	280   	8333.45	12212.1    	1950.63	111426     
64 	280   	10119.5	14972.3    	1950.63	120651     
65 	280   	8876.14	12838.8    	1950.63	120651     
66 	280   	8621.72	12796.5    	1937.73	107610     
67 	280   	8404.21	12930.9    	1937.73	110616     
68 	280   	10702.3	14887      	1937.73	94336.3    
69 	280   	8774.13	12879.5    	1937.73	116722     
70 	280   	8094.39	12589.3    	1917.95	129550     
71 	280   	9542.63	13562      	1917.95	107287     
72 	280   	8370.07	12849.2    	1917.95	109340     
73 	280   	7439.8 	9334.46    	1877.41	80289.7    
74 	280   	7576.43	11513.6    	1877.41	114636     
75 	280   	8134.76	12545.6    	1877.41	122832     
76 	280   	9356.1 	13391.9    	1877.41	96230.4    
77 	280   	7991.92	12716.2    	1877.41	111452     
78 	280   	9018.8 	11881.4    	1877.41	96230.4    
79 	280   	8561.87	12342.4    	1877.41	98352.5    
80 	280   	8064.71	11641.5    	1877.41	91255      
81 	280   	8338.65	12685      	1877.41	101433     
82 	280   	8300.82	14299.3    	1872.71	137806     
83 	280   	7978.25	11372.9    	1872.71	95334.7    
84 	280   	6937.33	11735.1    	1872.71	134509     
85 	280   	6991.27	9687.84    	1855.85	103393     
86 	280   	7004.48	11162.9    	1815.06	103393     
87 	280   	6314.07	8483.47    	1815.06	96354.4    
88 	280   	6827.76	10393.1    	1815.06	91415.6    
89 	280   	7128.36	9916.45    	1814.58	84199.4    
90 	280   	7432.16	12360      	1814.58	103388     
91 	280   	8081.21	12010.8    	1814.58	108315     
92 	280   	6923.41	10689.2    	1814.58	115340     
93 	280   	6582.46	10625.5    	1814.58	106604     
94 	280   	5977.97	8903.49    	1814.58	88246.8    
95 	280   	7309.82	10610.2    	1814.58	86824.4    
96 	280   	7771.46	11556.8    	1814.58	85253.1    
97 	280   	8113.63	13019      	1814.58	102310     
98 	280   	7173.05	11557.8    	1814.58	90180.3    
99 	280   	6339.17	9477.43    	1814.45	65890.1    
100	280   	6332.33	9594.58    	1814.45	85276.3    
101	280   	5715.92	8012.87    	1814.45	84262.2    
102	280   	6261.38	9736.51    	1814.45	111285     
103	280   	6068.13	8806.54    	1814.45	81126.4    
104	280   	5730.48	9572.82    	1814.45	103291     
105	280   	7092.39	11024.6    	1814.45	102287     
106	280   	6799.19	9991.94    	1814.45	86165.1    
107	280   	6638.72	9946.97    	1814.45	112392     
108	280   	6173.96	8938.1     	1814.45	82318.9    
109	280   	6103.19	9454.49    	1814.45	80361.3    
110	280   	5853.84	9324.31    	1814.45	89226.4    
111	280   	6007.26	7541.16    	1814.45	53080      
112	280   	5841.67	8407.94    	1814.45	68237.5    
113	280   	5787.83	8749.62    	1814.45	106336     
114	280   	5824.75	9031.53    	1814.45	102519     
115	280   	6275.1 	10271.5    	1814.45	99400.4    
116	280   	5670.58	8650.47    	1814.45	79241.3    
117	280   	6215.65	9820.87    	1814.45	118418     
118	280   	6415.66	9316.37    	1814.45	99207.5    
119	280   	5926.61	8907.56    	1814.45	100529     
120	280   	7039.74	12034.3    	1814.45	123579     
121	280   	6304.28	9941.06    	1814.45	107337     
122	280   	5989.05	9755.27    	1814.45	127344     
123	280   	6312.44	9274.75    	1814.45	85274.1    
124	280   	5732.23	8998.94    	1814.45	100335     
125	280   	6537.25	11741.4    	1814.45	134644     
126	280   	6736.46	10113.7    	1814.45	107426     
127	280   	6292.99	10658      	1814.45	106409     
128	280   	5455.76	7746.93    	1814.45	76213.7    
129	280   	5860.21	9642.67    	1814.45	103391     
130	280   	6230.39	10262.8    	1814.45	128565     
131	280   	5744.5 	8362.55    	1814.45	107382     
132	280   	5729.6 	8845.58    	1814.45	107382     
133	280   	6175.78	8985.72    	1814.45	101259     
134	280   	5295.68	7726.83    	1814.45	97516.8    
135	280   	6064.59	9280.15    	1814.45	112256     
136	280   	5942.97	8359.46    	1814.45	83321      
137	280   	5774.06	7938.79    	1814.45	87211.5    
138	280   	5820.86	9847.88    	1814.45	132429     
139	280   	5313.3 	6653.04    	1814.45	95339.3    
140	280   	5356.6 	8141.9     	1814.45	89295.3    
141	280   	6141.92	10789.2    	1814.45	118379     
142	280   	5853.35	8860.53    	1814.45	78379.1    
143	280   	6863.26	8939.81    	1814.45	58103.7    
144	280   	6187.63	8896.72    	1814.45	81170.9    
145	280   	6043.17	8859.4     	1814.45	110381     
146	280   	6473.47	10806.6    	1814.45	141451     
147	280   	6412.9 	10376.4    	1814.45	112319     
148	280   	6326.18	10665.9    	1814.45	115325     
149	280   	6883.23	13437.5    	1814.45	114406     
150	280   	5337.86	7773.7     	1814.45	123334     
151	280   	5652.1 	8000.53    	1814.45	91252.6    
152	280   	6199.89	10841.4    	1814.45	103400     
153	280   	5585.03	8624.87    	1814.45	91202.2    
154	280   	5369.93	6783.45    	1814.45	83242.8    
155	280   	5935.07	9492.76    	1814.45	91196.2    
156	280   	5876.35	8475.9     	1814.45	92311.3    
157	280   	5749.87	9124.84    	1814.45	92257.7    
