
gen	nevals	avg    	std    	min    	max    
1  	280   	7556.83	1969.51	4694.82	9000   
2  	280   	7535.27	1969.02	4694.82	9000   
3  	280   	5667.68	1636.7 	4679.73	9000   
4  	280   	5018.57	1038.79	4597.11	19170.5
5  	280   	5155.86	2895.25	4597.11	68943.6
6  	280   	5468.27	6041.23	4597.11	110645 
7  	280   	5443.54	6108.48	4583.89	110645 
8  	280   	5832.27	7943.58	4583.89	110645 
9  	280   	5061.17	4759.01	4555.77	110645 
10 	280   	4711.63	555.595	4551.61	12513.3
11 	280   	4681.39	554.737	4551.61	12513.3
12 	280   	4730.31	886.319	4551.61	15512.6
13 	280   	5138.01	8543.69	2473.49	205091 
14 	280   	5722.78	12134.5	2473.49	205091 
15 	280   	7055.9 	17202.2	2473.49	205091 
16 	280   	8152.28	15564.2	2451.97	205091 
17 	280   	8984.35	16830.5	2422.57	250001 
18 	280   	8715.22	7090.03	2422.57	30936.4
19 	280   	9042.6 	27470.2	2422.57	636673 
20 	280   	8406.45	6939.97	2415.44	37602.4
21 	280   	8301.7 	6966.61	2395.21	37602.4
22 	280   	7554.08	6710.69	2395.21	33650.1
23 	280   	8659.01	7612.9 	2369.83	33650.1
24 	280   	9103.5 	7751.03	2369.83	33650.1
25 	280   	8234.13	7054.16	2352.52	31470.4
26 	280   	8396.54	7050.53	2352.52	35632.3
27 	280   	7533.28	6119.73	2270.92	33491.3
28 	280   	7502.29	6631.71	2087.29	34709  
29 	280   	8484.46	7310.04	2359.14	33491.3
30 	280   	7376.35	8242.96	2158.83	131662 
31 	280   	7522.47	8261.44	2269.52	101534 
32 	280   	8956.4 	8161.28	2163.61	52162.7
33 	280   	7485.81	7730.29	2152.8 	80517.4
34 	280   	8271.07	7378.83	2129.46	40523.9
35 	280   	7570.31	7285.27	2129.46	36470.1
36 	280   	7835.15	7098.57	2129.46	39453.7
37 	280   	8561.91	8367.81	2129.46	67413.6
38 	280   	8157.62	7927.7 	2129.46	54341.4
39 	280   	8496.05	7969.12	2129.46	44360.9
40 	280   	8622.56	9064.72	2073.1 	98796.7
41 	280   	9964.67	10707.5	2057.95	81020.9
