
gen	nevals	avg    	std    	min    	max    
1  	120   	1209.34	1004.7 	197.353	7580.88
2  	120   	1209.75	945.428	179.148	7580.88
3  	120   	919.251	561.152	157.13 	3082.36
4  	120   	905.054	558.543	169.45 	4558.89
5  	120   	1113.68	2145.78	155.624	28895.3
6  	120   	813.329	561.818	125.238	3541.75
7  	120   	893.756	547.01 	142.18 	4697.91
8  	120   	856.554	588.994	119.522	4735.54
9  	120   	927.102	517.639	118.294	3067.26
10 	120   	702.441	488.458	91.8299	2642.23
11 	120   	667.535	466.477	106.796	2224   
12 	120   	649.019	462.097	106.796	2243.46
13 	120   	572.257	438.317	99.2822	2182.79
14 	120   	634.806	500.92 	99.2822	2467.53
15 	120   	536.171	448.664	95.1861	1990.56
16 	120   	557.136	429.843	102.523	2538.89
17 	120   	577.486	452.866	102.523	2188.75
18 	120   	627.474	543.842	82.6698	4428.23
19 	120   	537.84 	394.682	82.6698	1682.88
20 	120   	536.436	428.044	79.3335	2260.08
21 	120   	510.946	465.721	78.1967	2867.96
22 	120   	508.885	643.238	79.3335	8872.64
23 	120   	563.912	886.288	70.5923	8872.64
24 	120   	502.607	663.545	70.5923	8872.64
25 	120   	458.659	658.51 	70.5923	8872.64
26 	120   	528.715	877.45 	70.5923	12198.4
27 	120   	433.21 	455.35 	70.5923	4913.07
28 	120   	472.137	423.17 	70.5923	2013.76
29 	120   	518.917	791.72 	67.5837	7284.55
30 	120   	474.594	517.917	70.5923	5137.03
31 	120   	453.959	348.974	65.2076	2111.48
32 	120   	461.044	997.181	65.2076	14531.7
33 	120   	493.581	1790.33	65.2076	27690.6
34 	120   	408.656	369.534	65.2076	2537.82
35 	120   	457.991	636.277	65.2076	6952.83
36 	120   	430.409	425.838	65.2076	3133.21
37 	120   	409.062	399.591	65.801 	3133.21
38 	120   	360.89 	385.646	65.801 	3133.21
39 	120   	482.403	656.475	65.801 	7142.85
40 	120   	421.214	442.022	65.801 	3133.21
41 	120   	389.128	368.739	65.801 	3133.21
42 	120   	712.342	3792.39	65.801 	58165  
43 	120   	462.969	513.288	65.801 	3133.21
44 	120   	380.969	393.118	65.801 	3133.21
45 	120   	411.484	369.403	67.8434	3133.21
46 	120   	475.679	467.257	68.4083	3133.21
47 	120   	429.206	479.141	68.4083	3211.95
48 	120   	462.271	507.719	71.1358	3133.21
49 	120   	402.379	363.127	62.9371	3133.21
50 	120   	382.108	369.904	62.9371	1579.53
51 	120   	447.632	392.376	62.9371	2536.17
52 	120   	417.496	325.703	62.9371	1766.37
53 	120   	414.673	305.784	66.1743	1618.94
54 	120   	432.696	733.472	66.1743	10371  
55 	120   	484.658	517.054	66.1743	5092.58
56 	120   	417.559	330.392	66.1743	2148.82
57 	120   	445.203	349.848	69.2401	1843.97
58 	120   	517.332	1434.44	69.2401	22113.1
59 	120   	515.353	1444.95	69.2401	22113.1
60 	120   	470.561	438.797	69.2401	3177.67
61 	120   	444.816	508.691	69.2401	5297.5 
62 	120   	422.546	649.648	69.2401	8491.64
63 	120   	382.661	386.289	69.2401	2112.61
64 	120   	533.086	578.836	59.8186	7053.22
65 	120   	421.136	348.635	59.8186	1633.64
66 	120   	378.061	337.013	59.8186	1970.3 
67 	120   	456.297	456.927	59.8186	4229.08
68 	120   	457.128	766.023	59.8186	10562.5
69 	120   	391.765	322.891	59.8186	1900.76
70 	120   	324.331	261.149	59.8186	1271.73
71 	120   	418.462	337.815	59.8186	2554.38
72 	120   	384.725	343.851	59.8186	1629.88
73 	120   	511.083	1054.27	59.8186	11640.4
74 	120   	420.185	771.446	59.8186	11107.7
75 	120   	433.684	459.883	59.8186	4082.86
76 	120   	361.321	398.452	59.8186	4082.86
77 	120   	393.613	348.4  	59.8186	1939.78
78 	120   	427.634	434.677	59.8186	4545.58
79 	120   	379.799	290.479	59.8186	1412.79
80 	120   	332    	303.003	59.8186	1504.45
81 	120   	367.905	426.506	64.2327	4990.43
82 	120   	333.835	304.064	61.0551	2218.21
83 	120   	384.799	370.344	61.0551	2258.52
84 	120   	353.679	597.648	61.0551	8369.62
85 	120   	525.649	2602.42	61.0551	39376.5
86 	120   	317.977	276.096	61.0551	1438.41
87 	120   	349.794	366.526	60.9694	3585.9 
88 	120   	369.028	387.979	60.9694	3791.74
89 	120   	365.209	391.362	60.9694	3791.74
90 	120   	353.914	459.676	60.6718	5475.87
91 	120   	306.787	271.695	61.0551	1256.56
92 	120   	336.227	334.196	61.0551	2108.23
93 	120   	315.373	276.538	60.0842	1629.39
94 	120   	384.599	327.849	60.0842	1629.39
95 	120   	405.894	303.23 	61.0551	1764.6 
96 	120   	387.08 	297.982	61.0551	1892.93
97 	120   	371.197	312.743	61.0551	1892.93
98 	120   	407.077	564.437	61.0551	6965.59
99 	120   	330.79 	532.832	61.0551	6965.59
100	120   	355.7  	279.101	61.0551	1758.25
101	120   	393.076	346.075	60.9055	2070.93
102	120   	388.426	360.712	61.0551	1872.92
103	120   	444.653	374.718	61.0551	2960.33
104	120   	358.228	327.871	61.0551	2186.6 
105	120   	405.192	358.122	61.0551	2239.76
