
gen	nevals	avg    	std    	min    	max        
1  	570   	7886.6 	1839.63	4608.57	9000       
2  	570   	7851.14	1864.84	4570.52	11330.4    
3  	570   	6122.78	1988.88	4581.26	21047.5    
4  	570   	5030.56	1089.07	4587.25	9000       
5  	570   	4914.75	963.127	4587   	9000       
6  	570   	4846.46	830.084	4587   	9000       
7  	570   	4941.27	1050.56	4577.95	9000       
8  	570   	4856.99	909.108	4567.72	9000       
9  	570   	4867.25	960.024	4561.46	9000       
10 	570   	4893.78	1029.15	4561.46	9000       
11 	570   	4876.12	1008.37	4561.46	9000       
12 	570   	4899.37	1067.27	4561.46	9000       
13 	570   	4916.11	1108.95	4552.87	9000       
14 	570   	4841.81	978.039	4552.87	9000       
15 	570   	4839.17	990.774	4545.36	12059.5    
16 	570   	4744.87	760.721	4545.36	9000       
17 	570   	4762.17	797.115	4545.36	9000       
18 	570   	4770.64	820.107	4533.04	9000       
19 	570   	4739.03	729.797	4533.04	9000       
20 	570   	4762.31	806.194	4533.04	9000       
21 	570   	4695.4 	630.94 	4531.34	11845      
22 	570   	4698.74	615.941	4529.01	9000       
23 	570   	4701.5 	670.604	3282.44	13155.5    
24 	570   	5000.02	11200.9	3208.07	382524     
25 	570   	5013.61	11250.2	3135.21	382524     
26 	570   	4705.93	1315.38	3135.21	21943.4    
27 	570   	4869.3 	2664.65	647.023	52350.5    
28 	570   	5071.33	4026.33	647.023	52350.5    
29 	570   	5901.17	6000.09	647.023	52350.5    
30 	570   	7665.07	8347.01	632.037	52350.5    
31 	570   	8611.75	9109.78	608.061	52350.5    
32 	570   	8989.27	9985.37	494.967	52350.5    
33 	570   	9276.98	11578.6	494.967	113176     
34 	570   	9300.24	11109.7	445.943	68969.7    
35 	570   	10516.2	12123.9	445.943	70044.3    
36 	570   	10069.9	11433.3	445.943	52350.5    
37 	570   	10124.8	10901.3	436.534	52350.5    
38 	570   	8992.54	10172.9	436.534	50822.9    
39 	570   	8779.98	10303.5	390.068	53723.7    
40 	570   	8918.7 	10974.9	390.068	63605.4    
41 	570   	8946.46	11179.2	390.068	52388.1    
42 	570   	9899.72	11962.1	390.068	66596.8    
43 	570   	8781.16	11871.5	371.526	178112     
44 	570   	8667.11	11654.1	371.526	78134      
45 	570   	9895.38	12556.4	337.215	78134      
46 	570   	9480.76	12971.5	278.212	78134      
47 	570   	9079.31	12324.1	278.212	78134      
48 	570   	8391.72	11810.3	278.212	78134      
49 	570   	8423.47	12314.2	278.212	78134      
50 	570   	8192.38	11625.5	278.212	91989.5    
51 	570   	8633.35	11745.7	278.212	86010      
52 	570   	7307.08	10123.1	229.786	55559.4    
53 	570   	7534.47	10823.5	229.786	68678.1    
54 	570   	7709.28	10883.7	229.786	70708.6    
55 	570   	7118.14	9583.03	229.786	56140.4    
56 	570   	6874.17	9657.04	229.786	72779.2    
57 	570   	6547.5 	9749.99	229.786	101563     
58 	570   	6848.49	10159.9	229.786	64746.5    
59 	570   	6689.68	9538.67	207.111	59627.3    
60 	570   	7159.4 	9964.49	220.259	61567.8    
61 	570   	7382.99	10282.7	219.067	68707      
62 	570   	6692.04	9571.19	219.067	65447.7    
63 	570   	7135.92	10184.7	219.067	85726.5    
64 	570   	8175.18	11413.5	219.067	79479      
65 	570   	8911.11	12385.7	219.067	92811.4    
66 	570   	8756.07	11787.8	219.067	72574.3    
67 	570   	8776.63	13869.3	219.067	258336     
68 	570   	9857.57	13037.7	219.067	77591.6    
69 	570   	8392.55	11754.1	219.067	83516.3    
70 	570   	9682.23	12286.2	219.067	72574.3    
71 	570   	8035.83	10352.3	156.031	70653.1    
72 	570   	7267.74	10167.8	156.031	76716.5    
