
gen	nevals	avg    	std    	min    	max    
1  	280   	8192.19	3863.93	4610.32	52393.6
2  	280   	8065.17	3009.18	4586.31	52393.6
3  	280   	6237.49	2483.73	4582.42	44273.4
4  	280   	5470.5 	4539.97	4581.89	93490.5
5  	280   	4928.31	980.935	4581.89	9000   
6  	280   	4885.24	961.59 	4580.86	9000   
7  	280   	4892.76	1014.41	4568.64	9000   
8  	280   	4937.92	1099   	4568.64	9000   
9  	280   	4919.3 	1055.81	4568.64	9000   
10 	280   	4975.08	1177.45	4566.09	9000   
11 	280   	4913.04	1057.73	4566.09	9000   
12 	280   	5015.87	1249.36	4566.09	9000   
13 	280   	4935.42	1099.6 	4566.09	9000   
14 	280   	4978.1 	1191.74	4565.04	9000   
15 	280   	4972.89	1163.93	4564.63	9000   
16 	280   	4912.6 	1075.04	4545.75	9000   
17 	280   	4994.27	1215.54	4541.1 	9000   
18 	280   	4908.25	1082.15	4541.1 	9000   
19 	280   	4958.32	1168.87	4541.1 	9000   
20 	280   	4915.91	1090.68	4541.1 	9000   
21 	280   	4967.61	1181.52	4533.25	9000   
22 	280   	4956.63	1155.3 	4533.25	9000   
23 	280   	5043.2 	1297.96	4533.25	9000   
24 	280   	4925.13	1118.44	4532.11	9000   
25 	280   	4959.31	1169.66	4532.11	9000   
26 	280   	4791.44	857.069	4520.06	9000   
27 	280   	4965.92	1176.42	4525.49	9000   
28 	280   	4828.66	945.337	4524.55	9000   
29 	280   	4870.88	1022.2 	4522.2 	9000   
30 	280   	4742.97	742.3  	4521.06	9000   
31 	280   	4762.74	822.466	4521.06	9000   
32 	280   	4682.12	596.947	4520.15	9000   
33 	280   	4676.14	566.477	4520.15	9000   
34 	280   	4670.03	541.478	3306.31	9000   
35 	280   	4720.19	733.331	3182.28	9000   
36 	280   	4744.54	1491.9 	3182.28	35690.3
37 	280   	4676.97	1134.09	3137.2 	25868  
38 	280   	4715.09	2149.7 	513.841	28903.5
39 	280   	5273.05	4697.37	411.114	38797.6
40 	280   	6009.24	6492.94	513.841	38797.6
41 	280   	8255.21	9362.28	513.841	47742  
42 	280   	10256.1	11182.9	491.082	53573.1
43 	280   	9913.15	11449  	491.082	54981.6
44 	280   	9338.13	11186.2	450.854	54981.6
45 	280   	7119.84	8612.07	381.398	53573.1
46 	280   	8702.65	10320.6	381.398	97782.9
47 	280   	9112.75	12075  	381.398	97782.9
48 	280   	8146.11	10020.4	381.398	93973.4
49 	280   	6227.94	8753.36	381.398	60856.4
50 	280   	9214.04	11653.5	381.398	60856.4
51 	280   	8256.43	10298  	381.398	59565.7
52 	280   	8612.09	11715.4	370.962	79178.6
53 	280   	10138.1	13250.5	381.398	95739.2
54 	280   	10181.3	12899  	295.515	72623.5
