
gen	nevals	avg    	std    	min    	max        
1  	570   	8046.74	3015.67	4592.66	52393.6    
2  	570   	7976.2 	2534.11	4591.41	52393.6    
3  	570   	6802.7 	13918.3	4577.83	466803     
4  	570   	5174.68	1340.4 	4569.94	17160.5    
5  	570   	5009.53	1162.65	4560.8 	9000       
6  	570   	4984.97	1150.89	4560.8 	9000       
7  	570   	4944.43	1101.62	4560.8 	9000       
8  	570   	5032.86	1220.31	4560.8 	9000       
9  	570   	5012.39	1213.04	4554.71	9000       
10 	570   	5065.16	1294.26	4560.8 	9000       
11 	570   	5000.9 	1222.27	4560.8 	9000       
12 	570   	4962.03	1164.23	4546.16	9000       
13 	570   	4929.76	1113.08	4546.16	9000       
14 	570   	4967.93	1256.67	4546.16	21952.2    
15 	570   	4936.17	1248.07	4547.92	24285.7    
16 	570   	4855.92	977.179	4534.77	10141.9    
17 	570   	4881.62	1027.22	4535.47	10141.9    
18 	570   	4868.73	991.242	4535.47	9000       
19 	570   	4950.82	2717.55	4520.14	90119.1    
20 	570   	4808.38	860.257	3349.64	9231.63    
21 	570   	4826.24	1029.25	3349.64	22493.1    
22 	570   	4804.43	918.823	3157.27	9000       
23 	570   	4761.95	988.969	1904.9 	17490.9    
24 	570   	4666.93	1432.96	774.33 	29543.8    
25 	570   	4569.97	2205.73	675.747	29543.8    
26 	570   	6076   	44253.2	607.278	1.49298e+06
27 	570   	6306.02	7258.52	590.884	44149.9    
28 	570   	8185.55	9191.83	540.525	48167.2    
29 	570   	7737.4 	8788.4 	521.685	49044.3    
30 	570   	7353.68	8747.22	515.201	87177.9    
31 	570   	6286.69	7544.64	430.892	48918      
32 	570   	6822.77	8130.24	462.86 	53744.7    
33 	570   	6998.4 	8477.92	406.643	66572.7    
34 	570   	7430.9 	8645.48	406.643	47045.6    
35 	570   	7154.82	8379.64	406.643	49959.1    
36 	570   	7972.33	9071.22	406.643	47403.4    
37 	570   	7544.35	8788.52	406.053	73897.4    
38 	570   	7030.57	8325.15	378.66 	46260.1    
39 	570   	7119.95	8767.31	378.66 	45752.8    
40 	570   	6939.76	9517.99	378.66 	117511     
41 	570   	6763.51	9015.33	378.66 	129500     
42 	570   	6975.07	11360.2	378.66 	232441     
43 	570   	8142.37	10193.5	375.417	70253.4    
44 	570   	7964.67	9954.24	375.417	57834.6    
45 	570   	9076.77	11000.9	374.776	52443      
46 	570   	9616.93	11158.2	375.417	52443      
47 	570   	8720.11	10699.9	334.127	56731.4    
48 	570   	9452.75	11202.7	295.686	96959.2    
49 	570   	8010.87	10354.1	295.686	96959.2    
50 	570   	8009.93	10302.4	295.686	117129     
51 	570   	7761.65	10118.6	295.686	117129     
52 	570   	7638.37	13056.7	295.686	255122     
53 	570   	8108.79	12594.4	295.62 	255122     
54 	570   	7400.71	11914.7	275.241	255122     
55 	570   	7436.75	13903.5	270.994	255122     
56 	570   	7334.85	15630.7	270.994	255122     
57 	570   	7515.5 	14129.7	238.984	255122     
58 	570   	7685.91	12627.1	238.984	255122     
59 	570   	7434.57	12123.1	238.984	255122     
60 	570   	7776.75	12039.5	238.984	255122     
61 	570   	6264.87	13533.8	238.984	255122     
62 	570   	7212.46	11933.9	238.984	255122     
63 	570   	6599.25	9061.26	238.984	78729.8    
64 	570   	7710.36	10058.6	214.827	62709.7    
65 	570   	7362.87	9493.89	214.827	76857.8    
66 	570   	7221.58	9312.15	214.827	57691.6    
67 	570   	7662.73	11212.2	214.827	208877     
68 	570   	8539.54	11784.4	214.827	208877     
69 	570   	7876.68	10965.5	214.827	66769.8    
70 	570   	8963.97	12315.8	214.827	166997     
71 	570   	9467.24	11749  	214.827	84547.6    
72 	570   	7822.82	10803.7	214.827	67682.8    
73 	570   	9075.23	11145  	214.827	59377      
74 	570   	8605.82	11320.3	168.139	90721.3    
75 	570   	8139.29	10885.6	168.139	74596      
