
gen	nevals	avg    	std    	min    	max    
1  	280   	7635.69	1861.36	3868.55	23903.9
2  	280   	7606.43	1796.86	3838.63	23903.9
3  	280   	6309.28	2558.52	3825.98	23903.9
4  	280   	4994.24	2350.16	3825.98	40908.3
5  	280   	4428.49	1336.59	3825.07	8250   
6  	280   	4268.26	1207.39	3797.22	8250   
7  	280   	4341.52	1293.64	3797.22	8250   
8  	280   	4343.93	1330.57	3797.22	8250   
9  	280   	4357.31	1368.87	3797.22	10667.7
10 	280   	4699.78	5870.86	3791.75	139009 
11 	280   	4433.96	1458.16	3791.75	8250   
12 	280   	4264.95	1264.33	3791.75	8250   
13 	280   	4374.48	1406.02	3788.34	8250   
14 	280   	4396.64	1815.27	3779.31	32496.1
15 	280   	4328.81	1342.71	3779.31	8250   
16 	280   	4171.76	1113.81	3778.81	8995.87
17 	280   	4092.58	984.973	2655.78	8250   
18 	280   	4139.92	1233.39	2655.78	18714.3
19 	280   	4160.59	1323.37	2610.72	18714.3
20 	280   	4034.24	1442.74	690.849	18714.3
21 	280   	4169.55	3044.07	607.372	32793.2
22 	280   	4771.5 	5104.08	443.588	34128.1
23 	280   	7295.77	8389.73	443.588	48923.8
24 	280   	9035.4 	10011.5	442.841	52149.9
25 	280   	8485.09	9725.14	442.841	47132.7
26 	280   	7223.71	8996.57	442.841	57771.5
27 	280   	6818.32	8787.41	442.841	49085.6
28 	280   	8153.01	9722.63	442.841	49190.6
29 	280   	8285.77	10050.5	386.44 	59766.6
30 	280   	6961.89	8927.02	386.44 	47699.8
31 	280   	7647.93	9479.09	367.607	50140.7
32 	280   	7772.37	9335.44	367.607	50112.9
33 	280   	7749.77	9871.67	336.382	51823.1
34 	280   	9457.47	11571.3	336.382	62927.2
35 	280   	6744.84	9340.17	336.382	52356  
36 	280   	7256.12	10059.3	336.382	49730.9
37 	280   	6811.47	9119.12	336.382	57887.7
38 	280   	6975.58	9261.54	336.382	50385.1
39 	280   	6723.46	9297.2 	336.382	57900.7
40 	280   	6202.86	8492.72	336.382	56092.7
41 	280   	6020.75	8647.75	336.382	52860.3
42 	280   	6463.86	8777.24	336.382	53717.2
43 	280   	6883.89	8482.16	326.215	43610.4
44 	280   	6722.45	9461.9 	326.215	77615.8
45 	280   	6253.5 	8283.47	326.215	47737.6
46 	280   	5777.02	8152.42	326.215	52582.9
47 	280   	6334.64	8169.81	297.672	49197.1
48 	280   	6096.2 	8389.98	297.672	52949.6
49 	280   	6554.3 	8816.57	297.672	49949.6
50 	280   	6416.22	9367.2 	297.672	50677.6
51 	280   	5406.81	8192.36	297.672	46290.1
52 	280   	5509.18	8644.29	297.672	49624  
53 	280   	6532.57	9740.7 	297.672	54573  
54 	280   	6149.62	8952.78	297.672	46711.8
55 	280   	5393.12	8186.04	297.672	52557.3
56 	280   	5480.51	8598.51	297.672	57795.6
57 	280   	6533.79	10134.5	297.672	54863.8
58 	280   	6482.42	10658.7	297.672	118552 
59 	280   	7303.02	10603.6	297.672	58843.3
60 	280   	7190.16	10587.1	297.672	56136.7
61 	280   	7113.98	10155.9	297.672	56710.6
62 	280   	6434.89	9597.8 	297.672	59558.5
63 	280   	6737.93	10323.7	297.672	66927.9
64 	280   	6718.17	9979.1 	277.425	68674.6
65 	280   	6149.91	8874.13	277.425	55658.5
66 	280   	6442.55	10127.8	277.425	69742  
67 	280   	6364.44	9364.86	259.618	53163.1
68 	280   	6918.53	10591.7	277.425	68803.9
69 	280   	8478.52	12064  	277.425	60555.6
70 	280   	7669.49	11287.4	277.425	73526.1
71 	280   	7398.41	10750.6	277.425	57527.2
72 	280   	7992   	11253.9	277.425	73585.5
73 	280   	8451.35	12310.4	277.425	69734.9
74 	280   	9061.97	12178.9	277.425	68504.4
75 	280   	8598.73	11660  	277.425	62620.3
76 	280   	8855.11	12635  	288.308	86623.5
77 	280   	10655.3	14098.7	245.781	82798.8
78 	280   	9936.21	13286.3	288.308	92572.1
79 	280   	8779.22	13264.9	287.48 	92572.1
80 	280   	10795.6	15147.5	287.48 	92572.1
81 	280   	10554.3	15009.7	274.91 	70457.5
82 	280   	8949.69	13510.9	274.91 	67476  
83 	280   	9651.33	13740.6	274.91 	67476  
84 	280   	9287.69	13529.4	274.91 	76153  
85 	280   	10287.9	15744.2	274.91 	106493 
86 	280   	9966.45	13824.8	274.91 	78509.8
87 	280   	9196.82	13518.1	274.91 	69671.9
88 	280   	10124.2	14416.9	274.91 	96862.7
89 	280   	10521  	15005.1	274.91 	78738.5
90 	280   	8804.22	14124.4	206.188	69671.9
91 	280   	10836.7	16479.2	206.188	93656.9
92 	280   	11754.4	16588.4	213.793	69671.9
93 	280   	9820.43	14778.6	213.793	69671.9
94 	280   	11285  	15701.2	213.793	71663.7
95 	280   	8913.61	13670.1	213.793	114998 
96 	280   	9955.42	13867.6	213.793	67736.8
97 	280   	8526.02	12780.6	213.793	81562.7
98 	280   	9066.36	13058.9	189.158	82661.6
99 	280   	6556.09	9655.26	189.158	72652.9
100	280   	7870.11	11261.7	189.158	80496.1
101	280   	7858.18	11523.2	189.158	86534.3
102	280   	7335.78	10684.1	189.158	63377.4
103	280   	6925.55	10766.9	189.158	68551.9
104	280   	8279.31	12833.6	189.158	125806 
105	280   	8333.87	12896.8	189.158	132770 
106	280   	8951.61	11714.3	138.87 	51681.5
107	280   	7051.89	10418.6	138.87 	60811  
108	280   	7108.22	10310.8	138.87 	74489.4
109	280   	5781.99	9934.82	138.87 	72431.3
110	280   	6197.22	9473.23	138.87 	59600.4
111	280   	6070.36	10853.5	123.253	104427 
112	280   	6086.75	9764.47	123.253	61580.4
113	280   	5578.27	9056.16	118.513	56476.2
114	280   	4726.49	7930.29	123.253	56551.2
115	280   	5689.82	10275.2	123.253	86564.2
116	280   	5619.59	9916.71	123.253	103815 
117	280   	5550.88	9135.79	123.253	92446  
118	280   	5656.85	9612.88	90.3885	82741.6
119	280   	6007.27	10293.9	90.3885	90639.7
120	280   	5092.23	7273.47	78.393 	70588.5
121	280   	5073.39	9687.59	90.3885	95641.8
122	280   	6075.06	9518.87	90.3885	79780.6
123	280   	5489.48	10293.4	90.3885	73687.1
124	280   	5599.39	9420.28	90.3885	65368.7
125	280   	4693.31	9006.29	90.3885	65368.7
126	280   	4936.77	8002.35	90.3885	50542.6
127	280   	4611.26	8786.91	90.3885	103633 
128	280   	6506.12	10949.5	90.3885	76384.7
129	280   	5564.9 	9466.14	90.3885	83369.7
130	280   	6119.49	9853.02	90.3885	65434  
131	280   	5529.24	9053.47	78.4761	76700.2
132	280   	5460.44	9520.25	78.4761	89525.3
133	280   	5730.16	9301.46	73.365 	76703.2
134	280   	6289.63	10730.5	78.4761	79532.3
135	280   	5451.48	8942.19	78.4761	71657.5
136	280   	5037.87	8414.69	78.4761	72630.6
137	280   	5187.24	9366.69	78.4761	78728.4
138	280   	6761.15	12108.1	78.4761	107979 
139	280   	7557.89	11237.4	78.4761	77576.7
140	280   	5657.69	10372.5	78.4761	113642 
141	280   	5437.23	8550.48	78.4761	61686.8
142	280   	5339.78	10094.8	78.4761	122179 
143	280   	6185.49	10771.9	78.4761	105834 
144	280   	5367.2 	7908.61	78.4761	61489.4
145	280   	5188.61	9132.51	78.4761	73570.4
146	280   	5770.54	9397.57	78.4761	73570.4
147	280   	5742.59	8035.01	74.5344	44525.5
148	280   	4906.12	7642.48	74.5344	70377.7
149	280   	6764.43	9873.88	74.5344	68627.8
150	280   	5218.11	8100.97	74.5344	57575.6
151	280   	5831.96	8306.65	74.5344	52387.9
152	280   	5055.95	8373.48	74.5344	65636.3
153	280   	5190.11	7697.89	74.5344	74610.9
154	280   	5148.31	7704.22	74.5344	81562.4
155	280   	5491.35	6215.35	74.5344	44567.5
156	280   	5015.41	9126.07	74.5344	96435.7
157	280   	6372.8 	13776.8	74.5344	180909 
158	280   	6112.76	9154.26	74.5344	83518.6
159	280   	4866.78	7727.99	74.5344	79576  
160	280   	5800.47	8153.3 	74.5344	49504.9
161	280   	4956.4 	7943.34	74.5344	75509.4
162	280   	5134.44	8970.44	74.5344	72598.3
163	280   	5447.93	9861.15	74.5344	119670 
164	280   	6245.97	8739.45	74.5344	67608.1
165	280   	5823.61	11048  	68.6783	150511 
166	280   	5571.39	8083.55	68.6783	73275.3
167	280   	5491.04	9326.17	68.6783	97566.3
168	280   	6093.07	10892.1	68.6783	98535.4
169	280   	6150   	11112  	68.6783	97566.3
170	280   	6622.79	11437.4	68.6783	97566.3
171	280   	5535.44	8798.52	68.6783	88419.6
172	280   	5797.18	9880.64	68.6783	90879  
173	280   	6578.94	10485.8	68.6783	115816 
174	280   	5276.9 	8833.57	68.6783	110855 
175	280   	4536.31	7561.73	68.6783	54352.9
176	280   	6916.77	11773.8	68.6783	126805 
177	280   	5508.96	9380.11	68.2884	113894 
178	280   	5649.01	9848.84	68.2884	113894 
179	280   	5541.11	9126.32	68.6783	70552  
180	280   	4603.97	7423.11	68.6783	62399.3
181	280   	6121.59	11414.9	68.6783	105573 
182	280   	5190.67	8333.59	68.6783	74410  
183	280   	5361.19	9842.18	68.6783	77640.1
184	280   	5254.99	9345.37	68.6783	92543.5
185	280   	5830.08	9748.77	68.6783	84580.2
186	280   	4208.6 	6838.83	68.6783	44557.5
187	280   	5958.04	10010.2	68.6783	95916.5
188	280   	6702.06	11902.4	68.6783	126970 
189	280   	7053.9 	11088.2	68.6783	88841.2
190	280   	5251.58	9266.75	64.3414	88841.2
191	280   	4799.96	10090  	64.3414	104505 
192	280   	5888.13	11070.4	64.3414	99575.4
193	280   	6847.18	12689.2	64.3414	103724 
194	280   	5368.42	9328.07	64.3414	89667.5
195	280   	4541.03	8407.37	64.3414	74647.2
196	280   	3834.4 	6906.41	64.3414	52426  
197	280   	6517.94	12053.3	64.3414	93811.4
198	280   	6643.01	11341.2	64.3414	74631.9
199	280   	6768.51	11564.5	64.3414	120942 
200	280   	5373.53	9194.18	64.3414	76663.9
Time elapsed: 13040 seconds.


Batch Job Summary Report (version 21.01.1) for Job "bpopt" (48973483) on daint

Job information (1/2)
-----------------------------------------------------------------------------------------------------
             Submit            Eligible               Start                 End    Elapsed Time limit
------------------- ------------------- ------------------- ------------------- ---------- ----------
2023-09-16T12:59:08 2023-09-16T12:59:08 2023-09-16T12:59:18 2023-09-16T16:37:56   03:38:38   23:59:00
-----------------------------------------------------------------------------------------------------

Job information (2/2)
-------------------------------------------------------------
    Username      Account    Partition   NNodes        Energy
------------ ------------ ------------ -------- -------------
    bp000145       ich030       normal        8  14936.466 kJ

