
gen	nevals	avg    	std    	min    	max        
1  	280   	7428.13	1798.35	3865.06	23864.4    
2  	280   	7399.87	1728.66	3836.62	23864.4    
3  	280   	6178.93	2308.05	3830.61	23864.4    
4  	280   	4872.13	1690.08	3814.2 	15090.4    
5  	280   	4347.94	1179.35	3814.2 	8000       
6  	280   	4337.1 	1260.85	3804.78	8000       
7  	280   	4279.79	1206.44	3804.78	8000       
8  	280   	4193   	1074.67	3804.78	8000       
9  	280   	4354.86	1304.37	3804.78	8000       
10 	280   	4326.48	1277.06	3804.78	8000       
11 	280   	4241.82	1142.29	3793.11	8000       
12 	280   	4254.04	1178.15	3793.11	8000       
13 	280   	4122.92	964.286	3793.11	8000       
14 	280   	4228.05	1142.87	3788.54	8000       
15 	280   	4159.4 	1007.74	3788.54	8000       
16 	280   	4186.79	1048.14	3788.54	8000       
17 	280   	4102.85	874.105	3785.98	8000       
18 	280   	4185.43	1063.33	3773.93	8000       
19 	280   	4184.75	1049.84	3773.93	8000       
20 	280   	4158.45	1021.31	3773.93	8000       
21 	280   	4116.77	947.441	3772.67	8000       
22 	280   	4036.78	763.877	3772.67	8000       
23 	280   	4056.53	833.547	3772.67	8202.24    
24 	280   	4030.61	786.067	3772.67	8000       
25 	280   	4003.61	742.097	3772.67	8000       
26 	280   	3952.96	585.92 	3771.87	8000       
27 	280   	3981.41	694.084	2764.4 	8000       
28 	280   	3928.23	562.73 	2668.78	8000       
29 	280   	3968.82	726.273	702.709	8000       
30 	280   	3919.71	689.508	702.709	10242.1    
31 	280   	3868.88	787.41 	702.709	8000       
32 	280   	3865.29	1746.09	628.662	26715.5    
33 	280   	4079.79	4130.25	628.662	51680.5    
34 	280   	5666.08	8251.69	543.408	51680.5    
35 	280   	8603.03	11608.1	508.77 	53626.2    
36 	280   	10647.2	13268.3	475.281	53626.2    
37 	280   	8671.98	11526.5	475.281	52619.7    
38 	280   	8232.7 	11656.9	434.184	61667      
39 	280   	8309.19	11710.8	434.184	52943.4    
40 	280   	7788.42	10808.4	379.304	49981.1    
41 	280   	7905.05	11249.6	390.05 	58753.6    
42 	280   	7756.97	11203.8	390.05 	59035.3    
43 	280   	8613.24	11716.7	368.106	56714      
44 	280   	9305.87	12664.4	368.106	54597.3    
45 	280   	7579.37	10525.9	368.106	48996.8    
46 	280   	8805.2 	11553.9	368.106	56652.9    
47 	280   	5998.66	9006.43	368.106	45808.9    
48 	280   	7891.29	10919.1	339.253	62062.6    
49 	280   	6240.64	9736.34	338.023	52848.6    
50 	280   	7289.47	11200.1	339.253	53657.1    
51 	280   	6848.9 	10035.7	339.253	53892.8    
52 	280   	6203.17	9272.91	323.634	43419.1    
53 	280   	6847.53	10689.9	319.035	54095.1    
54 	280   	7264.75	11048.9	319.035	55982      
55 	280   	6896.26	11363.6	319.035	112484     
56 	280   	6296.22	9447.65	299.053	47680.6    
57 	280   	6680.83	10428.5	319.035	58554.9    
58 	280   	6268.72	9657.07	319.035	55614.8    
59 	280   	7534.6 	10560.1	319.035	53652.3    
60 	280   	5959.99	8835.78	319.035	52147      
61 	280   	5756.27	9496.46	290.174	58377.2    
62 	280   	6080.79	9177.23	311.275	44459.9    
63 	280   	5836.89	10060  	311.275	55361.3    
64 	280   	5790.52	9526.47	309.816	51736.9    
65 	280   	6311.84	10120  	311.275	58818      
66 	280   	7197.3 	10835.6	309.582	55866.8    
67 	280   	6626.25	10507.3	309.582	56709.5    
68 	280   	7059.11	10539.9	309.582	54759.1    
69 	280   	8803.94	12019  	309.582	56987.3    
70 	280   	6800.49	10097.1	309.582	49698.7    
71 	280   	8704.8 	12120.4	309.582	57755.5    
72 	280   	8946.8 	12713.6	309.582	57867.2    
73 	280   	9586.5 	13441.4	309.582	75541.7    
74 	280   	9030.69	12383.1	309.582	65862.6    
75 	280   	9477.1 	13233.4	301.932	74596      
76 	280   	9286.46	13197.7	301.932	62936      
77 	280   	10079.6	13841  	301.932	63747.2    
78 	280   	11574.2	14922.6	301.932	61643      
79 	280   	10859.6	14525.6	301.932	78513.6    
80 	280   	14125.1	17184.3	301.932	91466.2    
81 	280   	12538.2	16809.6	301.932	91466.2    
82 	280   	11644.7	15493.9	301.932	91466.2    
83 	280   	13284  	48477  	301.932	1.10409e+06
84 	280   	11462.3	15546.2	301.932	91466.2    
85 	280   	11627.4	16165.7	301.932	110685     
86 	280   	11201.1	14803.9	301.932	79589.5    
87 	280   	10979.1	15252.9	301.932	79609.2    
88 	280   	10722.6	14455.5	301.932	96550.4    
89 	280   	9016.48	12766  	246.285	68632.1    
90 	280   	10751.3	15171.8	246.285	94794.6    
91 	280   	11810.5	15521.4	246.285	95735.4    
92 	280   	10018.8	14196.1	246.285	71749.3    
93 	280   	11061.3	15157  	246.285	90615.8    
94 	280   	11306.1	15403.3	246.285	81410.5    
95 	280   	10477.8	15039.6	246.285	71460.4    
96 	280   	11197.2	14962.3	246.285	79796.6    
97 	280   	9974.87	13797.2	246.285	75681.9    
98 	280   	10595.7	13914.2	246.285	71420.6    
99 	280   	10054.7	14672.9	246.285	85532.8    
100	280   	9869.32	14385.4	219.528	85532.8    
101	280   	10839.2	15501.1	174.826	86836.5    
102	280   	8512.45	12753.2	174.826	76398.2    
103	280   	7961.28	11784.4	174.826	72640.3    
104	280   	6441.03	9820.11	174.826	65614.2    
105	280   	6707.86	10055.8	174.826	63443.4    
106	280   	6602.69	10756.6	155.897	82801.9    
107	280   	6613.35	9854.29	155.897	82987.9    
108	280   	6057.01	10495.4	155.897	98699.7    
109	280   	7076.87	10512.7	155.897	89604.4    
110	280   	5940.78	10251.7	155.897	69653.5    
111	280   	7397.02	11279.9	155.897	95469.5    
112	280   	6631.48	11386.8	155.897	100937     
113	280   	7511.39	12098.9	155.897	80536.7    
114	280   	5716.02	9121.44	155.897	63796.8    
115	280   	6466.36	11356.7	155.897	107561     
116	280   	5872.59	9582.96	155.897	97659      
117	280   	5858.54	9854.24	155.897	85666.7    
118	280   	6835.73	10932.5	155.897	102865     
119	280   	5814.1 	10712.9	107.03 	124671     
120	280   	6052.33	10150.7	107.03 	93805.7    
121	280   	5762.53	10302.9	107.03 	119676     
122	280   	6961.92	11062.7	107.03 	75404.9    
123	280   	5260.57	8091.91	107.03 	55666.8    
124	280   	4273.61	7142.08	107.03 	63741.5    
125	280   	4672.7 	7005.64	107.03 	55699.5    
126	280   	6299.51	12529.8	107.03 	155735     
127	280   	7549.56	11823  	107.03 	113533     
128	280   	6167.64	11167  	107.03 	115731     
129	280   	7115.33	11174.2	107.03 	100786     
130	280   	5996.07	9791.32	107.03 	75544.2    
131	280   	6645.76	11480.1	107.03 	95629.5    
132	280   	5853.88	9444.68	107.03 	76681.5    
133	280   	5541.06	8993.66	107.03 	77730.3    
134	280   	6769.64	10317.4	107.03 	85658.9    
135	280   	5153.13	8351.14	107.03 	57589.3    
136	280   	4644.02	7665.28	107.03 	72620.1    
137	280   	5488.45	8161.88	107.03 	46572.6    
138	280   	5052.59	7893.89	107.03 	54680.3    
139	280   	5488.08	7828.68	107.03 	39637.1    
140	280   	4862.57	7562.82	107.03 	42579.6    
141	280   	5792.98	8697.26	107.03 	53511.3    
142	280   	4600.6 	7241.58	107.03 	55527.4    
143	280   	4480.84	6820.53	83.5471	57426.9    
144	280   	4784.01	7791.52	83.5471	69492.4    
145	280   	4858.98	7210.95	83.5471	63653.2    
146	280   	4681.02	7455.89	83.5471	60539.5    
147	280   	5504.18	8528.03	83.5471	97853      
148	280   	4965.3 	8233.56	83.5471	101888     
149	280   	5226.68	8068.88	83.5471	89520.3    
150	280   	4360.52	7056.27	83.5471	60745.7    
151	280   	4191.9 	6694.54	83.5471	70705.9    
152	280   	4475.92	7139.39	83.5471	68683      
153	280   	3928.27	7261.68	80.3595	101875     
154	280   	4685.53	7657.38	80.3595	84662.3    
155	280   	3878.41	5777.01	80.3595	44567      
156	280   	3583.43	6422.42	73.0637	83681.7    
157	280   	3622.76	6452.41	73.0637	70644.4    
158	280   	4286.45	7798.37	73.0637	95722.1    
159	280   	4180.87	6365.58	73.0637	41500.7    
160	280   	4141.06	8306.41	80.3595	104985     
161	280   	3994.43	6680.65	80.3595	55525.2    
162	280   	4675.55	8176.08	80.3595	69671.5    
163	280   	4750.9 	9246.66	80.2087	93528.6    
164	280   	4458.99	7365.83	80.2087	56838.7    
165	280   	3821.4 	6220.48	80.3595	43630.8    
166	280   	4096.6 	7250.17	70.1554	50626.6    
167	280   	3904.22	6127.32	70.1554	43571.7    
168	280   	4192.47	6607.28	70.1554	41693.5    
169	280   	4561.84	8280.56	65.4041	68423.7    
170	280   	4648.31	8578.57	65.4041	74706.4    
171	280   	3688.08	6456.25	65.4041	58624.1    
172	280   	4130.62	7655.92	65.4041	82455.1    
173	280   	4075.42	7333.52	65.4041	63540      
174	280   	4241.14	7733.45	65.4041	80694      
175	280   	4467.81	7804.7 	65.4041	51462.6    
176	280   	4552.75	10055.2	65.4041	127937     
177	280   	4486.71	7631.49	65.4041	76697.3    
178	280   	4136.51	6408.6 	57.1163	40461.4    
179	280   	4006.01	7252.22	65.4041	56756.5    
180	280   	3852.63	7011.72	65.4041	58690.5    
181	280   	3585.72	5929.29	65.4041	51688.1    
182	280   	3212.12	5559.25	65.4041	40470.1    
183	280   	3574.82	6502.69	65.4041	49594.4    
184	280   	3812.56	7276.27	65.4041	51805.7    
185	280   	8572.21	124573 	65.4041	2.95032e+06
186	280   	3471.52	6753.72	65.4041	65778.7    
187	280   	3818.92	7964.14	65.4041	67527.8    
188	280   	4140.06	7707.44	65.4041	62554.5    
189	280   	4227.09	8582.18	65.4041	96907.3    
190	280   	4042.67	7312.49	61.8557	56793.5    
191	280   	4191.73	8772.3 	65.4041	103731     
192	280   	3860.78	8182.68	65.4041	94661.8    
193	280   	4003.13	7623.56	65.4041	57452.8    
194	280   	4521.34	8281.42	65.4041	62356.2    
195	280   	4470.93	9969.28	65.4041	96642      
196	280   	3745.71	6331.96	65.4041	51762      
197	280   	4009.85	8226.56	65.4041	82797.9    
198	280   	3937.43	8853.66	65.4041	107791     
199	280   	4172.8 	9313.65	62.2615	134829     
200	280   	4379.86	8869.32	65.4041	76677.8    
Time elapsed: 12360 seconds.


Batch Job Summary Report (version 21.01.1) for Job "bpopt" (48977173) on daint

Job information (1/2)
-----------------------------------------------------------------------------------------------------
             Submit            Eligible               Start                 End    Elapsed Time limit
------------------- ------------------- ------------------- ------------------- ---------- ----------
2023-09-16T19:54:40 2023-09-16T19:54:40 2023-09-16T19:54:40 2023-09-16T23:21:55   03:27:15   23:59:00
-----------------------------------------------------------------------------------------------------

Job information (2/2)
-------------------------------------------------------------
    Username      Account    Partition   NNodes        Energy
