
gen	nevals	avg    	std    	min    	max        
1  	140   	1170.81	1311.59	185.944	12045.1    
2  	140   	1203.68	1360.64	185.944	12713.4    
3  	140   	904.025	1116.26	166.153	17208.2    
4  	140   	884.255	542.91 	161.613	4312.39    
5  	140   	834.983	507.286	107.237	3109.16    
6  	140   	806.437	518.475	94.414 	4576.21    
7  	140   	718.598	476.064	77.3505	2570.13    
8  	140   	540.598	458.397	42.1346	4278.63    
9  	140   	606.554	548.555	37.4933	3928.83    
10 	140   	510.859	517.66 	40.9423	3090.77    
11 	140   	541.689	500.635	37.8661	2389.97    
12 	140   	460.849	487.056	37.8661	3330.76    
13 	140   	463.982	592.914	35.7492	7110.32    
14 	140   	373.004	436.119	35.7492	2462.72    
15 	140   	454.424	529.282	37.8661	4026.71    
16 	140   	464.609	478.258	33.5285	2750.37    
17 	140   	512.465	847.147	33.5285	11731.1    
18 	140   	430.127	462.582	33.5285	2119.44    
19 	140   	520.914	530.793	33.5285	4637.59    
20 	140   	430.709	471.45 	33.5285	3717.36    
21 	140   	389.279	419.133	28.7107	3294.16    
22 	140   	358.597	401.523	28.7107	2152.12    
23 	140   	538.639	530.367	28.7107	4212.32    
24 	140   	459.227	442.46 	28.7107	2169.41    
25 	140   	451.332	463.049	32.0261	2170.6     
26 	140   	409.434	447.554	32.0261	2254.91    
27 	140   	465.941	420.825	33.1403	2848.66    
28 	140   	403.719	403.646	33.1403	1883.2     
29 	140   	384.989	552.982	32.7034	5084.11    
30 	140   	369.902	406.431	32.7034	1749.82    
31 	140   	520.828	489.047	33.5285	3489.34    
32 	140   	378.865	407.342	33.5285	2331.6     
33 	140   	364.226	402.176	33.5285	2419.08    
34 	140   	456.052	564.218	29.33  	5439.71    
35 	140   	446.526	836.776	29.33  	10469.2    
36 	140   	434.478	1056.87	29.33  	16279.6    
37 	140   	27295.8	449251 	29.33  	7.53125e+06
38 	140   	27251.3	449253 	29.33  	7.53125e+06
39 	140   	438.263	996.37 	29.33  	15427.6    
40 	140   	350.985	426.635	29.33  	2324.96    
41 	140   	425.517	570.425	29.33  	5290.13    
42 	140   	329.319	405.507	29.33  	1904.72    
43 	140   	439.119	458.025	29.33  	2001.17    
44 	140   	438.567	526.724	29.33  	4303.78    
45 	140   	383.846	441.18 	29.33  	2531.5     
46 	140   	362.301	456.911	29.33  	3447       
47 	140   	406.555	652.653	29.33  	8114.71    
48 	140   	381.364	615.289	29.33  	7191.14    
49 	140   	360.16 	459.285	29.33  	2303.56    
50 	140   	417.326	477.825	29.33  	3062.83    
51 	140   	417.119	485.558	29.33  	2078.97    
52 	140   	486.565	580.751	29.33  	5835.21    
53 	140   	397.399	422.377	29.33  	2123.93    
54 	140   	546.711	436.815	29.33  	2549.85    
55 	140   	472.973	646.63 	29.33  	8431.18    
56 	140   	381.448	436.875	29.33  	3304       
57 	140   	340.544	415.968	29.33  	2489.36    
58 	140   	392.281	689.095	29.33  	9233.63    
59 	140   	316.304	442.451	29.33  	2522.19    
60 	140   	546.895	2057.17	29.33  	32646      
61 	140   	563.004	1999.07	29.33  	32646      
62 	140   	391.191	410.141	29.33  	1954.36    
63 	140   	389.222	429.474	29.33  	1866.22    
64 	140   	390.548	457.838	29.33  	3275.57    
65 	140   	352.285	469.368	29.33  	4135.82    
66 	140   	385.809	486.103	29.33  	3499.78    
67 	140   	383.713	502.215	29.33  	3990.08    
68 	140   	475.968	2124.15	29.33  	35237.5    
69 	140   	360.746	395.472	29.33  	1874.28    
70 	140   	377.399	519.005	29.33  	3748.37    
71 	140   	365.861	426.744	29.33  	2611.42    
72 	140   	446.56 	477.785	29.33  	1975.75    
73 	140   	583.716	431.574	29.33  	2609.86    
74 	140   	489.496	415.854	29.33  	2407.6     
75 	140   	372.102	351.933	29.33  	1733.24    
76 	140   	385.243	472.201	29.33  	3387.7     
77 	140   	419.314	518.914	29.33  	4984.56    
78 	140   	348.263	441.189	29.33  	4308.02    
79 	140   	398.421	412.6  	29.33  	1824.51    
80 	140   	577.681	561.967	29.33  	6404.77    
81 	140   	529.526	661.327	28.3928	8810.98    
82 	140   	470.954	787.136	29.33  	11311.9    
83 	140   	493.344	831.382	29.33  	12134.9    
84 	140   	384.863	791.431	29.33  	11475.3    
85 	140   	352.877	883.117	29.33  	13162.1    
