
gen	nevals	avg    	std    	min    	max    
1  	510   	6162.64	53.8221	6034.19	6354.01
2  	510   	6162.64	53.315 	6034.19	6354.01
3  	510   	6122.97	78.1582	6034.07	8410.5 
4  	510   	6113.71	185.786	6018.62	10855.5
5  	510   	6106.77	215.683	6018.62	10855.5
6  	510   	6099.06	309.26 	6018.56	11835.1
7  	510   	6066.15	164.277	6014.75	10855.5
8  	510   	6044.8 	45.6308	6013.06	7055.91
9  	510   	6037.95	46.3003	6013.06	7093.88
10 	510   	6035.47	20.905 	6013.06	6201.72
11 	510   	6037.08	41.6733	6013.06	7003.2 
12 	510   	6029.11	112.129	3561.1 	6520.21
13 	510   	6019   	229.636	3561.1 	8295.94
14 	510   	5959.43	413.984	3413.67	6501.47
15 	510   	5849.44	663.095	3379.31	11245.1
16 	510   	5578.01	969.345	3379.31	11245.1
17 	510   	5124.62	1236.32	3328.67	11245.1
18 	510   	4704.59	1422.04	3323.23	21990.1
19 	510   	4867.97	5559.28	3320.92	129948 
20 	510   	4628.23	3195.24	3267.79	70789.8
21 	510   	4656.39	1885.53	3197.17	50479.2
22 	510   	4496.74	1178.11	3197.17	6949.46
23 	510   	4489.49	1211.79	3197.17	7532.9 
24 	510   	4431.69	1170.02	3173.52	6268.4 
25 	510   	4388.29	1245.37	3173.52	18173.1
26 	510   	4387.07	1207.48	3172.1 	6260.27
27 	510   	4370.32	2446.82	3161.63	72204  
28 	510   	4519.88	2298.97	3161.63	45110.7
29 	510   	4555.15	3219   	3161.63	88962.6
30 	510   	4678.15	5928.02	3173.52	169391 
31 	510   	4678.22	10038.7	3173.52	321032 
32 	510   	5683.06	19982.4	3161.89	321032 
33 	510   	7215.71	29634  	3161.89	321032 
34 	510   	10354.4	42884.3	3153.42	321032 
35 	510   	15913.6	59209.5	3128.7 	321032 
36 	510   	20303.8	69006.2	3119.32	321032 
37 	510   	8399.41	35544.9	3119.32	321032 
38 	510   	9677.01	40576.1	3119.32	321032 
39 	510   	9634.44	40564  	3119.32	321032 
40 	510   	4577.56	1342.49	3119.32	8132.63
41 	510   	4461.67	1307.92	3119.32	8688.93
42 	510   	4528.65	1944.53	3128.49	50854.3
43 	510   	4443.11	2187.25	3127.8 	50854.3
44 	510   	4361.84	1349.13	3127.8 	8083.37
45 	510   	4586.73	1356.39	3111.44	9726.8 
46 	510   	4509.77	1319.44	3151.2 	9726.8 
47 	510   	4417.99	1289.71	3136.17	7177.67
48 	510   	4488.54	1314.92	3130.35	6773.31
49 	510   	4486.36	1411.6 	3109.33	22094.6
50 	510   	4515.38	1758.84	3146.57	41888.6
51 	510   	4315.31	1268.5 	3098.87	9265.64
52 	510   	4425.76	1282.37	3120.43	6244.17
53 	510   	4458.16	1293.79	3107.5 	6421.91
54 	510   	4422.29	1347.69	3120.43	18868.3
55 	510   	4297.14	1267.19	3120.43	6260.31
56 	510   	4350.58	1238.52	3112.04	6394.03
57 	510   	4264.92	1336.7 	3114.05	14564.7
58 	510   	4305.4 	1278.2 	3114.39	7320.7 
59 	510   	4282.54	1298.98	3114.39	8950.66
60 	510   	4413.41	1381.59	3114.39	17836.3
61 	510   	4232.59	1251.76	3072.82	7636.9 
62 	510   	4272.11	1255.73	3072.82	8499.07
63 	510   	4291.14	1324.65	3094.57	6469.91
64 	510   	4492.53	2347.51	3108.48	65799.8
65 	510   	4338.35	1312.84	3108.48	9020.25
66 	510   	4250.76	1345.13	3080.59	9425.98
67 	510   	4503.39	1361.94	3108.48	7044.54
68 	510   	4461.66	1582.02	3099.6 	33037.8
69 	510   	4370.43	1290.48	3099.6 	6544.02
70 	510   	4282.64	1260.97	3099.6 	7629.43
71 	510   	4167.37	1279.85	3099.6 	7674.86
72 	510   	4370.94	1599.01	3099.6 	31532  
73 	510   	4332.63	1307.27	3094.42	6713.36
74 	510   	4279.26	1447.86	3090.34	24383.8
75 	510   	4424.63	2994.52	3090.34	82325.8
76 	510   	4300.56	1297.31	3090.34	9099.49
77 	510   	4223.43	1275.48	3090.34	6426.35
78 	510   	4295.54	3826.5 	3090.34	118666 
79 	510   	4801.05	8103.35	3080.13	118666 
80 	510   	4498.01	5249.32	3080.13	118666 
81 	510   	4484.2 	5469.72	3080.13	118666 
82 	510   	4719.6 	7279.15	3080.13	118666 
83 	510   	4746.78	5237.61	3080.13	118666 
84 	510   	4420.86	1368.92	3071.2 	6338.13
85 	510   	4732.53	1352.77	3071.2 	6559.74
86 	510   	4434.89	1343.7 	3071.2 	9569.52
87 	510   	4487.11	1438.62	3071.2 	23252.8
88 	510   	4345.03	1316.05	3071.2 	8236.32
89 	510   	4349.72	1297.96	3071.2 	6318.51
90 	510   	4287.73	1470.3 	3050.22	24755.7
91 	510   	4333.69	1403.7 	3071.2 	19025.5
92 	510   	4503.66	1358.8 	3073.73	7402.17
93 	510   	4393.21	1338.47	3078.15	6862.02
94 	510   	4329.14	1310.8 	3068.2 	6738.93
95 	510   	4407.93	1328.24	3065.79	6420.99
96 	510   	4538.48	1311.55	3065.79	6734.29
97 	510   	4298.73	1296.49	3065.79	10107.9
98 	510   	4254.26	1503.32	3078.15	28357.4
99 	510   	4276.52	1337.2 	3078.15	8687.44
100	510   	4327.71	1549.1 	3073.82	21979.4
Elapsed time: 2488 seconds (0h 41m 28s)
