
gen	nevals	avg    	std    	min    	max       
1  	510   	8001.8 	1992.09	6226.03	30849.5   
2  	510   	8355.05	6506.75	6126.27	191333    
3  	510   	7625.55	7610.48	6126.27	232808    
4  	510   	6961.93	1313.45	6126.27	25095.6   
5  	510   	7596.16	18103.4	6115.43	579731    
6  	510   	7096.68	2572.04	6106.59	82759.1   
7  	510   	7080.26	1012.84	6108.36	10900.4   
8  	510   	7064.11	3548.77	6105.82	95654.7   
9  	510   	7316.57	6507.49	6102.18	208613    
10 	510   	6902.32	1337.97	6100.52	29618.5   
11 	510   	6960   	1093.13	6098.73	12815.1   
12 	510   	7019.45	1889.48	6096.39	48213.2   
13 	510   	7023.64	1238.34	6096.39	28383.8   
14 	510   	7222.09	7361.71	6095.67	238183    
15 	510   	7135.59	2000.03	6093.65	55937.8   
16 	510   	7689.89	21788.4	6093.65	695670    
17 	510   	6925.55	1595.17	6092.09	45365.5   
18 	510   	7013.99	1841.49	6092.61	56854     
19 	510   	6877.57	2876.56	6092.13	85323.4   
20 	510   	6925.21	1926.93	6090.89	58534.5   
21 	510   	6969.44	1435.45	6090.89	34495.2   
22 	510   	6848.02	1211.79	6090.89	23040.3   
23 	510   	6937.83	1146.69	6090.89	14636.4   
24 	510   	7036.21	1201.96	6090.89	26389.5   
25 	510   	6814.91	1098.33	6089.18	16101.2   
26 	510   	6991.46	1178.37	6089.89	19092.8   
27 	510   	6995.14	1628.57	6089.89	47402.3   
28 	510   	6881.09	1304.81	6089.89	20791.2   
29 	510   	7228.97	7744.16	6089.89	197237    
30 	510   	6927.83	1021.2 	6089.89	11638     
31 	510   	6929.66	1943.59	6089.89	57854.5   
32 	510   	6877.84	1314.1 	6089.89	29380.7   
33 	510   	6954.55	1106.8 	6089.89	15647.8   
34 	510   	6918.6 	1245.19	6090.56	24182.2   
35 	510   	6996.19	1096.6 	6090.56	17576.3   
36 	510   	6878.83	1174.38	6090.83	17576.3   
37 	510   	6974.84	1095   	6090.84	16757.1   
38 	510   	6861.57	1107.16	6090.43	17380     
39 	510   	6928.14	1344.08	6089.86	32491.3   
40 	510   	7098.26	1677.08	6090.65	50227     
41 	510   	6884.8 	1092.08	6090.96	13912.5   
42 	510   	6921   	1054.8 	6090.96	9724.97   
43 	510   	7149.98	2399.61	6090.96	76970.5   
44 	510   	6951.94	2191.78	6090.96	66523.9   
45 	510   	6999.1 	1150.03	6091.4 	22712.5   
46 	510   	6937.61	1258.23	6091.03	24183     
47 	510   	6972.72	1132.1 	6090.11	20366     
48 	510   	7036.02	2137.44	6088.49	54466.1   
49 	510   	7014.29	1095.75	6088.49	11246.4   
50 	510   	7172.04	2640.31	6088.49	83744.9   
51 	510   	7023.03	3171.74	6088.49	91964.8   
52 	510   	7040.54	1319.24	6088.49	30606.3   
53 	510   	7175.88	6399.3 	6088.49	184156    
54 	510   	7060.16	1543.9 	6088.49	38277.7   
55 	510   	7101.3 	1040.1 	6088.49	10229.5   
56 	510   	6931.87	1080.12	6088.49	12069.4   
57 	510   	6839.26	1077.8 	6088.27	15912.5   
58 	510   	6912.1 	1069.48	6088.27	16514.4   
59 	510   	7056.15	3234.81	6088.31	103347    
60 	510   	7101.7 	1157.48	6088.41	25684.4   
61 	510   	6872.45	1105.08	6088.41	18567.5   
62 	510   	7000.05	1055.91	6088.41	10432.9   
63 	510   	6874.95	1298.4 	6088.41	20484.1   
64 	510   	7002.37	1019.66	6088.41	11149.8   
65 	510   	6826.58	1059.35	6088.41	11576.8   
66 	510   	6933.23	1053.53	6088.41	9000      
67 	510   	6835.09	1152.35	6088.41	18632.3   
68 	510   	6948.86	1530.07	6088.41	43794.7   
69 	510   	7047.48	2238.63	6088.41	66142.1   
70 	510   	6970.01	1266.5 	6088.41	29686.9   
71 	510   	7093.84	3266.21	6088.2 	104537    
72 	510   	7047.41	1599.71	6088.41	44564.5   
73 	510   	7128.63	1704.09	6088.41	44564.5   
74 	510   	6956.9 	1549.93	6088.41	39698.9   
75 	510   	6961.68	1753.76	6088.36	39698.9   
76 	510   	6922.03	1083.1 	6087.45	10348.7   
77 	510   	6964.11	1777.46	6087.45	49864.5   
78 	510   	6973.89	1071.49	6087.45	11793.4   
79 	510   	6874.54	1227.93	6087.45	21316.8   
80 	510   	6975.97	1102.87	6087.45	10485.8   
81 	510   	7058.38	3616.75	6087.45	103402    
82 	510   	7059.23	2863.3 	6087.45	91802     
83 	510   	6875.07	1089.11	6087.45	12447.6   
84 	510   	7102.92	3059.87	6087.45	98293.2   
85 	510   	7049.02	2145.1 	6087.32	65250     
86 	510   	6964.78	2901.71	6087.45	93450.8   
87 	510   	7175.22	2915   	6087.45	93450.8   
88 	510   	7060.22	2954.47	6087.45	93450.8   
89 	510   	7120.14	2983.4 	6087.45	93450.8   
90 	510   	7050.62	1093.8 	6087.45	13891.1   
91 	510   	6846.73	1094.25	6087.45	10640.9   
92 	510   	7178.92	7221.91	6087.45	234320    
93 	510   	6980.65	1109.49	6087.45	14383     
94 	510   	6905.12	1369.96	6087.45	32919.8   
95 	510   	6955.86	1394.22	6087.35	32919.8   
96 	510   	7038.6 	1279.87	6088.68	23492.1   
97 	510   	6978.16	1145.24	6088.68	19921.2   
98 	510   	7125.75	3878.47	6088.81	125275    
99 	510   	7047.99	2507.02	6088.24	79837.6   
100	510   	6950.42	1327.89	6088.24	29566.8   
101	510   	7079.53	1202.55	6088.74	20473.4   
102	510   	6934.88	1192.4 	6088.25	20473.4   
103	510   	7114.09	1261.62	6088.25	22281.6   
104	510   	7095.14	1133.32	6088.25	20126.7   
105	510   	6926.37	1164.24	6088.74	15646.5   
106	510   	7155.11	2991.52	6088.74	78525.1   
107	510   	7133.65	1080.53	6088.26	15042.5   
108	510   	7050.69	2243.23	6088.26	67101.7   
109	510   	7047.07	1110.04	6088.26	13948     
110	510   	6879.15	999.67 	6088.26	10062.4   
111	510   	7004.86	3465.41	6088   	112126    
112	510   	7037.43	1050.66	6088.74	12380.8   
113	510   	6908.14	1357.36	6088.53	27330.3   
114	510   	7047.83	2236.9 	6088.74	65353.7   
115	510   	6894.3 	1211.13	6088.74	24989.3   
116	510   	7010.66	1061.86	6088.74	9000      
117	510   	7126.56	9692.98	6088.74	314006    
118	510   	8475.96	49320.2	6088.44	1.5822e+06
119	510   	8503.51	49311.3	6085.47	1.5822e+06
120	510   	7061.07	1482.75	6085.47	36196.2   
121	510   	6856.66	1721.06	6085.47	50572     
122	510   	6896.24	1180.35	6085.47	21470.1   
123	510   	6861.41	1083.91	6084.41	13766.7   
124	510   	6982.61	2049.52	6085.47	62240.9   
125	510   	7008.1 	1111.65	6085.47	19521.5   
126	510   	6947.03	1234.91	6085.16	24417.4   
127	510   	6885.66	1076.42	6085.47	9668.69   
128	510   	7006.83	2430.14	6085.47	74036.1   
129	510   	6962.49	1130.25	6085.47	20143.9   
130	510   	7017.39	1225.7 	6085.47	21970.5   
131	510   	7042.35	1055.04	6085.78	11578.8   
132	510   	6881.85	1166.89	6085.78	18981.7   
133	510   	7014.7 	1891.19	6085.78	55611.8   
134	510   	7062.81	1383.54	6085.78	32347.6   
135	510   	6999.08	1152.92	6085.59	10043.4   
136	510   	7026.83	1113.95	6085.3 	13925.8   
137	510   	6959.95	1097.42	6085.3 	9000      
138	510   	6949.99	1104.11	6085.3 	12511.1   
139	510   	7497.96	15750.2	6085.3 	508966    
140	510   	7086.38	1404.52	6085.3 	30876.1   
141	510   	6967.53	1067.78	6085.3 	14672.7   
142	510   	7002.59	1328.02	6085.3 	26842.6   
143	510   	7074.93	1245.24	6085.3 	22335.1   
144	510   	6973.63	1100.79	6085.3 	18509.9   
145	510   	6940.32	1116.13	6085.3 	9000      
146	510   	6890.41	1119.98	6085.3 	13738.9   
147	510   	6981.87	1118.34	6085.25	14598.4   
148	510   	7021.79	1263.49	6085.25	20008.9   
149	510   	7052.82	1143.58	6085.3 	13819.3   
150	510   	7016.03	1554.11	6085.3 	32511.7   
151	510   	7024.85	1216.24	6085.75	20379.2   
152	510   	7078.44	1206.43	6085.75	20379.2   
153	510   	7103.15	3146.03	6085.75	100560    
154	510   	7034.03	1173.12	6085.76	16533.4   
155	510   	7047.7 	1138.43	6085.23	9983.29   
156	510   	7095.06	1270.17	6085.23	24270.8   
157	510   	7009.86	1141.34	6085.23	9000      
158	510   	6944.73	1086.23	6084.83	12493.2   
159	510   	6959.55	1133.88	6084.71	11830.3   
160	510   	7004.91	1121.59	6084.71	9206.27   
161	510   	6930.48	1076.48	6084.71	14838.1   
162	510   	6979.05	1167.5 	6084.71	15552.2   
163	510   	7046.15	1120.9 	6084.71	10394.4   
164	510   	7228.91	8354.24	6084.71	271353    
165	510   	6996.04	1121.23	6084.71	16850.1   
166	510   	6976.73	1193.38	6084.71	14610.9   
167	510   	7005.07	1167.56	6084.71	18529.5   
168	510   	7075.46	1117.22	6084.71	13590.5   
169	510   	7243.84	6251.76	6084.71	175963    
170	510   	6950.12	1122.03	6084.71	16370     
171	510   	7128.62	3200.49	6084.71	102177    
172	510   	7074.51	2192.95	6084.71	66239.7   
173	510   	7104.68	1073.17	6084.71	9655.44   
174	510   	6941.49	1104.4 	6084.71	9936.47   
175	510   	7019.92	1141.32	6084.48	12805.1   
176	510   	6990.85	1138.74	6084.48	13832.1   
177	510   	7054.51	1126.57	6084.48	14130     
178	510   	7010.77	1153.42	6084.71	10187.2   
