
gen	nevals	avg    	std    	min    	max 
1  	510   	8520.74	1080.71	6000.39	9000
2  	510   	8531.03	1069.87	6000.39	9000
3  	510   	7879.77	1416.93	6000.39	9000
4  	510   	7058.08	1403.92	6000.31	9000
5  	510   	6606.54	1172.51	6000.31	9000
6  	510   	6532.93	1072.31	6000.31	9000
7  	510   	6501.99	1029.83	6000.31	9000
8  	510   	6444.57	930.408	6000.3 	9000
9  	510   	6504.82	948.115	6000.3 	9000
10 	510   	6576.84	997.644	6000.3 	9000
11 	510   	6566.52	938.816	6000.3 	9000
12 	510   	6669.44	1007.21	6000.3 	9000
13 	510   	6720.9 	1010.03	6000.3 	9000
14 	510   	6713.57	974.204	6000.3 	9000
15 	510   	6713.64	978.694	6000.3 	9000
16 	510   	6679.75	956.336	6000.3 	9000
17 	510   	6718.02	994.5  	6000.3 	9000
18 	510   	6715.04	965.169	6000.3 	9000
19 	510   	6728.3 	981.408	6000.3 	9000
20 	510   	6744.46	1014.79	6000.3 	9000
21 	510   	6697.39	952.865	6000.3 	9000
22 	510   	6700.35	978.142	6000.3 	9000
23 	510   	6725.33	1012.32	6000.3 	9000
24 	510   	6756.24	1021.31	6000.28	9000
25 	510   	6723.88	979.066	6000.28	9000
26 	510   	6684.19	974.911	6000.28	9000
27 	510   	6691.55	964.022	6000.28	9000
28 	510   	6694.51	952.724	6000.28	9000
29 	510   	6656.34	979.463	6000.28	9000
30 	510   	6703.35	987.295	6000.28	9000
31 	510   	6701.83	971.426	6000.28	9000
32 	510   	6697.42	977.984	6000.28	9000
33 	510   	6697.43	975.737	6000.28	9000
34 	510   	6710.63	962.714	6000.28	9000
35 	510   	6784.16	1033.63	6000.28	9000
36 	510   	6735.63	992.737	6000.28	9000
37 	510   	6718   	960.695	6000.28	9000
38 	510   	6715.09	985.496	6000.28	9000
39 	510   	6729.76	974.694	6000.28	9000
40 	510   	6656.23	942.692	6000.28	9000
41 	510   	6713.75	969.815	6000.28	9000
42 	510   	6729.75	965.608	6000.28	9000
43 	510   	6707.68	960.307	6000.28	9000
44 	510   	6666.6 	975.883	6000.28	9000
45 	510   	6682.71	968.001	6000.28	9000
46 	510   	6697.4 	957.485	6000.28	9000
47 	510   	6735.62	994.953	6000.28	9000
48 	510   	6725.36	981.354	6000.28	9000
49 	510   	6715.04	955.994	6000.28	9000
50 	510   	6712.11	974.154	6000.28	9000
51 	510   	6729.75	997.051	6000.28	9000
52 	510   	6740.03	981.626	6000.28	9000
53 	510   	6720.92	976.725	6000.28	9000
54 	510   	6710.64	946.548	6000.28	9000
55 	510   	6709.17	948.811	6000.28	9000
56 	510   	6718   	972.095	6000.28	9000
57 	510   	6729.77	956.414	6000.28	9000
58 	510   	6715.06	942.064	6000.28	9000
59 	510   	6715.1 	1016.34	6000.28	9000
60 	510   	6709.2 	974.012	6000.28	9000
61 	510   	6738.63	990.522	6000.28	9000
62 	510   	6741.54	1019.1 	6000.28	9000
63 	510   	6693.02	973.213	6000.28	9000
64 	510   	6722.43	976.771	6000.28	9000
65 	510   	6726.84	1010.16	6000.28	9000
66 	510   	6706.24	948.673	6000.28	9000
67 	510   	6725.37	963.236	6000.28	9000
68 	510   	6720.96	1020.87	6000.28	9000
69 	510   	6728.3 	1005.82	6000.28	9000
70 	510   	6756.23	1003.86	6000.28	9000
71 	510   	6676.86	981.136	6000.28	9000
72 	510   	6688.93	959.148	6000.28	9000
73 	510   	6741.53	986.11 	6000.28	9000
74 	510   	6698.94	1022.13	6000.28	9000
75 	510   	6734.2 	1008.13	6000.28	9000
76 	510   	6744.49	1010.43	6000.28	9000
77 	510   	6662.16	964.056	6000.28	9000
78 	510   	6718.03	994.535	6000.28	9000
79 	510   	6669.49	939.231	6000.28	9000
80 	510   	6720.97	949.253	6000.28	9000
81 	510   	6713.59	976.474	6000.28	9000
82 	510   	6718.02	978.879	6000.28	9000
83 	510   	6773.89	1023.2 	6000.28	9000
84 	510   	6743.04	1023.43	6000.28	9000
85 	510   	6773.97	1001.44	6000.28	9000
86 	510   	6750.36	961.246	6000.28	9000
