
gen	nevals	avg    	std    	min    	max       
1  	120   	1801.42	1831.34	195.442	16128.8   
2  	120   	1873.32	1764.27	192.499	16128.8   
3  	120   	1634.29	999.986	171.062	8313.82   
4  	120   	1319.56	769.696	167.01 	4718.29   
5  	120   	1231.75	749.378	220.531	4302.09   
6  	120   	1217.16	807.261	115.764	5651.4    
7  	120   	1187.2 	784.521	139.196	5090.94   
8  	120   	1077.38	836.062	148.905	5205.7    
9  	120   	1213.56	717.986	138.813	3465.11   
10 	120   	873.225	608.448	133.247	3387.79   
11 	120   	948.887	655.101	133.247	3346.49   
12 	120   	777.936	613.328	120.266	3064.66   
13 	120   	692.706	583.745	133.247	2978.33   
14 	120   	709.804	548.521	104.404	2978.33   
15 	120   	604.179	557.518	103.425	3134.37   
16 	120   	734.249	2530.6 	103.425	39079.5   
17 	120   	464.017	406.812	95.6958	2218.2    
18 	120   	488.996	520.063	81.997 	4011.3    
19 	120   	419.097	363.896	92.0128	3331.97   
20 	120   	429.998	418.405	64.8357	3080.04   
21 	120   	429.178	494.19 	60.1621	5626.21   
22 	120   	373.242	381.155	49.1104	3572.19   
23 	120   	335.564	351.795	49.1104	3158.21   
24 	120   	386.645	441.495	46.5644	2896.5    
25 	120   	514.124	1889.61	46.5644	28579.8   
26 	120   	505.48 	1588.29	46.5644	23546.7   
27 	120   	383.031	702.468	46.5644	9952.56   
28 	120   	380.558	438.517	46.5644	3205.1    
29 	120   	426.326	562.017	46.5644	4225.84   
30 	120   	393.494	481.01 	40.814 	3960.71   
31 	120   	349.743	325.76 	46.5644	2011.02   
32 	120   	484.366	1388.83	38.4759	19559.6   
33 	120   	422.579	699.158	38.4759	7797.1    
34 	120   	431.288	386.203	38.4759	2638.51   
35 	120   	376.069	322.603	38.4759	2796.91   
36 	120   	344.64 	367.764	35.8249	3296.39   
37 	120   	342.531	352.661	38.4759	3249.27   
38 	120   	376.046	430.249	38.4759	3576.19   
39 	120   	328.079	354.336	38.4759	3028      
40 	120   	383.791	449.065	38.4759	3743.62   
41 	120   	313.014	349.269	38.4759	3530.45   
42 	120   	394.651	366.6  	38.4759	2379.86   
43 	120   	340.269	396.992	38.4759	4548.35   
44 	120   	315.619	381.428	38.4759	4619.77   
45 	120   	336.137	328.852	38.4759	2358.29   
46 	120   	313.207	316.28 	38.4759	2905.28   
47 	120   	297.634	281.704	37.3692	1892.39   
48 	120   	389.837	515.747	38.4759	6325.52   
49 	120   	350.279	346.006	29.4953	3112.24   
50 	120   	453.179	518.989	29.4953	5150.52   
51 	120   	401.921	429.736	38.3498	3656.06   
52 	120   	419.213	540.912	38.1171	6549.95   
53 	120   	394.531	300.74 	38.1171	1636.43   
54 	120   	520.761	2650.99	37.7981	41133.3   
55 	120   	353.849	497.284	37.7981	7053.66   
56 	120   	351.834	409.626	37.7981	4573.3    
57 	120   	384.202	389.083	37.5223	3194.14   
58 	120   	313.574	322.324	38.1171	2207.72   
59 	120   	337.619	316.144	38.1171	2233.76   
60 	120   	440.092	947.039	38.1171	13498.5   
61 	120   	381.452	474.338	38.1171	3823.04   
62 	120   	523.183	1095.16	38.1171	11356.8   
63 	120   	403.916	374.319	38.1171	2930.7    
64 	120   	430.183	747.735	38.1171	10903.9   
65 	120   	347.397	298.106	38.1171	1445.67   
66 	120   	369.753	355.707	35.068 	2163.27   
67 	120   	351.429	344.763	35.068 	2240.35   
68 	120   	412.477	687.875	35.068 	7485.28   
69 	120   	407.89 	483.825	35.068 	4558.25   
70 	120   	285.581	273.694	35.068 	1946.04   
71 	120   	359.561	371.221	35.068 	2568.37   
72 	120   	341.162	366.863	35.068 	3116.13   
73 	120   	369.626	601.146	35.068 	8564.19   
74 	120   	354.717	276.283	35.068 	1458.83   
75 	120   	349.985	440.397	35.068 	3010.83   
76 	120   	380.933	446.216	35.068 	3742.59   
77 	120   	378.961	758.189	35.068 	10819.5   
78 	120   	310.004	323.935	35.068 	1889.73   
79 	120   	345.785	305.125	35.068 	1609.68   
80 	120   	404.083	660.047	35.068 	9355.86   
81 	120   	305.139	298.363	34.3571	2176.98   
82 	120   	286.579	281.305	34.3571	2102.02   
83 	120   	385.509	545.774	35.068 	5162.93   
84 	120   	291.965	379.434	35.068 	4508.46   
85 	120   	401.809	541.315	35.068 	4508.46   
86 	120   	371.955	492.372	35.068 	4508.46   
87 	120   	425.516	674.427	38.8898	4912.5    
88 	120   	312.594	328.11 	38.8898	2081.57   
89 	120   	310.989	333.012	38.8898	3024.06   
90 	120   	402.857	935.823	40.0854	12429.7   
91 	120   	506.666	2013.55	39.735 	28520.4   
92 	120   	4545.84	65077.7	40.0854	1.0106e+06
93 	120   	327.694	400.572	40.0854	3946.61   
94 	120   	770.124	5405.97	40.2912	83832.4   
95 	120   	420.161	366.777	45.4492	3946.61   
96 	120   	367.912	442.824	40.1145	3946.61   
97 	120   	383.689	597.583	40.1145	7185.26   
98 	120   	407.767	548.41 	40.1145	3946.61   
99 	120   	423.309	476.85 	37.1969	3946.61   
100	120   	441.843	407.542	39.9313	3279.6    
101	120   	377.778	402.206	39.9313	3236.56   
102	120   	437.189	1279.94	39.9313	18909.2   
103	120   	520.947	2090.84	40.1145	31834.7   
104	120   	305.633	356.235	40.1145	3039.41   
105	120   	322.57 	299.861	40.1145	1520.8    
106	120   	364.24 	409.586	40.1145	3123.61   
107	120   	310.761	324.681	38.4474	2227.51   
108	120   	363.76 	335.069	40.0891	2528.77   
109	120   	369.477	522.171	39.3942	6702.6    
110	120   	366.852	343.241	36.4318	2013.58   
111	120   	319.788	272.808	33.6314	1316.08   
112	120   	391.257	388.3  	40.0891	3267.19   
113	120   	427.152	482.343	40.0891	5178.79   
114	120   	354.498	488.868	40.0891	5150.59   
115	120   	440.929	492.7  	40.0891	4716.13   
116	120   	441.255	389.485	40.0891	2184.44   
117	120   	385.449	397.523	39.3605	4128.45   
118	120   	335.223	294.127	27.5697	1919.42   
119	120   	418.113	444.363	27.5697	3873.9    
120	120   	340.869	424.081	27.5697	3828.5    
121	120   	395.887	463.389	40.0891	4426.51   
122	120   	355.84 	359.976	34.7764	2456.59   
123	120   	405.119	374.501	34.7764	3238.3    
124	120   	479.238	1338.55	34.7764	20326     
125	120   	389.379	456.802	34.7764	5779.34   
126	120   	384.843	324.964	34.7764	2422.43   
127	120   	377.091	472.951	34.7764	5482.98   
128	120   	384.796	480.132	34.7764	3539.19   
129	120   	393.81 	650.994	34.7764	9355.39   
130	120   	448.098	2508.65	34.7764	38945.3   
131	120   	396.434	525.448	34.7764	4293.36   
132	120   	442.202	600.662	34.7764	7453.45   
133	120   	456.786	697.339	34.7764	9180.25   
134	120   	334.431	402.59 	34.7764	2755.31   
135	120   	350.843	390.498	34.7764	2456.82   
136	120   	489.694	621.081	37.8085	3815.29   
137	120   	511.968	606.277	37.8085	3437.89   
138	120   	440.925	438.756	37.8085	3054.56   
139	120   	369.746	378.746	37.8085	2684.35   
140	120   	476.044	2070.11	37.8085	31923.7   
141	120   	496.465	2085.24	32.5717	31923.7   
142	120   	1267.6 	8556.57	32.5717	118064    
143	120   	447.887	732.948	32.5717	9942.08   
144	120   	557.697	1835.59	32.5717	28223.2   
145	120   	384.769	404.679	32.5717	3421.16   
146	120   	397.867	721.59 	32.5717	10523.5   
147	120   	361.509	336.886	32.5717	1945.41   
148	120   	358.154	526.57 	32.5717	5715.63   
149	120   	390.118	365.467	32.787 	2464.12   
150	120   	356.115	366.252	28.2346	3147.55   
151	120   	331.758	354.688	28.2346	2418.29   
152	120   	378.575	460.785	27.1148	5091.37   
153	120   	844.473	7791.44	27.1148	121134    
154	120   	311.871	311.1  	28.8615	2133.39   
155	120   	358.813	428.519	27.6959	4150.59   
156	120   	350.779	297.64 	27.6959	1877.92   
157	120   	351.255	325.873	27.6959	1662.12   
158	120   	314.772	363.907	27.6959	2550.37   
159	120   	363.273	410.959	27.6959	4005.45   
160	120   	378.418	333.604	27.6959	2589.78   
161	120   	356.492	631.961	27.5937	8525      
162	120   	329.311	279.803	34.7484	1504.92   
163	120   	334.796	380.604	34.7484	4168.33   
164	120   	346.505	293.811	37.8085	1891.94   
165	120   	342.757	289.443	37.8085	2102.24   
166	120   	399.809	370.12 	43.8948	2822.01   
167	120   	400.067	946.97 	43.8948	13281.6   
168	120   	371.81 	663.922	43.8948	9195.93   
169	120   	361.747	477.325	43.8948	5264.43   
170	120   	386.424	380.862	39.3253	2479.94   
171	120   	636.308	2486.84	39.3253	33436.2   
172	120   	350.409	480.997	39.3253	3501.58   
173	120   	386.763	583.36 	39.3253	5026.73   
174	120   	345.689	404.035	42.2978	2871.07   
175	120   	375.016	653.182	43.8948	9477.46   
176	120   	297.287	438.273	43.6214	5454.94   
177	120   	504.082	2653.74	43.8948	41299.9   
178	120   	339.697	427.124	37.3189	5692.34   
179	120   	331.833	387.895	36.6365	3272.97   
180	120   	335.493	294.061	32.6104	1886.64   
181	120   	360.441	369.16 	32.6104	3081.87   
182	120   	417.352	2153.66	32.6104	33427.8   
183	120   	443.31 	959.463	36.576 	10344.1   
184	120   	450.64 	885.459	36.6365	9301.07   
185	120   	355.903	316.175	36.6365	1736.2    
186	120   	336.082	441.836	36.6365	5208.78   
187	120   	341.856	565.81 	36.6365	7585.32   
188	120   	366.67 	356.232	36.6365	2328.3    
189	120   	364.004	512.16 	36.6365	5748.55   
190	120   	369.366	318.338	36.6365	2121.32   
191	120   	1766.12	20638.3	36.6365	320391    
192	120   	3122.62	29111.5	36.6365	320391    
193	120   	436.777	336.28 	36.6365	2074      
194	120   	377.967	373.632	36.6365	3098.35   
195	120   	374.681	387.049	36.6365	3140.22   
196	120   	454.672	409.206	36.6365	3075.85   
197	120   	325.226	315.661	36.6365	2332.42   
198	120   	339.097	270.678	29.9132	1559.22   
199	120   	294.765	277.018	29.9132	1800.07   
200	120   	306.171	255.633	29.9132	1366.25   
Elapsed time: 733 seconds (0h 12m 13s)
