
gen	nevals	avg    	std    	min    	max        
1  	510   	7475.42	1643.05	5688.22	15128.9    
2  	510   	7444.48	1611.74	5668.02	15128.9    
3  	510   	6331.78	5056.29	5646.51	163644     
4  	510   	6575.44	13805.3	5616.51	417264     
5  	510   	6009.82	1462.32	5604.72	32321.5    
6  	510   	8505.23	79919.8	5582   	2.55876e+06
7  	510   	5782.09	964.471	5538.11	32876.6    
8  	510   	5883.16	1351.74	5522.99	32876.6    
9  	510   	5816.22	2022.06	5488.62	58628.4    
10 	510   	5979.06	1974.12	5420.48	36744.3    
11 	510   	6302.06	6154.44	5420.48	166073     
12 	510   	6350.46	12115.2	5395.18	324580     
13 	510   	5699.45	928.715	5390.59	20804      
14 	510   	5712.27	1384.18	5360.68	38505.4    
15 	510   	5745.95	3377.29	5356.65	104227     
16 	510   	5703.91	1639.85	4115.71	38505.4    
17 	510   	5803.9 	5244.88	4109.66	164411     
18 	510   	5507.57	579.859	3792.25	19269.4    
19 	510   	5472.34	729.905	1867.58	19269.4    
20 	510   	5439.5 	1169.98	1796.03	19420.8    
21 	510   	5481.95	1988.37	1796.03	19420.8    
22 	510   	5850.23	3180.88	1687.53	21854.2    
23 	510   	6245.86	4000.27	1687.53	21060.6    
24 	510   	6284.38	4838.73	1687.53	78099.7    
25 	510   	6035.41	3938.91	1687.53	35188.9    
26 	510   	6133.71	4200.06	1670.21	33623.2    
27 	510   	6480.41	6248.37	1514.08	144321     
28 	510   	6634.67	5120.23	1514.08	36673.3    
29 	510   	7229.91	6292.25	1514.08	32056.1    
30 	510   	7785.28	11383.6	1438.06	309773     
31 	510   	7371.07	6233.28	1470.08	36148      
32 	510   	7264.34	5535.52	1449.19	30647.4    
33 	510   	6569.86	5101.09	1449.19	35807.5    
34 	510   	6445.79	5069.11	1410.29	35807.5    
35 	510   	6926.78	5135.75	1410.29	41762.4    
36 	510   	6665.85	5072.72	1410.29	28641.9    
37 	510   	6460.45	5256.56	1375.24	41816.8    
38 	510   	6573.07	4889.61	1375.24	30812.8    
39 	510   	6730.08	5228.3 	1375.24	31616      
40 	510   	7147.01	5852.89	1375.24	34619      
41 	510   	6664   	5454.59	1358.45	34619      
42 	510   	6824.42	5743.78	1300.35	39627.2    
43 	510   	7369.62	16567.9	1122.27	495545     
44 	510   	7114.57	5876.41	1291.19	32771.9    
45 	510   	6718.04	5574.06	1234.39	34578.9    
46 	510   	6286.1 	5357.36	1234.39	57323.7    
47 	510   	6051.15	5126.91	1234.39	36794.8    
48 	510   	6501.06	5367.47	1220.61	32518.5    
49 	510   	5793.66	4786.31	1220.61	27505.4    
50 	510   	6093.45	4934.51	1207.46	27505.4    
51 	510   	6118.07	4990.41	1207.46	33613.4    
52 	510   	6133.47	5383.28	1207.46	43573.4    
53 	510   	6545.18	6019.07	1207.46	48946.5    
54 	510   	6341.15	7840.72	1207.46	185129     
55 	510   	6145.37	5626.79	1105.13	35501.1    
56 	510   	6230.4 	5631.73	1105.13	34492.4    
57 	510   	6376.79	6169.19	1105.13	36544      
58 	510   	6501.81	5806.76	1105.13	38591.5    
59 	510   	6646.65	6394.13	1105.13	41478.5    
60 	510   	6731.63	6364.41	1099.24	41478.5    
61 	510   	6320.2 	5919.79	1099.24	41478.5    
62 	510   	5810.99	5435.92	1090.13	37488.9    
63 	510   	6479.88	6143.36	1090.13	43818.9    
64 	510   	5851.2 	5714.12	1090.13	37488.9    
65 	510   	6659.52	6921.49	1090.13	62218      
66 	510   	5784.09	5696.35	1090.13	43578.3    
67 	510   	5849.33	5471.2 	1083.49	42810.2    
68 	510   	5502.71	5295.85	1083.49	54317.3    
69 	510   	6060.69	5858.69	1083.49	49598.1    
70 	510   	5389.71	5317.79	1083.07	43707.9    
71 	510   	5519.65	5180.1 	1083.07	37535.6    
72 	510   	5527.64	5719.54	1083.07	37535.6    
