
gen	nevals	avg    	std    	min    	max        
1  	510   	16048  	182524 	4602.5 	4.12634e+06
2  	510   	11671.3	129312 	4602.5 	4.12634e+06
3  	510   	10425.3	129040 	4575.74	4.12634e+06
4  	510   	6128.95	10757.4	4568.6 	264384     
5  	510   	5765.65	21780.7	4568.6 	682841     
6  	510   	4762.79	433.621	4568.6 	10365.9    
7  	510   	4850.97	2340.24	4567.65	71254.5    
8  	510   	4712.27	348.533	4564.46	10273.5    
9  	510   	4741.15	670.193	4562.95	23152.3    
10 	510   	4729.13	225.204	4561.6 	7936.73    
11 	510   	4770.46	439.547	4561.6 	12062.7    
12 	510   	4870.98	2048.09	3404.53	48430.3    
13 	510   	4799.82	952.673	2332.15	30639.7    
14 	510   	4761.79	794.88 	2113.5 	22113.8    
15 	510   	4946.9 	2082.97	2113.5 	28065.4    
16 	510   	5261.89	3173.54	691.838	32560.1    
17 	510   	6341.98	5426.36	611.445	53292.6    
18 	510   	7494.57	7253.18	611.445	95486.7    
19 	510   	8646.75	7782.42	611.445	40042.2    
20 	510   	8874.22	8146.52	611.445	37974.9    
21 	510   	8149.79	8343.61	611.445	37974.9    
22 	510   	9142.34	9507.41	464.626	43757      
23 	510   	10903.1	10565.6	464.626	43757      
24 	510   	12777  	12384.5	464.626	96707.6    
25 	510   	13726.6	12425.7	464.626	52819.5    
26 	510   	13555.2	16481.2	464.626	352086     
27 	510   	14090.2	13562.9	449.607	58796.4    
28 	510   	13595.2	14246.1	440.012	59828.3    
29 	510   	14888.2	14888.5	440.012	59828.3    
30 	510   	16339.2	16533.3	384.171	61883.7    
31 	510   	17395.3	16009  	390.576	77168.1    
32 	510   	18959.2	17542  	390.576	77168.1    
33 	510   	18071.2	17469.4	390.576	72807.9    
34 	510   	17706.2	18069.3	390.576	77155.4    
35 	510   	20187.4	19657.3	390.576	201789     
36 	510   	18174.4	17840.7	390.576	74994.2    
37 	510   	18470.1	21233.1	390.576	326897     
38 	510   	20685.9	19631.5	390.576	179319     
39 	510   	20926.8	19087.8	378.927	69835      
40 	510   	12733.1	13864.1	378.927	83926.8    
41 	510   	16210.1	16117.8	378.927	83926.8    
42 	510   	19192.4	21399.2	378.927	369887     
43 	510   	18975.2	18852.4	378.927	70977.3    
44 	510   	21874.6	20123.2	378.927	72948.9    
45 	510   	22516.2	20533.1	378.927	76826      
46 	510   	20745.3	19575.5	378.927	76826      
47 	510   	22413.4	20808.7	264.073	74855.5    
48 	510   	23616.1	20441.4	264.073	75024.4    
49 	510   	21834.9	20265.6	264.073	74130.1    
50 	510   	23411.6	21399.2	264.073	76789.1    
51 	510   	24177.3	22114.5	264.073	82010      
52 	510   	22120  	21209.6	264.073	211396     
53 	510   	25154.5	22256.1	264.073	86941.8    
54 	510   	22070.7	20863.3	264.073	85139      
55 	510   	24578.2	21575.1	264.073	89026.7    
56 	510   	25046.8	21677.4	264.073	72637.5    
57 	510   	24613.6	22354.1	264.073	80136.7    
58 	510   	24387.4	21295.4	264.073	86949      
59 	510   	23743.4	21767.4	264.073	89964.2    
60 	510   	26211.3	22317.6	365.198	96985.2    
61 	510   	21457.7	21536.1	365.198	118944     
62 	510   	25236.2	21357.2	365.198	85015.3    
63 	510   	20704  	21178.6	365.198	165487     
64 	510   	22984.9	21371.6	302.211	165487     
65 	510   	22703.2	21273.2	302.211	77017.7    
66 	510   	25635.2	22377  	302.211	76765.1    
67 	510   	24375.3	21198.5	282.417	74814.6    
68 	510   	24565.2	32282.7	282.417	783011     
69 	510   	22022.5	20856.9	282.417	80944.3    
70 	510   	23322.4	21419.9	282.417	121138     
71 	510   	23764.1	22672.2	282.417	221578     
72 	510   	13722.4	15591.7	282.417	81019.5    
73 	510   	19907.6	19534  	282.417	81019.5    
74 	510   	23600.5	21204.3	298.771	87010.4    
75 	510   	22732.5	20985.9	298.771	181312     
76 	510   	14716.7	15497.5	298.771	70747.5    
77 	510   	20207.6	18402.6	298.771	94925.5    
78 	510   	23021.4	20608.6	298.771	74044.8    
79 	510   	21850.6	20955.4	302.211	81041.5    
80 	510   	24017  	20940.5	302.211	84153.1    
81 	510   	22462.7	20539.8	302.211	90845.9    
82 	510   	12396.2	14063  	302.211	72789.8    
83 	510   	17845.5	16962.3	284.467	75902.7    
84 	510   	20286.4	19602.7	302.211	117962     
85 	510   	25560  	20833.3	302.211	83905.8    
86 	510   	22034.7	22203.5	300.673	292693     
87 	510   	25344.3	21510.9	300.673	81025.7    
88 	510   	23546.8	21342.9	288.439	79078.2    
89 	510   	12353.3	16011.2	288.439	211354     
90 	510   	18768.2	20105.6	288.439	227661     
91 	510   	23528.2	21816.7	300.673	227661     
92 	510   	22919.5	22471.1	300.673	227661     
93 	510   	28615.9	22593.9	302.211	78820.5    
94 	510   	16902.5	18119.6	302.211	78820.5    
95 	510   	21546.5	20407.7	302.211	81006.1    
96 	510   	25518.6	21633.1	302.211	90875.5    
97 	510   	22156.3	21034.6	302.211	85010.9    
98 	510   	27139.3	22248.2	321.542	88617.3    
99 	510   	15522  	16859.8	296.959	91910.1    
100	510   	21306.8	19313.2	298.313	91910.1    
101	510   	20157.7	20396.1	276.536	86971.8    
102	510   	23457.1	21048.7	276.536	73816.2    
103	510   	12519.1	14075  	276.536	66952.6    
104	510   	9286.13	11611.9	256.698	90995.1    
105	510   	13443.5	14967  	276.536	90995.1    
106	510   	9166.06	11065.6	285.875	64668.3    
107	510   	12778.4	14195.2	298.313	64668.3    
108	510   	15471.3	17082.7	298.313	65566.6    
109	510   	17740.3	18438.1	298.313	71667.6    
110	510   	17526.8	19327.3	298.313	71667.6    
111	510   	23370.4	20817.8	298.313	84261.3    
112	510   	19966.7	19899.2	298.313	78519.1    
113	510   	24765.6	21427.8	269.035	81865.8    
114	510   	12855.3	14199.8	269.035	76354.7    
115	510   	17599.2	17633.7	269.035	74765.9    
116	510   	19002.7	18531.5	269.035	72718.9    
117	510   	20040.5	19724.2	269.035	80884.9    
118	510   	10067.7	12041.4	269.035	71939.2    
119	510   	13200.8	14697.9	269.035	71939.2    
120	510   	18034  	17339.9	269.035	71939.2    
121	510   	17342.7	18522.2	269.035	100503     
122	510   	21680.7	20714.5	269.035	82040.7    
123	510   	27205.4	184493 	269.035	5.87976e+06
124	510   	23245.5	21086.9	269.035	81995.1    
125	510   	12274.2	14300.2	269.035	69925.9    
126	510   	17461.9	17384.2	269.035	71800.5    
127	510   	9560.91	11487.4	269.035	73725.4    
128	510   	13973  	15580.8	269.035	73725.4    
129	510   	17616.2	17442  	269.035	78133.2    
130	510   	17888.4	18267.4	269.035	75876.8    
131	510   	11149.2	13252.9	269.035	69895.9    
132	510   	14540.2	15413.3	269.035	72770.6    
133	510   	17747.7	17856.2	269.035	76115.8    
134	510   	18500.7	19402.7	269.035	72847.3    
135	510   	9056.42	11727.7	269.035	72005.1    
136	510   	13994.9	16835.7	269.035	221032     
137	510   	18228.4	18906.7	269.035	87382.5    
138	510   	18610.9	19403.6	269.035	82956.6    
139	510   	20975.1	20251.8	269.035	148496     
140	510   	17835.5	19094.1	269.035	148496     
141	510   	20967.2	20060.2	269.035	87219.9    
142	510   	18249.7	19276.4	269.035	79934.7    
143	510   	22000.6	19995.5	269.035	81994.5    
144	510   	19121  	19866.9	269.035	91591.7    
145	510   	20265.1	19007.2	269.035	112798     
146	510   	19724  	18806.5	269.035	78806      
147	510   	20527.4	19024.2	269.035	84014.9    
148	510   	19762.6	19175.5	269.035	97288.6    
149	510   	21022.7	20446.1	269.035	162936     
150	510   	20356.7	19096.2	269.035	114072     
151	510   	18615  	19140.2	269.035	82869.1    
152	510   	10746.2	13059.6	269.035	82869.1    
153	510   	15575.4	16816.1	269.035	75964.2    
154	510   	18365.7	17929.8	269.035	75964.2    
155	510   	20261  	20108.9	269.035	92088.7    
156	510   	19480  	18481.1	270.114	74748.1    
157	510   	17905.5	18994.9	296.425	112053     
158	510   	21007.2	20881.2	296.425	172709     
159	510   	21047.1	20220.7	296.425	82812      
160	510   	23462.8	21153.2	296.425	89060      
161	510   	18833.3	20276.9	296.425	103170     
162	510   	23736.9	21422  	296.425	81867.7    
163	510   	20073.4	19659.7	345.571	123687     
164	510   	18738.7	19500.6	255.655	83740.5    
165	510   	21579.2	20251.7	255.655	96025.7    
166	510   	20632.8	20587.7	255.655	76775      
167	510   	22235.5	27492.2	255.655	587631     
168	510   	19259.7	19861.1	255.655	86857.8    
169	510   	24707.1	22279.7	255.655	94085.7    
170	510   	19822.4	19558.4	255.655	94941.3    
171	510   	20391.4	20468.7	255.655	86827.3    
172	510   	21217  	20660.6	255.655	91730      
173	510   	12710.9	15227.6	255.655	75918.1    
174	510   	18279.7	19199  	255.655	85002.3    
175	510   	11459.1	15343.1	255.655	238266     
176	510   	15715.1	17100  	255.655	85033.6    
177	510   	18579.2	22897.2	255.655	440204     
178	510   	18682.3	19034.3	255.655	81883.9    
179	510   	19228.7	19044.7	291.49 	69599.3    
180	510   	21644.9	20520.8	291.49 	88898.4    
181	510   	18965.8	19579.9	290.616	95887      
182	510   	22545.3	20710.9	290.616	79096.4    
183	510   	12122.7	13879.4	290.616	74682.2    
184	510   	17119.2	23848.3	290.616	534412     
185	510   	17897.8	20025.2	290.616	84790.6    
186	510   	19115.6	18693.1	290.616	79056.3    
187	510   	22010.8	21175  	290.616	96321.9    
188	510   	18362.4	19247.2	265.089	73059.7    
189	510   	19919.9	19359.5	290.616	73059.7    
190	510   	21057.8	21062.7	290.616	112538     
191	510   	22898.5	20406.6	290.616	98082.7    
192	510   	12361.8	13910.2	226.072	91865      
193	510   	9973.78	11722.8	226.072	67020.7    
194	510   	7498.8 	9867.36	226.072	69445.6    
195	510   	5562.63	7768.68	226.072	71929.1    
196	510   	5212.89	6926.05	226.072	63113.8    
197	510   	7604.77	9816.06	226.072	63113.8    
198	510   	6279.44	10070  	226.072	228438     
199	510   	8023.59	10068  	226.072	65723.3    
200	510   	11284.9	14619  	226.072	209802     
201	510   	16330.4	16327.9	290.616	72729.1    
202	510   	15082.8	17307  	290.616	72729.1    
203	510   	8764.93	12098.8	290.616	72729.1    
204	510   	7178.01	10031  	290.616	66295      
205	510   	10607.3	12554.6	290.616	64786.1    
206	510   	15102.3	16557.9	290.616	77849.9    
207	510   	20439.6	19644  	293.945	90423.6    
208	510   	18083.2	18331.5	293.945	78821.1    
209	510   	20619.2	19601.8	293.945	88909.9    
210	510   	18319.1	19250.1	256.118	81810.1    
211	510   	21638.1	19486.4	293.945	82868.3    
212	510   	19825.2	19233.9	293.945	84772.9    
213	510   	22719.1	20180.8	293.945	85762.1    
214	510   	19584.5	19015  	293.945	80823.8    
215	510   	22156.2	20316  	317.674	76743.9    
216	510   	18918.2	18465.3	299.122	71795.4    
217	510   	22388.8	20317.4	291.419	86791.1    
218	510   	19759.3	18918.5	291.419	85996.7    
219	510   	10954.5	13219.9	291.419	75766.3    
220	510   	16994.3	17315.3	299.122	86106.8    
221	510   	19577.3	18574.2	299.122	90897.6    
222	510   	21132.6	20050.4	299.122	82972.4    
223	510   	18572.5	17892.7	308.02 	89838.9    
224	510   	18586.7	19154.6	308.02 	82017.5    
225	510   	19471.2	20083.2	308.02 	90049.4    
226	510   	24272.8	21532.9	308.02 	93003.2    
227	510   	21315.4	19993.5	308.02 	82691.9    
228	510   	20383.8	19599.5	308.02 	86975.1    
229	510   	11670.5	13827  	292.494	81866.2    
230	510   	16598.9	17270.9	263.433	84678.2    
231	510   	19367.1	19462.4	263.433	81840.3    
232	510   	18445.4	20236.8	263.433	82842.5    
233	510   	22465.6	21651.5	263.433	75778.3    
234	510   	18390.4	20023.8	263.433	82124.7    
235	510   	20178.4	20323.3	263.433	84979.2    
236	510   	10516.5	12567.6	263.433	72927.9    
237	510   	14737.6	16667.7	308.02 	86121.6    
238	510   	18626.5	19518.5	308.02 	80968.1    
239	510   	19803.9	20115.6	308.02 	97208.1    
240	510   	20403.6	19359.6	308.02 	104245     
241	510   	19827.4	20196.5	308.02 	82097.2    
242	510   	22661  	21133.9	282.087	104142     
243	510   	20040.6	19901.7	282.087	94582.1    
244	510   	12587.9	14579.4	282.087	82048.2    
245	510   	17974.8	18224.6	238.121	93998.9    
246	510   	20311.4	21381.5	238.121	225189     
247	510   	21974.1	20715.1	238.121	89086      
248	510   	19098.3	19092  	238.121	144649     
249	510   	20789.9	20875.6	238.121	149652     
250	510   	18736.7	20441.4	238.121	117825     
251	510   	23804  	21696.1	238.121	76012      
252	510   	25929.2	193996 	238.121	6.18507e+06
253	510   	21929.1	21846.7	238.121	92895.8    
254	510   	21997.6	21032.7	238.121	84420.8    
255	510   	18349.6	20164.6	238.121	84061.9    
256	510   	23101.6	21627.3	238.121	77750.5    
257	510   	22010.7	21070.3	238.121	78834.5    
