species,distance,spine mean,spine SD,spine N
human, 10, 0.00, 0.00, 0
human, 20, 0.00, 0.00, 0
human, 30, 2.03, 0.21, 2
human, 40, 2.75, 1.43, 4
human, 50, 4.31, 1.87, 22
human, 60, 5.01, 2.79, 31
human, 70, 5.03, 3.28, 26
human, 80, 3.82, 2.6, 31
human, 90, 5.7, 3.05, 25
human, 100, 4.32, 2.63, 30
human, 110, 5.18, 3.02, 34
human, 120, 5.09, 3.26, 29
human, 130, 4.39, 2.59, 30
human, 140, 4.08, 2.31, 28
human, 150, 5.35, 3.28, 29
human, 160, 5.32, 2.88, 24
human, 170, 5.9, 4.04, 29
human, 180, 4.47, 3.15, 28
human, 190, 5.11, 3.27, 22
human, 200, 5.18, 3.18, 15
human, 210, 4.6, 3.28, 20
human, 220, 4.07, 2.6, 19
human, 230, 4.38, 3.48, 11
human, 240, 3.74, 1.66, 6
mouse, 10, 2.80, 0.58, 2
mouse, 20, 2.19, 1.5, 4
mouse, 30, 3.39, 1.98, 27
mouse, 40, 3.48, 2.3, 42
mouse, 50, 3.26, 1.5, 62
mouse, 60, 3.58, 1.77, 73
mouse, 70, 3.36, 1.57, 75
mouse, 80, 4.01, 1.85, 65
mouse, 90, 3.63, 1.72, 74
mouse, 100, 3.77, 1.88, 68
mouse, 110, 3.65, 1.41, 44
mouse, 120, 4.2, 2.14, 32
